3649,Harith Alani
5952,Hasan Kivanc Aksoy
20038,H. Allison
33544,H. El Abbassi
36997,H'ector Mu~noz avila
39500,Hans Van Antwerpen
42640,Hamid Aghvami
53583,Hector A Alvarez
55835,Hesham Ahmed
61778,Haiscam Abdallah
64214,H. Asahi
75956,Habib Abdulrab
84235,Hiroyuji Akimori
86158,Husain Abbas
88662,Hon. m. asce
99112,H. j. Agterkamp
105279,Hiromi Aonuma
105296,Heather N. Andrews
112408,H. Amindavar
113977,Hye Yeon Ahn
139879,Harry P. Andreassen
141268,H. N. Agiza
145426,Harm Askes
148752,H. Akinaga
176780,Hasan Fehmi Ates
182223,Henry Stewart Austin
183524,Hiroaki Aritome
186729,H. t. g. canicious M. Abeynayake
206437,H. Arora
206831,Hardware Architectures
220423,H. Andr'eka
222607,H. N. Agiza
222788,H. m. Ahmed
223221,Hassan Abolhassani
233175,Hajime Akimoto
244639,Hideo Aochi
246977,Habib M. Ammari
257191,Han wei Shen Mrj Nasa Ames
260501,Hakan Aydin
262042,Hugh R. Anderson
293343,Hesham Bin abbas
297513,H. Avsec
303700,H. C. Amstutz
310573,Hessamaddin Arfaei
313468,Hironori Akamatsu
314288,Habib Abbasi
316267,Hossein Ahmadi
323126,Henrique A. S. Andrade
333694,Hossein Ghezel Ayagh
339934,H Arecommendation
341827,Humberto R. Alvarez
342897,Harald Anlauf
349000,Hojjat Adeli
353466,Hongshik Ahn
358924,How Does East Asia Achieve
362758,H. p. Altenburg
365215,H. Abchir
374727,Hojjat Adeli
382104,Hussein Saleh Abd
390625,Hazem H. Aly
391374,H. Aebli
391447,H. b. Ali
401247,H. Asai
406985,Hisham H. Assal
411126,Hamdy Nabih Agiza
428008,H. B. Amesz
430623,H. R. Ahn
436941,Hanene Azzag
437292,Hamed Seyed allaei
443473,H. Abdelkader
443537,Haining Wang Abhijit
449866,Hubertus Axer
464806,Hermann Anegg
465473,H. Ahn
466168,Hannah Arendt
466253,Hernan Astudillo
480694,Harmen R. Van As
491065,H. Artmann
492270,H. Aklyama
492319,Hassanein H. Amer
498519,H. Ashida
512966,Heikki K Alvi Ainen
517369,Hassen A. Al Amin
519771,Harmonia Framework Andrew
522659,Huseyin Abut
530190,H. Almadi
540463,Hossein Askarian Abyaneh
547005,Hubertus M. A. Andree
549910,Huzefa Neemuchwala Alfred
554127,Helder Araujo
559671,Hamid Reza Abutalebi
564977,H. Ago
565254,Hartmut H. Aumann
569523,Henry D. I. Abarbanel
588909,Hakan Ancin
597299,H. Alm
600853,Hamed Seyed allaei
606468,Herman Van der Auweraer
614225,H. Aaltonen
626199,H. Amorin
628014,H. Andresen
631168,Hari Balakrishnan. The Aurora
645414,H. P. Arrol
647400,Hatem Ahriz
651794,H. F. Arellano
654522,Henk Alblas
658274,Helmut Alt
667816,Helmer Aslaksen
674301,H. Adiseshu
674684,Hezi Azatchi
686147,HAMID AMIRMEHRABI
693284,Hiroyuki Aburatani
693503,Henry Chang Rama Akkiraju
707001,Hirotugu Akaike
717484,H. Albsmeler
722035,Hasan Abdulkader
730443,Henrik Aspegren
734261,H. Aust
737595,Hiroshi Adachi
737863,Hannu J. Aronen
740257,H. Amjadi
744089,H. Arbinger
754569,Hossein Azani
764746,Hasan S. Alkhatib
765221,H. Althaus
773947,H. Anno
779058,H. Ahlers
781882,Hiroshi Azechi
799035,Hideki Atsumi
811992,H. Ackermann
812525,Hussain Al asaad
814567,Heiddy Marquez Alvarez
817333,Hiroki Arimura
830973,Hiroaki Aikawa
834210,H. j. Ahn
846479,H. Albrechtsen
852187,H. Levent Akin
857581,Hassan Abolhassani
864446,Hojjat Adeli
867762,Habib Abbasi
873540,H. R. Aschmann
874300,Heidi Anlauff
874321,H. Aguirre
