8236,Ivo A. van Amerongen
23317,Ilse Aben
28791,I. S. Akhundov
31980,Ibm Alphaworks
35988,I. Athroll
37669,Itzhak Aharon
41329,Independent Component Analysis
48974,Id Apa
55189,I. S. Ashour
63615,Izzat Mahmoud Alsmadi
80718,Irene Albrecht
95861,Itai Alon
103709,Isao Arima
113837,I. Jonathan Amster
143603,In Aspdac
155205,Ikuo Arizono
174465,I. Arson
174691,Itzik Alfy
179674,Izzat Mahmoud Alsmadi
186726,I. F. Akyildiz
189862,I. E. Auger
193751,Irina Artsimovitch
207206,Ilhan A. Aksay
207814,In The Acquisition
231851,Iced Glasgow August
233023,I. Adamopoulos
246524,Iannis E. Adamopoulos
247148,I. I. D. Anderson
259247,Influence Of Arm
260472,Inc. Austin
261324,I Thank Franklin Allen
284455,Interfacing Apl
290400,Ian F. Akyilidig
303362,Ivo J. B. F. Adan
313767,Ilhan A. Aksay
315584,Ibm Anynet
325218,In Octanethiols Alessandro
336909,Igor Akimov
348924,Isaiah T. Arkin
351805,Izzat Alsmadi
396877,I. An
401967,Iyad A. Ajwa
419334,Ilka Agricola
427374,I. Alegre
429869,Itzhak Ben Akiva
430626,I. O. Anashkin
439998,Ing Aless
449327,Ian Akyildiz
460721,I. Abt
463336,Interactive Flutter Analysis
466935,Information Goods Andreas
471829,Ingrid A. M. Appelqvist
477146,Ivan Maggio Aprile
486319,Isidro F. Aguillo
486658,I. Artaki
488680,Ipp Routing Architecture
497772,I. Azbel
506908,Infinite Dimensional Analysis
513123,In Addition
515801,Igor Averbakh
516953,Irfan S. Ahmad
539896,It Professional Author
547077,I. a. Awad
548866,Isaac Newton Senter Auditorium
561580,Integrating Better Approaches
562303,Isolated Performance At
572626,Ivan Arce
580435,I. n. Mishustin Abc
593779,Isik Aybay
642662,Ibrahim Assem
658980,Irma I Siller alcala
665237,In Globe Aline
673163,Inc. Associates
681913,Interactive Interface Agents
683616,Illumination An Approach
684790,I. Akitake
711686,Intentions Attentions
719197,Int Numer Anal
731328,Isamu Abe
732781,I. V. Antipov
745454,Iciar Astiasaran
764604,Ikram E. Abdou
765760,I. Horv   ath
768174,I. Resurreccion Arcas
768415,Ian J. Adams
777354,Ivan Aaen
789844,Ivan Araujo
793639,In Architecture
795426,Igor B. H. de A. Alves
798234,Ingrid A. M. Appelqvist
799671,Ibrahim Akduman
799701,Izo Abram
802417,I. Aboalkaz
828530,Irfan Awan
841082,Information Administration
850928,Ibrahim Akduman
850992,I. Alexandrov
879837,I. J. B. F. Adan
891577,Izzat Alsmadi
898735,I. s. Ahmad
902935,Ivaan Arce
932392,I. Abouzahr
934925,Irina Artsimovitch
939449,I. C. A
943995,Ian L. Alberts
947313,Izzat Alsmadi
961847,Implications For An
977694,I. M. Albani
1011904,Igor V. Arsenin
1020540,Ishmael P. Akaah
1042591,Interactions Between Attention
1043163,Ieice Trans. fns Amentals
1050619,Ingo Althofer
1063438,I. A. Antonov
1071609,Ignasi Cos Aguilera
1075852,Igor Aleksander
1079444,I. Avdeev
1088649,Ivdm Araujo
1095501,I A A
1097955,Ian Ashdown
1136454,Immaneni Ashok
1150261,Isidro Aguillo
1152042,In flight Advisor
1171978,Il Ayani
1186889,Internet Addresse
1195258,Ioannis N. Athanasiadis
1204329,Isaiah T. Arkin
1239849,I. m. p. Aarts
