743,L. E. Aranchuk
10012,L. Aguilar
10562,L. Von Ahn
19778,L. Adler
22087,Luca Anderlini
30343,Lisa Amini
31678,Lynden A. Archer
43488,Lalitha Agnihotri
45704,L. Athouel
47800,L. b. Agrawal
91543,Laurent Andriantsiferana
97315,Linda F. Alwitt
102638,Leonardo Acho
111940,Leonor M. Almeida
131947,Larry Albright
132953,L. R. Amey
140106,Laurie Atkinson
149261,L. Aravind
152788,Lewis B. Aronson
157642,Luis David Alcaraz
163467,Lowell Abrams
178495,L. K. Ainsworth
178949,Laurel C. Austin
180194,L. Aubard
204039,Lucas Alados Arboledas
227605,Laurent Alfandari
229277,Lalit Agarwal
229342,Lisa Anthony
242339,Lexicons Statistical Approach
256379,L. M. Auer
266091,Linda Arret
270346,L. Allbright
282810,Louis K. Arata
285139,Loyce M. Adams
293201,Lori Anschuetz
294778,Last Revision Anna Alberini
304871,L. M. Aucoin
322941,Lucas Antiqueira
351674,Lorenzo Aguilar
357693,Lara Atallah
365071,Luigi Francesco Agnati
365657,Luca Alberucci
366236,L. M ARQUEZ
380778,Luis David Alcaraz
385339,Load Sharing Among
405501,L. H. Armitage
406181,Lutz Andrews
406997,L. J. Garcia luna aceves
408920,Loren R. Anderson
417750,Lisa M. Amoroso
458681,Lorenzo Alvisi
459249,Lerina Aversano
459717,Linda Anscomb
474237,Lena Q. am
482284,Leon Axel
507980,L. Ahn
508331,Luigi Altomare
508497,Lynn Y. Arnaut
512448,Lambda Calculus Anindya
516768,Layman E. Allen
525749,Leonard M. Adleman
526094,LANAMAR DE ALMEIDA
531194,L. A Anania
536062,Lex Augusteijn
561533,Ladislav Andricek
566889,Linda K. Ayliffe
568963,L. Anthony
569562,L. Victor Allis
571020,Luis J. Alias
577906,Lennell Allen
577970,L. Allan
582730,Lauri Alanko
585877,Luigi Anastasia
599970,Lori J. P. Altmann
618708,Luca Antiga
630747,Lorraine G. Allan
632134,Leslie Arminski
650331,Lorenzo Alvisi
660956,Lukas Ahrenberg
668416,Luigi Alcuri
668678,L. E. O. C. Aragão
674329,Luis Anunciada
679541,L. Arzi
680340,Leonidas Akritidis
701300,Luis Almeida
701722,Language Concepts Amer
703279,L. Antognazza
709912,L. Armijo
710412,Lisandro Abrego
712617,Laszewski And
713358,L. J. Hern Andez
716996,Lars erik Andersson
719299,Lhc Beams Arduini
719423,L. Bic Arvind
728788,L. Amy
736448,Lars Albertsson
756461,L. Antill
766575,Luqman Chuah A
785848,Luc M. Augustin
803605,Levent Akin
806970,L. W. Abreu
810463,Lynden A. Archer
811655,Liudmil M. Antonov
829145,L. Ausubel
841279,Liron Argaman
854629,L. f. Akyildiz
859010,Lauren W. Ancel
862007,Luis A. Alexandre
869394,L. G. KOV   ACS
872940,L. Ambrosio
884623,Linda Alvord
891204,L. Alonso
899782,Leobardo Arce
905329,Los Alamos
917328,L. Alados Arboledas
922971,L. Arazi
931049,Luqman Chuah Abdulah
931948,Luciano Volcan Agostini
942684,Leandro Amaral
944083,Lennart Andersson
948652,Laura Abba
958834,Lisa Anthony
959258,Lesley Allan
973555,Louis Mah An
974189,L. Abenante
985296,Leon Axel
991712,LAURENCE ARMI
994387,Lawrence J. Alder
1002325,L. a. r. Assuncao
1025477,Lawrence B. Afrin
1028634,L. Atencio
1036708,L. Alili
1041205,Linda S. Adair
1049889,Linda F. Atherton
1056203,L. Andor
1057354,L. V. Atkinson
1063617,L. Auerbach
1067457,Luis Araujo
1072800,Lucy Dunne Aaron
1091542,Lars Ahrenberg
1110217,Lorinda K. Anderson
1114646,L. Alkalaj
1119415,Lotfi Ben Ammar
1119645,Laurent Amour
1127083,Lee Altenberg
1130194,L. Adams
1131314,L. Anglesio
1132413,Lingamneni Avinash
1149480,Languages Automata
1158656,Luc E. Anselin
1163607,LIORA ALSCHULER
1164756,L. Najjar Atallah
1184143,Laurent Astart
1185505,Luciano Albini
1188628,L. Alados Arboledas
1191991,L. Menendez arias
1195530,Lanny Arvan
1215514,Leena Arhippainen
1227740,L. h. Amundsen
1233722,Lexical Functional Analysis
1234881,Lourdes De Agapito
1237604,Lightweight Directory Access
1238347,L. Altenhain
1257898,Laura Alonso i Alemany
1258279,Le Tuan Anh
1264650,La Agusu
1275908,Lloyd L. Avant
1285846,Luca Abeni
1291323,Los Angeles
1294977,L. Amos
1304013,Lee C. Adkins
1307536,Linear Algebra
1311584,L. J. D Az
1319868,L. Alados Arboledas
1323029,L. Auque
1341729,Lee Adkins
1344265,L. Ca Arelli
1348507,Level B Processing Algorithm
1376901,LENNART ATTERNAS
1382064,Leif Andersen
1383353,Luca Anselma
1387011,L. Albrecht
1391214,Luis Antonio Aguirre
1408220,Lendasse Amaury
1411518,L. Angelov
1430343,Laser beamed Power Abraham
1431010,Laura Arbilla
1436288,L. Angermann
1449541,L. De Arcangelis
1488401,Luca Astolfi
1493362,Lawrence Albinson
1494881,Luc Astier
1498858,Luca De Alfaro
1504217,Lefteris Angelis
1514638,Lazhar Fekih Ahmed
1519454,Liz Armstrong
1521544,Lluis. Amat
1535497,Lloyd B. Anderson
1537678,Laboratory Of Acoustics
1542088,Llu ıs M arquez
1547617,Laura H. Allen
1560394,Lau Acw
1600915,Lachlan L. H. Andrew
1603153,L. Armesto
1604211,L. L. Arnder
1628802,L. S. Andlee
1638439,Luigi Anastasia
1659022,Lars Arge
1659136,Litke Antonios
1665832,Language Amadeus
1692082,Lawrence Staib Amit
1721102,LAMPRIDOU ANNA
1741694,Linda S. Adair
1767557,Lowell Jay Arthur
1770245,L. Alados Arboledas
1771694,Luqman Chuah Abdullah
1775522,Lizette Alfaro
1801121,L. Andrews
1808021,Luis Felipe Rivera alvarez
1809913,Luis Alonso
1818380,Luis A. Alvarez
1824369,Leopoldo Armesto
1831395,Le Anh
1841522,Lynn E. Alden
1845951,Luqman Chuah Abdullah
1859565,Li Wu Myron B. Allen
1878752,Lanny Arvan
1885375,Laurent Amsaleg
1887765,Ligation Analysis
1930748,Lester Alfonso
1937226,Luis A. Alexandre
1952949,Laurent Arditi
1953802,Levente Fabry asztalos
1961353,L. c. Agba
1964978,Lucy F. Ackert
1983245,Leonard Adelman
1987082,Levon E. Amatuni
1995741,Lyuba Alboul
1997009,Liora Strichman Almashanu
2004835,Lorenzo Alamo
2007347,L. Andreone
2010682,L. H. An
2014891,Luis Pastor abia
2020231,Lewis G. Anderson
2021936,Luke E. K. Achenie
2025702,Leonard Max Adleman
2026091,Lijin Aryananda
2028196,Learning Robot Actions
2046195,Luciana Bezerra Arantes
2046711,L. S. Alger
2047953,L. F. Abbott
2057592,L. A. Angurel
2059703,Lars Nonboe Andersen
2091931,Linda S. Adair
2097669,Levent AYDIN
2097989,L. Anichini
2111150,Laura Arns
2111397,L. L. Altgilber
2113483,L. L. Antis
2126239,Lahlou Amoura
2128901,Lattice \phi A. Agodi
2133155,L. K. Alberts
2143230,Luqman Chuah Abdulah
2162045,L. Appleton
2163854,Linda Allen
2196864,Lattices Pedestrian Approach
2202955,Luigi Anastasia
2210427,Luqman Chuah Abdullah
2215030,L. Abel
2221760,Luigi Accardi
2223028,Lutfi Arda
2224694,L. C. Alchesky
2228935,L. Arnaudon
2237457,Laurent Alonso
2237761,L. Armesto
2239447,L. R. Andersson
2246492,Lawrence F. Arnstein
2256209,Lorinc Antoni
2290176,L. N. A. Van Adrichem
