26513,Noga Alon
31963,N. A. Akshoomoff
35031,N. Akashi
38997,Nicoline Grinager Ambrose
45578,Norman P. Archer
56743,Naoki Asakawa
64549,N. A. Andrianova
72267,Nestor Aponte
72474,Norbert S. Arenstorf
76074,Nina Amenta
86633,Natalie J. Allen
94308,Narayana R. Aluru
102335,N ANDERSEN
113531,Niels H. Andersen
114087,Narendra Ahuja
130787,Nikola Angelov
150566,Numerical Approximation
151651,Nouman Azam
156593,N. Ashbridge
175316,Nicolaos G. Alexopoulos
194530,Nicolas de Abajo
196029,Navid Azizi
204947,N. Ilker Altintas
210536,N. Alamanos
213962,Nelly M. Abboud
215868,News From Australia
222532,Noboru Azusawa
231360,Namkee Ahn
238565,Nikki Austin
253919,Nilay Tanik Argon
258782,Neil R. Anderson
261947,Niran Angkawattanawit
262841,N. Andrianov
268887,Naurang M. Agrawal
279263,Nicolas Armanet
291054,Nail Akar
294333,Neslihan Alp
294402,Nagi M. Aboulenein
304266,Norman Au
317640,Noam Amir
319270,Nicole Adler
323778,Nestor Armesto
326053,Nizar Bel Hadj Ali
334217,Nader Alrawahi
345024,Naseem Al Aidroos
346764,Norihiko Akao
366235,Nehorai Arye
372785,Natalia Andrienko
377582,Nado Aveling
382775,Nicole E. Acerra
416735,Nicolas Andruskiewitsch
445986,Noga Alon
452460,Niclas Andersson
459281,N. U. AHMED
488675,Neural Networks Absolute
507315,N. Agrawal
517048,New High Assurance
520622,Niklas Andersson
534198,Norman I. Adams
538193,N. Avessta
539262,Norman H. Adams
546614,Noam Alperin
560608,Nawras M. Aldibbiat
576841,Nour Ali
593822,Nancy Alonistioti
601202,Naoko ASHIKAWA
624795,Nd Authorities
624802,N. N. Abboud
625515,Nicholas S. Argyres
633716,Noriaki ANDO
642981,N. Al Aawar
661770,Nicolas Ayache
680836,N. F. Audeh
684154,Nobuo Aoki
685807,Nicola E. Annels
692409,Natig M. Atakishiyev
692698,Neeraj Arora
703051,N. Asai
719278,Ninan Abraham
780918,Nurit Agam
807820,Nancy Y. Amaya
810135,Noboru Ashida
812132,Ne Pas Affranchir
816555,N. Andres
834641,Naoki ASANOMA
844880,N. Antoine
845384,Network Analysis
851071,NIKO F ¨ ARBER
855172,Nimar S. Arora
856492,N. Adamopoulos
857835,Norman I Agin
860784,N. Acharya
885923,Nadav Ahituv
885936,Naeem Zafar Azeemi
901324,Narayana R. Aluru
903920,Naurang M. Agrawal
906202,Naurang M. Agrawal
926641,Noreddine Abghour
932064,Not Terminate Paul andr'e
944035,N. S. Almodvar
950189,N Aussenac
959229,Nelly M. Abboud
970091,Nii Saka Addo
975461,NAKHLE ASMAR
986618,Nagaraj K. Arakere
994109,NASA Ames
996962,N. e. Arias
998724,N. Ailleres
1016523,N. Arora
1017502,Nuditha Vibhavie Amarasinghe
1026268,Niv Atihuv
1030186,Nilesh A. Ahuja
1030773,Noga Alon
1045754,N. M. Aziz
1054994,N. Aronszajn
1063356,Nobuhisa Ayugase
1073040,Nabil Abdennadher
1075651,Nataraj Akkiraju
1098078,Noga Alon
1144678,Nalini Anantharaman
1155596,Narendra Ahuja
1158780,N. Aucoin
1161477,Nagaraj K. Arakere
1169936,Network Appliance
1173340,Nabih N. Abdelmalek
1183707,Nitin Ahuja
1190135,Nils Aschenbruck
1191334,N. Akahane
1191450,Noga Alon
1193835,Nejib Ammar
1197356,Nicoline G. Ambrose
1221772,Nelson Amaral
1222210,Nicolas Andruskiewitsch
1224580,N. Apostolou
1235664,Nobuyuki Andoh
1239097,Nancy Amato
1242296,Nikolaus A. Adams
1254367,Nadine Alameh
1267351,Nicole D. Anderson
1267784,Nissim BEN ARIE
1268035,Nicolas Andruskiewitsch
1274307,Neural Network Analysi
1283653,Norman A. Abrahamson
1289710,Nicola Ancona
1293411,N. S. Andrade
1301796,Nevin Aydin
1304703,N. Alm
1313768,N. Arends
1321161,Nachman Ash
1322928,Nizar Allouch
1324697,Nikolaos Ampazis
1331002,N. Asokan
1348441,Niyaz Ahmed
1348622,Neves Albuquerque
1357992,Nodes With Applications
1358601,Nuno Antunes
1378897,Nancial Markets Anders
1382271,N. Armenise
1387604,Nikolaos Athanasis
1394711,Noha Adly
1399992,Navid Aghdaie
1411740,Nieuwstadt And
1426522,Neil Alldrin
1440698,N. V. Anshukova
1451492,Noga Alon Asaf
1457192,Norman Arnheim
1460700,Nazim Agoulmine
1465267,Nathan Gnansambandam Anthony
1465846,Nadjet Bouayad Agha
1484315,Nicolas Audet
1487694,Nobuyuki ASAKURA
1488234,Nesar Ahmad
1493266,N. Amit
1501783,N. Aim
1504557,N. Apostopoulos
1505734,Neill Alexander
1510930,Nicos Angelopoulos
1519867,Naser S. Alzayed
1539849,Nancy C. Andreasen
1547852,Nurit Agam
1556055,Norman Alm
1561635,Nicolas Armanet
1562704,Nicolas Gabriel Andjiga
1572594,N. Arpatzanis
1575676,Nazmy Abaskharoun
1579952,Non smooth Analysis
1580203,Nina Ames
1586485,Nevine Aboughazaleh
1587544,N. Askitas
1591911,Neil Audsley
1595545,Nurul Nadia Ahmad
1608079,Nicolaos G. Alexopoulos
1617858,Nadav Ahituv
1629084,Nikolaos Apostolopoulos
1637579,Nnaedozie Aneke
1644267,Nikolaus Augsten
1658504,N. Anand
1678336,Nisar Ahmed
1682422,N. Ben Abdallah
1683381,Nikolaos Apostolatos
1684940,Norman Arnheim
1685257,Network Computing Architecture
1686963,Noga Alon
1688202,Nairo D. Aparicio
1688912,Nissim Ben Arie
1690007,N. K. Allsopp
1697469,Naveed Arshad
1701500,N. J. C. Andreason
1703306,Natasha Alechina
1709088,Neil Mc N. Alford
1711538,N. Ashgriz
1713574,Noga AlonKeith
1718616,Nikolaos Anerousis
1726677,Nikos Anerousis
1730084,Naomi Altman
1739975,N. V. Abrosimov
1746357,N. Angelopoulos
1747612,N. S. Arun
1755048,N. Akinaga
1763912,Neal Arthorne
1767409,N. Alpert
1772675,North Africa
1777863,N. Navid Azarbaijani
1783507,Netherlands Defence Academy
1788758,N Aboughazaleh
1804604,National Library Of Australia
1807961,Nandana D. Amarasinghe
1811559,Naoki Abe
1823235,Nitin V. Afzulpurkar
1833894,Noe Ä Mi B Arabasä
1863138,Nedjem eddine Ayat
1875102,Nobuhisa Aoyagi
1886927,Naoyuki Amemiya
1891819,N. Y. Antonishkis
1904774,Near infrared Camera Arnica
1904808,Nikos G. Aneroussis
1928147,Norman H. Anderson
1935944,N. Albertsen
1940322,North Star Avenue
1944409,N. K. Annamalai
1952535,Nets Of Algebras
1970253,N Allbritton
1976707,N. Atkinson
1976926,Nasser Ghasem Aghaee
1981085,N. Ayoub
1989431,Nikos Alexandris
1995498,Nils Arne Alvsvaag
1996593,Nickolai Alexandrov
2004381,Ng Amos
2004674,Nitin Agarwal
2010382,Nurul Amin
2010906,N Aldo
2021412,N. Abel
2023043,Nicholas Economides April
2029632,Nysret Avdiu
2035121,Nicholas Apostoloff
2060018,N. Bouayad agha
2063214,Neural Networks Application
2066482,Naoya Asamura
2085237,Nazim Agoulmine
2086946,Nizar Bel Hadj Ali
2095615,Ninette Amariglio
2115112,Nicolas Aspert
2122055,N. Asish
2139329,N. Atanackov
2139624,Nazim Agoulmine
2165198,NEAL ALEXANDER
2185340,N. Ackroyd
2196051,N. Armani
2199055,Nicholas Asher
2202697,Neil Ashworth
2207218,Name Of Author
2210303,Nazy Alborz
2213498,Nicholas A. Allen
2230775,Necip Fazil Ayan
2232250,Natalia A. Andrianova
2242116,N. Ali
2242377,Nuzhet Atay
2242884,Naeem Akhtar
2251717,Nikolaus Almassy
2260114,Nurit Agam
2268361,N. Aizaki
2272550,Nikolaos Asianides
2281438,Nadia G. Akel
2287699,Nicolaos G. Alexopoulos
