7125,Peter Andras
11073,P. Askebjer
13157,Plane object Using An
13927,Peter Arbenz
14245,Practical Approach Andreas
27856,Pablo Arrighi
28600,Patricia GONZ   ALEZ
34365,Phillip D. Adsit
55634,PEDRO GARCI A
61538,Peter Abelson
68325,Pertti A. Aarnio
69234,Precision Architecture
76883,Piers Andrew
86601,Paulo Sergio Almeida
102033,Patrice M. Arent
104141,P. Aghion
105037,Patricia Ash
107099,P. Alexander
111229,P. Armijo
113898,Paul M. Anglin
117471,Pantelis Daniel M. Arapoglou
124027,P. Atten
143103,Peter Altenbernd
143207,Proc Of Aisb
149141,Peter J. Alfonso
152388,Patricia A. Allenby
154495,Paul Axt
166915,P. Arte
173279,Prescribed Parallelism Alain
177686,Prakash R. Apte
188430,PAUL E. ANDREWS
190775,P. f. Adams
207321,P. L. Allen
212047,Peter K. Allen
212199,PABLO A. ANIGSTEIN
220924,Prinya Atiniramit
221221,Pauli Aikio
233699,Peter Arijs
238861,P. Abel
240484,Paul H. Andersson
242662,Pablo Trinidad Martin arroyo
252542,P. Anttila
260238,Prashant Arora
263690,Pudji Astuti
264210,P. D. Allan
265767,P. A Alsberg
270696,Pavel V. Afonine
281182,Paulo E. M. Almeida
281539,Paul A. Anghel
282705,Patrick Aschwanden
282751,Pekka Ahola
285048,Panayotis C. Andricacos
292975,Peter R. Albion
295287,P. J. Ashworth
301523,P. Alinikula
302867,P. Anderson
303775,PETRA A. ARNDT
308738,Patricia A. Adler
315962,Pour Rcepteur Antennes
334680,Paulo Sergio Almeida
342421,P. B. Price V. G. Afanasyev
346825,Peter Arcese
348049,Pablo Arrighi
349881,Pieter W. Adriaans
349949,Practical Queueing Analysis
353507,Paul J. Ashton
359409,Predicates Charu C. Aggarwa
364999,Peter Anderson
367629,P. Akishin
371535,Pattern Analysis
377372,Peter Green Andsdf
392285,Predicting Substance Abuse
395065,Peter H. Aiken
404815,Paul Anthony
411416,Paul Cardenas Aldaz
412519,Philip G. Altbach
416236,Professor Andrew
418269,PIERRE RICHARD AGENOR
418867,Pat Allen
421312,Pieter Audenaert
423557,Paulo Pimentel de Assumpcao
455718,P. Alukal
457458,Patricia Anglade
461892,P. m. Asbec
461920,Patricia Amaral
469325,Pau Arum
478449,Preliminary Version Annexstein
478730,Pekka Abrahamsson
485195,Philip Aspden
489856,Philipp Ackermann
493581,P. e. Tge Consulting Anchorage
506587,Peter Andreasen
506758,P. Asselin
510613,P. V. August
513536,P. Alu
513926,P. m. q. Aguiar
522979,Portes Rami Auran
527621,Pierre Alliez
535756,Paul Fitzpatrick Ai
535831,Paulo Aguiar
549182,Peter Achinstein
549626,P. W. Alfvin
565798,Peter Ashley
572354,Perry Y. Li Ankurshrivastes
572893,Peter S. Anderson
583248,Pierre Angelier
584255,Petar Atanackovic
586567,Programming In Artificial
587887,Projet Ariana
594828,Pablo Aguirre
599400,Pamela R. Aschbacher
601276,Peter Achten
614288,Prabhat Avasare
619676,Paulo S. C. Alencar
624672,Pipelined Loops Sid ahmed ali
631644,Peyman Afshani
641001,Peter Prep Abramowitz
651712,Paul Arminjon
654492,Per Aanstad
657159,Peri S. Avadhani
674373,Pamela Abbott
681023,Paradigms Slim Abdennadher
687186,Pavan Aduri
690394,Paul H. Axelsen
698384,Patti Adank
703649,Peter R. J. Asveld
706289,Paul R. Adams
724893,Philippe Aghion
738839,Paul Edward Anderson
742869,Peter Alfke
747916,P. Agarwal
748527,P. St. Amant
751156,Parameter Reusing Approach
751195,Pollutants Through An
752917,Pablo Artal
753033,Program Verification Abhik
753076,Patrice Assouad
754085,P. a. Andrews
755427,Peter C. Allilomes
779210,Pascal Andr
784034,Peter Avery
785101,Probabilistic Approach Azadeh
792381,P. Aubouin
792421,Pierre Arnoux
795769,Program Authorized
796005,Prathima Agarwal
797124,P Achardson
802038,Pekka Appelqvist
804323,P. Angers
815801,Peter Willemsen Amy
837501,Patricia A. Allenby
852647,Philip Anderson
858079,Pavel Avgustinov
860684,Paul H. Aoyagi
868835,P?r Ahlstr?m
871733,P. Aubert
878050,Programming Language Algol
880255,Paul Armand
880933,Peter Achermannb
884842,Patrick Albert
885603,Phoebe Acheson
906262,Petros D. Apostolidis
906567,Partial Cylindrical Algebraic
909261,P. H. Andersen
909742,Pierre St Amant
920114,Paul Attewell
920529,Pritsker Aab
920913,Peter C. Anselmo
922412,Philippe Antoine
925048,Pranav Anand
934190,P. Albers
939487,Philip A. Allen
943016,Prashanth AK
957514,Peter G. Anderson
960661,P. Almeida
965117,P. Anderer
966789,Patrick D. Anderson
966961,P. G. Bishop Adelard
967667,P. A. Abken
969464,Positive Samples Alexander
969608,Paul Albitz
975125,Paulo J. L. Adeodatoy
976717,Paul Alpar
978161,Paul Adams
982197,Paula J. Alessi
986797,Paulo Alves
994961,P. Akkaraekthalin
998715,Pablo Angueira
1005774,Phipps Arabie
1008621,Peter Aczel
1014244,Panagariya Arvind
1020532,P. A. Arkin
1030238,Parosh Aziz Abdulla
1034065,Pennsylvania Avenue
1046139,Paolo Arcara
1050387,Paul Aleong
1051879,P. S. Antsiferov
1062528,Phfclp Abrams
1071321,Patrik Arlos
1080190,Pyotr M. Akhmet
1082782,Petar S. Aleksic
1091890,Peng H. Ang
1092879,Pilar Leon Arauz
1103171,Patrick Abrami
1107459,Peter Amey
1110992,P. a. Movilla Fern Andez
1113154,Pol Antras
1121536,Perttu O. Ranta aho
1143755,Pierre Richard Agenor
1144667,Performance Of Co allocation
1148993,P. Avner
1151326,Priyanka Agarwal
1152426,P. A. Amorim
1175688,Philipp Afeche
1176987,P. Mejia Alvarez
1184592,PAGE ANDERSON
1202561,Patricia Amaral
1204300,Peter Albrich
1207262,Peter Apers
1208924,Phs Public Health Service Act
1215173,Plamen P. Angelov
1222226,P. M. Anselone
1226215,Paula Amaral
1231175,Paul Asente
1231616,Paul M. Alt
1231637,P. Albrecht
1232405,Pointing Cone Alfred
1239942,Pedro D. Alvarez
1242200,P AGUER
1242251,Pushkar Apte
1244966,Philip G. Altbach
1246765,P. Mark S. Ashton
1249582,Peter Amthor
1254100,P. Arendsen
1262014,Philippe Artzner
1263375,Pradeep Avasthi
