7117,Where The Academic
9220,William F. Andress
37894,W. F. Arnold
46635,Walt Allen
56312,W. Aijun
64740,Wil M. P. van der Aalst
94449,We Propose An Algorith
123212,Wayne Allen
125248,W. Adams
126235,W. van Ammers
127229,Wilhelm Robert Karl Anderson
144670,Walter H. Aschbacher
153821,Working Group Architecture
154516,Wireless Sensor Applications
172510,Wiji Arulampalam
175150,Wim G. M Agterof
177713,William Drabkin. Analysis
190019,With Directional Antennas
234389,WILHELM ANACKER
237753,W. Abbas
249489,Wilhelm Ackermann
250781,Wayne J. Alberta
254715,Warren Harrison David Auc
307282,Where User Authentication
310176,Wc Ae
325335,Wl Odzisl Aw
346510,We Thank Vegard Andersen
348390,W. John Albery
355826,Wilhelm Anderson
405570,W. G. M. Agterof
409685,William A. Andersen
454945,Wallace LM Alward
463153,Wil M. P. van der Aalsty
473698,W. Andrews
481964,Wim G. M. Agterof
495520,W. Abikoff
504177,William Roy Adams
511437,Wilhelm Ackermann
557800,Wil M. P. van der Aalst
584288,W. O. Amrein
597036,W. Alexander
601759,Wallace L. M. Alward
654947,William Y. Arms
659082,William F. Agnew
664598,Wilhelm Sch Afer
674294,W. Anderson
675581,Wim Aerts
684010,Wajid Ali
690977,W. E. Arnoldi
692530,W. ALLEN
721361,Why Alto?
723390,W. Austin
748463,Walter Akers
749930,Wireless Networks Alec
762627,William P. Alston
766094,W. G. M. Agterof
777490,Witold Abramowicz
781878,W. Alexi
784804,Wireless Lan Adsl
785304,W. G. M. Agterof
789065,William D. Atwell
795922,Working With Angry Adults
798518,W. Arbaugh
799297,William Atwell
815474,Wolfgang Andree
825490,William T. Abraham
826971,William Adams
826991,Walter Alt
830849,Walid Youssef Ali Ahmad
844052,W. G. M. Agterof
850464,Willem Zuidema Artificial
851332,W. Patrick Arnott
855607,Warehousing Enforcement Anlia
859942,W. G. M. Agterof
871285,Web Server Log Analysis
871319,Wenbin Song Andy
873621,William A. Ainsworth
878265,W. Amour
878308,William H. Anderson
900169,William G. Axinn
904035,William Aspray
907034,Walter L. Atchison
919135,W. Lo Andrew
927526,William L. Alexander
936749,W. Gary Anderson
937831,Wilhelm Ackermann
943636,Wilbur V. Arnold
968992,William P. Allaire
974204,W. N. Anderson
983421,Weights Albrecht Albrecht
990215,Wilhelm Ackermann
994904,Woo Suk Ahn
992758,William A. Arbaugh
997440,Wil M. P. van der Aalst
999998,W. E. Weihl Et Ai
1004892,Wake Vortex Algorithm
1023356,Wang Hong An
1035692,W. Au
1040363,Wayne Amsbury
1041239,William P. Alston
1051279,W. L. Aranguren
1063008,William L. Anderson
1073730,Walter Kintsch. Amsterdam
1084690,World Bank. Ahmed
1104776,W. Anthony Alford
1121121,William Aspray
1125549,With Priors Atwal
1130455,Walker AJ
1149548,Wafa S. Aldiwan
1149813,William J. Anklam
1160744,William W. Agresti
1169355,Wil M. P. van der Aalst
1188006,Wolfram Amme
1202762,W. Van Assche
1219165,Wilfred Almadoss
1219677,W. Aung
1224499,William Aspray
1231630,William W. Adams
1244085,Wee Peng Ang
1263903,W. Arnold
1277484,Wajid Ali
1285906,William D. Armitage
1288395,Waleed H. Abdulla
1310139,Winser E. Alexander
1323647,Werner A?mann
1326854,Wally Axmann
1330144,W. Anderst
1339728,Wil van der Aalst
1341163,W. J. Austin
1350456,With An Application
1351742,W. Atwood
1353531,Walid Abdelmoez
1353624,Ws Atkins
1360835,Walid Al ahmad
1365106,Wlliam R. Anderson
1371283,William F. Aspray
1374702,Wael Abdelrahman
1379286,W. Y. Arms
1379588,W. T. Ashurst
1394291,Walid Abdelmoez
1402577,W van der Aalst
1406999,WIM H. J. AARTS
1423604,William L. Allen
1425194,Web Applications
1430996,Winter Animation
1435958,Web accessible Databases Am
1442599,W. S. Anglin
1443219,Wil van der Aalst
1446092,Wirote Aroonmanakun
1460250,W. H. von Aulock
1460389,William S. Adams
1473899,W. h. Andrag
1479654,William Agassounon
1543820,Wanda M. Austin
1554410,Wael F. Asaad
1563285,Wilhelm Ackermann
1596979,With A Genetic Algorithm
1597391,W. Augustyniak
1602444,W. John Albery
1602511,William Carney Analytic
1607442,W. P Adams
1610207,Working Memory Aaron
1614703,William E. Asher
1630670,W. Van Assche
1653183,William Aspray
1660182,William T. Abraham
1670451,W. Arensman
1684604,Wil van der Aalst
1687087,W. Auld
1690501,William P. Alexander
1693802,W. S. Albrecht
1710448,W. S. Ament
1714542,Werner van den Abeelen
1715298,W. Assawinchaichote
1727621,W. W. M. Allison
1735296,Wj Adams
1738123,W. P. Arvidson
1739466,William Robert Ashurst
1754463,William Hung Adnan
1764373,Wojciech Andrzejewski
1771531,W. John Albery
1805288,W. J Alby
1811437,W. John Albery
1855603,Wesam Alanqar
1872325,W. Andrews
1878318,Warwick Allison
1884264,Wael Abd almageed
1908500,W. Arlt
1914077,Wajid Ali
1922130,W. Kyle Anderson
1922270,Walter Alvarez
1932870,Wu Ai
