973,D. Budge
1714,David A. Bastin
4071,David C. Bloom
4489,D. C. Black
5836,Dexter P. Bradshaw
8110,Douglas B. Bernheim
9557,Dorothy J. Van Buren
9948,Dick Bebelaar
10177,David I. Brown
10613,D. P. Bmtzman
10794,David A. Binder
13666,David M. Bortz
14911,Deana A. Bodnar
16402,Dan Braha
17403,Daniel Bertrand
18273,Donald D. Blankenship
18378,Dennis T. Brown
18914,Dennis Bonatsos
23327,DAVID BARRIOPEDRO
24303,Dorota Alicia Grejner Brzezinska
26076,Djamel Benredjem
28959,Dennis H. Bamford
31210,D. Boyarski
33676,Daniel G. Blackburn
36823,D. M. Bourg
38210,Darren J. Bachmann
39240,Dennis L. Bricker
39280,Dirk Bohmann
39548,David Blair
40385,D. J. Bottjer
41205,Dimitris A. Bolis
41362,David J. K. Balfour
43794,D. A. Black
45656,Deborah S. Bakin
48214,Damiano Brigo
50095,Duane Buck
50844,Dimitri Beskos
51114,D. Brahy
53393,Donald A. Bell
54266,D. Beatrici
54947,Drew Bagnell
57938,Dominique Boisvert
57998,Daniel Lazard. Grsbner Bases
59353,Daniel Brodie
59656,David T. Blake
64498,Daimark Bennett
66027,David R. Beier
71046,D. Brewer
75491,D. P. Buse
78009,D. L. Beveridge
82840,Dennau Beeten
85345,Dany Breslauer
85795,D. Bommart
85867,Dtm Data Be
87185,Darko. Babic
87853,Dumisizwe Bhembe
89067,David S. Bates
89500,Du Biao
90742,D. J. Bucher
107486,Deirdre Butler
109184,D. L. Burkes
109409,David Bachman
113481,David A. Bray
114179,David G. Blair
114985,D. G. Bailey
115452,Debasish Banerjee
117344,D. Birx
117679,Dario Bottazzi
121428,David T. Blaauw
122867,David Ian Baxter
126550,Dick C. A. Bulterman
127296,David A. Bearden
127721,Donald J. Berndt
133891,Derrick Boom
135552,Denis Bouhineau
135727,Daniel J. Barrett
135886,Daniel P. Bovet
139306,Den Boer
141976,D. x. Bi
143945,Daniel N. Baker
145781,Dale J. Barr
148226,Dong Hyun Baek
151739,Dayang Fredalina Basri
151828,D. Best
152670,Daniel Bradley
153086,Dani Byrd
153852,Declan Bates
154409,Donald J. Boyd
154663,Daniel J. Birmingham
162147,D. Bos
170451,Daniel Z. Bai
171693,Debmalya Biswas
174338,D. Biel
179745,D. Boussalis
180891,D. Beard
181456,D. R. De Buyser
181458,Dan Black
183534,D. Branlund
184691,David F. Bradford
184707,D. Beasly
185074,D. Barataud
186643,Dietrich Buesching
189081,Dominic Palmer Brown
189178,D. Baert
192607,David Elliott Bell
194574,Denis Bussaglia
196913,D. W. Brown
197053,Dan Black
199903,D. Bonsi
201871,Dale E. Blodgett
205305,Deirdre Boden
206292,Daniel Brooke
207517,D. Behar
208994,Doug Burger
210828,Douglas S. Blank
210930,D. A. Berry
214230,D. Bruckmann
216501,David K. Backus
218005,DEAN BROWN
218758,Donald R. Blake
221484,D. Buster
222494,Dominic J. Benford
222723,Diane Beck
225769,David Nogues Bravo
226615,D. Binldey
228905,Daniel A. Beard
229160,Diane E. Borgard
232964,Dirk Baumer
234690,Don Blasius
236719,Dave S. Broomhead
239585,D. R. Heath Brown
253994,Dennison Bldg
256838,David Blanchflower
258912,D. Ballis
259271,Dirk Budke
262952,Donna G. Burrow
263426,David B. Bogy
263794,Dimitrios Berk
266093,David F. Brailsford
270108,Dominique Gouyou beauchamps
270404,D. Barnes
273120,D. I. Bevege
273201,D. A. E. Blomfield
276663,Denis Berdjag
278841,Digital Evidence Bags
281876,David Collier Brown
284970,DAVID BERNATOVICH
289159,Daniele Beauquier
292419,Dina Bistry
294413,David S. Buchanan
294727,D. Brei
295633,Didier Bourigault
297777,Dmitri Botvich
300142,Dennis Beckers
300588,Dario Benedetto
303379,Daniel Brooke
303696,Denis Buttard
303979,D. Le Bihan
304559,Dennis Bus
309087,Daniel Berzon
316080,D. R. Boswell
316272,David Berger
319259,David Bakstein
319372,Dietmar Benke
320432,Deepak Bagai
322739,Denis Berdjag
324347,Dave Bacon
324690,David Biliotti
324745,Dominic W. Burg
325308,D. B. BOORMAN
325750,Damodar Bhandarkar
326695,Daniel Bonn
328446,Dalibor Biolek Va Brno
329866,David Le Blanc
333219,David M. Blei
335863,Dimitri Bourilkov
336710,Douglas Burke
341736,D. R. Brownbridge
344151,Dan Bennett
344435,Donald R. Blake
349150,D. Boulfelfel
350308,Dominique Brunet
350342,Davide Brugali
353452,David H. Brainard
357586,David Bettis
360701,De Franceschi Barreto
361046,D. H. J. Baert
362596,Doug Benson
362817,D. P. Browne
364354,David Balaban
366972,D. Boettner
368720,Daniel Bobrow
371388,D. Baptiste
371512,D. G. Bobrow
372429,D. w. a. Brands
373058,Donald D. Beaver
373208,Daniel Boley
373606,Diego Bettoni
376349,D. Bloor
379148,Doug Bowman
381151,Danilo Beuche
382093,D. F. Bond
382095,David V. Boger
386311,Daimark Bennett
390489,David Byrne
390938,Deborah Bunker
392811,Dennis D. Boos
397643,David R. Braun
398016,Dongsoo Bang
402229,David Benyon
402764,Dorothea Blostein
406535,Dariusz Biernacki
408429,Donald S. Burdick
409619,David R. Barstow
409740,D. Barlow
410743,Diana L. Blaney
411892,D. Bu
412876,Darrell Blegen
412934,D. Meneveaux. K. Bouatouch
417315,Diane E. Bailey
417981,Derek Bowie
420792,D. Bebelaar
420801,Dalila Boughaci
421000,Douglas B. Bock
424173,Donald R. Bordley
424434,Daniel Boley
427408,Daniel S. Baum
429353,D. Bulla
440890,David Barnhart
441535,David Bhella
443508,Daniel G. Bracewell
444666,Debra Bernstein
445016,D. I. Belij
445572,D. s. Baker
445957,Duncan P. Brumby
448998,David Barrera
449707,Diyar Bajalan
450291,Daniel A. Butts
450303,Daniel Boley
451449,David E. Benn
452196,D. W. Ballet
456498,DANIEL L. BIRKENHEUER
458478,David Barrow
460349,Dietmar Bauer
463242,Donald F. Boesch
466052,Doug Bullock
466776,Douglas Biber
467242,David Bodnar
471186,David R. Bell
476439,Dalibor Biolek
477185,Duane S. Boning
481659,Dimitrios Berk
482366,Don S. Batory
482983,David J. Brady
486376,Daniel U. Becker
490304,D. Bosta
490829,Dejan Baca
493592,D. Bonnevie
493673,Donald B. Boyd
495546,Daniel Bister
497855,Don F. Beal
502858,David Brasse
504949,David L. H. Bennett
505478,Doyle F. Busse
506937,Daniel P. Bovet
508336,Dinkar N. Bhat
508648,D. Bowler
512637,David W. Hogg Roger Blandford
513939,David Bennett
515940,Dima Burago
516144,Douglas Bell
522758,D. r. Bloomquist
523779,D. Baier
525405,Debra Burton
532053,D. Bravo
532499,David J. Buscher
533374,Denis Bertrand
533582,Dan Boneh
533993,Daryl Bradley
534741,danah boyd
539337,D. E. Bockelman
541867,DH Bor
542756,Dirk Beyer
548102,David R. Brunfeldt
552407,Darko Belavic
552960,Daniel Boston
555374,David Bisbal
556116,DEBDUTTA BANDYOPADHYAY
557220,Dante Augusto Couto Barone
557598,D. Bagni
558152,David J. Brown
559204,Dick E. Boekee
560345,D. H. Michael Bowen
560922,D. M. Baney
560996,Dale E. Bauman
564131,D. Bryan
564880,Deborah Bateson
566115,Didier Bourse
568972,David Hoyt Brainard
570464,Daniel R. Brooks
571143,Dominique Batisse
571639,Dynamic Belief
573376,Dirk P. Bohmann
575881,D. Le Brigand
577528,D. R. Pratt. D. P. Brutzman
578627,D. Baezner
581307,Don S. Batory
581465,Dennis Butlar
584552,Dan A. Black
587723,DANIEL BLANKSCHTEIN
588200,Dan Benson
589996,Dennis D. Baldocchi
591033,Daniel Bozinov
591762,Daniele Bortoli
592749,Dean C. Barratt
592877,D. Boutchicha
593058,D. Bacon
598624,David Blake
599647,David W. Braudaway
599911,D. Burger
601274,Dirk De Becker
601325,Daniel J. W. Brown
601690,Daniela BONVICINI
602180,Didier Bresch
603831,Daniel Bonn
603867,Dan Birkedal
604315,Dale Bauman
611867,Douglas W. Bonin
615053,David A. Burgess
615297,Djamel Boubaya
616357,David I. Beaver
618165,D. L. Brutlag
618543,Dragana Brzakovic
618979,David J. Bryant
619150,Dagnachew Birru
622609,D. W. Bennett
622883,Dominique Le Brigand
624887,David E. Bernholdt
626104,Donald W. Bouldin
627821,D. S. Bagri
629175,Donald Braben
632421,Douglas E. Berg
632853,Dexter J Booth
635272,Dania Emi Hamassaki Britto
637869,Dorothea Beringer
645837,Deepayan Bhowmik
646772,D. Burch
647922,David Brittain
647949,Dirk Becherer
648680,Donald P. Butler
648829,D. M. Beyea
652029,David Bryant
654216,D. B. Buller
658195,D. B. Batchelor
657578,Daniel P. Berovic
657624,Der Universität Bern
662733,Djamel Benredjem
666513,David E. Bloom
669641,Daniel J. Barta
675541,Doug Brown
678288,D. Bargiotas
681099,Dean Louis Yelwa Bavington
682485,David R. Basco
685440,Dhiman Barman
686021,David J. Burr
690173,David L. Black
691618,D. Bica
694016,David Brownstone
694665,David Blanchflower
695402,David R. Beier
705109,D. L. Bowen
705984,David A. Bushinsky
708799,Dean V. Buonomano
714694,D. J. Blattner
717297,Doug Barno
718685,D. Blamont
722150,Dmitriy Bystrov
722320,D. R. Bobo
722511,David C. Brogan
724494,David M. Bailey
724926,Dennis K. Branstad
725596,David Bernard
728604,De Bruin
728964,David Booth
729397,Draft Version By
729840,David Burnham
731319,David M. Bell
732103,Dale Elton Bauman
734546,Dianne P. Bills
734732,D. Bottoni
740321,Dominique Boucher
741620,Dayang Fredalina Basri
741752,David Bremer
743461,Djordje Boskov
745775,David L. Bergman
746282,Donald F. Box
746440,Daniel Ballinger
746962,Development Systems Business
749184,Dossier Pierre Bourdieu
752136,Diana J. Bendz
756456,Douglas A. Bodner
758811,D. Braddock
759949,David A. Mix Barrington
766363,D. Burghelea
766463,Derek S. Bendall
766909,Dirk Balthasar
767771,David F. Birks
768375,David W. Boerstler
770758,Daniel W. Baack
770763,Dirk Emma Baestaens
771040,Douglas A. Baillie
779023,D. Barlini
780179,Dariusz A. Bushko
780587,Dirk Beque
782876,D. Brenner
785817,Djamel Benredjem
787517,De Beer
787671,D. F. Babcock
787830,David Bearman
788159,D. Bouziat
796335,Dieter Betten
798035,Daniel Bonn
800032,De Bono
801107,Daniel J. Bernstein
803017,Denise Bell
804027,D. Bakker
804170,David Barnett
805442,Donna Byron
806408,Debra Biasca
807881,David Birnbaum
808620,D. W. de Bruijne
810849,Donald Backer
811107,Dwight Bolinger
814751,D. Blomker
818565,David M. Browne
820369,Devon D. Brewer
821936,Darrell J. Bosch
826030,Development Juan Bicarregui
826161,Derek Bickerton
827550,Dave Berry
829621,D. C. Borowski
831508,D. Becker
832156,D. Schmandt besserat
832762,David H. Blauvelt
833503,D. G. Bramall
833589,Debby Boyle
837012,D. Bohlender
847022,Dorota A. Grejner Brzezinska
847662,Dario Bisello
847867,D. Kyriakis Bitzaros
850257,Default Reasoning By
853168,Dilip K. Bhavsar
854732,Douglas A. Bowman
855244,David Barriopedro
856048,Dusan Borojevic
857777,David B. Bernstein
858312,Dana A. Baum
858403,D. m. Borsa
861005,Daniel Brethes
861185,Douglas K. Barry
863263,Dan Brickley
865198,David J. Brady
867895,D. Butkus
868920,Dirk Boning
871598,D. Boroyevic
871905,Dirk A. van Beek
872213,D. Borojevic
872259,David Barney
874394,Distribution Estimation Based
874611,Daniel Brandeis
875282,DONALD M. BURT
875923,Deryck F. Brown
876790,D. F. Battson
876856,Douglas M. Behrendt
877797,D. Bandy
879700,Daniel J. Birmingham
880664,D. Burnage
880922,Donald A. Bryant
881940,D. N. Brown
885035,D. l. Benavides
885359,Douglas M. Behrendt
885495,David Barlex
887517,David W. Berner
887879,Development Michael R. Brent
889558,Dieter Biskamp
892115,Dieter Barschdorff
896217,D. F. Barbe
898479,DONALD J. BRUCE
903243,D. Michael Byler
905014,DONALD J. BOLGER
909186,Dmitri Bronnikov
912522,Don Berry
914304,D. Brombach
914888,D. Bloom
915110,David M. Brienza
917832,Dirk R. Bernard
917941,D. Birmingham
918872,D. Bushaw
919583,David Baer
919629,Doug Burger
922753,Dale J. Bachman
923464,D. Burford
923740,Douglas E. Berg
925501,Developing Java Beans
926106,David J. Bercik
929563,Dominique Besagni
931086,Daniele Bertaccini
937012,David A. Bushinsky
942233,D. Beltran
944217,David V. Boger
944221,Duane A. Bailey
947440,D. Brelsford
950360,D. W. Bergman
955306,D. V. Balashov
956088,Daniel N. Baker
