193,Gebreselassie Baraki
8682,Gerard Biau
9272,Glenn Ballard
10868,Glen Bigelow
11550,Gerhardus J. Bossink
11571,Giordano B. Beretta
13648,Geoffrey P. Bingham
15731,G. J. Burkland
16204,Gunnar Blix
26383,George Borshukov
30693,Gino van den Bergen
33896,Giacomo M. Bisio
34561,G. Brush
34907,G. Boopalan
37018,G. Bourguin
38281,Garland Brown
39721,Graeme Balfour
44415,Gerard T. Barkema
45760,Gene A. Brewer
47350,Gadi Barlevy
56927,Gary W. Brudvig
58544,Gurdip S. Bakshi
60538,Guy Brousseau
60758,G. Blanck
62263,G. Th. A. M. Bots
78085,George W. Baylor
79286,GONG Yu bin
94865,Gijs Bosman
97023,G. Baykut
97522,G. Basile
99901,G. Bolender
103035,GAREN BAGHDASARIAN
103328,Gary D. Bishop
108657,G. P. Bhattacharjee
111035,Gregory Bugnon
117380,Gerd Binnig
117728,G. B. Bell
119422,Giacomo Bernardi
122014,Gerald R. Benitz
122377,Giovanni Braccini
129196,Gerald Bianchi
135085,Geoffrey C. Bowker
135498,Giancarlo Bigi
136280,Gerd K. Binnig
150786,Gary G. Bennett
151030,Gerard Berry
152234,Gregory Beaucage
154996,G. A. Bufetova
155105,G Bracclu
157030,G. Bosson
159072,Glenn R. Blauvelt
160455,G. Hu ber
168193,Guy A. Boy
176328,Gerrit Burgers
180410,Graeme P. Berlyn
181554,G. Richard J. Bickerton
181627,Greg Bruno
186731,Giacomo Bucci
191075,G. Boray
191476,G. S. Barabino
192642,G. Barjot
194505,G. D. Bilyeu
195823,G. F. Borm
197056,Greg Butler
200418,Gregor Berginc
207094,Gaetano Borriello
209358,Gregory W. Z. Brachacki
210125,Gully A. P. C. Burns
212625,G. S. Burley
212789,Gregory Breit
214146,Georg Brune
214344,George Bolt
216188,Gerhard H. Bendels
216735,Giorgina Bernasconi
221883,Guillermo R. Bossio
222019,G. Brady
224740,Gerald H. Brusewitz
224947,G. Boreman
224972,G. E. Brown
225703,Gary L. Baumbach
227824,George A. Barnett
229362,Geoffrey Boulton
230376,Gleb Basalyga
231426,G. Bogatu
236446,Glenn K. Baggott
236493,G. R. Buesnel
242392,Gabriela Barato
243062,Gavin Brebner
243720,Gillian Burgess
244464,G. J. Bock
247693,Gareth Bradshaw
248263,Gill Barequet
248646,G. Bernstein
250342,Gill Bejerano
250783,G. J. Blanar
251531,Gary B. Blank
257474,G. R. Barnes
259426,G. A. Baraff
275035,Gregg Brandow
275152,Gunther Brenner
275630,G. Benincasa
276005,Goh Wooi Boon
276885,Goliaei Bahram
280012,Gerald J. Bakus
282586,G. Basso
289170,Gregory Bodeker
294717,G. Borghs
294851,GEORGE W. BROCK
297395,Gavin Bierman
302237,Gabi Braca
305134,Garrett Birkho
307104,G. Th. A. M. Bots
307724,Giorgio Bruno
309184,Geir Bjorklund
309761,G. Bersuker
322079,Gary W. Brudvig
327824,Gary Bryant
329247,Guo wei Bian
334349,Gabriel Catalin Balan
336605,Goranka Bjedov
341938,Gabe Barrera
357408,Gian P. Bava
362499,GORDON L. BROWNELL
363194,GILLIAN R. BENTLEY
