4321,H. Beke
5879,Hugo Bes
10994,H. a. b. Te Braake
11437,Helio Radke Bittencourt
14646,Holger Bast
16086,Hugh A. Bruck
16288,Hennie Brugman
18799,Henry Balen
20951,Hans J. Berliner
29249,Hong Kong Baptist
42008,H. D. Bocker
43852,Heinz Breu
48147,Harry R. Beller
48421,Hansruedi Bar
58035,H. I. Bassen
60480,H. Busemann
65113,Harald van Brummelen
68604,H. Bleichner
69117,H. p. Bao
77479,H. Belaidi
79637,H. Bocuk
80438,Henry Jay Becker
82485,Hyun Chul Bae
84165,Hoa Quang Bui
90345,Hosein Bolandi
90547,H. Bobitch
92269,Howard Baer
94352,H. J. Bernstein
97015,H. Broida
99089,H. M. N. D. Bandara
103289,Hugo Bruggeman
104827,Harold Borko
106046,Hubert A. Bahr
114755,H. F. Baker
116521,H. Braun
116947,Hans heinrich Bothe
129602,H. Black
136051,H. T. Banks
137145,Herbert Berg
137456,Hans Burkhard
148599,Heather Bliss
152547,Hagai Bergman
155632,H. Klein Baltink
158582,Hujun Bao
164140,Henk M. J. Boots
166216,Hillol Bala
167571,Heiko Braml
174732,H. Bourlard
175304,H. Brand
178606,Henry A. Blauvelt
179184,Hermann Schulz Baldes
185183,H. Blaine
186396,H BOWEN
190973,Herbert Budka
191735,H. E. Bown
194130,Harvey W. Bingham
196813,H. Berger
200677,H. Bavestrello
201079,H. S. Barrows
201399,H. M. N. Bandara
206844,Hussein Al Bahadili
210195,Hermann Brenner
213711,Hans Du Buf
214074,Hua Bi
220160,H. B. Bakoglu
227200,H. d. Bach
232466,Hugh Alan Bruck
233954,Hemant K. Bhargava
240976,H J Bowen
241136,Hartmut Konig Brandenburg
243940,H. T. Banks
248392,H. E. Bond
254905,H. P. Brondmo
257483,Hichem Bannour
268675,Henry Baltes
273030,Harry Bratt
276041,H. Berlin
279052,HENK BRUIN
285438,H. Borgenstrand
287550,H. J. Beuscher
288501,Hafid Bourzoufi
291025,Heidi Burgiel
291082,H. Thomas Banks
296656,Hrvoje Benko
298477,H. L. T. de Bliek
300539,H. T. Banks
301071,H. Bischl
316714,H. G. Borufka
323827,H. Barwolff
331549,Hung Hal Bui
331657,Herbert Baskin
334390,Hartmut Brandenstein
338617,H. Blocker
340692,Henk P. Van Benthem
345477,H. P. Benoit
346553,Hsiao hua K. Burke
348871,HELMUT BUENNING
348998,H. F. J. M. Buffart
349578,Hugh Bain
356889,Humphry J. M. Bowen
362731,Henry Buijs
367311,Hugh Betchia
367624,Hans J. Bohnert
369398,Harikrishnan Balachandran
373938,H. Barki
375996,HARRIET BAKER
376621,Howard Bromberg
388657,H. Bulow
396163,Herman Blasbalg
397439,Heinrich Brakelmann
398737,H. Van Brug
403305,Honggang Bi
406646,H. T. Banks
412782,H' El` Ene Barcelo
412966,Herbert G. Bohnert
417231,H. Birk
420433,Hal Berghel
426424,Harald Bergner
427741,H. Brix
429508,H. j Bender
435738,Hans Buhlmann
437676,Hassan Benchekroun
439075,H. Bojahr
446659,H J M ter Brake
448863,H. S. Bloom
450640,H. R. Bilger
455113,Herbert Balasin
455947,Helmut Bergmann
462208,Henrik Bendsen
463761,Hussein G. Badr
464725,Hardware Giampaolo Bella
485356,HUGO BRUGGEMAN
492188,Henning Braunisch
492699,Hinrich Boeger
493950,Helmut. Bester
497106,Hans Peter Bunge
498734,Helene Barcelo
499979,H. B. Benaoum
506240,Hugo Vanden Bossche
508731,Hans Böhringer
536128,H. A. Bethe
561304,H. w. j. Blte
563601,Hyun Sook Bae
565366,Hedayat Markus Bayegan
571340,Hans Bandemer
571416,Hilary H. Birks
573341,H. Ballan
577765,H. Beker
578551,H. Burkill
580056,H. W. Bergh
586732,Heather E. Bullock
588601,HARLAN J. BROTHERS
595668,Henri Berestycki
610587,H. Buchner
610868,Hamid R. Berenji
614916,Hanne Bay
620989,Hamid Bolouri
623535,Hung Tien Bui
625150,H. H. Beeftink
627376,Henrik Bostrom
627572,Hans Kristian Otnes Berge
637585,H. Bosse
639585,Henri Bernard
639809,H. K. Bhabha
641895,Hongjie Bai
649690,H. a. b. Te Braake
656761,Hokama Morettin Bolfarine
660837,H. r. Bae
663791,Helmut Brandl
677893,Henry G. Booker
678427,H. J. von Bardeleben
685492,H. Kent Bowen
689802,H. Kent Bowen
693462,H. M. Brodowsky
697192,H. BUTTNER
700044,H. Bloeman
700296,Hans Bruesselbach
702196,Hamid Behmard
708389,Harold Boley
708849,Heinrich Buschermöhle
709994,Hans H. Briiggemann
716902,H. Van Bruck
717716,Hatem Bettahar
722013,HANS BRUCKNERb
724755,Harry Bruce
723205,H. Beltran
723368,Hamparsum Bozdogan
735620,H. Burton
740069,H. M. J. Blalock
740976,H. Baudry
760032,Henrik G. Bohr
761918,H. A. Buyse
762219,Harald Brede
766040,Hendrik H. Beeftink
767515,H. Brandstrom
769096,Helga Boedtker
776503,Henrik Bostrm
781408,H. Baba
790858,Hyoung Chan Bhang
790959,Harold Borko
800739,Hunter R. Boylan
805082,H. Baker
807008,H. A. Buchtel
807963,Hamid Beladi
817249,Haizheng Zhang Bruce
822099,Hans K. Bissessur
825817,Harry Berghuis
832343,H. Scott Baldwin
