347,Jonathan M. Borwein
449,J. Baba
472,Jean paul De Blasis
1387,Joshua Bergman
2355,J. Bocker
3195,Jan Barciszewski
5065,J. Barraquand
7025,Jean Bourgain
8005,John B.
8316,Jur P. van den Berg
10470,Jeffrey A. Bailey
13844,J. W. Breithaupt
14896,Julie Borsack
15685,Jacob P. L. Brand
17132,John P. Burkett
20355,John Beshears
21939,J. Brockman
21996,Joel R. Bock
22595,J. Banys
22785,Janneke Bouma
24397,Joffroy Beauquier
24737,Jorg Bornschein
24821,Jan W. M. Bergmans
25262,J. Baron
25712,J. Buhler
27629,JAEYOUNG BYEON
30909,Jocelyne Bachevalier
31208,Jorge B. Bocca
31463,Jessie Bernard
33364,J. Berezanskii
33517,J. L. Brizaut
34732,J. Bretagne
34901,Jose Luis Bosque
35235,Jordi Carrabina Bordoll
37414,James C. Bezdek
38011,John L. Bennett
38155,J. Brandsma
38587,John N. Bullock
38792,Judith E. Brown
38957,Joaquin A. Blaya
39835,John P. Burkett
42212,J. Bierens
42587,Josette Bellan
46038,John Busel
46453,Josh Berdine
47557,Jan K. Brueckner
47749,James Brotherston
48829,James B. Bushnell
49469,John Benton
50019,John T. Baldwin
50148,Jacques Beneat
50447,Jochen Bauer
52400,John E. Brittain
52440,Josep M. Ribo Balust
54010,John A. Barnard
54462,J. Blau
57411,John F. Brugge
57526,J. Becker
61428,J. Banchet
61753,J. Baier
61980,Jorn Bohling
63028,J. Blakely
63030,Janet E. L. Bercovitz
63471,Jorge Luis Victoria Barbosa
63481,Jaymie Lynn Braun
64005,Jacobus W. de Bakker
65945,Ji Hun Bae
67226,J. Bolljahn
67832,Joel Bernstein
68160,J. h. Brannon
71024,JEROME BALESDENT
71155,Jakob Bohr
73866,J. F. Berar
74083,Julien Budynek
74954,Joseph M. Benedetto
76715,J. Burger
76720,John Burgess
77380,J. M. Brint
78356,Joao P. Barreto
78433,John Perry Barlow
79401,J. Bernstein
79717,J. Burnsweig
79997,James Bamford
81688,John R. Bryson
82009,J. M. Blaisdell
82626,J. Brainard
83481,J. A. BrandaoFaria
84081,John P. Burrows
85294,Johannes Blumlein
86791,John K. Bennett
87942,Jochen Benary
89094,Jose R. Brunheroto
89267,J. j. m. Binsm
94733,James E. Bauer
95100,Jan Beran
95158,Joseph J. Beaman
95397,Jens stefan Breuker
99596,J. E. Ballance
99927,John G. Breslin
100068,J. Benjamins
100322,Jér?me Bruniquel
100328,Jerry C. Blackford
100780,J. Bob Balaram
100963,Jonathan L. Bredin
101123,J. Bystricky
101284,J. B'ezivin
101844,Jj Barton
102280,J. Bellamy
104066,JOSEF BRAUN
107564,J. Bhagwan
107872,Jeannine Bell
107943,J. Bowles
109051,J. Bunkenburg
109668,Jens Buysse
110120,J. A. Bate
111750,James W. Blatchford
112375,J. Baart
113237,Jean Gae l Barbara
113463,Jian Wen Bao
115456,Je min Bae
118307,Jerome Busca
118417,J. Browning
118587,Julio R. Banga
118742,Jason I. Brown
119084,J. Boaar
120972,J. Burren
121513,Jian Rong Bai
123428,Jonathan Berk
124737,Julia O. Beamish
126977,Joshua C. Brumberg
128585,Jean michel Bertille
129321,Jim Brune
129609,J. Braasch
138301,J. Christopher Beck
139164,Jeroen Bosman
147377,JULIAN BESAG
147854,J. F. Bowring
148877,Joe Bater
149394,John P. Bolte
151323,Juan Bicarregui
154102,J. S. Bennion
154252,John Bryant
155223,John J. Boland
156153,J. r. Bergmann
156742,John R. Brews
157292,Jerzy A. Barchanski
158036,Johann Blieberger
159681,Jens P. Brage
161156,Jo Anne Bachorowski
161160,Julien Bourgeois
161624,Just A. van den Broecke
162371,James F. Blinn
163636,John L. Bresina
164690,J. Bona
165023,J. Michael Brady
166348,Jacob Baggerman
167669,Jean Remi Bourguet
171653,James H. Baily
173213,J. Golestani Basu
174807,James H. Burge
175455,James M. Bower
179178,J. S. Brockenbrough
180737,Jens Braband
183382,Jean Bourgain
183462,J. K. F. Boyd
184461,J ph. Brunet
186550,Jurgis Babonas
188263,Jere R. Behrman
188352,Jeffrey Bacidore
189886,J. F. Koegel Buford
190930,Jonathan Paul Bird
192581,John Boates
193322,J. Bradac
193425,J. A. C. Bland
201295,Josef Böcker
202527,Jacques Bertin
202886,J. T. Becker
204540,Jeffrey M. Bradshaw
206997,Jushan Bai
207506,J. Barker
207571,James Nugent Bellinger
209567,Jerome V. Baumgartner
211087,J. Beetz
212128,J. Bednar
212173,J. J Borrelly
213428,John J. Bosley
213599,JUNEAU BOROUGH
214279,J. C. Boettger
214429,John D. Byers
215316,Jeffrey P. Buzen
216479,Joel C. Bornstein
217979,Jonathan M. Bull
218815,Jeffrey E. Boyd
220505,Johnnie Birch
221476,James R. Burnham
222264,J. Bertsch
224509,Joeran Beel
224995,James A. Bunch
227876,James R. Brangan
228613,Josef F. Burgler
230988,J. Angelo Beraldin
237095,Jill Beckman
237299,J. Bessen
238002,JAN BECK
239169,Julian Bustos
239696,J. W. K. Burnside
242304,James E. Brownell
242997,James L. Bacon
243684,J. G. Balz
244799,Jacob Burbea
245440,J. Bézivin
245804,Jitendra A. Borse
246723,Jay O. Boyle
247444,Joshua Bers
247461,J. W. Bonnell
247539,J Bargas
247914,Jim Botkin
248720,Janos M. Beer
249021,Jennifer K. Barton
249847,Jesus Bermudez
251286,Jean Charles Boisson
251593,J. Bruhns
252199,J. Bostel
252417,Jiirgen Benndorf
252927,J. M. Brennan
253119,Jane Niehues brooks
253293,Jean paul Barths
253582,J. Burner
254492,Jonathan I. Bloch
258192,Jan J. Boersema
258378,John Bresnahan
260766,Jordi Bonada
261308,Joel Barnes
261621,John P. Boyd
261939,John Blank
262964,Jürgen Blazejczak
264077,John Biggs
265084,Jihad Boulos
265210,Joelle Biondi
266508,John D. Hobby Henry S. Baird
268849,Janet Blatter
269267,Jesse D. Bingham
270199,J. Buur
270453,Joel D. Berman
271342,Jerome K. Butler
271805,Jere R. Behrman
272740,Jeffrey E. Barrick
273332,James R Bergen
273813,John P. Blanks
273939,Jennifer E. Burkhart
274512,J. T. Barich
275629,John J. Barnes
278026,Jacques andre Bartoli
280532,John Seely Brown
280952,Jan E. Bond
281215,Johannes Braams
282622,J Buccafusco
284517,John Byers
285626,Joao P. Barreto
286736,James P. Bound
287676,J. Buxton
287697,J. A Brabyn
291659,Jonathan Benson
291929,James G. Bellingham
292513,Jeff B. Boisvert
293616,Jeroen C. J. M. van den Bergh
294324,Jean marc Blosseville
295703,Jose Verdejo Emilio Barba
296280,Juan C. Bicarregui
297210,J. Bostock
299426,Julian T. Brown
299907,Jonathan King Berkeley
300400,Jiaqiang Bai
300925,Joseph H. Battocletti
300987,J. E. Butler
306502,John Brooks
307586,Johann F. Bhme
310786,Jean Paul Boy
313581,J. Abraham Arenas B.
314126,John L. Burgin
314990,J. Bjorkstam
317561,Jerzy Brzeziski
321899,John W. Bandler
322824,J. H. G. M. Van Beek
323656,Juan Carlos Balda
323742,J. Blumer
325621,Joshua Bloch
326340,José R. Beltran
328301,Jurij Brankack
329568,J. Berdugo
329861,John C. Bicket
330180,Jie Bao
330570,Joy Van Baren
330926,Jerome Bruner
331447,Jw Bray
332293,J. R. Bach
333281,James C. Brodman
336412,Juan Carlos Izpisua Belmonte
339594,Joanna Kania Bartoszynska
339940,John P. Banning
340237,Jean Philippe Bouchaud
340342,John A. Di Battista
342310,J. R. Beerhold
344879,J. M. Breguet
345965,Johan Bijnens
346451,J. W. Bell
346565,Jerry Blackford
347655,John Backus
348468,J P Benzecri
350110,Jonathon S. Barton
350385,J. D. B. J. van den Boom
350635,Jayanta Banerjee
353858,J. H. J. De Bruijne
354673,John Blenis
355709,Joseph D. Becker
357011,J. A. Barehanski
357463,Jacques Bergeron
358617,J. Berkson
359176,JAMES BUCHANAN
362929,Jérémie Blanc
363055,Jeb Bush
363271,Janis A. Cannon Bowers
366208,Joerg Berthold
366216,Joseph D. Brunett
366759,Jeffrey W. Brosius
370428,J. Moret bailly
370659,John Buetefuer
372180,Jaques H. van Boom
373239,James Bieman
373722,Julie Barnett
378911,J. Beriesty
381285,J. Binnewies
383108,Jessica Bradley
383680,Joseph J. Barsugli
384363,Jae Hyung Bach
384552,J. d. Broesch
385084,James P. Black
386932,Jeroen J. Bax
387834,Joel Bert
387835,J. C. Borda
388211,Joe S. Bain
389930,J. Boch
392447,Jeff D. Bude
393408,Johannes Berndt
394242,John Paul Braud
395055,J. Fritz Barnes
397396,Jenea Boshart
398516,Jonathan Paul Bollback
399033,Julian Boot
403842,Johannes Bjelland
405236,J. R. Biichi
405405,Jim Buenbarger
406494,Jianhua Bian
407725,Julien Barr
412605,J. Biro
415716,Jean Claude Baron
415762,Jacqueline Bonneau
416736,JULIAN S. BROCK
417516,Jonas Sj? Bergh
417964,Joachim Benz
418614,Johan Backlund
419838,J. Blanco
419846,Jean Claude Berthelemy
420092,Johann Borenstein
420762,J. Barros
421612,Jeff A. Bilmes
422594,Juliana S. Bernardes
423547,J. A. Rod Blais
424266,J. W. Berryhill
425272,John W. Belliveau
426052,Jean Bzivin
426277,J. Carl Barrett
426749,J. l. Barker
429804,J. L. Bradach
430404,James J. Browne
430657,Jean jules Brault
431036,J. Martin Borden
432951,Jacko Koster Rob H. Bisseling
433009,Jeff Bennett
433337,Joseph Bonneau
434485,Jonathan Butterworth
435490,Jennifer K. Barton
435515,J. David Ballester Berman
437132,Judith G Berman
437295,Joseph M. Ballay
437337,J. h. Brodie
438694,J. Bannur
439745,J. Phillip Bcnkard
441384,James R. Barnum
442536,J. V. Butler
444882,J. Barry
446044,James D. Bjorken
446346,John Walter Barnard
446401,Joan Bybee
449628,John E. Bates
449753,Javier Gomez Marin Blazquez
451859,J. W. Bowick
451969,Johannes Blumlein
452449,J. L. Betoulle
452489,Jacques Bouaud
452613,Joseph E. Banta
452941,Jeremy I. Bulow
454277,Javier G. Blanco
454872,Jim Beynon
455925,James Nugent Bellinger
456237,JAYANTA BANIK
456315,J. Barkle
456728,Jill Benson
457435,Johann A. Briffa
458045,Jamie Bartram
458656,Jon Bottom
465427,Jeroen Bruijning
466675,Jean louis Bon
468000,J. j. Bendik
468415,J. Bouchard
469089,Judy Bateman
471426,Jean Marc Barnola
472390,John W. Brackett
474235,Jd Block
474519,John M. Burt
475292,J. I. van den Berg
476786,J. Bianco
477480,J. Barnett
477704,Julian Blosiu
478665,Jens matthias Bohli
479983,J. Beyer
480035,J. s. Baek
481961,JEROEN BOSMAN
485621,Jean claude Bassano
486480,James R. Boyack
486809,Jos Brustoloni
487824,J. R. Blickem
488136,John Boyer
489608,J. Bull
490317,Jonathan Block
492606,Jan Bucerius
494968,Jonathan L. Bell
495349,J. G. Bosch
496884,Josef BSrding
497454,Janina Brenner
497731,Jill C. Burstein
500985,Joao P. Barreto
498242,J. Beasley
498995,Joan Bresnan
499954,Jay Black
499966,Jeffrey B. Brookings
500261,John H. Bradford
502634,John Bogle
511665,Jacek Becla
515458,J. Brodowski
515505,Josep Jordana Barnils
515586,J. A. Garcia barreto
517212,Jeroen J. Bax
517347,Jean Pierre Buisson
521263,John A. Biles
523814,Jonathan P. Butchar
523842,Jimmie Browne
523905,J. A. Barrio
524196,J. Belsky
524383,Juan Pablo Bello
526183,Julia Black
526546,J. E. W. Beneken
526938,John F. Brugge
527401,Jonathan Boisvert
528091,Jeffrey Byorick
529935,James Buchanan
530560,Jeffrey J. Biesiadecki
530713,Julie Boland
531324,Jon Bentley
532416,Jerry JensenJacques Moret Bailly
532578,J. M. Blackadar
533481,James W. Brunt
534512,J. M. Brown
535285,Joan Serra Batlle
536690,Josef Bock
536829,Jorge Batista
538590,J. Barkun
538754,JAMES J. BLASCOVICH
538985,Jeffrey Bokor
540180,James M. Brannon
541050,Jan Buckow
542249,Jurgen Schaffner Bielich
542541,Joke G. Blom
543361,Jean paul Berry
543783,Jeffrey Brainerd
544218,James R. Brannan
546817,James R. Bode
546997,Jamie K Bartram
547725,Jeffrey A. Brumfield
548134,Jean Berstel
551337,J. Batarunas
548440,Jason A. Beckett
549546,Jon Atli Benediktsson
549921,Jozsef Bokor
550399,J. D. Blair
551057,J. B. Blake
552120,Joshua C. Bienfang
552415,Joseph B. Bemstein
554527,James M. Bloom
557005,John Blenis
557290,Jan Brase
557315,Jay R. Black
557554,John Batall
558110,Jushan Bai
558886,J. W. G. de Bakker
560594,J. Balchen
561663,J. M. Burgers
562468,J. Bengtsson
563095,J. Behari
566274,J. BABINEC
567885,Jean Brini
569707,Jonas Beskow
570472,Jacques Banchereau
572372,John R. Bailey
575124,Joan Bentrupperbaumer
575955,J. BARCLAY
578408,Jamil Salem Barbar
578915,Joseph H. Bosworth
580697,J. H. Bigelow
581805,James B. Beyer
585004,James C. Browne
585756,John R. Buck
587862,J. M¨uller brockman
592263,Johnny H. Biffle
595153,James R. Broach
595311,James R. Brown
596657,J. Blow
597122,Jeffrey J. Bloch
597287,J. J. Bowman
598384,Jennifer J. Burg
603307,Jules P. Bergmann
610356,J. D. Blower
610861,James M. Baker
615233,Jeroen Van Bemmel
617526,Juan C. Bohorquez
618003,John F. Bertram
623752,John B. Bouck
624529,John Seely Brown
628442,Jyoti Batheja
628846,J. Breakall
629641,J. Beasly
630110,James S. Barton
631650,J. Boue
633897,Jean Christophe Breton
640091,Jur van den Berg
636152,JD Buckley
638105,J. p. Banquet
638161,Joshua B. Bellin
638884,James U. L. Baldini
639600,Judith A. Berliner
640467,James J. Beaumont
640802,Jay A. Berzofsky
641597,Jason But
642490,J. G. Blake
644051,Jorg Breitung
645053,Jakob Bardram
645398,J\orgen P. Bansler
645585,Jurjen N. Bos
647372,J. Q. Broughton
648410,Jesse L. Barlow
650293,J. Borkowski
650522,J. Beauvais
650696,J. Bigger
654993,Jichun Bu
661649,J. Brancher
662467,J. E. Bertram
663281,Jonathan A. Bagger
663652,JULIAN FERN   ANDEZ BONDER
663931,J. Buhr
664825,Jean louis Bouquard
666822,J. a. Brana
667223,J. Buckley
667918,J. Brule
668833,Jonathan D. Beezley
668849,Jannick Dyrlov Bendtsen
669344,J. Blechschmidt
672415,Jan Brandts
673563,Jurgen Baert
677123,Jonas Biteus
681626,J. Betts
683901,J. Frits de Breij
685063,Jorge E. Bardina
685498,Jeffrey J. Blevins
686695,Jean francis Balaguer
687101,Jason Brand
688430,John A. Bullinaria
691362,J. Blomgren
692531,James G. Brasseur
693424,J. M. Bibby
693791,Jurgen Berndt
694392,J. P. Bailbe
695353,J Erome Boudy
695734,Juan Botia
696157,J. Douglas Beason
697597,Jan D. Blankensteijn
699212,J. K. Bhattacharyya
700110,Jay S. Bancroft
701730,Jerker Bjorkqvist
701806,J. A. BARO
706858,John N. Bahcall
707065,James Baines
707520,Johannes Boehm
708353,Juan Carlos Izpisua Belmonte
708775,Julio Barros
709574,Jesal Bhuta
710428,Jason D. Bakos
710527,Jürgen Beringer
712370,Jonathan M. Borwein
716872,Janet Barker
717356,Jean marc Brunetaud
717563,J. Bouttier
718072,Julie E. Bower
720679,Jacques Bittoun
721192,J. Ross Beveridge
722869,Joran BEEL
723208,Jean Luc Brylinski
723267,James U. L. Baldini
723825,J. B. Barros
726481,Jean Boivin
727052,Jack M. Blakely
727936,Judith O. Becker
728805,J. C. Breckenridge
730361,Jean Marc Bottazzi
731745,J. D. Batteh
