3458,K. Bates
6930,Kendrick Baker
19900,Katarinakatarina Beravs
20682,Keith J. Blow
22512,Kimberly C. Bracken
30402,Kamala N. Bhat
31713,K. Brzosko
36943,Kirida Bhaopichitr
39933,Krisztina Boda
45264,Keith R. Bisset
45331,Kim A Binsted
50617,K. Bala
61738,Klaus J. Brockmann
67576,Klaus Bramstedt
71063,Kevin Bowyer
73698,Kenneth Bolton
79074,Karin Koogan Breitman
80928,Kazutaka Baba
86982,Kazutaka Baba
89987,Knut Blind
94339,Kimberly Boller
94915,Krishna K. Bhuwalka
95681,Karen Bennet
95764,K. S. Ball
102392,Katherine Bessiere
117572,K. W. Benoist
119010,Kwang ho Baik
120241,Kenneth A. Burke
125861,Katarina Britz
131771,Kim Branson
134885,Kyongtae T. Bae
137733,Klobuc Ar Jerman blaz
142900,Kenneth Benoit
168143,K. Balcerek
168521,K. Belaid
172800,Keren Bergman
173252,Kristy E. Bailey
176408,K. Suzanne Barber
177405,Kwabena A. Boahen
180028,Koichi Betsumiya
180591,Kevin A. Buhr
189105,Knapsack Problem Barake
193910,Katy Borner
195230,Kristen Butler
195246,Kevin M. Brooks
197044,Kundhavi Balachandran
199352,Kirt C. Butler
200197,Kaizo Iwakami Beltrao
200793,K. Bao
211333,Kenneth E. Barner
217761,Konstantin Beznosov
222489,K. ; Petrosillo Brennan
224400,Kathleen M. K. Boje
224574,Ken ichi Baba
231321,Kimberly A. Brownley
233223,Krasnogor Blackburne Burke
235122,Konstantinos Bletsas
236031,Kenneth A. Berman
243906,Kristy Elizabeth Boyer
246351,Karen E. Brown
246885,Katja Broeg
246987,K Enneth Boucher
251048,K. Van Den Berg
256919,Kumar Brahnmath
259939,Kai B�tzel
262193,Kenneth Birman
274027,Kim Butts
281870,K. Schulten Beckman
284554,Kristof Beyls
301470,Kevin Boone
305436,Kevin Buchan
306085,K. Brandeburg
307087,K. M. Buyuksahin
307231,Keith Bright
307759,Krisztian Balog
309371,Kaj Blennow
314305,K. Bock
326051,Krzysztof Burdzy
327481,Kirk Huw Bevan
328128,Kwang Yoo Byun
329300,Kurt M. Bischoff
334396,Kanakapura Basavaiah
335460,Kuk Ho Bae
338877,Konrad Bergmeister
350275,Kathleen Brade
359681,Kathryn Flores Benedicto
362246,Kavita M. Babu
362778,Kamran Badizadegan
367915,Kittipong Boonlong
369465,Kurt Brannas
373426,Karl heinz Buth
373547,K. E. Boyce
376104,Kevin Bechtold
376153,Karl Walter Bonfig
378295,Kate Bishop
390092,K. V. Bury
392111,Karen A. Bartlett
401189,Kelly Betschart
403060,Kerry Bagdon
404871,Kirsten Boehner
410672,Katayun Barmak
415345,Karin Beurer
419486,Keir Bovis
420063,Klemens Binswanger
420790,K. H. V. Booth
424732,Krysia B. Broda
426366,Kh. Brandenburg
435303,Kaustubh Phanse Bradley
435713,Kurt Dirk Bettenhausen
436672,Konstantinos B. Baltzis
439288,Kevin S. Berbaum
441615,Kirsimarja Blomqvist
450178,Kurt Blau
451803,K. S. Butterworth
454590,Kerry Bennett
460169,K. Besenthal
460690,Kent Bach
461124,Karim Bouzouba
463010,Knut Bartels
467874,Ken Boykin
470030,Kurt P. Brown
470807,Kevin A. Broughan
471805,Karl D. Nolph Barbara
474176,Keller Breland
482303,Keren Bergman
484052,Kevin Boyack
484189,Kim B. Bruce
487840,Kirk Bryan
489858,KAI BOOCKMANN
493944,Kirk H. Bevan
498527,Keith Burns
506394,Kevin Butterworth
507339,K. Bahrami
508786,Kristen BUTLER
509024,Konstantin V. Balakin
512478,Kerstin Bach
512596,Kadi Bouatouch
512659,Karsten Becker
514727,Kenneth D. Boese
516230,K. Bezdjian
517295,Katherine Bessière
519948,Karen L. Gundy Burlet
520377,Kate Bielaczyc
528410,K. Bohlin
529393,Klaus Bohmer
534827,Katy Borner
536469,Konstanze Bogumil
546265,Katarzyna D. Bieganowska
548037,Katrina Barron
551235,Kyrre M. Begnum
552111,Kesh Bakhru
560016,K. Bilger
564661,Kim Boström
567371,K. P. Birmans
571933,Kathryn F. Beal
572388,Kent Boortz
572865,Klaus Berberich
579469,Katrien Bucket
586450,K. Briechle
591020,Kenneth Baclawski
597436,Kathleen Keenan Bucholz
597662,K. W. Benz
597877,K Bjarne
601601,K. Blaha
605031,Katherine Bowers
607707,K. R. Brownstein
609527,Karim Benhenni
621533,K. J. Bruinsma
624247,Karoly Bezdek
628795,Kristin Braa
633454,K. Bazargan
634510,K. Best
639714,K. M. Barthels
639786,Kaushik Basu
643206,Kevin Benner
651638,Katherine M. Bonamo
666629,K. Beck
666791,Krzysztof Burnecki
667671,Konstantinos Bletsas
668331,K. Babcock
669638,Kyle J. M. Bishop
678729,Keith H. Bennett
682958,Keith Bisson
683680,Keun sung Bae
689152,Kent Blackburn
700627,Kr Briffa
703661,K Balasubramaman
705182,Kevin Bailly
709565,K. B¨¹hler
711444,K nn Rule Base
720787,Kenneth S. Breuer
724321,Koray Balci
729465,K. Boggs
731442,Konrad Bergmeister
737672,Kumar Bhaskaran
741339,Keith M. Beardmore
743947,Karl F. Bohringer
754042,K. Brooks
761235,Kenneth C. Budka
763812,Kristin R. Di Bona
765615,K. a. boyarchuk
769739,K. Beissner
773284,Klaus Berberich
774003,K. L. Barcrania
774312,Kristopher R. Buschelman
783049,Kalyan Basu
786332,K. Benslama
788566,K. Beck
789901,Kai Bollert
793378,Kevin P. Burkhart
798979,Kenneth G. Binmore
814777,Kaja Borthen
825479,K. Boyer
827808,K. Bradford
838443,Karim Belhoula
849199,K. Uday Bhaskar
850140,Katie Bentley
851318,K. Brander
862234,Keith J. Burnham
892589,Klaus Brinker
893413,K. Bertet
907883,Karl S. Brace
907964,K. Bandat
909660,Kevin L. Burgess
917593,Kerry Bennett
919334,Kenneth Ray Baker
920014,K. Brusdal
925927,Kent Bach
930917,Konstantinos Bousmalis
933352,Ken W. Bell
935572,Karoly Böröczky
938547,Keon Hyo Baek
941184,Kenneth Burdett
947204,Kevin Bolding
948779,Kenneth J. Butler
952562,Klaus Dieter Buehring
954644,Kirill A. Bronnikov
963618,Kris Buschelman
970178,Kim Bruce
970853,Khurram Bashir
972418,Katriina Bystrom
981991,Kresten Bjerg
984862,Kevin Bailly
985824,Kent C. Berridge
988036,Kevin Buckley
990050,Kathleen Keenan Bucholz
995138,Km Baldwin
1003588,K. Baert
1005119,Kathleen M. K. Boje
1010128,Keren Bergman
1010659,K. J. Becker
1017702,Klaus Bengler
1019797,Karin Koogan Breitman
1024518,K. L. B. Borden
1026403,Kathryn Bassin
1032910,Kevin Byrnes
1035568,K. Brummel
1045218,K. a. Hestnes Bakke
1056181,Konstantinos Bousmalis
1059215,Kirsten von Bergmann
1062617,Kenneth Burdett
1065474,Katja Bettenbrock
1074096,Kurt Baudendistel
1074950,Karim Benakli
1079405,Kate Boyer
1083262,Kees Van Berkel
1087162,Kevin Bryson
1090193,Kristin F. Butcher
1097326,Ken Barr
1099664,Kevin W. Boyack
1100889,K. D Budras
1106774,Keith A. Bowman
1107898,Knut G. Berdal
1114813,K. Luz Burgoa
1118687,Karthik Balakrishnan
1119644,Kamal Benslama
1119948,K. Benboudjema
1124145,K. Bachmann
1128531,Konrad Beyreuther
1131177,K. J. Blinowska
1131405,K T Blackwell
1141660,Kenneth H. Britten
1142162,Kyle Bagwell
1144993,K. Bielaczyz
1148624,K. Basu
1155724,Krishna Bala
1157504,Karl F. Bohringer
1168658,Keiran Bartlett
1173132,Keith A. Blatner
1178284,Kenneth Brackenridge
1182441,Kobus Barnard
1185835,Katherine M. Byrne
1187944,Kai Uwe Bletzinger
1192498,K. O. Buesseler
1194411,Keith N. Bower
1197528,K. e. Bean
1197873,K. Borgwardt
1198413,K. Bengi
1201750,Karen Linn Bierman
1204021,Katherine M. Blundell
1206282,Kenneth G. Boykin
1209371,Kristopher J. Blom
1213223,Kenneth Byrd
1217183,Keith Bechard
1217474,Knowledge Representation Bias
1222400,K. P. Berkbigler
1226126,Kay Berkling
1229625,Ken Lazaris Brunner
1249603,Kenneth Bame
1252544,Kevin M. Brunson
1261040,K. G. Burnley
1261386,K. Brantberg
1268963,K. P. Bennett
1269319,Kent C Berridge
1280142,K. Folkert Boersma
1281153,Kurt Beyer
1286479,K. B?orner
1292230,Kyle R. Bowers
1295267,Keith Bennett
1302568,Keiryn L. Bennett
1303489,Koenraad De Bosschere
1307908,Karl G. D. Bailey
1312819,Khalid Baig
1317765,K. Bauman
1321686,K Bousson
1338065,K. Boff
1342102,Ken Basye
1344014,K. Borcherding
1344490,Katherine Baker
1344611,Karen E. Brakke
1353886,Karl friedrich Böhringer
1355491,KENT BACH
1361635,Konstantin Beznosov
1384056,KRISHNAKUMAR BADHRINATH
1384607,K. E. Bollinger
1384651,Kwang Jae Baek
1392451,K. E. Basford
1402990,Konstanty Bialkowski
1405529,Kevin Leyton brown
1407430,K. Bartkova
1408049,K. Bennemann
1408987,K. Bansch
1411176,Kerstin Bucher
1413329,Kris Boulez
1419562,K. A. Bush
1421493,Keith Beven
1421866,Karl Heinz Buchner
1425140,Kavita Bala
1429350,Kimberly D. Bose
1429381,Kenneth M. Boucher
1434088,Karen L. Bierman
1438902,Karin Bierig
1447956,Kathi K. Beratan
1449829,Kiran Bondalapati
1456239,Kyung Jin Boo
1461042,Kim Burgaard
1464999,Ken Burdett
1470564,K. Baba
1474014,K. F. B?hringer
1475529,Kevin M. Buckley
1479304,Kevin L. Beaman
1480819,Kostas E. Bekris
1484140,K Evin W. Burton
1484615,Karl Joseph Bois
1489117,Kenneth P. Birman
1492340,K. A. Bringsrud
1495437,K. Barin
1500740,Kathleen Burnett
1501435,Kirsten Bagger
1503308,Kanishka Bhaduri
1505164,Karen L. Bibb
1506170,Kees Bogaards
1508010,K. Benson
1511774,Kevin Brelsford
1513092,K. Breuer
1516985,Karen Boehnke
1550676,Kai Bu
1554807,Kim L. Blackmore
1554814,Kenneth Buer
1565258,Karen A. Bjorndal
1568350,Konrad Bergmeister
1570713,Kenneth Burdett
1572313,K. Bouzehouane
1581875,Kenneth I. Blum
1588504,K. N. Buckland
1588646,Kenneth Berman
1595163,Kjell Brunnstrom
1595637,K. Bega
1597092,Keith Boyle
1606721,Kimberly A. Brownley
1608283,Kimberly J. Bussey
1612345,Karun Bakshi
1616043,Kalan Lovatt Brothers
1616719,K. Barber
1619411,Ken Burdett
1620479,Ken J. Badcock
1634429,Klaus Bohnert
1634536,Kevin J. Burns
1635125,K. K. Bajaj
1635337,K. E. Bogdanov
1636046,Kathleen L. Bihari
1637901,Katy Brner
1647422,Karen Bourgeois
1648819,Kenneth J. Breeding
1654107,Kate Butchart
1665799,Khaled Belarbi
1676636,Kathi K. Beratan
1678827,Kimberly A. Brownley
1682496,Kris Bubendorfer
1686229,K. Bentahar
1689503,K. N. Bateson
1695970,K. B?dker
1697770,K. Burgin
1700298,Karen L. Byrum
1702506,Karl G. Van Den Bergh
1704949,Kalika Bali
1710906,K. Baldridge
1714574,Kurra Bhaswan
1719379,Kenneth P. Baclawski
1721813,Kenneth E. Boulding
1722988,Kenneth J. Barnard
1726332,Karsten Borgwardt
1726502,Kevin R. Du Bois
1726902,K. Bhasin
1731387,Keluarga Berencnno
1738328,Kirill A. Blinov
1738974,Kay Behnke
1739546,K. Busenbark
1740068,KISHA BRAITHWAITE
1751758,K Benett
1752379,Katrina M. Beesley
1752915,Ki seok Bang
1753161,K. G. Baird
1753879,Karin Berndl
1760421,K. De Brabandere
1765535,K. Biwojno
1768293,Karel Babcicky
1773968,Kenneth M. Boucher
