4276,Warner Bruns
12722,Wendy Berk
20428,William Boos
24433,Wolfgang Behr
34177,Walid Belassi
42990,W. C. Borman
43117,William Brockman
47791,Walter R. Boynton
48098,Wesley E. Bolch
50727,W. R. Broderick
59449,Wouter van der Brug
70279,William F. Ballhaus
71060,Wray L. Buntine
78047,William E. Bejcek
78695,William Bruyn
80216,Walter F. Bischof
94331,William E. Boyson
98981,WILLIAM BURRUS
100438,W. M. Beynon
100517,Wim G. Bouwman
108186,Wim Bras
111162,W. D. Braddock
111944,W. E Bronsvoort
116164,William G. Bartholet
116676,WOLFHARD BANDLOW
117663,W. Bednarekand
120519,Werner Bux
125485,W. Betts
136856,William C. Van Buskirk
138051,Wolfgang Bannuscher
142859,William Bjorkman
144592,W. S. Barney
145721,W. Brewer
148150,Wouter Boon
149518,W. F. Battig
157697,W. Butler
164153,W. Bilger
168614,Witold Bardyszewski
169159,Winston Bumpus
174776,William L. Bradley
183578,Wiren Dale Becker
184395,W. Bokhove
193144,Wael M. Badawy
193730,W. Bakalski
193752,W. Bischof
196448,W. H. Brattain
198584,W. S. Burgett
202469,William E. Blass
207107,Wolfgang Bauer
222610,Wolf Bartelheimer
230891,Willem Buiter
236252,William A. S. Buxton
237479,W. Blanc
249936,W. A. Blankinship
255021,W. Bradinal
256388,William David Bishop
256435,William M. Buco
257691,W. M. Boothby
267039,W. Bohmeyer
270718,Wolfgang Banzhaf
277346,Wieb Bosma
277680,William J. Bowers
290433,W. Biemolt
292200,William E. Burr
292751,Willian Silva BARROS
325138,W. W. BurnsIII
329398,William P. Ball
347680,Wojciech Buszkowski
347974,W. M. Boggs
348993,Wayne Boucher
349849,W. Vam benepe
351249,Wojciech Basalaj
363098,William F. Brewer
364430,Werner Bachtold
367987,W. Brinkhof
370662,Warren Brodsky
371015,William G. Bowen
376474,With New Nic based
380501,W. BENNETT
389151,W. Baber
402581,Wendy Best
410349,William J. Buchanan
411502,W. Beetge
420248,Wolfgang Baumjohann
435584,Wouter Botzen
448346,W. G. Bouwman
453793,W. J. H. J. Bronnenberc
458735,W. D. Bascom
460462,W. E. Biddison
465220,Wernher Behrendt
468176,W. Boonthittanont
484288,Wayne E. Baker
485921,William Brock
489101,William P. Ball
494117,William H. Brune
510697,Walk Giuseppe Boccignone
510937,Winona C. Barker
514404,Warren Bennis
515136,Walter Baur
518755,Winter Bottom
520792,W. Bornemann
523018,What An In System Should Be
533194,W. a. Brewer
534761,William C. Brantley
547297,Wim Bras
551985,Wiet Bouma
553249,W. Berkson
553719,WERNER BALLMANN
560085,Wim G. Bouwman
577575,W. Brenner
585440,William H. Bauman
600727,W. Douglas Brooks
608465,Walter Bencivelli
611640,Wouter P. C. Boon
613764,W. F. Beausoleil
620296,William J. Barry
624454,Woodrow Barfield
625028,William A. Byers
631304,W. F. Bodmer
632220,W. M. Bonner
646088,W. Boulais
647458,W. Beaver
649255,William P. Birmingham
651687,William D. Bishop
666414,William G. Buttlar
667703,W. Baldygo
668629,Wolfertsrieder Bach
669564,William Badecker
680422,William J. Baumol
681374,William J. Briscoe
687768,William E. Ball
718130,Walter Bohmayr
729954,W. D. Bradford
733770,W. Blaschke
736138,William S. Brown
753425,Wilson H. Bogado
769109,W. T. Bayha
774923,W. Barnard
775967,William R. Bevier
788952,W. Benjapolakul
791128,William Brower
800279,William E. Biles
801108,William G. Bliss
812855,Wayne A. Babich
814531,Wayne S. Babbage
817031,Wethank Michael Brennan
824022,Wolfgang Birkfellner
830377,William H. Biederman
830422,Walter Belardi
837620,W. B. Bonnor
859800,Weldon G. Brown
863117,Walter F. Bauer
867407,William C. Burkett
873341,William J. Bloss
876670,William Crawley Boevey
879054,Wendy Becker
880434,W. De Boer
886343,W. Bourke
896319,W. J. Wouter Botzen
897186,William E. Boyce
898106,William J. Bommer
900872,William E. Bentley
907977,Wolfgang Brandt
920493,William D. Brown
925888,Wells Fargo Bank
927607,W. H. Bowen
946744,W. Buchman
958491,William E. Bentley
958902,W. P. Birkemeier
959449,Welton Becket
965644,Wolfgang Baumjohann
970653,W Breymann
974852,William J. Blanke
982394,With Peer to peer Bartering
983606,William Booth
985057,Westview Press Boulder
987557,Wolfgang Baumjohann
990668,W. Bulla
992722,Warren J. Baker
993392,Waseem Bakr
994082,W. T. Brogan
1000665,William W. Brey
1023224,W. E. Blanz
1030379,W David Bradford
1036531,Wm. Z. Black
1038565,W. Marvin Bunker
1040762,W. M. Braselton
1044022,WALTER BORN
1045599,Witali L. Dunin barkowski
1045601,W. Banaszczyk
1045668,Willoughby B. Britton
1053840,Wolfgang Birk
1057382,William D. Burgos
1059541,Walter Ten Brinke
1065269,Wim Beuwer
1070021,W. Bosemann
1074348,Werner Bachhuber
1078444,W. J. Black
1079536,W. G. Bouwman
1082960,Walter R. Boynton
1085836,Walter Beckert
1105595,W. Bialas
1110487,Wolfgang Banzhaf
1113085,We Thank Eric Bartelsman
1113626,W. Beattie
1115564,W. Barabash
1120047,William A. Beard
1126289,Wil J. M. van Breugel
1130724,Wendy Best
1143300,W. H. Burkhardt
1143506,Wim Bras
1143817,W. r. Bennett
1149329,William Baumol
1153289,W. J. Broeder
1154108,William A. Barnett
1155795,Willem Beekman
1162326,W. Beer
1173863,William E. Bohmann
1177343,Wim H. Bardoel
1177407,W. T. Chu Lawrence Berkeley
1195922,Wu Boxiu
1196794,William Bialek
1199487,WOLMER BROD
1201575,W. Baumol
1206031,W. Beggs
1207390,Warner Bruns
1215364,Wolfgang Belzig
1217664,W. Berndl
1222780,Wilhelm Burger
1223321,Werner Bösemann
1229729,Wojtek J. Bock
1230031,W. Bull
1234891,William M. Briggs
1242210,William J. Bolosky
1242516,William H. Bowen
1242737,William S. Bialek
1250790,W. L. Bond
1258722,Wesley E. Bolch
1258729,Willian Silva Barros
1259620,Wolfgang Breymann
1271607,William E. Bailey
1277239,William A. Bogley
1281318,William A. S Buxton
