1527,Chien Chung Chang
4926,C. Robert Carlson
5058,Chun Chen
9259,Claude Chabran
10212,Cristina Cereda
12448,Claes Carlen
16608,Colin Cole
16848,C. Colmenares
21794,Carlos Henrique Brito Cruz
24334,C. D. Callaghan
28965,Cdf Collaboration
30123,Chi Ming Chen
30996,Carlo Ciulla
32026,Christopher M. Collins
33679,Charles R. Cahn
33680,Christopher S. Collins
34519,Chiping Chen
34669,Christine Chiarello
34678,Christopher Cheong
37494,Capacity Analysis Cristina
38702,C. Chayavadhanangkur
43097,Chia Ren Chu
43127,Cristian Coarfa
45469,Carsten Carstensen
46420,Cynthia T. Garcia Coll
49287,Chih min Chao
52356,Chinese Culture Connection
52597,Cengiz Celik
52962,Christina Chan
55858,Chiao Min Chu
56968,C. Burleigh Cooper
66341,C. h. J. Chen
76022,Colin Chalk
76432,Chaitanya Chokkareddy
78098,Christophe Clavier
84496,Constantin Cotae
86464,Curtis G. Callan
87125,Carol Y. M. Chan
93977,C. E. Carme
96532,Catherine E. Carr
96897,Charles Consel
97731,Cecilia Di Chio
99549,C. b. Clausen
100983,C. G. Chittister
101212,Computing To Cooperative
103228,Christophe Claramunt
104795,CHRISTINA ENROTH CUGELL
107484,Chalermpol Charnsripinyo
107485,Ching Yi Chen
107648,C. T. Y. Chung
108924,Craig M. Chase
111104,Chia Chen Chang
112047,C. A. Clabaugh
113572,Charles H. Cadden
113852,C. H. Chen
114875,Carlos Ramos Cuevas
115296,C. L. Choy
117950,Clayton M. Christensen
118390,C. f. Christiansen
119861,Claramunt Christophe
120695,C. Chessell
121088,Craig Carthel
121383,Claudio Castelpietra
130778,Christopher S. Cobbett
131287,C. D. CLARKE
132865,Chi Kin Chau
133853,C. Costa
134615,C. Carroll
134995,Chun Keung Chau
135291,Cheng Chieh Chang
135858,Chok kwan Cheung
138294,Creissac Campos
139628,C. h. Chang
140808,Christof Paar Chai
140996,Christopher E. Clayton
142499,Cheong H. Choi
153860,C. Carter
156486,CULLEN BARNETT COT
157243,C. K. Cowan
159014,Clackamas Counties
159910,Cost based Decision Criteria
163093,Consuelo Carrillo
165189,Christophe Crespelle
166217,Carmen C. Canavier
167074,Chih Wei Chen
167921,Carlos A. Coello Coello
169601,Christopher Stapleton Charles
175562,Claude Cr¨|peau
178368,Che Wun Chiou
180447,Chi Ming Che
181367,Cheng Lee Chao
184229,C. A. Celebuski
185241,Chi Chiu Chan
187303,Chun yen Chou
187314,C. E. Cohen
188536,C. Carter
188606,C. Chin
190976,COSTANTINO CIOFFI
191716,C. M. Creveling
193194,C. S. Comstock
195117,Chris Chatfield
200273,Cheng Rong Chung
205792,Charles Cleary
209105,CARLOS A. CABRELLI
209515,Carlos J. Garcia Cervera
209997,Compaq Computer Corporation
212834,Claude Cr'epeau
215000,Ching tai Chen
215425,Chiao Chi V. Chen
215870,Cheng Che Chen
220749,C Clement
221444,Chi Kyu Choi
222556,Csse B Comp
223310,C. H. Chiu
224948,C. Chiang
225408,Curtis G. Callan
226020,Claude Chaudet
228143,Composition Of Combinatory
232967,Christa H. Chatfield
235373,C. s. Cheng
