659,Douglas E. Comer
1832,Dah Ming Chiu
2953,David Card
8495,David Carrera
9469,D. Cotter
9638,David P. Chernin
10899,Dante R. Chialvo
12178,Dong Young Chang
12388,D. Copeland
13148,Darol Chamberlain
14512,D. C. Collins
17018,Diego Cazorla
18414,Darrell L. Caldwell
19797,David Cyganski
21435,Daniel Cernea
27574,David Choy
28225,D. A. Christopherson
30152,David Campbell
30945,D. C. Cohen
32111,Dennis Bechtel Coordinator
34494,Dylan F. Cooke
35461,David Cossey
38014,Dah Chung Chang
38718,D Wayne Cooke
39140,Donald Cropper
40018,Donatella Castelli
40706,David Carmel
41402,Djalel Chefrour
41702,D. Cronquist
45144,D. Chatterjee
45176,Daniel T. Chang
53014,Definable Classe
55746,D. J. A. Cockerill
58896,David P. Coady
59962,Dah ming Chiu
62771,D. A. Cruse
62955,D. n. Chen
65240,Diego Cordoba
66161,David C. Carver
66273,David N. Collins
72416,David Cavallo
73885,D. Chalvet
77937,Desktop Workstation Clusters
83606,D. J. Cziczo
89601,Donna L. Carden
94837,David G. Chapple
95633,David A. Cameron
96368,David Clifton
96381,DOMINIK CHMIELEWSKI
99694,D. Y. Chen
105259,D. Cooper
108540,D. A. Caron
110809,Donald A. Croll
112426,D. C. Cutts
114608,Doina Cioranescu
115006,D. Crow
115770,D. Kent Cullers
117716,Diego Contreras
121853,Don C. Chafin
122000,Daniela Caldararu
127623,Douglas M. Chabries
132538,David Coker
132782,Distributed Congestion Control
134403,David Chandler
135402,Daniel Chavarr
135726,Darwin Chang
136302,Donna Calhoun
136671,Dublin City
139089,Djalil Chafai
141636,D. Ciazynski
144730,Dwight E. Cass
146065,Daniel J. Crichton
146522,Dae hyung Cho
146526,Daniel De Oliveira Cunha
148165,Differential Cryptanalysis
149248,D. f. Clark
149598,DOUGLAS N. CLARK
151111,Daniel J. Challou
155598,D. Cerni
157257,Degui Chen
159043,Deborah A. Coughlin
160550,D. Sevi' C
161709,David J. Carmichael
162791,David T. Jacho Ch
163838,David Carrington
164195,Dalton C. Conley
164594,Danuta Ciesielska
165634,Digital Communication
165692,D. Human Beings Cockburn
172369,David Carmel
172910,Djalil Chafai
174105,Dinah F. B. Cohen
185620,David Casasent
186517,DANIEL K. CHA
188171,Determined From Eddy Co
188210,Dong Chen
190629,David A. Caughey
191873,David J. Chalmers
192046,Daniel U. Christinaz
192265,D. C. Cheng
192350,Daniel C. Cole
196368,David G. Clayton
200111,Doe Man Chung
202867,David Cristinacce
205865,D. Chin
206233,Digital Equiment Corporation
207873,Deborah G. Coleman
208004,D. Calabrese
208293,De Computadors
209550,David A. Crawford
218651,Deborah S. Carstens
220827,Dafs Collaborative
221386,Dave Crosby
222068,D. a. Conner
225528,Dave Cavalcanti
225658,D. Calvo
228695,Daniel P. Carpenter
230420,Degang J. Chen
231299,Domenico Cotroneo
236972,Denton Clutterbuck
237419,D. Cermignani
240201,David P. Capel
240478,Daniel Cobb
241321,Dawn Cizmar
244703,D. A. Collier
244900,D. J. Codespoti
245715,Dubravko Ivan Si' C
246347,Due To Construction
248715,David W. Cooper
254686,D. Cuff
255413,D. G. Crighton
261983,Dorothea Heiss czedik
273023,D. Christopher
273092,D. Collazuol
273941,De Clercq
274441,Desmond Chambers
274586,Dates Covered
274980,D. Clawin
277071,D. C Casterline
278842,David A. Carrino
279043,David H. Chien
280296,Dongyan Chen
281493,D. Chiu
281688,D. p. Connelly
284990,David S. Chapman
285779,Dae Il Choi
285888,Daniele D. Caviglia
288154,Distributed Robotic Control
289509,D. m. Craig
292033,Dipanwita Roy Chowdhury
293949,Drue Coles
294104,Donald Cohen
294267,Dong Shang Chang
295059,D. A. Camplin
295433,DOMINIQUE CLOETTA
298947,David C. Coll
299508,D. W. Curtis
303365,D. Cunningham
305155,David J. Campbell
305353,Digital RF Communications
311518,David B. Cooper
313367,Dianne Cyr
314290,D. Clemens
315304,David P. Christy
317054,D. T. Cambell
317651,Davor Cindric
318826,Donald A. Crosby
319881,Dietrich Chen
322033,D. J. Cebula
323641,David T. Cowan
325701,David R. Cressman
327581,David Johan Christensen
329759,David Campbell
330946,David Carlile
331278,Dragos Cvetkovic
334627,Daniel P. Carpenter
335262,Damir Cavar
335631,David J. Crandall
336506,D. J. Convery
343044,D. s. Chhabra
344854,Donald S. Clemm
346156,Davide Carboni
346503,D. Cheskis
346699,D. Collie
348569,D. Curtice
355221,Daniel J. Cox
361444,D. Corina
361799,David B. Considine
