3913,Hansu Cho
5394,Harlan Carvey
6699,Hong Hili Chen
8012,Hsiao te Chang
16058,H. Chen
33888,Hsien tai Chiu
34355,High Performance Computing
47700,Huo yan Chen
51037,Hongzhang Chen
55535,H. M. Collins
65805,Hybrid Bist Cost
66963,H. B. Crawley
69683,Ho Ting Cheng
73085,Hong Chang
74212,H. Coitout
75124,Hsuan Chi Chen
79501,Heng Ju Chen
79510,Henrique Lopes Cardoso
82917,Hillary Rodham Clinton
87909,Hamish Cunningham
104392,H. CARRU
118075,Hung Ming Chen
119695,H. Corporaal
120955,Helen S Cameron
125145,Helen T. Conover
128508,Howard Curtis
131031,Hsien Chie Cheng
136744,Hiroaki Chida
140689,Hors Du Contexte
141432,Hou Pu Chou
146579,Hong Y. Choi
149308,HENRIQUE DE BRITO CRUZ
150502,Hosung Choo
154164,Henry W. H. Cheung
154899,Harvey E. Cline
165768,H. G. Francois Saint Cyr
168205,Haken Characterisatio
169386,Hector Zenil Chavez
170346,Henry Cowan
172091,Honggang Cui
174766,Hamilton Y. Chong
177051,Henry Cejtin
178819,How Language independent Can
181727,Hai Chang Chien
183993,He shin Cho
184342,Hongyang Chao
185006,Hoi Fung Chau
187031,Hugh Costello
187548,Hayden John Callow
187664,Hong Yeung Chang
191607,Howard Jay Chizeck
194648,Harry H. Cheng
194807,Horng Ming Chang
195528,H. m. h. Chong
203706,Hsiang Chin Chen
204177,Hsing Hung Chen
204409,Hsueh cheng Chou
210845,Hung yang Chang
213105,H. B. Christensen
213845,Helen Jane Chatterjee
220681,Henry N. Christiansen
224494,Hugh A. Calvin
224626,Harold L. Cole
229863,H. Christiaans
238524,Hillel J. Chiel
239756,Howard Jay Chizeck
242225,Ho jin Choi
254998,H. W. Carlson
255723,Hyoung Chul Choi
256765,H. R. Chappel
266525,Harry Contopanagos
277108,H. Benoit cattin
284062,Helmuth Cremer
298451,Hong Yuan Chang
305715,H. D. Cubley
309607,H. s Cho
310106,H. Clarke
313158,HEGAO CAI
313354,Hai ying Cheng
315134,Honggang Cui
316493,Haiyan Cai
318643,H. k. Chiu
323277,Harold E. Castro
327228,H. Cualing
327958,Hsiao feng Steven Chen
335033,H. Cyr
335338,Helmut Grauer Carstensen
337433,Herman Casier
339643,Hasok Chang
341223,Haskell B. Curry
342101,Hakima Chaouchi
352329,H. T. Coffey
352363,Hsien kuang Chiou
353018,Hong Liang Cui
353781,Hongyang Chao
353817,Harris L. Cohen
357183,H. c. Choe
360192,Hsi Tseng Chou
361108,Horace Wai kit Chan
362262,Herve Cardot
363230,Ho Y. Chan
365405,Hyoung Jin Cho
376395,Haenrgae Cho
377802,Hou Qun Chen
393805,Hsinchun Chen
398262,H. n. Cardinal
398282,HOUSSEM EDDINE CHEBBI
401746,Hee Jung Chung
405727,H. M. Cho
409942,Hyoung Sik Chun
424006,Hsie Chia Chang
433590,H. David Chapman
439548,Huaming Chen
456934,Hong Liang Cui
458059,Hayley M. D. Cleary
464179,Harold Somers Centre
465754,Harris L. Cohen
469125,Harold W. Cain
473034,Hsi Tien Chang
474591,Hsi Tseng Chou
478570,H. J. Curnow
481730,Hao Chen
491050,H. Russell Cross
491398,H. Chui
500744,H. z Chen
501922,Humberto Carrillo Calvet
502074,Hung Lung Chao
