1166,J. Casey
1753,Jm. Couturier
2558,Jaime Cerda
2948,Janet Carter
7629,JOZEF COMPEERS
7985,John J. Carroll
9646,John V. Campo
13348,Jueping Cai
17316,Jose Creissac
20102,Jon B. Cherrie
22043,John Cappelen
25645,J. A. Campbell
26897,Jun rim Choi
27796,Jennifer Chayes
31922,J. A. Cumnock
32929,Jorg Cassens
33160,Jerry Cooper
33905,Julian Conesa
35317,Jean Clairambault
35337,J. p. Costa
35540,J. J. M. Cuppen
36062,John Horton Conway
36101,Joseph M. Czerniecki
36435,J. I. Capetankis
38563,Jacek Chmielewski
38936,Joan Climent
39373,Jorge Campos
40295,John Wha Chong
40552,John Cowles
41190,J. P Chavas
42490,James R. Cordy
42499,Jacek Czerwonka
43963,J. Certenais
46653,J. V. Camlet
47461,J. s. h. Curnsw
48770,J. W. Caruther
49919,Joshua Correll
50279,J. F. Cannon
51588,James A. Callow
53399,Jorge R. Costa
53963,June Rong Chen
54561,Jean luc Cochard
55399,Jaihyung Cho
55401,John F. Chionglo
57080,John Culhane
57646,Javier Caminero
57710,Josel To Chua
62197,Jui Yin Cheng
62349,J. Carri`ere
63644,J. Coplien
68572,Jake Cockrell
71385,Jack Capon
71934,J. v. Conte
71991,Jaelson Castro
72290,J OHN CROSBIE
72322,Jae young Choi
73511,Jose Cuen
74348,Jianmin Cen
79026,Jie Chen
79609,Jos Antonio Cascales
80020,Julie Chabalier
80339,Jae Gwan Chung
82046,Joan Josep Climent
85800,James R. Chelikowsky
86207,J. D. Campbell
86333,J. j. Campbell
86523,Jennifer Chayes
87670,J. G. Childers
88638,J. Cuthbert
89979,J. A. Coughlan
90092,Jamie Callan
92221,James C. Corbett
95289,J. D. Coker
95628,J. R. Cordy
97444,J. C. Collins
97986,John Cassinelli
98959,J. R. Crouch
100717,Jared L. Cartwright
101087,Jennifer Sinclair Curtis
101652,Jone F. Chen
102059,Jan Curley
105539,J. P. Changeux
105690,Jongho Choy
107991,J. C. Clarke
110832,J. y. Choe
111746,John J. Cherry
113519,James Cai
113976,Johannes H. Cloete
115856,Jj Cimino
119120,Juei Chang
