2414,Martin J. Creaner
8282,Matteo Cavaliere
10967,Matthew I. Campbell
11878,Mykoniatis G Covaci
12263,Michael H. Chu
14365,M. J. Cortese
20619,M. Cherian
20623,Min Kyu Cho
23597,Maria Monica Careaga
24294,Michael H. Coffin
26281,Michael S. Chanowitz
29011,Michael H. Crespin
34618,Mathieu Ciet
34681,Michael J. Carter
34871,M. de Prado Cumplido
39778,Murray S. Campbell
43308,Michael Cohen
48840,Mountain Climbing
50336,Mary G. Chapman
52160,M. Van Cleemput
52206,MONIQUE CHAGNON
54904,M. Copeland
56582,Mark J. Charney
58109,M. N. Cinti
60634,Marie Claude Claudel
65101,M. y. Chen
66025,Martine Collard
66259,MICHAEL J. CULLIP
67176,MARTA G. CABRERA
69972,M. Carioli
71904,M. C. Campbell
72246,Marelis Cardenas
79121,M. Connick
79517,Mary Czerwinski
81695,Marcia Irene F. Canto
83294,Michael J. Cree
83443,Maureen L. Cropper
89594,Mary A. Court
89687,Mee mann Chang
89750,Mihai Caprini
92870,M. A. Casemore
98271,Marco Colombini
98568,Manuel Casteleiro
102046,Matias Courdurier
102184,M. Chandhok
103002,Maurice CHARLET
103501,Metaclass Compatibility
104561,Menzie D. Chinn
104636,Marco La Cascia
105384,Martin Charlton
105517,M. Cox
106417,Michael Connolly
111549,Mark Chu carroll
112214,Markus Carlbark
112373,Madhusudhanan Chandrasekaran
113071,Mee mann Chang
114475,M. R. Cimberle
114689,Marc P. Chistensen
118042,Manuel Cebrian
119730,Michael G. CRANDALL
124986,Michael Chase
127110,M. Chester
128152,Michael F. Czajkowski
128521,Michele Colajanni
133637,M. V. Chizhov
136346,Marc Chesney
136553,Michael L. Calkins
138248,M. Cart
139755,Michael F. Clamp
139894,Mario F. Campuzano
142348,M. Cassia
143405,M. J. Cooper
146658,Miriam Buendia Castro
147084,M. Angeles Vazquez Castro
147477,Mauro Caporuscio
148725,Maria Laura Cobo
150255,Maria Angeles Vazquez Castro
151833,Martha A. Centeno
152992,M. Crisafulli
155334,M. Corlier
156196,Mark Caddick
158067,Marc Christopher
161158,Michael Clemens
161810,Mark F. Cherbaka
162177,Maurizio Caneve
162222,Michael Chen
163844,M. Chermack
164509,Manuel I. Capel
173204,Maj Craig
173996,Meng Chang Chen
174475,M. j. Colella
174630,Michael C. Y. Chan
177168,Meggan E. Craft
180415,Modesto Castrillon
181892,Marco Carbone
182012,Mike Clarke
182262,Michael W. Cammarano
184057,M. Cosimi
184604,Myung ryul Choi
186422,Michal Sev Cenko
186468,M. J. Cody
187300,Min cheng Chang
188114,Miguel Tavares Coimbra
189478,M. Currie
191420,Marco C. Campi
191856,Michael Chelle
192379,Michael J. Connelly
194027,Matthew J. Collins
195370,Mohammed Charif chefchaouni
197898,M. k. Campbell
198894,M. A. Callanan
201754,Mark Claypool
206502,M. Cozzini
208322,Mango Chia Tso Chao
208856,Martin J. Cohn
209312,M. P. Canton
210638,M. Caner
211162,Multiple Classifiers Carlos
212601,M. Crawford
212650,Manjula Canagaratna
212795,Magdalene H. Chalikia
217390,M. Chou
222472,Miro Casanova
222986,MICHAEL COLE
226185,M. c Cheng
226760,M. Cornalba
227304,Marco de Curtis
228246,Meelan Choudhari
228669,Mission Controller
230105,Mei yu Cheng
233851,Mph Philip Crewson
234028,M. Courant
238349,M. Baldo Ceolin
239050,Mike Calcagno
245282,Marcio Bastos Castro
246059,Martine Ceberio
246306,M. Cheung
247259,Mark A. Croom
247705,Mahmoud Chilali
249625,Margaret J. Corasick
252385,Menzie David Chinn
255234,Model Checking
257345,M. Ceballos
260299,Morten H. Christiansen
262016,Ming Feng Chang
263376,Michael M. Curtiss
263540,Matthew M. Clothier
266141,Markus Chmielus
267523,Misook Choi
272052,Mark D. Corner
273380,Ming Chung Chu
274426,Massachusetts Campus Compact
275597,Monique Combescot
278347,Michael Cantora
279352,Michael R. Casey
281195,Ming Sheng Chang
282912,Michel Courson
284867,Mario Cesarelli
285398,Maxim N. Chernodub
286199,M. Certier
286288,Michael Curtis
287878,Mark Chavira
289598,Maxine S. Cohen
293680,Man Duen Choi
296036,Mary P. Czerwinski
300081,Manuel Praena Crespo
300353,Malcolm Walter Corney
301174,Mara Feldgen Osvaldo Cla
301218,Michela Cioni
301461,Moe M. S. Cheung
302474,Mathematische Centrum
305564,M. j. Costello
305893,M. James C. Crabbe
306064,M. j. Maher Cit
307177,M. R. Chaplin
309190,Martine Carré
309508,M. A. Chapman
309613,Maria Calzarossa
312012,Myung Chull Choi
315968,Mariano Cadoni
320073,Martijn Warnier Computing
322337,Marvin J. Croy
323993,Myron N. Chang
325693,M. Chida
330989,M. J. Cempa
331090,M. Ohlsson Connect
331468,M. Cusack
332196,Mihaela R. Cistelecan
334464,Michael J. Cullinane
334507,Marialuisa Pellegrini calace
335704,M. Cressa
336848,Mark D. Callaghan
338548,M. Cazabat
339051,Manuel Costa
341332,Merriam Company
346619,MICHAEL B. COLLINS
348666,Michael Chan
349536,M. Cioffi
351201,Mary Czerwinski
357632,Minghua Chen
357694,M. C. Chung
357916,M. L. Chazen
358252,Marc Campayo
358286,Marvin B. Chasek
359954,Mary J. Cronin
360222,Michael Cooperman
360234,Michelle Carrillo
360534,Michele Camerota
360584,Michael Cramer
362553,Min Gyu Choi
362765,Manuel Cebrian
366449,Massimo Cafaro
367075,Michael A. Crew
367103,Marcello Cinque
367722,Miguel A. Villalona Calero
368918,Muddy Creek
369684,M. Cotterill
372001,Maurice G. Cox
372308,Myron N. Chang
376320,Mainichi Newspaper Co
383046,M. Chilbert
383726,Mohammed Razek Claude
386466,Matteo Carandini
386813,Martin D. Carroll
387953,M. E. Casey
389096,Menzie D. Chinn
396687,M. V. Chegotov
397333,Michael Clancy
397720,M. Charette
398846,Maurice Chu
403105,Map Consortium
404271,M. V. S. Chandrashekhar
404707,Matessa Matessa Cmu
412245,Mary Kathryn Cowles
415720,M. Dolores Collado
416587,Marco Cremonini
417029,Massimo Coppola
421062,Micheal J. Conneely
422326,Michael J. Churchill
423291,Mark X. Caddick
424019,Mount Carmel
425677,Mike Wu Chia
428476,Mirna Carelli
433288,Min Cao
434582,MARTIN J. COLE
436460,M. Chertkov
440685,Manuel Cebrianand
440872,Morten V. Christiansen
441859,M. T. Carvalho
444944,Michele Ceccarelli
445563,M. G. Corti
446332,M. Chastain
446445,Michael Coyne
447341,Marie L. Clapp
448239,M. CHOULLI
449096,M. Coatney
449335,Mike Colechin
449385,Monica Gabriela Cojocaru
449878,MARY CROARKEN
452096,Marion Cohen
452420,Meena Chavan
453790,Marne C. Cario
454402,Mitsubishi Electric Co
455929,Matthias Christandl
457846,M. Candiotti
461637,Manuel M. T. Chakravarty
460042,Massimiliano Ciaramita
460815,Miklos Csuros
461934,Methacrylate Part Copolymers
463085,M. p. Clark
463876,M. G. Carasso
465494,M. Crespo
467529,Mary Beth Chrissis
472321,Min Liang Chen
472369,Melissa Boom Coburn
473337,Matrix Computations
473382,Miroslav Chleb¨ak
473594,MEUTER Cedric
474362,Maurizio Codispoti
474812,Michael J. Cafarella
475259,Mei Fang Chang
477169,Michael Clarke
477730,Milvio Capovani
478314,Milton Chen
482928,Marcelo Lpez Cecilia
485575,Mozart Consortium
486661,Marco M. Carvalho
487930,Matthew J. Craven
491829,MATTHEW CARLYLE
492980,Maurice J. Chacron
494538,Mark Crowley
495977,Mark A. Cohen
497110,Michel Alexandre Cardin
498047,Marie Paule Cani
499740,Max Chickering
500482,Marianna Csörnyei
501112,Michael Chladil
501284,Macroeconomic Crises
502522,Matteo Carandini
503239,Maurice Chu
505911,Massimiliano Conte
506415,M. e. Chin
513927,Mario L. Cortes
514328,Mandar M. Chincholkar
515253,Matthieu Crozet
516162,M. Chandorkar
516374,Mascots Montreal Canada
516895,M. S. Carroll
517808,M. Cvijetic
520710,Mark M. Chang
523635,Maria Conceicao Oliveira Costa
524254,Michael G. Crandall
524421,Mitchell A. Cohen
527064,Matt Cheselka
527568,Munmun De Choudhury
530120,MARCO C. CAMPIt
530445,Michel Deza Cnrs
533360,Michael Crawford
533456,Ming Chou Chiang
539321,M. Chalfie
539401,Mo Chen
540614,Maria Alberich carrami?nana
540825,Michele Carpita
542689,Marcos A. Castilho
543696,Maria Canelli
543963,Mourad Cherfaoui
546382,Mario Cannataro
546842,Michele Cirinei
547517,M. C. Crabb
550096,Martha E. Crosby
552479,Martin Capek
553163,Misung Cho
553274,M. Cieslak
554973,Maria Jesus Ledesma Carbayo
555009,Mario R. Capecchi
555322,Mahil Carr
557331,Mirjam Cvetiyc
560826,Magnus Christerson
561150,Monica S. Cardenas Claros
562157,Mariana T. Carvalho
563154,Marc Chamberland
564045,Murray K. Clayton
565749,Mango Chia tso Chao
570143,Michael Monkang Chu
571780,Marco Caldari
574211,Matthieu Crozet
575054,M. Chakos
575870,Marco Casaioli
575890,M. B. Cortie
576021,M. Sandra Carberry
578011,Marcel Castro
578338,Mike J. Chantler
579268,Mary Cryan
580617,Manuel Maria Villapecellin Cid
582514,Mark Cropley
583638,Murat Citir
584134,Mark E. Campbell
584385,Matthias Curow
585513,Michael S. Chapman
587574,M. Chagoyen
588489,Mary Cameron
593118,M. Carlisle
595663,Mukesh Chawla
595666,Moreno Sanchez Capuchino
597671,Marina E. Chicurel
602185,M. E. Cates
602534,Metin Cakanyildirim
608304,Maribel Castillo
608647,Michael Chui
608855,Maurizio Cecconi
610767,Michael E. Cusick
612962,Maurice M. Carey
613991,M. Cimino
616262,Mary Croarken
624117,Minh Duc Cao
625295,M. f. De Carvalho
627166,M. Chakraborty
627540,Maria R. Cravo
629594,Michael N. Condict
629894,M. Cotton
632016,M. Crampin
634271,Mariana Haragus courcelle
637312,Miguel Caldas
637453,Matteo Ceriotti
641979,M. Cernak
642655,M. J. Conroy
643482,Marko Van Eekelen Computing
648861,Molly E. Cummings
648973,M. Croft
651576,Monica Isabel Teixeira Costa
651796,Martin Crossley
652865,Martin G. Curley
653586,Marc Chatel
653649,Mila E. Majster cederbaum
654277,Marco Colombini
654675,Min hee Cho
655147,M. R. Chi
656988,Martin D. Cassell
657787,M. K. Cleaveland
658011,Manuel Perez coutino
659476,Mi jung Choi
660146,Marcos De Moura Campos
660152,M. Valeria de Castro
661076,Ming Kai Chang
661845,M. Cresswell
662854,Michael Chau
663091,Michel Couprie
664990,Michel Courtoy
667882,M. Cowperthwaite
668964,McGraw Hill Crouhy
669614,Margaret Barry Cozzens
672007,Michael N. Cornforth
676787,Mirjam Cvetiycand
678994,Myron N. Chang
680420,MATTHEW MARTIN CRUM
681774,Mirjam Cvetiyc
687091,Mark Chao
689679,Marco Corbatto
689761,Matthew C. Chidester
690954,Mihaly Csikszentmihalyi
693291,M. Ciuc
695853,Mauricio Cataldo
696341,Marcela Carena
698044,Meng Cai
700589,Martin Coors
700805,Marco Ceccarelli
701174,Monojit Choudhury
701409,Mauro A. Corticelli
702730,Mc Carthy
704590,M. Coulson
706058,Marc A. Coram
707518,Michael A. Celia
714280,Michael Caplow
715778,Main Contributions
717328,Massachusetts Cambridge
717835,Mpi io Committee
718194,Martin Chapman
721319,M. Cs¨org¨o
722080,Meghan Cook
722268,M. R. Capecchi
722379,Maria Cristina Felippetto De Castro
724245,Marco Cadoli
728591,M. S. Campos
729749,Mike Carey
731005,Michael L. Cook
731409,Miyi J. Chung
732813,Masamichi CHINO
735052,M. Caccioppoli
736655,M. J. Cunningham
737584,Melvyn G. Coles
740913,Ming Jeh Chen
744097,Minhuan Huang Chunlei
744322,Michael E. Conroy
747484,Maja Cemazar
748655,M. J. Clarkson
749859,Massimo Caccia
750473,Manuel A. Castro
750928,Meghan F. Cronin
751323,Michela Catenacci
752915,Mahendra V. Chilukuri
754479,Michael D. Cohen
754558,Mike Carlson
760247,M. Cross
762684,Michal P. Chytil
763120,M. Chetwynd
763759,Melanie H. Cobb
765155,M. Cosan
766042,M. Coeck
768975,Mousumi Chatterjee
771109,Mouse Natural Killer Cells
773176,Michael A. Cross
778354,Michael T. Collins
778748,M. Caeiro
779706,M. F. Collen
781146,Mohammed M. Chaudhury
781187,Mónica Henao Cálad
782888,M. Chambat
785866,Michael P. Carroll
786232,Manoel Conde
787784,Medical Insurance Coverage
788303,Model In Cmos
791199,Michael Carl
792328,M. R. Coutant
793114,Marek Capinski
794680,Martine Cador
799811,Michael Celia
800959,Mark A. Clements
802619,M. N. Cleroux
802641,Michael D. R. Croning
804120,Measuring Coupling
805158,Michael Cada
807288,M. G. Cottam
807546,MARY ANN CAOLO
807591,Michael Cohen
809038,Michael W. Cromar
810130,M. S. Carvalho
811806,Michael R. Collier
814039,Mark S. Chaffin
815063,Marcelo R. Campo
819662,M. Reha Civanlar
819686,Mats Carlin
821067,Mark M. Crain
822414,Mark Colvin
823297,Maureen Caudill
824413,Michael P. Card
827882,Mehmet Altnel Christof
828780,Min Young Cho
828948,M. Calleja
830677,Marie Cottrell
833375,Measures Of Complexity
833402,Margarida S. Cunha
834725,M. m. Cordero
835141,Marie christine Costa
836262,M. g. Canada
837989,Mark T. Carges
839449,Michael Crogan
843100,Maria Conceicao Oliveira Costa
844604,Marcelle Chabot
