435,Peter D. Chalk
10760,Petya K. Entcheva Campbell
12118,Paola Cappellaro
14315,P. Cotae
18361,Pedro Cuenca
20247,P. Chan
22589,Pietro Poggi Corradini
23454,Paul J. Christensen
27360,P. Canarelli
29851,Peter Corke
31113,P. Cast'eran
32850,Philip M. Carpenter
34114,P. Y. Chung
34321,Pedro Carreira
34405,Peter Clifford
36302,Pichet Chintrakulchai
39434,Phil Cupryk
40113,P. Colantonio
40778,Philip A. Cook
45539,Pavel Cizek
56127,Peter E. Czigler
56150,Po Hua Chen
56893,Programme Committee
62873,Peter Ying Kay Cheung
64337,Peter W. Cary
64996,P. Cahalan
65677,Paulemir G. Campos
66522,P. Cummiskey
72461,Penalized Validation Criterion
73158,P. C. Chandrasekharan
75833,Prof Carl
80453,Prasad Chakka
82753,Predrag R. Jelenkovi C
84725,Piotr Ciskowski
87081,P. Cheridito
92407,Particle Reinforced Composites
93601,Pierre Chavel
95118,Peter Carruthers
99321,Paul G. Comba
100691,Paolo Coletta
101420,Peter B. Catrysse
106456,Pt Costa
112607,P. Calhoun
120446,Peter Cotton
121212,P. Connors
121805,Patrick Chipman
122955,P. S Cheung
123433,Peter Chen
132873,Philip N. Cohen
134523,Physically Plausible Contact
142560,P. C. Candy
142829,Paola Caracciolo
143516,P. h. Callahan
145942,P. M. Chen
150396,Piergiorgio Casavecchia
158691,Patrick P. Cai
160522,Pastor Eric Clarke
160787,Paul H. Chen
163968,Paolo Ciccaresea
167130,Peter G. Challenor
169020,Philip Collier
182547,Peter Coppolillo
186057,P. J. Cooper
190229,Pai H. Chou
200969,P. Courtney
203924,Paul H. Cheney
204585,Paul Carlson
205004,Po Cheng Chen
207787,P. H. K. Chang
209375,Philippe Chevalley
210791,Peter Cartwright
212512,Patricia Carloni
215141,Proceedings Cultural
221267,Poh Lian Choong
223303,Praveen C Cfd
230198,P. T. Chang
230253,Pascal Correc
236013,Parametric Curves
237464,P. Charlesworth
240514,Patricia A. Carapellucci
241168,Patrick Closhen
242649,P. l. Colema
242986,P. Cummings
247405,P. CHEVRIER
255225,Peter K. Campbell
257159,Paolo Comelli
260924,Philip Wai Yan Chiu
261140,P. G. M. Centen
262215,Paul H. Chappell
263034,Parag Chaudhuri
263891,P. Ca
265162,P. Charters
271454,Patrick J. Caudill
271491,P Cunningham
272716,Phil Culverhouse
280037,Pierre Carles
286267,Pei Fen Chang
286341,P. w. Chiang
287608,Peter Crawford
290547,P. Constantinou
304468,Paul Coteus
319595,Pierre yves Cunin
319990,Philippa Collins
321475,Parimal Pal Chaudhury
321988,Paola Campadelli
322087,Patrick J. Conway
325281,Philippe Chatalic
334040,Password Cambridge
338013,P. Cardon
338730,Planning Committee
341811,Patricia Elizabeth Cladis
343787,Patrick Y. K. Chau
348247,Philip Craiger
352208,Patrick J. Callahan
355193,Partha Pratim Chakrabarti
358196,P. Chomczynski
361495,P. R. Chidambaram
366004,Plant Growth Conditions
376042,Paul S. Chang
379290,Patti Cybinski
382129,Paola Cappellaro
389994,P. Caprara
397817,Phillip J. Chase
400126,P. Cikmacs
400515,Part A Inco copernicus
404400,P. Canepa
407303,PATRICK CASSEN
417792,Philippe Chassaing
418244,Patrick Cavanagh
422000,Pierre Chapelle
428576,Peter E. Cottrell
431140,Paul R. Carney
439296,P. Comley
448460,Paul M. Chau
449658,Philip Coffino
449804,Parasoft Corporation
451257,Patrali Chatterjee
456028,Petrik Clarberg
456476,Paul B. Callahan
460479,P. Cristea
461991,Paolo Ciancarini
462310,Procedure Context
463126,Philip R. Cohen
464965,Philip Cunningham
465728,Patrick P. Chavez
465947,Patricio Cordero
466876,P. Cinqui
472665,Pak Wai Chan
473801,P. A. Cunningham
479525,P. P. Chert
482444,P. Coghill
482620,Philip L. Campbell
486910,Peter Chodyra
486999,Pedro Cano
489368,P. N. Caponio
492581,Ph. Chretienne
493248,Paolo Ciccarese
496334,Pat Champlin
498716,Pier Vittorio Ceccherini
500929,P. C. Crane
501642,Pierpaolo Ciullo
506827,Paul alexandru Chirita
507431,P. k. Chan
507915,Pc Carp
508353,P. Costa
511504,Piero Ciotti
512114,Peter Clote
515113,Patrick Charlot
520216,Paul O. Collinson
525471,Petr Carsky
525974,Paolo Colamussi
527675,Paul B. Cragg
533592,Paolo Ciccarese
536784,P. Coueignoux
538101,Pern Hui Chia
540503,Peter Y. k. Cheung
541443,P. Cao
546014,Philip Ilho Choi
547667,Pedro Calixto
551963,P. F. Crain
553540,Peter E. Chen
557206,P. s. m. Chin
559048,Pavel Tov Cek
565434,Peter J. C. Clarke
568279,Peter I. Corke
578171,Patrick Corsi
580844,Pang Shiu Chen
583338,Pasquale Carelli
583954,Peter Richard Colarco
584667,P. e. Crago
588900,P. l. Cross
593421,Peng Yan Chang
594214,P. Chitkara
596541,Pesus Chou
597404,Pin fan Chen
597522,Pierguido V. C. Caironi
597820,PATRICK S. G. CHAIN
601533,P. Cabena
604111,PATRICK J. CONWAY
604816,P. D. Cutler
607435,P. Cotsini
608595,P. W. Carpenter
611627,Pascal Cathier
613069,P. A. Cropper
614621,Paul G. Carey
617211,Paul C. Chestnut
621961,P. A. Caccetta
622362,Pi Ling Chang
622554,P. G. Cox
626491,Pierre Chandon
629690,Patrick Clarysse
635549,Process Control
635752,Philippe Caloud
639671,P. Chittenden
643911,P. Ambrocio Cruz
644764,P. Chioetto
646884,Paul M. Chen
649375,P. C. Chou
653416,P. Cavini
654505,P. Cariani
654553,P. M. Clancy
658021,Pedro P. Camanho
658841,Philippe Di Cristo
660121,Paul Cockshott
664441,P. P. Cuevas
667372,P. Calvini
669113,Pedro M. Crespo
676688,Program Comprehension
681549,P. Castelan
684467,Pablo Cancela
693986,P. Coeffet
695115,Patrick Carribault
695228,Paulo Centoducatte
695850,Paul F. Cliften
698697,Pamela C. Cosman
700584,Peter J Carlin
704248,Peter Cornelius
705712,Privacy Commissioner Of Canada
721067,P Castaldo
727754,P. F. Carcia
731277,Paul Clough
731309,Peter Caspers
734819,Peter Chamoni
735582,Peter J Carnevale
735618,P. Cerello
746217,Pairwise Clustering
759320,Parallel Network Computing
761289,P. C. Capon
762045,Personal Communication
765422,Peter F. Covell
767285,Pepijn R. s. Visser Zhan Cui
771350,Peter Chan
774659,P. Charransol
775411,Pierluigi Civera
776182,Paul I. Crumpton
778432,P. Curtis
787669,Philippe Cornu
792648,Per Ola Carlsson
799002,P. Checco
799939,Petr Carsky
812279,Patrick H. W. Chu
