3198,Sergio Ceresara
3513,Sameera K. Chilamakuri
3972,Shih Chieh Chang
10169,S. Anders Christensson
11560,Stefano Serra Capizzano
17412,Systems Yuk Chow
18613,Scott R. Cottier
18853,Stephen Cogdon
20312,Sreejit Chakravarty
20351,S. Childress
20724,Sunwoong Choi
20826,Soon Ae Chun
22660,Sueli I. Rodrigues Costa
22717,Sunyoung Choi
24624,Scott C. Chase
24698,Sim Horng Chen
24787,Shih fu Chang Columbia
24982,Stefano Covino
26164,Shigao Chen
26670,S. Cringean
27603,Siu Lai Chan
28041,Sun C. Chan
32710,S. Cavalla
35079,Sharon Calahan
36436,S. h. Chou
36805,Sailaja Chilaka
37051,Sheila W. Chauvin
38815,S. Craib
38834,Sylvain Conchon
39293,S. Cheinet
39446,Stefano Cacciaguerra
43066,S. Carion
43596,S. Colcher
43715,Shou C. Chen
45571,Sean Curtis
47508,S. Crosara
54560,Symmetric Error Compensation
55947,Soraya de Chadarevian
59764,Shyama Prosad Chowdhury
60509,Scott A. Canann
61160,Sheau Wei Chau
65294,Sheng Hsiung Chen
68699,Sorin Costiner
70641,Sungrae Chot
72221,Stephen Cassidy
73842,Simon J. Cox
74286,Shuying Cao
77144,S. Crocker
82470,Stephen L. Campbell
82666,Stephen J. Ceci
84365,S. L. Cross
86300,Sergio Carrato
86566,Samit Ray Chaudhuri
87579,S. Chan
92232,Shou Yi Chen
93973,Simonetta Fickel Carlos
96369,SF Cappa
98534,Shaun Cole
98817,S. d. Chu
100256,Susan E. Carlson
100277,Sukhee Cho
104152,S. CALIMSIZ
104468,Speller Paradigm Caterina
104769,Shannon Ce
108478,S. A. CHANGNON
109614,Siu Yuen Chan
111353,Saul Morris Calogero
113059,S. Chaiken
113546,Some Characteristic
113857,Stéphane Cotin
121977,Silvia Cereghini
124927,S. N. Choudhary
127269,Simon M. Catterall
128062,Sergio Cerutti
132536,Sesh Commuri
133679,Stessa Cohen
134085,Su Chang Chen
135473,Standard Performance Council
137007,Sebastian Yuri Cavalcanti Catunda
137867,Savvas A. Chatzichristofis
139211,Stephen Chenney
141011,Sung Nee George Chu
143489,S. J. Coleman
148222,Samuel J. Clark
149296,Shanton Chang
149532,Su Shing Chen
150486,S. Carey
152667,Sergio Callegari
153124,Steven M. Cochoff
153679,Stephane Corlosquet
155686,Sangwon Chae
156668,S. Courtine
157492,S. Eiani cherif
157648,Simon Chesterman
159010,Shuo Cheng
160126,Sonia Sanchez Cuadrado
161505,Sudarshan S. Chawathe
163710,Swarn Chatterjee
163996,Sean W. J. Colgan
165146,Sarah L. Cant
166627,S. Catreux
168964,Sean Cunningham
172081,Sebastian Yuri Cavalcanti Catunda
172842,Service Interfaces Et Capteurs
172938,Steven Cohen
174174,Sun Yi chun
174983,Scott D. Cooper
175070,Shankar Chatterjee
175721,Shiu Sheng Chen
177008,Sergey Chernov
178058,S. H. Choi
179182,S. Jeromy Carriere
180723,Shuk Fong Chan
180989,Stephen M. Chu
182302,Sandrine Chirokoff
182663,Susan Coleman
183198,Speed Links Cristian
184492,Sid Chaudhuri
187844,Steve Coate
188688,Steven M. Christey
192221,Siu Lung Chan
193263,Shiming Chen
195396,Squid Internet Object Cache
196180,Shaoyun Chen
198604,Santiago Cogollos
199010,Silvano Cincotti
201616,Sybase Corporation
203397,Series Data File Converter
205773,Sailesh Chutani
206272,Sih Li Chen
207157,So You're Goin' To College
207308,Sumi Y. Choi
207572,S. k. Chakravarthy
207715,Sungrae Cho
210445,S. y. m Choi
212597,S. Coopersmith
214781,Stephane Calderoni
219867,Sorin Cotofana
220407,Seong Gon Choi
220521,S. Water Supply Cairncross
221928,Steve J. Culley
226624,Stephen M. Carr
227976,SCOTT D. COUTTS
228047,Salem Chakhar
229459,Streamit Language Speci Cation
230702,Shehzad Ashraf Ch
231386,Salvatore A. Chiaramida
231418,SS Choi
232241,Sang Wook Chung
234986,Stephen Coate
235189,S. Campbell
238773,Stefania Castellani
238790,Sudhir K. Chawla
247732,Santanu Chattopadhyay
252020,Shinji Chiba
256297,Steven Carroll
256789,Shaogang Chen
258587,Soren Skovgaard Christensen
259489,Sallie W. Penny Chisholm
260867,Sanjay Chandrasekharan
261026,S. Croxall
261489,S. t. h. Chan
261522,Sebastien Chauvin
261663,S. Charcranoon
262820,Seok Rim Choi
265615,Saverio Caminiti
268157,Sirnon Crosby
270177,S. Chitti
273962,Sabrina Gomez Canovas
274564,Sydney Cash
276324,Stephane Carion
276479,S. B. Coons
285823,Sherry G. Clendenon
286932,Sekken Kenny Chong
287403,Sophie Chabridon
288288,Siva Prasadarao Challa
289882,Sarah Cahill
296659,Sergio Canazza
304430,Suprieure Cachan
304555,Shih Mei Cheng
306206,Sundar A. Christopher
312171,S. Chatty
314426,Seung Hwa Chung
314996,Shao yi Chien
315294,Scipio Cuccagna
315447,Stuart Chalmers
318757,Sam Corbett
319426,Soraya de Chadarevian
320414,Stanley P. Covington
321166,S. Cordes
324483,Shi Chung Chang
324651,Seung Min Chung
325854,Shenquan Liu Ca
329349,Sung yul Choi
330636,Sriram Chellappan
330646,Swapnil R. Chhabra
330830,Sheng tzong Cheng
333433,S. Chapple
333563,Shiyi Chen
335792,S. N. Liu cordero
336265,S. A. Clark
341104,Se Hyung Cho
341594,Sorin Dan Cotofana
342523,Sonny Han Seng Chee
343029,SungWoo Chung
343617,S. Cambanis
344393,Steve Cunningham
344557,Su Shing Chen
348319,Shyand Chang
349276,Suna Cetin
349339,Sara Capecchi
352225,Soo Yeoul Choi
353741,Shu Yin Chiang
353882,S. C. Chang
354900,Sebastian Clauss
359162,S. Chumbley
360188,Stacey S. Cherny
360193,Sylvaine Turck Chieze
360981,Stefan Carlsson
362634,Sparse Spike Coding
364857,Shimon Coen
