23093,Xiao Wei Chen
53571,Xiaohu Chen
61412,X. Y. Chao
84633,X. W. Cui
122406,XiaoChong Cao
148433,Xinjun Cui
179984,Xiangchuan Chen
204677,Xavier Chenut
205610,Xiaojiang S. Chen
206983,Xuelei Chen
302718,Xiao Dong Chen
352555,Xiang kun Chen
359649,Xiao Feng Chen
410162,Xingzhong Chen
415219,Xilinx Corp
450360,Xiangjing Chen
493478,X. Perez Costa
509059,Xml Query Use Cases
530405,X. Castiuo
539393,X. W. Cai
540257,Xilin Chen
554075,Xu Chen
577935,Xi Lin Chen
620799,Xilin Chen
657911,Xiao Ming Chen
752951,Xian Bing Cao
753718,Xudong Chen
755769,Xia Anni Cai
759265,Xiao Dong Cai
830117,Xiaoping Chen
837051,Xiao Min Chen
842977,Xueqi Cheng
867943,Xiaochun Cao
917597,Xavier Perez Costa
980826,Xiaoteng Chen
1001391,Xiaodong Cao
1017049,Xiao yan Chang
1023746,Xiao qiang Chen
1031965,Xiaoyu Chen
1035616,X. Chen
1063947,Xavier Correig
1087533,Xiang Chen
1112751,Xiang Rong Cai
1116500,Xinfa Chen
1127431,Xiaoshu Chen
1161291,Xiaoxin Chen
1251172,Xiaoou Chen
1265327,Xudong Chen
1289864,Xliv. Custer
1292959,Xavier Castillo
1304287,Xinfu Chen
1320594,Xiaodong Che
1322268,Xu Dong Cao
1394584,Xavier Chabot
1425343,Xinguang Chen
1463604,X. Chu
1532988,X. a. Cao
1598885,Xiaoou Chen
1660924,Xevi Cufi
1669047,X. P. Cheng
1714837,Xingming Chen
1734340,Xucai Chen
1758200,Xavier Cousin
1763494,Xiaopeng Chen
1787252,Xing Chen
1789586,Xiang Ming Chen
1834986,X. b. Chen
1842183,Xiaolei Chen
1855566,Xuekun Cheng
1871659,Xavier Perez Costa
1905723,Xuan Chen
1927617,Xiao Lin Chen
1952197,X. Charlot
1967491,Xiao Chen
2010317,Xue Qing Chen
2030200,Xerox Corp
2072298,Xiciowen Chu
2091329,Xianglei Chen
2128416,Xia Tao Chen
2129987,Xiangyu Cao
2161390,Xiaoling Chu
2168327,Xavier Cabr
2169060,Xunchang Chen
2169539,Xiao Chuan Cai
2202312,Xiaofeng Ren Charless
2205505,Xi Chen
2211460,Xue Jun Chen
2247850,X. H. Chen
2264383,Xiaojiang Chen
2285335,Xiaoyan Cheng
