514,A. Difebbraro
10575,Akim Demaille
15004,Angus. Deaton
21548,A Dale
27185,Adam Dzierzanowski
27611,Anastasios Doulamis
27877,Arthur F. Davidsen
33166,Arik Dasen
34620,Ajoy Kumar Datta
41312,A. Davies
44497,Alan V. Deardorff Deardorff
52677,Ahmet Emir Dirik
53335,Audun Jsang Distributed
55567,A. Drobik
57561,A. Drogoul
58430,Achiya Dax
60954,Arnd Van Dornik
63466,Avinash K. Dixit
63778,Anne Marie Duchemin
65963,A. V. Doroshin
68240,Arthur A. Drisko
69282,Arnaud Devred
74770,Amit V. Deokar
84370,A. DiGerlando
89194,A. Demura
89215,A. DeVolpi
89722,A. Dalmazzo
93872,Aubin Bernard Detar
95794,Alfred Demaris
97312,A. S. Druzhinin
100610,Alexander M. Dukhovny
103707,Axel Droge
104673,Aldo Delgado
104965,AVID JOSEPH M. DAVIE
110625,Andrew N. Drinnan
114136,Andreas von Deimling
115119,A. Darlinski
117573,A. Dahl
117952,ALICE E. DELIA
118221,A. Dooms
119910,Angelo Dalli
122627,Andreas W. M. Dress
122787,A. W. Divelbiss
129448,Alistair Dunn
132373,A. Dantcha
133851,A. Desolneux
134047,Alicia Diaz
137628,Amit A. Deshmukh
139796,A. Doi
142284,A. N. Deleniv
143058,Ai Rong Dou
144420,Adrien E. Desjardins
145260,A. Du
148550,Alejandro Andres Danylyszyn
154441,Auger Fluorescence Detector
160076,Atanasi Daradoumis
161017,Alain Daurat
166118,Alain Trouv Laboratoire De
166516,Aniruddha Dasgupta
170956,Akash Desphande
173980,Andrew Danner
179923,Aaron Douthat
180811,A. Daneshpooy
182776,Angela Davids
194288,Anita DeLongis
194542,Astrophysical Fluid Dynamics
200665,Alexis Drogoul
201119,Alexander W. W. Dent
202880,A. C. Demassi
202888,A. M. Donyagin
203163,A. Desouches
203211,Ayodeji O. Demuren
205263,Alice Diederich
206620,Andrew Archibald Department
212302,Alon Drory
214469,Alp Dincer
223170,Aalst. Wmp Van Der
226554,A. Dilmanian
235706,Andreas Diedrich
237912,A. D'aloisio
242973,A. N. Dovbnya
244296,Andrew Dillon
245354,Alice Ware Davidson
248763,A. Dorneich
249248,Anthony C. Danks
250231,Anton Deitmar
252833,A. Dahley
255841,Ashish. N. Dwivedi
267177,Adam Davey
274898,Anura H. deSilva
277956,Anthony Dunne
278331,A. Delgado
278837,Antonio DiTommaso
280835,A. H. G. Al dhaher
284013,Andreas W. M. Dress
295008,Adriana Dapena
295126,A Well defined
295152,Aude Dufresne
297875,Ann Chervenak drapeau
300696,Amie Dinkelacker
301951,Andrew J. Doig
305083,Alexander Aaron Deutsch
305983,Alain M. Dabas
327633,Allan Dobbins
328970,A. M. D?amico
329202,Ajay J. Daga
329985,Ahmet Selim Dalkılıc
331532,Anne Marie Duchemin
335296,Austin Donnelly
340690,Anne marie Jolly desodt
342840,Adam J. Dupuy
344135,Adrian Dobra
344192,Alexej Dmitriev
344523,Alan. Deardorff
346814,A. Dematteis
351325,Ant?nio Damásio
358116,Amitava Krishna Dutt
359321,A. Dima
360728,Alan R. Davidson
367013,Adjustment Tim Dwyer
367038,Avi Dechter
374289,Ali Hikmet Dogru
377319,Alexandre Dupuis
378910,Andrew P. Dickerson
379963,Afke Donker
381042,Alan R. Downing
382412,Automatic Dierentiation
386082,A. Dada
389605,Arthur Van Roermund Delft
391632,Anders M. Dale
394205,Anastasia A. Dobroskok
396834,Anthony V. Daza
404424,A. p. Desilva
405795,A. Dolinskii
406667,Amx Mod Developers
408051,Alan B. C. Dang
415073,A. C. Desages
419518,Alessandro Drago
422327,Alain Dutech
423347,ALESSANDRA DANE
429546,Andrew S. Douglas
430052,Amit V. Deokar
431197,Aniruddha S. Diwan
432838,Alan V. Deardorff
433773,Abraham J. Domb
438248,ANTHONY S. DAVID
441676,Aleksandar Dogandzic
452771,Adam Drewnowski
452777,Alan K. Dippel
457668,Anastasios D. Doulamis
458709,Andries van Dam
459108,Abdelali Ed dbali
464253,A. m. Dorofeev
464990,Antitza Dantcheva
465180,Ashish Doshi
469855,Aziz Bin Deraman
470339,Ahmet S Dogan
480552,Andrei G. Doroshkevich
483531,Angela B. Dalton
484485,Advanced Micro Devices
488273,Andrew Dillin
488602,Alvydas Dosinas
488984,Andrew Diekema
491527,Andreas W. M. Dress
491756,Andrew M. Dearden
493019,Armand Ten Dam
494410,Abbe Don
495676,Ayhan Demiriz
502314,Abhijit V. Deshmukh
502772,Angel D'ia
503739,André Deparade
514911,Adviser S. G. Djorgovski
515062,Anton Deitmar
516040,Alex Devkar
517509,Alan Dorin
524099,Andrew Dillin
524312,Antitza Dantcheva
529898,Anthony Lee Dewitt
530699,A. S. Detinko
531909,Alexander V. Degtyarev
532558,Andre Dietrich
536742,Andrew M. Drinnan
