508,B. Delabre
6124,Behavioral Vhdl Descriptions
12222,B. Desjardins
17824,Barbara Dziurla
26764,Bernhard Dieber
27311,B. Dessus
27736,Birsen Donmez
42639,Barbara G. Dodd
49119,B. Dasgupta
59029,Bernd Diekmann
67788,B. Dasarathy
68212,B. Ducros
78851,Bogdan P. Dobrin
80778,Berkhout Thorbecke Delft
83021,Bob Diertens
97545,Based On Dual
114695,Bob Duin
116116,Binh Dao
120358,Bradley N Davies
133648,Brian K. Dieckgraefe
137883,B. DelGuidice
138942,B. L Divlto
140642,Bradley Lucier Department
141077,Bilel Derbel
141852,Birsen Donmez
152540,B. Dauby
154101,B. Dodson
155943,B. T. David
158367,Belinda Dodson
163855,Benjamin Diament
169055,Bertrand T. David
169641,B. Dworniczak
172462,B. Dubuisson
178670,Brayima Dakyo
179738,Boyan E. Djakov
185261,Briony Doyle
186518,Beat Deuber
188350,Boudewijn F. Van Dongen
195765,Bryan N. Duncan
202610,B. C. DeLoach
203669,Brajesh Dubey
204220,B. Dakyo
208386,B. P. Dagarin
211292,Bart De Decker
214023,Bernard Dousset
215447,Benet Devereux
217720,Beryl W. Dominy
222451,B. Dimitrijevic
224830,B. Dworetzky
227082,Barbara A. Demczar
232841,Belur V. Dasarathy
259009,B. D?cker
262499,B. Dipert
262835,Brion K. Dolenko
264752,B. K. Das
264890,B. Doshi
266412,B. N. Das
273254,Bilel Derbel
276301,Benjamin Doerr
283498,Beamforming Desig
291571,Barry Dwolatzky
298763,Barry J. Davies
308951,Brigitte Lucquin Desreux
313938,Borka Jerman BlaZiC DZonova
316283,B. W. Dickinson
324074,B. Degroote
340653,B. Elan Dresher
345668,B Y INGRID DAUBECHIES
357636,Brett J. Doleman
358412,Brad Davis
365807,B. Magee Design
371187,Bruno Dutertre
374718,Beatice Desgranges
404921,Brandeis University Department
408304,Benjamin Doerr
419573,Beiqian Dai
427736,Bruno Desprs
433821,Brian D. Davison
435280,B. Doris
438147,Beverly Diamond
438723,Bruno Dumant
439035,Bernard dal'Zotto
455603,Beverly L. Davidson
464490,B. Down
466732,Bahar Dutt
488711,B. Y. Duan
497384,BUDIMIR S. DRAKULICH
500165,Benoit Desjardins
510715,Boualem Djezzar
515368,Bernd Drescher
521954,Ben Dunsbergen
522049,Bin bin Ding
526019,Barry Davids
532565,Bharat Doshi
535301,Bonnie Dorr Department
536309,B. DuWaldt
539675,B. T. Denvir
540137,Bruce S. Duncan
543911,By Lin Wan Ruth A. Daly
547812,B. R. Davis
551254,Becky L. Drees
578997,Bruce Doran
579767,Brad Damazo
585308,Brian Daun
588215,Betsy Draper
589420,Barbara Diekmann
590809,B. Duterage
596471,Boris Dewitte
602225,Bojan Dolsak
602691,Brian M. D'Onofrio
617576,B Jean Dolbeault
636080,B. Dickson
638307,B. Dandanell
646331,Bala Dhandapani
