724,Clarisse Dhaenens
11549,Catherine Dupont
15716,Champak Das
19627,C. Domene
20974,Charles Duan
27433,Clive L. Dym
27532,C. V. Deshpandey
27740,Christopher J. Dolan
31390,Cad Group Doc
34171,Catastrophic Failure Detection
45470,Christof Ducker
48997,Clyde C. DeLuca
60876,Chris Davies
66256,C. B. Darrow A. E. Dangor
67120,C. Da Cunha Duarte
68689,Craig Chambers. Towards Diesel
75750,Colin G. Drury
75985,Colin Van Dyke
82222,C. Dosch
82460,C. Dorny
95136,C. Davin
104857,Cedric Deffayetz
110676,CHIEN NGUYEN DUC
112964,C. Du
116573,Claude Duvallet
118194,C. C. Dunn
120465,Christian Denger
121709,Charles E. Dike
122353,Chris Duffy
126265,Christy Doran
133413,Campus Universitaire De
134706,Christian Derichs
137683,C. Decrouez
151792,C. Diot
160350,Center For International Data
168811,Charles Dugas
168939,C. Stuart Daw
172648,Christian Dustmann
173747,C. Davila
186073,Christoph Dosch
189013,Chabane Djeraba
190451,Conrac Division
194001,C. M. Dulya
198803,Claude W. Depamphilis
202764,Christopher R. Dance
204514,Chunlei Dong
212487,Cristian Domnisoru
219275,Caroline Dart
224389,C. Drane
229936,Charles L. Doose
239359,Carlo Dallavalle
242590,Context Of Digital
254603,Camille Diou
255493,C. Resource Development
269759,Chris P. Duif
270579,Christian Dustmann
275851,Craig T. van Degrift
278780,Cristian Dinescu
284338,Colin Dixon
297502,C. Dries
301545,Caroline Vaningen dunn
306548,Christian Dugast
311350,Ch. V. Deneka
312082,Carlos E. T. Dorea
314530,Chris Develder
315290,C. s. Dyson
316242,C. Dai
317146,Cnrs Universit'e De
319829,Corentin Durbach
320123,COSTAS DIAMANTOPOULOS
322923,C. Diot
324118,C. Retna Dhas
334802,Carey DP
339895,C. Durman
340740,Cheshkov Dsm Dapnia
354636,C. Anthony Dellafera
355696,Carsten Deibel
356622,Cyrille N. Dray
360118,C. Mark Denning
362797,Charles F. Dunkl
364838,Charles Driscoll
374476,C Demuynck
385827,C. Patrick Doncaster
399826,Cameron Ross Dunne
408174,Christos D. Dimitrakopoulos
413837,C. Dingman
414260,Claytus Davis
430720,Charvaka Duvvury
431872,Christian Dustmann
433834,C. I. Drowley
440291,Chantal Dupasquier
442783,Chad D. DeJong
450324,Charles Dachs
455407,Chandrasekhar Das
456222,C. Dickson
457491,Cody Dunne
457969,Candra Dermawan
461103,Chandan Dasgupta
469239,Carlos Duarte
470472,Can Desem
478764,Clock Difference Diagrams
479567,C. Develder
486775,C Dwork
492992,C. D'emic
497655,Clarisse Dhaenens
498432,Carlos Thomaz Duncan
503574,Claudio de’Sperati
508824,C Derby
519444,Chongying Dong
521769,Constantinos Dovrolis
522073,Christian Drewes
533357,Claude Delobel
534259,Cuzzolin Universit Di
535116,Chuan kai Lin Department
538756,Cornelis P. Dullemond
542963,C. Dulya
547112,Christophe DEMKO
566668,Cornelia Denz
572843,Charles A. Darby
593550,C. Damerell
598923,C. R. deMesquita
601279,Claude G. Diderich
601871,Caterina Deplano
606340,Char Davies
608835,Chris H. Q. Ding
615742,C. Daveau
616337,Crdenas Gil Domnech
618606,C. L. Darlington
626465,Christopher Donham
628098,C. Dessenne
635266,Claude Duvanaud
643814,Christoforos Hadjicostis Dept
643945,Chang Duan
648920,Collection Of Data
651831,Chandrika Durbha
654304,Christos Dimitrakopoulos
656408,Christine Delteil
656910,Christoph Dehio
656924,Clarisse Flipo Dhaenens
659265,Community Development
659626,Carsten Dachsbacher
661423,Christine A. Dollaghan
664295,Ch. Drexler
665374,C. Dubnicki
667668,Chris Dede
674785,Charles J. Dorman
676846,C. Domoto
678728,Cooperative Dialogue
679590,C. R. Deboor
679674,Clark Durant
684349,Clare A. Daykin
685870,Carl G. Davis
687339,Cornelie J. G. Van Driel
688168,Charles B. Dunham
690021,Christophe Dubreuil
691958,Claudio Machado Diniz
694660,Carlo Dallapiccola
697572,CARMEN DIANA DEERE
698539,C. Dowzer
707063,C. Duncombe
713983,C. Damiani
725199,Carl E. Dahlke
735561,Carl J. D'Orsi
751803,C. R. Dar
754421,Computing Environments Davide
760535,Charles Dickens
761685,Chinmaya R. Dandekar
762686,Christina L. Dryden
764204,C. S. Durrett
771769,C. k. Date
778054,Constrained Systems Damir
780240,Casimer M. Decusatis
780617,Charles R. Dyer
783370,Contopoulos Ioannidis Dg
806904,CYNTHIA L. DOWNS
812884,C. H. Durney
816476,C. T. Le Dinh
818751,C. M. Dziuba
825610,C. Denadai
835702,Christina M. Gibson Davis
839781,C. Deniger
842179,Cheryl F. Dreyfus
844947,C. Durand
846683,Catherine R. Darst
848580,C. Devries
851112,Christian Doschner
854977,Christian Daul
855304,C. J. Ducasse
860504,Clark Dietz
871788,Christoph Dehio
877604,Cyclic Coordinate Descent
878303,Codes To Data
880888,C'edric Delattre
885608,Christian Duret
886290,C. Dellorocas
886642,Chris Dodd
890944,C. Dornier
894153,Clayton T. Dickson
895058,C. Dellacherie
895313,Claude Delfosse
895327,Cunsheng Ding
908917,Caspar R. DeFiore
911683,C. R. DIETRICH
912081,Christophe Diot
914331,C. W. Daley
917772,Courtney Dirksen
921569,C. Stuart Daw
924534,Claire Detrain
925125,Carsten Ditze
936854,Christopher M. Dobson
938065,Cristina C. David
941108,C. DIDIER
948739,Counter training In Discovery
958171,Cheikh Talibouya Diop
972758,Cecilia Deluca
974385,C. Deluca
976240,Christopher J. Davis
983000,Cyril Domb
984227,Colleen M. Doak
987366,Compiling For Distributed
992229,Ci Ping Deng
1002461,Christian L. Michael D
1003786,Charles Derber
1004587,Claire Diehl
1005770,C. J. Dykstra
1006711,Carlos F. Daganzo
1007791,Christophe Dumouchel
1008340,Control Data
1010383,Chris Diorio
1010457,C. n. Dunn
1017207,Charles A. DiMarzio
1018381,Coryn Bailer jones David
1021454,Carlos J. Rodr ´ õguez Diez
1022905,Cone Search David
1025734,C. J. S. Desilva
1027296,Celia Duffy
1037798,C D'Souza
1038164,Chris I. Dalton
1044041,Cd Donald
1046591,C. Dolph
1048285,C. E. Dilley
1049361,Christopher M. Dobson
1059225,Colin Dixon
1064380,Christian Darken Department
1069152,Catherine Dibble
1082850,Christo Dichev
1095739,Chabane Djeraba
1105695,Christina M. Gibson Davis
1112396,C. Defiore
1115440,Chen Dong
1116180,Clare Dyer
1120563,Charles Dorian
1120896,Christopher E. Dempseyll
1124320,Carlos D'Attellis
1127717,Cynthia Irvine David
1131735,C. o. Davis
1136470,Curt H. Davis
1140190,Centro De
1140293,Cheney J. G. Drew
1140467,Christian Doncarli
