185,Harry Dankowicz
6093,Hartvig Dahl
12417,Harland Frederick Duerk
13199,Hai Dong
13533,H. Dodo
17751,Homam Dabis
24080,hunling Du
27602,Henry M. Domanus
33971,Hiroyuki Deai
34816,Hans Degryse
36778,Helene Cerf Danon
48813,H. Dedieu
64139,H. Joachim Deeg
85860,Hendrik P. van Dalen
89020,Henrique Joao L. Domingos
93947,Heiko Duin
96758,Hong gee Kim Dankook
110124,Henk L. Dekker
112339,Henri Derriennic
112694,H. F. Dobele
119895,H. M. Deltel
136892,H. E. Dudeney
140296,Hongjie Dai
149592,Hasan Davulcu
150598,Helene Debregeas
152737,H. Dubois
154978,H. Dollinger
163682,Hudai Dirilten
196390,Hemang Desai
196414,HIMANGSHU DAS
198019,Humberto Gonzalez Diaz
201894,Hubert Dolezal
206884,Hans Dicken
209551,Henk Doornbos
239985,Humberto Gonzalez Diaz
241258,Hassan A. Durgauhee
252040,H. Dyson
257779,Hai Huyen Dam
297842,H. Danielsson
300764,Herbert L. Dershem
303161,Hari Das
316672,Henry M. van Driel
325759,Human Development
332603,H. Dauchel
339797,Hank G. Dietz
344303,Helen Davis
348637,HERMAN DECONINCK
349315,Heather Desurvire
351377,Huseyin Dinc
357971,Hui Fang Dou
378731,Hakan Deli¸c
386768,Hans J. Dirschmid
399766,Hylke W. Van Dijk
404286,Hans J. Dirschmid
405322,H. DICKINSON
420667,H. DeMatos
425443,H. Darabi
427269,Hans G. Dam
459445,Harry Duchscherer
466818,Hila Dar
470556,Heather A. Drury
474134,Henk A. Dijkstra
474680,Helge Dzierzon
486947,Homogeneous Image Databases
487334,H. K. Dunn
488692,Hans Dybkjr
490710,Hongjie Daic
496910,Hoang Q. Dao
507755,Herbert Damker
572228,Hdl Chip Design
585090,Hugh Doyle
592889,Howard Davidson
594086,H. Sue Dollar
596837,Hugo deGaris
601966,Hsiao chang Chen Is A Ph. D
602334,Hans Dobbertin
603405,Hui Ding
603962,Harpreet Singh Dhillon
607703,H. M. Darley
626609,Harpreet S. Dhillon
645529,Harley Davis
651960,Ho Trung Dung
662185,Har Dayal
667463,Hubert R. Dinse
682188,Hai Dong
692452,Heinz Dreher
703582,Herb Derby
713017,Hl Davis
716798,H. G. Dieroff
725957,Holly Dressman
726421,H. p. Divate
729411,High School Dropout
737207,Holger R. Dullin
743913,Hemant Davee
755225,Howard G. Denton
766778,Haarm Pieter Duiker
770565,H. Deubel
777646,H. m. Dauplaise
792530,H. Dave
799221,H. J. Delgada
803241,H. Dayem
805537,Hao Du
820002,Hettihe P. Dharmasena
831602,Huiwen Deng
833709,H. W. Daues
847945,Hans P. Van Ditmarsch
853871,H. Do
863631,H. H. Do
863776,Herbert Bristol Dwight
864876,Harvey M. Deitel
897297,High resolution Dem
912548,Helene Dauchel
912576,Herman Dierks
916362,H. Drissi
919396,Haner Direskeneli
922513,Harry Dankowicz
930293,H. Dugas
936822,H. Davoodi
941311,Helen Dermatis
979957,Hilmi Volkan Demir
982028,Hongjie Dai
997317,Hossein Deldari
997629,H. q. Dang
1006949,Harry Daniels
1008491,Hans P. Van Ditmarsch
1019316,Heather Dalterio
1019663,H. Diab
1034700,H. Debrunner
1038728,Henri Dautet
1060112,Harmen Joseph Dorren
1060346,Hadmut Danisch
1067201,Herb Deutsch
1072487,Heinz K. Dirks
1086619,Hiroyuki Daido
1092319,Hong Xing Dai
1097980,Herve Dallaporta
1109208,Hans DRIESCHER
1122700,Habiba Drias
1128472,Ho kwok Dai
1135160,Hai Dang
1141427,Hao Parini Department
1142521,Hans P. van Ditmarsch
1146518,Henry Detmold
1187705,Hugo Durney
1203234,Hardware Structures Dirk
1212236,Hai Dong
1213870,Hong wei Diao
1217810,Hans van Ditmarsch
