201,Mass market Dynamics
1460,Michael Debellis
2642,Michael Welsman Dinelle
6167,Matthew Dixon
7703,Michael F. Doherty
9681,M. Davidian
9962,Madirakshi Das
10904,Meghan M. Dierks
14578,Michele D'Urso
17039,Ming Dong
18357,M. Dainton
19774,M. J. Douglas
23738,Mosaab Daoud
26407,Merouane Debbah
28112,Matti Tommiska Department
36644,Marvin B. Dow
37884,Michael Dalton
44999,Max Dehn
45324,Michael R. Douglas
50768,M. Durante
54952,Martin Dillon
55838,Michael F. DiBenedetto
56056,Michael C. Doggett
56331,M. Do
60848,Markus Drevö
65450,Mansour A. Al dajani
67870,Michael P. Dooley
74373,Michael Dummett
86669,M. p. Desjarlais
91443,Michael D. Dukes
95765,M. sc. Degre
95803,Mohammad F. Daemi
96357,Mathias Dewatripont
96696,Margaret Delap
98064,M. DRISSI
98926,Mira Dontcheva
99347,MAGED M. DESSOUKY
101839,M. Degiovanni
103447,Maria Domenica
103496,Matthew Deangelis
105507,Minh Ha Duong
106421,Michael Meiner Dirk
107838,Michel Dojat
109438,Maria Daniil
109815,M. A. Delsuc
115320,Matthew Dooner
118036,Manohar D. Deshpande
120323,Mj. Deshayes
125255,Models With Market Distortions
128669,Mike W. Denhoff
130142,Mehmet Emin Donderler
133738,Michael K. Daugherty
134308,Miodrag Dimitrijevic
136234,Matthew H. Davis
138196,Modulation In Dense
144099,Moez Draief
152835,Mariana Damova
153020,Murat Deviren
153413,Matthias Dyer
156375,Manuel A. D'abreu
162973,Marco Danelutto
165426,Matthias Doepke
168363,Myeong Kyoo Doh
169690,Mircea Dusa
177973,Martin Delvai
178888,Michael Vaphiades DO
181806,Marianne Durand
183329,Michael Doob
185447,Michel H. G. Duits
188082,M. A. Dakka
190226,Molly Diesing
199798,Michael Damzen
204461,Michael M. Douglas
205320,Mohammad Hossein Derakhshan
205847,Michal Dovyciak
207256,Mathias Disney
211756,Milos I. Doroslovacki
212721,Matthew David Dunbabin
215186,Marybeth Deanna
218014,M. M. W. Dvorak
223600,Mioojjof Departmentof
224354,Martin L. Demaine
224625,Mary huard Robin Daudin
226114,Mauricio Drelichman
233484,Michael Dragunow
234399,Mad Dayal
236222,M. Dejongh
236310,M. P. Dobberstein
240173,Matthew L. Domsch
240407,Mat Darveniza
242677,Michael Diepenbroek
243182,M. C. Detweiler
243232,Matthieu Defrance
244369,Marc Peter Deisenroth
251784,Maja D'hondt
252063,Michael C. Doggett
252185,Marko Djordjevic
252819,M. Doheny
259860,M. Dewanchand
261744,Michael Davenport
263689,Mark jason Dominus
264517,M. R. Dwarakanath
267762,M. S. Dawson
268358,M. C. Diamantini
273501,Mark G. Davidson
274950,Mohammad Reza Mansouri Daneshvar
275053,Michael Dummett
275738,Margaret H. Dunham
278632,M. Duverger
292518,Matt Devos
292941,Marat Davidovitz
299381,Marcel A. de Dios
301262,Michele Derrick
308170,Matthijs Duitshof
308873,Minimal Acyclic Deterministic
317157,Mattfeld DC
325194,Mark Robert Diggory
326189,Michael Van Damme
326609,Mark R. Dobie
328384,Michael Day
328644,Marek J. Druuzduzel
329872,M. w. Daniels
334222,M. Desco
339509,Monir H. El Diwany
343983,Martin C. Dolly
344983,M. Deguire
345351,Mj Daniels
347650,M. Doets
348703,Mourad Debbabi
349652,Manohar Das
350012,Minglei Duan
351754,Martimort David
352820,Martin Dottling
355562,Michael B. Devereux
356586,Myhrang Dahl
357384,Maarten van Dort
360152,Mark R. Deinert
361487,Michael Doob
362873,Morris H. Degroot
364381,M. Bernardine Dias
364915,Michael A. DeDonno
365194,Mark E. Davis
365450,Malte Dauber
366816,Maged M. Dessouky
374309,Michael Skolnick Department
374535,Marco Diedrich
375150,Michael Droettboom
376460,M. Demirekler
376595,Monika Doblin
382491,Michael R. W. Dawson
382789,Mei Kim Ding
386012,M. Davis
393426,Michael R. P. Dougherty
395841,M. W. M. G. Dissanayake
396907,Malvika Dutt
397565,Mohammed Islam Department
397693,Michael A. H. Dempster
398757,Michael C. Doyle
399928,Mark Derthick
400029,Mm Dewey
402523,M. W. Dashiell
402560,Maureen P. Donnelly
402698,M. DJEMAI
404337,M. Ashworth Clrc Daresbury
405694,Michael Drmota
407390,M. E. deLimaTostes
407507,Mohammed H. I. Dore
407987,Merriam webster Dictionary
409342,M. Dion
411456,Msc Dissertation
412678,Marek J. Druzdze
412702,M. J. Danson
412858,Mark d'Inverno
416411,M. P. Delavaux
428262,Moo Chung Department
431938,M. L. Decker
432259,Michele K. Dougherty
434487,Malcolm. W. Dunlop
438582,Martin Dentan
443937,M. R. Dhanak
446491,Michel Duhoux
448367,Michel Dedieu
452045,Mark Dukes
453075,Mathias Doreille
457918,Matthew Day
458145,M. D'yachkov
458523,M. A. Michael Davidson
460623,Michel C. Desmarais
460910,M. Dobrucky
461537,M. Djurovic
468586,Mark H. Draper
468632,M Dlspmzen
471735,M Ontserrat Daniels
472018,Matthieu Dacher
473917,Myroslava O. Dzikovska
476763,M. A. DeCoster
478431,M. C. A. van Dijke
479299,Marie Devlin
480219,M. R. Duck
484015,Marc Dimcovski
486130,Multicriteria Desig
490516,Melanie Deneault
492384,Marie Devlin
494093,M. Dake
494315,M. A. Davis
497179,Martin Dahlquist
498518,Michele T. Diaz
509274,Mildred S. Dresselhaus
511298,M. Dornik
515150,Mike Deutsch
