44916,U Depplsch
161414,Unknown Time Delays
219234,U. Colorado At Denver
281761,Using Test Data
282902,U Depptsch
307427,Uwe Dannowski
347168,Using Iir Digital
440180,Us Dept. Of Defense
451036,Umesh Deshpande
459370,UNIVERSIDADE FEDERA L DE
474838,Using Path Diversity
481098,Universidad Complutense De
553893,U. Dydak
697119,Urban Deutsch
702256,Universitat Aut'onoma De
704410,Universidad Polit'ecnica De
709188,Uncertainty Region Detection
714043,Ulrike Dicke
730096,U. Dietz
812676,U. Ben dor
845168,Ulrich Dieckmann
861476,Universit'e Louis Pasteur De
912121,Using Program Dependences
915086,Urs Durig
1009461,Ulli Diemer
1016444,Uri Dai
1053289,Ultrasound Dpt
1054388,Utpal M. Dholakia
1112096,Ulrich Dirnagl
1115804,Using Frequency Domain
1147189,Unit Mixte De
1168226,Urs Hslzle. The Direct
1168692,Uros Drcic
1206580,Usaf Date
1223212,U. S. Department Of Defence
1240348,Universit'e Du
1297248,Understanding Dce
1343640,Use To Display
1387147,Uli Deichsel
1431101,Ursula Deiters
1480418,Universite Paris Dauphine
1517696,Umesh R. Dhond
1630219,Usit Duongsaa
1641470,Ulrich Dempwolff
1728185,Using Kernel Discriminant
1773449,Under The Direction
1781246,Ugur Dogrusoz
1785413,Universidad Michoacana De
1811823,Ura Cnrs D
1842577,Unal Dikmen
1883369,Uwe Dettmar
1884761,Universidade Tcnica De
1896211,Using The Dct
1920909,Unal Dikmen
1931976,Universal Description
1954405,Using Time Delay
1971998,U. Dahne
1980059,Ulrich Dieter
1982292,Universit Catholique De
1990431,Uwe Der
1999725,Ugur Dogrusoz
2001165,Uwe Durst
2004038,Uday B. Desai
2109730,Universitiit Des
2124107,Usa Department Of Defense
2131101,Ugur Dursun
2153368,Universit'e De
2185323,Understanding The Development
2248199,Using Bottom up Design
2267215,U. C. San Diego
