4936,W. J. Dower
7061,Wayne M. Dankner
9035,W. J. Doll
13974,Wolfgang Delb
32001,With Active Document
44351,W. Daniels
99025,William I. F. Davidb
106294,W. Bradford Davis
113887,Wendy Davis
122386,Warren L. DeLano
124915,Witold Drozdzynski
150480,William I. F. David
152489,W. S. Dorn
155039,W. D¨orfle
164037,W. David Dagenhart
164426,William M. Duane
165362,W. Jay Dowling
183590,William Scott Daughton
189900,Wilfred Drath
205215,W. J. M. Douglas
224566,William J. Drummond
225864,W. H. Delone
252850,William H. Dow
254952,William R. Dillon
260398,Walter Dehnen
270448,WANG JIA DING
290364,When Travel Demand
307163,W. P. Dunlap
324905,Walid Dabbous
326813,Witold Dzwinel
340340,William Doster
358173,Wc Dewey
363624,William A. Decker
389796,Wouter Dessein
392294,Wei Deng
394369,Werner Michael Dietl
402880,W. Darnm
406841,Wilfred Dolfsma
428656,With Interval Data
428939,William S. Dvorak
435794,William Dempster
436320,W. DILL
445215,W. Decesare
450772,W. Durr
460765,W. Denk
465476,W. E. Dietz
472461,William B. Dowsland
475387,W. F. Decker
498104,W. L. DeLano
510307,Walter Daelemans
523968,Wim van Drongelen
544445,William H. E. Day
551677,W. Drozdowski
557357,William J. Dallas
593790,William H. Dumouchel
598111,W. Du
599861,Werner Dubitzky
607325,Wkh Devhqfh
617381,W. R. deOliveira
622794,William C. Donelson
626087,William I. F. David
627474,William Dearholt
629323,W. D. Deininger
635373,W. I. Dobrov
679141,William Divale
681422,W. Ford Doolittle
683275,W. O. Doggett
689754,Wiebke S. Diestelkamp
694970,Wearable Interaction Devices
713257,Warren E. Dixon
755474,Were Marcia Derr
760951,W. M. Didriksen
772080,W. Duke
776932,William C. Davidon
791023,WILLIAM A. DICK
794827,William H. Dragoset
796547,W. R. Deorazio
797611,W. M. P. van der
801948,Willibald A. Doeringer
807693,William A. Davis
812491,William C. Dennison
816721,Willard R. Daggett
819062,W. M. Dennis
822850,W. Dreizler
825463,Weak H Emission From Diffuse
827537,Washington DC
844766,W. Erwin Diewert
850745,W. G. Dotson
853240,W. HOWARD DAVIS
868174,William Davidson
872788,Wolfgang Dittrich
875860,Wilson P. Dizard
878442,William H. Dow
886789,William D. Duncombe
891331,W. C. Datwyler
898494,Wojciech Dulinski
909898,W. Dorndorf
910098,W. E. Debrunner
911660,Willibald Doeringer
938695,WOLFGANG DESCH
939147,Witold Dzwinel
965744,William L. Duax
981621,W. P. Dayawansa
987832,William H. Donnelly
990576,Warren L. DeLano
994835,Willie K. Dong
996310,W Dreher
999800,William I. F. David
1026401,Web Applications Xiaoling Dai
1055735,William C. Danchi
1069104,With The Department
1072522,W. Doki
1079251,William J. Deutsch
1080571,Werner Däppen
1096419,W. E. Deming
1096700,Warehouse Logical Design
1106787,Wei Kung Deng
1135370,William H. Donnelly
1135543,W DEKONING
1150847,W. Doonan
1161732,W. Dijkstra
1172455,W. J. Denhaan
1178851,W. H. E. Day
1180010,WILLIAM DEWITT
1180377,Wanda Dann
1195787,William. R. Deal
1203225,William M. Daley
1205621,Wj Davis
1208363,Walter Dragoni
1234902,With Functional Dependencies
