10057,Ivan D. Frantz
13343,Igor Florent
14207,Ian T. Ferguson
28139,Interpretation Method Fairouz
43727,Interface Brause Friedrich
46062,I. i. Fishchuk
53205,Illumination Range Finders
83346,Imants Freibergs
87814,Irmgard Forster
88944,I. v. Fedyukin
106835,I. M. Fuks
139683,Issue Changes P. Faratin
142821,Ian Foster
156547,In Fulfillmen
168284,Inc. Hot Java Product Family
169318,Imola K. Fodor
183123,I. Huseyin Filiz
201015,Ichiro Fujioka
252739,In Commercial Fishing
258395,Ian G. Fuss
260872,Izumi Fukasaku
261441,Isao Furukawa
285252,Integrating Formal
285590,Ingo Fischer
330972,Ibrahim K. El far
348001,Ilse Fischer
348065,Ilias Flaounas
360871,I. Faugeras
361932,Interval Solvers Fr'ed'eric
372582,Iztok Fajfar
384912,Isaac Suzart Gomes Filho
391595,Ioni T. Fernando
392820,I Kong Fong
397512,Ingo Freitag
423986,Ian Fosterab
436762,I. Fesquet
444004,Ioannis Fotinopoulos
450448,Ian Foster
460252,Ioannis A. Fotiou
470836,Ilse Frederickx
560654,In The Thomas fermi
566552,Intersecting Balanced Families
584034,Ingemar Fries
602461,Irene Finocchi
613952,Ibm Visualage C++ For
668855,Ines Fey
670042,In Cubic Ferromagnets
670796,Ian T. Foster
671112,IBM France
678450,Ingrid Fischer
680155,I. Fidan
680172,Iffco Implicit Filtering
682440,Imogen Foubert
702841,Ilias Flaounas
706522,Igor Frolov
713033,Ian P. Finley
718651,Inbar Fijalkow
737119,Iuri Frosio
738223,Illumination Roland Fleming
738301,In Partition based Framework
762087,Iii: Examples Joel Feldman
785832,Ian Finch
785884,Ioannis Fezoulidis
786193,Irmgard Forster
795720,Ian R. Fasel
838880,Ingo Fischer
839760,Isaac Suzart Gomes Filho
857150,Ilya Freytsis
865128,Isao Fujimoto
865910,INGRID FRITSCH
883759,I. J. Fialho
895572,I. Feng
920602,Ingo Fischer
946357,Ioannis Fikouras
965645,Igor M. Filanovsky
998558,Ivo Fischer
1048784,Ian D. Forsythe
1069794,In Adaptive Filtering
1103257,Inria Rhone alpes France
1108299,Intemet Engineering Task Force
1146745,Ian Foster
1187590,Igor Fainchtein
1195614,Ian Ford
1197428,Intel Pentium Processor Family
1203878,Isabel M. A. Ferreirim
1205145,In Nonlinear Filtering
1252146,I. Fukuda
1281815,I Renato Figueiredoii
1297028,I. Frolow
1312769,Isaac Suzart Gomes Filho
1328830,Ina Schieferdecker Fokus
1343073,Istvan Farkas
1350713,I G Feurze
1412068,I. Farina
1422686,Integration Of Formal
1434251,Inc. Formal Methods Framework
1441576,Ian T. Fitch
1468026,Irving E. Fang
1473001,Ingo Forkel
1485738,I. Fujinaga
1511868,II freshman
1523867,Isabel M. Narra Figueiredo
1531036,I. Perrissin Fabert
1541295,I. Foster
1563042,Innes A. Ferguson
1594855,Intergovernmental Financial
1595001,Ian Foster
1601123,I. Forg¨¢cs
1654640,I. A. Faradzev
1662752,I. P. Felligi
1677472,In house Rice Flour
1750710,Ira H. Fuchs
1753760,I. Feinberg
1758955,I. T. Foster
1766748,Ivan FEDORCHUK
1778584,Ian T. Foster
1806984,Ian Foster
1824383,Ionut Florescu
1825009,Instructor Peter Fulé
1830162,Igor Fischer
1835004,Ia Fischer
1845155,Ian Farmer
1868662,Inez Frerichs
1875922,Ieice Trans. Fundamentals
1893841,I Florent
1940095,Isao Fukushi
1942945,I. P. Feuegi
1951641,I. J. Fritz
1989200,I. Fujita
1996015,In Fast Fading
2031209,I. F'ary
2034129,Igor Florent
2036805,Ian T. Foster
2038687,Ivailo Frankov
2038824,I. Fujiwara
2087026,Ibm Virtual Machine Facility
2093276,Isaac Fram
2094296,Ilias Flaounas
2105380,Ivan J. Fair
2145858,Illes J. Farkas
2172599,In Partial Fulfillment
2174174,Ionut Florescu
2180723,I. Ferguson
2199660,Irwin Friend
2200481,Igor Farka
2205139,Internet Message Format
2208902,I. Fujimas
2244413,I. Fu
2244898,I. Fantoni
2248137,Ian T. Foster
2279626,Ingo Fischer
2279800,Inaki Frade
2287442,Ian T. Foster
