12094,Granular Matter Gm
13333,Georgios B. Giannakisl
21068,Geoffrey Garrett
24494,Gerard F. Gilmore
33025,G. Goderre
42177,Gabriel N. Gatica
43853,G. Gutheil
45928,Gilles Gasiot
46723,G. W. Gilchrist
52533,Gokhan Goynumer
52699,Georgios B. Giannakis
52800,Galal Hassan Galal
52808,Gregory Gay
54338,G. p. j. Geneves
54474,George M. Gemelos
62999,Georgios C. Georgiou
63223,Gerard van der Geer
64881,Guoxiang Gu
65991,G. Grie?bach
69742,Gaetano Guerra
71047,Gaetan Mac Grogan
81793,Gilles Gonon
87653,G. E. Giudice
101204,Gilles Grimaud
101266,GARETH L. GABRYS
102025,G. Garzi
102084,G. Scott Graham
102511,Gene Gindiyz
112726,Giancarlo Storti Gajani
118738,G. Giraudon
118933,Guido Governatori
122900,G. Genty
125183,Gilles Geeraerts
126314,G. Gopalkrishnan
132492,G. R. Gangadharan
135422,Gunther Greiner
135538,G. Galati
136768,Gerald Leonard Gordon
138638,Gabriella Giannachi
140761,G. Giakoupis
142962,G. S. Gao
144344,Glenn Gulak
145087,Gerard Guy
154529,Godfrey Gardner
166369,Gregory Gay
166601,Greg G. Goss
169382,Gael Gueguen
183769,Gareth Griffiths
184409,Geof Goldbogen
185724,Graham Gough
189723,Gabriela Andreu Garcia
190200,G. Gr?fe
190553,G. P. Gabriella
193127,G. Giancola
197587,G. Garry
198008,Ganesh L. Gopalakrishnan
199137,G. W. Gawrys
202655,Genaro Gutierrez
205387,G. Andrew Gandara
210482,Géraud Granger
218605,G. Gulak
226024,Gregory Gancarz
230252,G. Grim
239858,Guang R. Gao
242143,Gary Gaskell
242293,Giovanni Gheri
243579,G. Geiger
244700,G. F. Grater
245630,Glauco E. Goncalves
251845,G. Gahm
255528,George G. Gorbatenko
259901,George Gruner
263943,Giuseppe Grassi
268643,Giovanni GUALTIERI
273358,Gilles Gougeon
274165,Goran Golo
275701,George K. Georgiou
280349,G. G. Gorokh
280984,Guri Giaever
282928,G. Grade
284569,Giorgio Giacinto
295505,Giovanni Gadaleta
296536,Gilles Grimaud
297398,G. Grassano
298423,G. o. Gheen
310593,Ginette Gauyacq
323598,Gaston Gross
324960,Giorgio Guglieri
329385,Georgios B. Giannakis
331143,Game equilibrium Growth
331921,Giuseppe Di Graziano
332054,Gustavo Machado Campagnani Gama
337402,Guido Gehlen
339899,GASTON GONNET
348324,Guillem Pag\`es Gassull
349954,Gudmund Grov
351395,Gediminas Gaigalas
351533,Giannis Giakas
363799,Garance Genicot
364362,Gaston Andres Garcia
365744,Gunter Gans
366295,Goetz von Groll
367966,Guido Grimm
370952,G. Gr¨azer
373853,Gopal Gupta
374115,G. Grossi
377610,Georgy L. Gimel'farb
382313,Gustavo Guerberoff
382423,Giovanni Girasole
392091,Gaile G. Gordon
401329,G. Gouvras
412321,Guo Chang Gu
412897,G. Genta
414497,Gaston Andres Garcia
414552,GENE H. GOLUBz
424740,Gillian Garcia
425676,G. P. Granelli
439016,G. m. Gallatin
442952,G. Granosik
446552,Gary Gilliland
453720,Gary L. Ginsberg
467399,G. L. Gaibrois
471267,Graham Galloway
485582,G. Grefe
495390,G. Gaudio
499610,Galina Glazko
511440,Georgios G. Giannakis
513665,Guillermo Lopez Garcia
514664,George A. Gogotsi
519234,G. L. Gottlich
520567,G. Grunberg
543351,G. Griffin
544108,Guillermo Gallego
544782,Gwanghoon Goh
549600,Gabriel G'omez
551393,Gersende Georg
552190,Gerard Gary
553056,Gaetano Guerra
560245,Gaston A. Rodriguez Granillo
564014,Garth W. Gobeli
565966,Georg K. Gerber
567239,Genady Ya. Grabarnik
568623,Greg R. Guerin
569163,Gary William Grewal
575737,Graham Goulbourne
579202,Giulia Garau
587782,Gary Gowans
601476,G¨¹ney G?nen?
604205,G. Granse
604876,Gh Glover
605083,G Lohman Gra
605628,Gregory R. Grant
609685,Gary A. Gilbreath
612707,Guo dong Guo
619182,Geri Georg
619949,Gerardo Guerra
623266,George A. Gogotsi
623441,G. Govindarajan
626450,George Gearhart
629863,G. r. Graves
630129,Gh Gilmer
631088,Gert Groenewold
632891,G. Goldman
633896,Gary J. Galbreath
636750,Greg Gravenstreter
641699,George Ghinea
649601,George Guekos
662505,Giorgio Gambosi
662665,G. Le Gall
663597,G. Le Gall
669227,Guillaume Gaulier
676480,Gedion Getahun
678617,Gurudas Ganguli
682306,Gevorg Grigoryan
685267,Gerald Gazdar
686221,Gennadii Gorokh
689781,Gary J. Galbreath
695621,Gianfranco D. de Grandi
713814,Gregory Gadret
715979,G. Gaalman
720399,Gale A. Granger
729729,G. W. Gan
732294,G. Gantenbein
738272,Gnther Gediga
741056,G. L. Ghiringhelli
745827,Gisela Grasshoff
751894,Gary B. Gorton
755642,Gabriela Grigorean
756688,Gary G. Gimmestad
757794,GUENTHER GADEMANN
758456,Georgina Gaughan
762472,G. Grec
762556,Ginette Genest
763259,Gwyn W. Gould
767067,Garry C. Gillette
773321,G. Girardi
775596,G Glahne
776000,Georgios B. Giannakis
778044,G. Grevera
780946,Georgii Golubev
786700,Gian Francesco Giudice
786877,Gerald L. Gottlieb
789486,Goorg Gottlob
795177,Gordon Goetsch
801455,Georos B. Giannakis
802719,Giovanni Giuffrida
806535,GENE H. GOLUBy
811774,Genady Ya. Grabarnik
813912,G. Guaitini
815853,Gaurav K. Gupta
820718,Grammar Development Guy
822466,Giuseppina C. Gini
826093,Geoffrey R. Geupel
832860,Goksel Goncu
833397,G. Graen
837929,Georgios B. Giannakis
841352,Gregory J. Gruber
845758,Gary Gorton
854504,Gustavo Gioia
857351,Gregory Griffin
863345,G. Goodfellow
865966,GEORGE R. GRAY
866145,Geoffrey Grimmett
869515,Giorgio Gratta
872105,Gheorghe Grigoras
875341,Goesta H. Granlund
876526,G. g. Gray
877175,Gabi Gruetzner
885420,Gebhard Grubl
887226,Georgi Nedeltchev Gaydadjiev
891705,George K. Girgis
897778,Ga Etan Le Guelvouit
900105,G. A. Gabriele
906993,Greg G. Goss
908616,G. Goebbels
922366,Gijs Geleijnse
934068,G. Grünsteidl
943821,George L. Galati
966576,G. Goualher
968522,G. Gunaratna
973062,G. Gantenbein
978763,G. Gombas
991969,Gensuke Goto
995007,Gene M. Grossman
995528,G. Garnett
999693,G. J. Garrison
1003031,Guang Can Guo
1003191,Gerard P. Gilfoyle
1003662,Gino Gobbi
1013302,Garrison W. Greenwood
1014490,Giovanni Giarola
1016854,Grigorii D. Gefan
1016904,G. Gemelli
1018715,Gerald Golba
1019107,Gustavo Garrigos
1025270,Graham N. George
1025927,Gaurav Gothoskar
1029135,Giuseppe Ghiani
1029406,Gary S. Grest
1034041,G. R. Gavalas
1035671,G. R. Gnu
1038148,G. Goltz
1040259,G. Gotflob
1046600,G. W. J. Giesen
1047510,Georgios B. Giannakis
1048923,Guang Guo
1050821,Guo gang Gao
1062768,George A. Gogotsi
1067078,G. Gamble
1076206,G. b. Giannakis
1076225,Gene Grossman
1077141,Gabriele Gratton
1088258,Girish Ganesan
1092382,G. Gogniat
1094160,G. Gibbs
1096421,G. Gueth
1096720,Gary L. Galemore
1100765,Gene H. Golub
1102982,G. Galinski
1107326,George A. Grover
1109272,Giuseppe Gonnella
1111047,Gamal M. Ghoniem
1111845,G. Gerin
1124779,Giovanni Gallo
1128154,Gerd Grubb
1133836,Grafpac Users Guide
1134471,Gary P. Grim
1136039,G. Grabylnikova
1140803,Georgios B. Giannakis
1141867,Guang Can Guo
1142807,Gode Gravenhorst
1148561,G. Goldschmidt
1150293,Gary Gorton
1150387,G. G. Gornowicz
1152510,Gregg H. Gunsch
1154008,Gennaro Gallinaro
1156066,Gunjan Gupta
1159011,Gary B. Gorton
1161897,Gonzalo Galiano
1163317,G. Gelfand
1167242,Gael Gaborit
1178455,George Goodall
1179820,G. Gotelli
1180242,George Gruner
1187508,Gloria Lauer Grace
1193012,Galileo Galilei
1196515,GUVEN GUZELDERE
1199966,Goran Goldkuhl
1205518,Guang R. Gao
1209034,Gustavo Jorge Goni
1212347,Gita Gopinath
1213035,G. Guibaud
1214953,G. Goldszmidt
1226212,G. Giraud
1228662,Garl L. Gentry
1230819,Georges Gonthier
1239927,G. Gillett
1243230,Gene M. Grossman
1243592,G. Glass
1247573,G. Trinidad Garcia
1248156,Gideon Gal
1249486,Gerhart K. Gaule
1250587,Goran Gogic
1252348,Gustavo Gioia
1254954,Geoffrey Greene
1255121,G. Le Guelvouit
1256166,Gonzalo G¨|nova
1256580,G. G. Gable
1259474,Gregory J. Gerling
1263783,G. A. GOGOTSI
1267181,Gagan Raj Gupta
1271698,G. S. Guralnik
1283381,Giambattista Giacomin
1297886,Georgios Grivas
1299382,Grigorios Gikas
1300879,Geir Green
1302343,G. Goimilez
1305131,G. Ginolhac
1308747,George Goodsell
1309044,Gabriella Giannachi
1309789,GENE V. GLASS
1314050,G. Scott Graham
1322246,G. Gallinaro
1331573,Gerard Govaert
1339743,Giannis Giovanidis
1340747,G. Gallinaro
1348061,Ganesh Gopalakrishnan
1356622,Gavin J. Gibson
1364173,G. Gerdin
1372802,Graciela H. Gonzalez
1375546,G. Gouda
1377787,Gideon Glass
1385314,Gaurav Garg
1388499,Gustavo Garrig
1390479,G. Gagnon
1390901,George R. Gray
1393497,Gary P Geaves
1399852,Gianna Claudia Giannelli
1400395,Gaurav Gupta
1401671,Gerard Giraudon
1405104,G. GRAMMEL
1410317,Generalized Multitext Grammars
1410732,Gianluca Gemelli
1414107,GuangCan Guo
1421115,Gerhard Gr?ger
1432054,Guillermo Guichal
1436918,Gary K. Grunwald
1437880,Greg Guest
1440791,Gerold Glombitza
1441905,Gary R. Grossman
1442999,G. Grass
1446918,G. B. Giarmakis
1458209,Giovanni Greco
1458927,Gabriela Guimar?es
1465165,G. s. Gupta
1468193,G. M. Ghose
1469416,Gary P. Gibbs
1472665,Gennaro Gallinaro
1473193,G. Garofalo
1476922,Garside Groups
1478530,Georgy A. Gogotsi
1481081,Gao Go
1487962,Goncalo Gouveia
1490040,Gustavo Gioia
1494079,George Gruner
1497175,G. J. Gibeily
1501246,Guillaume Gaulier
1506121,Gary R. Geffken
1506243,Gregory Gurevich
1511525,Gregory Gueret
1511839,G. Gallassi
1513975,G. Garzoglio
1517186,Guy Gilboa
1517306,Gary R. Geffken
1517379,Gianluca Guidoni
1525736,George Gruner
1526853,Genady Ya. Grabarnik
1528718,Gheorghe Grigoras
1530880,Glen D. Golden
1537931,Galya I. Gancheva
1539152,Gopal Gandham
1539325,Giuseppe Grande
1540389,Gennian Ge
1545922,Gilles Grangeret
1550853,Gregory Gutt
1551272,George A. Gogotsi
1558620,Gary Gorton
1558827,Giacomo Giampieri
1560089,Gustavo Gutierrez
1564303,G. Gisler
1571301,G. W. Gorsiine
1582174,Gabriele Galati
1584918,Georges Gardarin
1592006,G. P. Guruswamy
1601590,G. Giralt
1603670,Gael GUEGUEN
1606093,Guy Gilboa
1610061,George Gerson
1621226,G. Gr?ubel
1623229,Gediminas Gaigalas
1627217,G. Geiss
1631434,Géza Gyorgyi
1632050,George A. Gogotsi
1640569,G. Gurov
1645618,Giovanni Federico Gronchi
1647672,George E Georgiou
1652602,George Ginis
1655107,Gamal M. Ghoniem
1655508,Geza Gordos
1656141,G. Grunblatt
1662461,Gustaf Gredeback
1662733,Graca Gaspar
1664818,Gustavo Garrig
1671326,G. Ghosh
1673387,G. Guardabassi
1676686,Giovanni Giambene
1680723,G. Grossmann
1680815,Gale A. Granger
1682261,Gabriel O. de la Garza
1683087,Gunter Grunsteidl
1684709,Geoffrey Gardiner
1692343,G. Gbur
1699008,Geoffrey Grinstein
1699651,Gita Gopinath
1703042,George Gibson
1703050,G. Geoffroy
1704036,Gianfranco Guidati
