6372,I. Gijbels
34125,I Lassan Gomaa
39793,I. W. Ginsberg
48852,I. Gimenez
55041,Ioannis Georgantopoulos
55307,I. g. Gochev
84492,Ivan Godard
85650,Ilio Galligani
105133,Iryna Gurevych
108469,I P. Goldstem
124147,I. Gladkova
145369,I Tacic. Fdk Users Guide
149836,Ibrahim A. Ghaleb
163565,Irene Guessarian
164173,I. Greenberg
164451,I. Gyuro
166379,Irene Langkilde geary
173617,I. F. Goodman
174586,Igor G. Gachev
181355,Inge F. Goldstein
182566,I. Geyskens
189126,Isabelle Gruais
211858,I. S. Gradshteyn
219111,In Gis
220393,Ira F. Greenbaum
236858,I. GOSCIANSKA
238905,International Data Group
244530,Initial Guidance
268685,Irwin Garfinkel
272496,Inan Guler
273947,Irene M. Gamba
289531,Inc. Objectstore User Guide
321140,Ignacio Azocar Guzman
326449,Iqbal Gondal
342617,Ignacio Gutierrez
356122,Ioannis Georgiou
359783,In The Guessing
361399,Ivan Gerace
363556,Ian Gresham
374224,Irene Gassko
388228,I. W. Guest
404833,I Express My Sincere Gratitude
436644,Ivan I. Garibay
440111,I. M. George
470760,Ivan L. Garanovich
475539,Igor Goncharenko
499924,Iris Gilsdorf
518079,Includes Specific Guidelines
549032,Islene Calciolari Garcia
550028,Israel Gold
558522,Isaac Rudomin Goldberg
600467,Igor O. Golosnoy
604771,Itana Maria De Souza Gimenes
615091,I. Gonzalez
619273,Irina Gray
627199,Irwin R. Goodman
628553,I. Gragopoulos
635493,Internet Router Graph
649180,I. García
649773,Ingo Gregor
683360,I. Glowacki
701311,Ieee Computer Graphics
721318,Iterative Decoding Gottfried
729198,Inder J. Gupta
747856,Ivor Grattan Guinness
754129,Ian Goldberg
763795,I. A. Griffin
767713,Indradeep Ghosh
768698,Ian Graham
773583,I. E. Getreu
774954,I. S. Gujral
815880,I. Giordano
817181,Ian D. Gourlay
818863,Ian M Goodyer
819654,Inge Gutheil
822534,Ingolf Geist
842856,Ianna Gaponenko
855779,Ian R. Gizer
879704,Ian N. Gregory
883363,Isabel Solanas García
889846,Igor Goncharov
895813,Ingo Gregor
912022,I. D. Goldblatt
919238,Ilya Gertner
925184,Irwin D. Greenwald
932783,Irene Garrigos
953950,Isabelle A. Girard
956331,Ian Gilbert
960255,I. Garabieta
966584,I. A. Golutvin
975568,Isabelle Gnaedig
977630,I. Guendel
984012,I. Gramenitsky
988858,Ilan N. Goodman
997344,I. Gardin
1005708,Information Visweswariah Goel
1007091,Inc Grammatech
1015032,I. E. Greenblatt
1015372,I. S. Gradshteyn
1031242,Ira Gilbert
1051784,I. Gyuk
1069970,Irena E. Glick
1070400,Ian S. Graham
1082647,Irene M. Gregory
1086907,I. A. Grenier
1099223,Ian L. Gale
1099793,I. a. Griva
1104792,Israel Gohberg
1115744,Ian H. Gilbert
1131770,Izidor C. Gertner
1134914,Ian Green
1136308,Inc Giganet
1137001,Ivan Gout
1165675,I. Gath
1170219,Israel Gohberg
1173765,Igor E. Golovkin
1194554,I. E. Grossman
1201476,Internet Network Working Group
1203923,Ignacio Garces
1215258,Inder J. Gupta
1215796,Ilenia Graziola
1225498,Indranil Sen Gupta
1235557,I. Goddard
1247529,I. Golecki
1255417,Irina N. Gorshkova
1263479,Israil Solomonovich Gradshteyn
1278743,Ivor Grattan Guinness
1294931,I. Good
1296136,Ian W. Gibson
1296188,Ian C. Glover
1298032,I. O. Golosnoy
1304042,Ivan G. Graham
1307297,I. Goryanin
1324096,In General
1328441,Irene Gargantini
1329549,Ivan Gutman
1331545,Isabel Galiano
1337988,If Program Good
1340257,Ian Gordon
1344954,Ian A. Gardner
1359826,I. G. Gosling
1366449,Ivor Grattan Guinness
1372812,Itzhak Goldberg
1374751,I. Godor
1385926,Information Flow Geoffrey
1391873,Iris Groher
1402208,Ilias Grinias
1408263,Itu t Recommendation G
1421954,Ignasi Garces
1440216,Ivan T. Gout
1441247,I. Glask
1459775,Irene Grosclaude
1485903,Ivan Gonin
1500693,Inaki Gaminde
1501945,Ira H. Gilbert
1503624,Irina Gladkova
1512934,Independent Jpeg Group
1520250,Ingo Gruber
1526310,Iulian Gradinariu
1526560,Irina N. Gorshkova
1537263,I. Gonzalo
1609752,In Sun Geoum
1612195,In A Multimodal Grammar
1632173,Ian J. Groves
1638964,Interval Data Gang
1663618,I. D. Goepfert
1732365,In Nicola Guarino
1753600,I. Glasner
1769127,Ian P. Gent
1776620,Ian Glasgow
1778812,Ira F. Greenbaum
1784684,Infrastructure For Goods
1787077,Igor Gorbunov
1792027,Ivo Grosse
1792171,Ingo Gregor
1808740,Infrastructure Tristan Glatard
1809474,Irene Y. H. Gu
1830289,Itzhak Gilboa
1837880,Iain James Gordon
1850316,Isadore L. Goldhirsh
1877395,Indranil Sen Gupta
1892552,I. Gardos
1901771,Ira J. Goldberg
1907538,Iqbal A. Goralwalla
1913333,I. Goroff
1926820,Idir Gouachi
1935063,International Biometric Group
1967918,I. S. Gradshteyn
1983446,Ivor Grattan Guinness
1989029,Indranil Gupta
1992848,I. S. Glushkov
2017871,Indranil Sen Gupta
2027087,I. Getreu
2030829,I. K. Glad
2045811,I. V. Grekchov
2070373,I. Gettys
2089778,I Grant
2094954,Itzhak Gilboa
2097783,Iain D. Gilchrist
2098583,I. Goldsheid
2115044,Ii. Gouraud
2127388,Israel Gohberg
2132362,Israel Getman
2133940,Ian M. Goodyer
2136994,Ilya M. Goldin
2155024,Ivan Rizzo Guilherme
2168618,I. Gijbels
2176191,I. Gr¨¹tzner
2188131,Isaac Rudomin Goldberg
2197740,I. g. Graham
2210476,Inge Li Gortz
2213090,Irina Gladkova
2215364,Iryna Gurevych
2219024,I. Garc
2227673,In Corba Giop
2235415,I. S. Gradshteyn
2241772,Indra Geys
2250518,Ian R. Gizer
2252783,In Steven Gortler
2263529,Irina N. Gorshkova
2265138,Imke Godecke
2282881,Infinity Of Groups
2285654,I. Gibbs
