8092,K. Goto
18550,Krishna Phani Gummadi
29207,Keith Garner
32152,K. D. Goodfellow
44677,Kurt Geis
53625,K. Garber
58319,K. Gajewski
63210,K. Grimsrud
79561,Kevin P. Granata
84824,Kerry Gruber
92216,K. a. Gilbride
96709,Krzysztof Galkowski
99111,Kevin H. Grace
109711,Kevin Gould
113778,K. R. Goheen
129779,Karen Gedenk
134866,Kenneth G. Gayley
141251,Klaus Gartner
157667,Keith Glover
158735,K. Guffey
159795,Kevin Gibbons
164508,K. w. Gray
164928,K. Goodearl
167012,Klaus Glashoff
171873,Karen I. Goldberg
173132,Kurt Godel
174346,Ken Ganga
179222,Karen A. Graham
188173,K. Gunther
189992,Kirk Steven Giboney
191375,Kok Hwee Goh
199413,Kwang Il Goh
200317,Karl johan Grinnemo
205244,Kenneth Wayne Grace
206083,Kent Gramm
208084,Karyn Green
220793,Kamen Y. Guentchev
222153,Keith E. Gorlen
230071,Karsten K. H. Gundlach
237022,K. Gra?bczewski
239653,Kumar N. Ganapathy
242617,K. Govindarajan
248484,K. W. Golke
251994,Karen I. Goldberg
252479,K. H. Grochenig
262737,Karthik Gopalratnam
266992,Konrad Goleman
271233,K. C. Gan
282014,Krzysztof Galicki
286476,Kerstin Gustafsson
296569,Kenneth L. Grieve
298126,K. Gharachodoo
305307,Kevin John Gough
306448,K. Gharaehorloo
308686,Kit Grindley
309550,Kai Uwe Goss
312651,Kok wee Gan
318471,Kshitij Gupta
323995,K. L. Griffing
326498,K. van Gelder
326799,K. Reed Gleason
334327,Keith J. Gooch
340712,K. Ge
387357,Kostas Giannopoulos
393099,Karsten Schwan Georgia
400702,K. Gardener
412431,Konstantinos N. Georgakilas
423617,Keyoor Gosalia
427069,K. h Glassmeier
429178,Kapil Gupta
440353,Khaled A. S. Abdel ghaffar
441869,Kevin J. Greene
458157,K. Gallivant
460936,Krzysztof Grabczewski
464096,Keith Golden
465236,Kalifa Goita
478599,Kerri J. Guilfoyle
496291,Kenneth M. Goldstein
500748,Keith F. Goden
501755,Karsten Grove
504532,K. Gärtner
506025,K. F. Gibbs
506586,K M Goeschka
509830,Kirsten A. Gronbjerg
534991,Kristen Grauman
541192,Kenneth B. Gaylin
544748,K. Grijspeerdt
549262,Kenn Gardels
551316,K. Gc
