21549,Wim H. Gijselaers
30545,W. J Glynn
33718,W. J. Gallin
34975,W. Gallagher
37463,Weiming Gu
45650,Wim Goedheer
47459,Wayne S. Gardner
60606,W. Gu
100222,William H. Gates
108072,W GILLETT
118356,W. E. Grant
120251,W. Guo
133518,WILLIAM GOFFMAN
139462,William G. Gunn
145920,W. Gaertner
146040,William H. Greene
148481,William F. Galway
151337,W. B. Gilboy
152056,W Gartner
168777,WITH BOUNDED GROWTH
174317,Werner Grunberger
177149,W. Glomb
187294,W. G. Graham
225125,W. Grantham
234081,W. Grimmond
236589,William T. Greenough
238779,William M. Gelbart
239380,William C. Guenther
242834,Wolfgang Gaul
269804,Walter Gilks
273503,W. GRIMM
284174,Werner Grass
290371,W Grimm
293885,W. Eric L. Grimson
298925,William A. Garrison
307992,W. Gellert
311026,Wensheng Zhang Guohong
314918,W. Graham
340720,W. H. Freeman Gravitation
348827,William N. Goetzmann
349235,Wilhelm Gruissem
370814,William H. Greene
374452,Wojciech K. Gwarek
376762,Wolfgang Gowin
395153,Wolfgang Greibl
396034,William S. Gilley
399049,Well Potentials Guy
401440,Walter Gilbert
404870,William Grossman
408071,W. J. Getsinger
414298,William S. C. Gurney
435807,Wendy L. Garber
472533,William S. Gere
473540,Willem Otto David Griffioen
478722,William E. Gordon
479534,W. Glaetzle
481218,W. Gribi
489852,W. J. Grande
493465,W. Gagnon
495251,Wayne Gray
504457,William B. Gruener
510786,William George
537078,William De Genst
540550,Weisen Guo
543215,W. Gong
565740,W. Gardebrecht
568386,Wilhelm Grever
584617,William J. Gehring
586885,Woon Seng Gan
590854,William E. Glanz
594844,Walter Geerts
596927,Write up By Georgiana
601991,William Walter Greulich
604821,W. Gamble
609562,Willi Gotthard
635606,W. I. Gentleman
644015,W. H. Griest
651661,WARREN J. GROSS
671318,William I. Gasarch
674655,William F. Godoy
686843,William Grey
693211,W Gesing
695437,W. Griswold
702749,Wolfgang Gaberl
710408,William E. Grosso
711386,Wolfgang K. Giloi
742404,W. R. Giles
756091,W. Graham
768199,William M. Gelbart
783938,W. B. Gandrud
798332,W. Geiger
814308,W. A. Garber
814377,Willi Geiselmann
815705,Warren J. Gallin
821606,W. C. Gardiner
840603,WILLIAM G. GUNN
862323,Walter D. Gonzalez
863605,W. G. Guion
