56083,Y. Greenfield
57795,Yi Gai
93974,Yuanbin Guo
94469,Yun Gao
97108,Y. Gotra
101127,Yitzchak M. Gottlieb
106736,Yu Yuan Guo
177781,Yves Gagnon
196822,Yair Glasner
198836,Yechezkal Shimon Gutfreund
215807,Yuri B. Gaididei
219248,Y. Gordon
230111,Yao Gao
230906,Y. Gourhand
239073,Yonatan H. Grad
248072,Youjun Guo
251580,Yow Ling Gau
255644,Yury G. Gogotsi
297054,Yuri G. Gogotsi
328918,Yun Sheng Guo
367589,Yongru Gu
369156,Y. Gono
385183,Yu. V. Grats
386251,Y. G. Gu'eh'eneuc
390294,Yulia V. Gromova
432842,Yukio Pegio Gunji
437689,Yao Guo
439647,Yuriy Gorodnichenko
450246,Y. Grenier
473871,Youguang Guo
507969,Yuri A. Gorby
520199,Y. Gunduc
543733,Yoshihiro Gotou
546381,Yao Xiao Guang
548584,Yves Grandvalet
556657,Yuyuan Guo
587480,Yongxin Ge
678576,Yann gail Guhneuc
699102,Y. Gross
714580,Yi Zhu Gao
720557,Yuqing Gao
780703,Yan Gao
810383,Yanmin Gao
830695,Yingjie Jay Guo
860404,Yu. m. Greshishchev
861545,Y. F. Gu
862918,Y H Goh
864752,Yoav Ganzach
875657,Yang Gao
892500,Yashar Ganjali
926979,Yuri Gurevichyand
933919,Yaron Y. Goland
939747,Yossef Av Gay
951070,Yo Matsumoto Meiji Gakuin
958158,Y. Goto
966238,Yuefei Ge
990213,Yi nan Guo
1006581,Yu. P. Gousev
1007850,Yuriy Gorodnichenko
1022366,Yuri A. Gorby
1040478,Yan qing Gao
1048566,Yiping Gua
1065373,Yankee Group
1067766,Y. Gardan
1077013,Yossi Gil
1079918,Yong Jian Gao
1089619,Y. Gourdel
1109447,Yannick Guhel
1115501,Yi Gai
1125308,Yu. P. Gomza
1132732,Y. Av Gay
1173468,Yvon Gousty
1208719,Yongqin Gao
1208912,Y Gong
1209098,Yaakov Greenshpan
1218485,Y. y. Genin
1233930,Yuri Gurevichy
1236860,Yury G. Gogotsi
1237376,Yi Gai
1239641,Yoshihiko Gotoh
1249255,Yi Guan
1285532,Y. Gogotsi
1291402,Yu Xiao ge
1309541,Yaron I. Gold
1317841,Yuri Gurevichyz
1318473,Y. V. Grigoriev
1354280,Yuan Bo Guo
1372735,Yikun Guo
1383069,Y. Guedon
1415117,Y. Ghailan
1452128,Yogesh Gaur
1465037,Y. C. Gerstenmaier
1480467,Yuichi Goto
1483065,Y. Grincourt
1486811,Y. Gomi
1491095,Y. Gu
1497975,Yann R' Egis gianas
1518616,Yang Gan
1528639,Yu Yuan Guo
1531759,Yosef Av Gay
1533892,Yuval Grossman
1570827,Yunlong Gao
1583160,Yash P. Gupta
1591870,Y. Gr?hn
1600385,Yves Gingras
1623743,Yebin Gong
1630361,Yoram Gat
1631435,Y. v. Gulyaev
1656812,Y. Gallot
1687511,Yongtao Guo
1691442,Yuri Gadidei
1697117,Yury Gogotsi
1703223,Yair Goldreich
1711666,Yury Gogotsi
1713619,Y. P. Gan
1741225,Yan Ge
1773583,Yuliya Gryshko
1782222,Yuqing Guo
1799520,Yury Gogotsi
1800962,Yves Gingras
1830081,Ye. V. Glushkov
1856337,Yuri Gurevich
1871277,Yu. Grin
1873700,Yuelong Gu
1917640,Yimin Guo
1980580,Y. Gobert
1984998,Y. A. Gluzband
2004089,Yinghui Gao
2010657,Yi Zhong Gu
2026256,Yoshimasa Goto
2071403,Yuri Gurevichy
2082342,Yuri A. Gorby
2084010,Yehya H. Ghallab
2093608,Yury G. Gogotsi
2095189,Yang Miang Goh
2117162,Y. Granik
2159473,Yu. G. Gogotsi
2165245,Yael Gertner
2176778,Yury Gogotsi
2202957,Yury Gogotsi
2212608,Yann gael Gueheneuc
2226318,Young jin Gu
2260945,Yu. G. Gogotsi
2262507,Yuji Gotoh
2264816,Yakup Genc
2271728,Y. J. Greenstein
2283947,Ying Ge
2291439,Yuqing Gu
2293213,Y. Gotra
