3711,L. Hojgaard
5430,Lynn Hart
5596,Lars Hafskjaer
6670,Linda H. Host
26310,Lonnie E. Haefner
27319,L. G. HENYEY
29533,L. Holloway
34645,Luis Henriques
41812,Lylia Alghem Hamidatou
48134,L. w. Hedlund
48264,Long Hanborough
54751,Lynne Harrington
55682,Lorenz Huelsbergen
64135,Linguistic Treebanks Hans
67016,Lih hsing Hsu
68787,Lee An Ho
73678,Lorraine Harper
101809,Li Wei Hung
102267,Lance Horng
108836,LOUIS HARRIS
109249,Lambert Heller
110932,Lawrence Harvey
120832,Laurie G. Hudson
124198,Linda M. Harasim
124468,Larry D. Hubbard
132241,Lisa Hellerstein
146188,Lisa Hoffman
148217,L. L. Hoag
160171,Liu Hsu
162295,Leroy E. Hood
170842,Lynne A. Hillenbrand
174928,Lawrence R. Hanlon
202464,L. Hearson
205959,Louise Heathwaite
207313,Leng Han
208644,Lowell B. Hawkinson
213357,L. Tran Hoai
222505,L. C. Higbie
223135,Lorenz M. Hilty
232317,Lewis L. Lanier Hamerman
241799,Lichan Hong
249199,Liping Huang
256460,L. Hopkins
260543,LEWIS BALL HOLMES
268471,Lorene Hiris
272201,L. L. Hoekstra
278676,Lee Hood
284485,L Hojgaard
285280,L. Howard Holley
296817,Larry L. Howard
301582,L. J. Heyderman
304062,Lin Han
304650,LANCE HOWE
305254,Lane A. Hemaspaandra
321979,Lawrence O. Hall
331676,Lajos Horvath
340857,L. J. G. T. Van Hemmen
341908,Lynne E. Hewitt
344673,L. Hernquist
359960,Lisa O'Neill Hill
372265,Laurence Harris
374735,Linda Hauw
380633,L. L. Hoekstra
382731,Lydia Pleotis Howell
392737,Larry Hawk
397124,Linda L. Hill
400356,Lynn Hlatky
401608,Louise K. Harra
410498,L. J. Heyns
419998,LOW KIAN HSIANG
429014,Lech Hasse
434023,Lars Heijkenskjold
438305,Louis N. Howard
440383,Leonard A. Hermens
453663,Lisa A. Haverty
460891,Li Shan Huang
463988,Laurie G. Hudson
470057,Lars Paul Huse
470285,L. Cruzeiro Hansson
471399,Leroy E. Hood
478710,Lee Kin Hong
484590,Liang Kai Han
493456,Larry Hardesty
496705,Lengnien Hsiu
503367,Lynda Hodgson
505680,Laurence G. Hassebrook
511773,Leslie Hitch
518016,Lacroix Idrissa Hincq
523669,L. c. Hall
529288,Leif Handberg
531241,Laurent Hascoet
532054,Lennox Hoyte
532709,L. Hon
537505,Lothar Hermes
545040,Lemke Barcellos Heredia
548989,Leonhard Knorr Held
549010,Lars Hinrichs
549730,Lijuan Huang
552745,Laurent Herr
558067,Literary History
561669,Lieming Huang
562000,Liang H. Hsu
563542,Larry Hochhaus
563934,Laurence R. Horn
567320,Lyndon S. Hibbard
573297,Ling Hao
574477,Larry F. Hodges
577955,Lee Hawkins
580444,Laurie J. Heyer
585606,Lowell P. Hager
586185,Lars Hesselholt
591355,Ludmil K. Hadjiivanov
597089,Lydia Heard
601515,Leroy E. Hood
603864,Larry D. Hostetler
605592,L. HAAS
613668,L. Han
617328,Leslie K. Hodge
619798,Lutz P. Henckels
624889,Lee Hood
626049,Logics Of High
629738,Lynne Hillier
638467,Laura Hokkanen
645601,Laurie G. Hudson
652640,L. Hurd
658740,Leif W. Hanlen
668921,Lars Henriksen
672826,Lionel G. Harrison
681895,Luc Van Hauwermeiren
688300,L. Hayes
689374,Lars Hamann
695279,Lippold Haken
705250,Lorna F. Halliday
722033,Leland H. Hartwell
724112,Lloyd Humberstone
733092,Larry Harada
733902,L. Haji
744206,L. r. Hamilton
747419,Leilei He
753800,Lukas Hohl
754949,L. C. Hsu
757323,L. Hristovski
762933,L. Hache
764308,Lidia Angeleri Hugel
765324,L. Hitchcock
765787,Lexis F. Higgins
766729,Liisa A. von Hellens
766994,Lj. Hendren
778166,Luca Heltai
782629,Lester J. Holtzblatt
785013,Liselotte Hojgaard
793463,Lars E. Holzman
797730,Larry P. Heck
810817,L. J. Hornbeck
818929,L. Hirshman
830499,Luc C. G. J. M. Habets
832796,Leo B. Hartman
837227,Li Hsu
840105,L. Harklau
841220,L. R. Halme
848178,Lawrence E. Hunter
850708,Ludger Hentschel
857466,Lars Heide
858394,Leo W. Hollberg
864606,Leena M. Hamberg
865428,Loss Fec Hybrid
868890,L. A. Hemachandra
874341,Larry Huston
882147,Leonhard Hennig
888174,Li Sheng Hu
890237,Lalana Kagal Hp
891834,Leslie Hunt
896577,Lothar Hotz
907289,Lynn Hasher
909131,Lilian Harada
929297,Lorna Herda
930295,Laurens F. M. de Haan
943641,Louis Andre Hamel
946017,Libby Hemphill
948692,L. R. Hoover
949777,L. H. Heifner
951843,Laurencia Hutton
959253,Lucy J. Hopewell
960047,Leng Han
966647,Laurie A. Hulbert
967860,Leroy E. Hoods
974959,L. h. Harwood
977983,Lynne E. Hall
979966,L. J. Huttsell
983519,Lars O. Hedin
987283,Lance Hayden
994358,L. Carl Howlett
998622,Lisa L. Hepburn
1001488,Leslie M. Huie
1001528,Lily Hendra
1005621,L. Helczynski
1007839,Lee W. Howes
1010973,L. M. Harrison
1011113,Li Wei Hung
1031866,L. Hou
1033756,Lars P. Hansen
1038891,Lance Hopenwasser
1056888,Ladislav Halada
1080092,Leta Hunt
1082826,Linda J. Hayes
1093756,L. De Haro
1094218,Ladislav Hlavaty
1094276,L J Hensehen
1096771,Lambert Heller
1100763,Lars Peter Hansen
