1145,R. J. M. van Hoesel
1772,RM Henderson
3524,Randy Hudson
3712,R. Yair Hougui
3782,Reinhard Hanxleden
12133,Rajesh Hegde
12547,Ray Hokinson
13039,R. Haverkampe
13980,Robert C. Haddon
15527,Roman Holenstein
16345,R. Hallberg
16944,R. s Huang
17552,R. Half
19807,R. Heller
21699,Robert B. Herrmann
24858,Robert Hirschfeld
30349,Ryan Hamilton
30488,Ramesh Hariharans
33521,Robert L. Hill
33690,R. Halbach
39683,R. Hirose
40479,Ray Hagstrom
41101,Raghunath S. Holambe
41558,Roger Hale
42132,Rhys Hill
46361,R. Henda
46775,Richard W. Hall
48198,Rich Humphrey
49035,R. p. Hec
50444,Robert P. Hesketh
58756,R. Hashemian
58932,Roger Hassel
61315,Ryohei Hishinuma
61735,R. Hamill
67641,Ronnie B. Harmon
70321,R¨°bert G. Herriot
74979,Ramon Linus Hofer
76088,R. L. Hampton
78638,Reinhard Hochmuth
79968,R. Hanratty
80043,Rong Chan Hsieh
80377,Rien van Haperen
84322,R. J. Hohendorf
88151,R. E. Houf
89889,Rob Hague
90328,R. Hofman
92065,Robert J. Harrison
92367,Richard A. Heiens
94561,R. j. Hsieh
97275,R Hadas
99434,R. C. Hertzog
101745,Ran Libeskind Hadas
104870,Raymond G. Hoffmann
105400,R. G. Hoagland
108092,R. M. Hydro
108886,Rema Hariharan
110367,R. W. Hahn
112368,Rainer Helmig
114359,Roland Hassun
117386,Raymond Hayes
120058,R. Hoffman
122835,R. B. Hake
124457,R. M. Damian Holsinger
125389,Richard Hollenbeck
126741,Reid Hirata
130113,Ron M. A. Heeren
132033,Ralf Hinz
133701,Richard William Harvey
135205,Reuben D. Hochstedler
135314,R. Hibst
136896,Rodolfo E. Haber
137512,Randall Hauch
139159,Ryan B. Hayward
143014,Robert A. Heinzen
143483,R. A. Heelis
146047,Robert F. Heile
146475,Rudiger Hopfengartner
146871,Robert S. Hanmer
150439,Rainer Himmeroder
155167,Rami Hänninen
156117,Rodney T. Hodgson
156259,Ron Hochsprung
158561,Robert E. Hoye
159256,R. W. Hafer
159578,Roman Hovorka
161246,R. W. Hollander
163046,Robert Ernest Hall
165846,Raja Harinath
167774,RN HOUNSGAARD
169309,Rudiger Hauschild
171502,Roger C. Hart
177851,Rami R. Hamdi
177932,Robert Hannah
182581,Rami Hietala
184506,Ronald R. Hatch
184856,Richard Harper
185263,Reinder Haakma
191744,R. Hutnak
192436,R. Hoppe
192623,Ron Hofmann
193053,Robert H?ldrich
194966,Richard J. Healy
202267,R. Hoyler
202531,R. Howard
203129,R. G. Hoerauf
204664,Richard H. Hunt
207782,Rd Hichwa
210526,R. Hacioglu
210915,Richard Hayes
211727,Ruurik Holm
212090,Richard G. Healey
214989,R. J. Hendry
215441,R. Hessemer
220481,Revised By Hagiw
220802,R. Hufford
221110,Ralf Hocke
231942,Rodrigo J. Harrison
232569,Ralph T. Hoctor
233914,Raphael Haftka
239944,Rogardt Heldal
242048,R. W. Hentges
242450,Robert Hurrion
246377,Rolando Herrero
246700,R. M. Howarth
251063,Ru Qi Han
253303,Ru Tai Hui
253924,Rainer Hoch
258548,Robert B. Haber
266139,Robert J. Hendley
266483,Rob Hartop
267991,Richard Hull
268182,R. d. Hilty
269040,Rodney Holcomb
273711,Robin M. Hogarth
283888,R. A. Hughes
284652,R. A. Heelis
294187,R. L Hershman
303216,R. J. Hale
307849,R. Hells
308628,Robert M. Heethaar
311264,R. Hughes
315359,Ruqi Han
316274,R. A. Heelis
316795,Richard Heider
318516,R. M. Hall
320094,Rainer Hagenau
320564,R. C. Heimiller
321200,Richard C. Holt
324436,Ronald Huisman
324933,Ralph L. Hollis
326391,Rodney G. Handy
326677,R. Hunstead
336438,R. m. Hooper
339112,Richard T. Hepplewhite
342709,R. C. Hannaford
349172,Ramon J. Havens
357972,Rina Hildesheim
358368,R. P. Henke
363885,R. j. Hickm
366094,Rainer Hauser
371474,R. Holt
373495,Rong Tay Hsu
375189,Rudolph E. Hirsch
381556,R. V. Hattin
381708,Ryoichi Hajima
383348,R. B. Hulfachor
387772,R. M. Harris
389886,R. Hanlon
390932,R. E. Hillsley
391437,R. M. Hamouda
392085,R. Heidinger
396677,Ryuji Hamabe
397436,Rudolf Holzner
397560,Roland Holcer
398770,R. Hauge
400518,Richard Wesley Hamming
402814,Randy Hertzman
405337,Reto E. Haeni
406466,R. A. Hankins
407988,Robert Hodges
411563,R. Holmes
412298,Roger Horn
412422,R. Hamatsu
420664,Rawle I. Hollingsworthl
424884,R. P. HOBSON
428509,R. Vs Apl Prototyping Hagensen
430368,Rasika M. Harshey
431361,R. Hopfner
437606,Real time Tasks Hakan
438656,R. Huber
438717,Robert W. Hornbeck
444234,Ross Hightower
444815,Robert Hariman
446000,R. C. Heynen
450438,Rafael HERN
451171,Reshad Hosseini
453260,Russ Hoover
458221,Ralph Haygood
459993,Rainer Herpers
466701,Rhonda K. Hansen
470648,R. J. Hofinger
474955,Robert S. Huss
477962,Roderick A. Heelis
479979,Robin Hirsch
484888,Richard Heeks
487560,Ronaldo Fumio Hashimoto
490114,R. C. Hathaway
493800,Richard J. Hughes
495761,Ramon van Handel
496663,Ralph Hasholzner
505437,Rebeca Eun Young Hwang
505618,R. g. l. Hodges
506353,Robert J. Hamer
507033,Rhett Daniel Hudson
507459,R. J. Henery
508215,Ren hung Hwang
511653,R. A. Hawley
513036,Robert F. Hadley
513611,Rolf D. Henkel
514636,Robert F. Hadley
516161,R. m. Hentschel
531302,Ruth Hackl
531509,R. A. Hoferer
532533,R. Hartono
541256,Robert Holt
542659,Robert M. Harper
543244,Rob J. Hamer
546195,Randall T. Hanson
548241,Robert A. Hedges
548903,Renate Houts
549736,R. Huq
556052,Ralf Hinkel
558500,Roger D. Hersch
563196,Ruo Gu Huang
564153,Roland N. Horne
568571,R. Carter Hill
572891,Ramin Hojati
577091,Robert Hieb
580275,Richard Hoad
583323,Richard L. Hughson
583806,Robert G. Hutchins
584125,R. ven Helmolt
584260,Roshdy H. M. Hafez
586033,R. Hartman
586359,Rebecca M. Henderson
586860,Raimo P. Hmlinen
588792,Ross Hammond
588873,Rong Shue Hsiao
589019,Robert Hirschfeld
590613,Randall Hill
592606,R. C. Hillyard
593392,Rodney Huddleston
593661,Robert W. Haessler
597496,Robert G. Harrison
604039,Rutai Hui
604404,R. Halfmann
604630,Ruth Huey
609987,Rupert A. Housley
612680,Rachid Helaihel
615377,Runnong Huan
615433,Reghan J. Hill
619392,Rostyslav O. Hryniv
620633,Reza Hosseinmostafa
620924,R. Todd Hammel
624456,R. T. Hanson
626963,R. Bailey harris
629333,Robert M. Hierons
630476,RANDY HILTPOLD
634381,R. Hou
634498,Robert Hughes
636771,Raphael T. Haftka
638308,R. K. Hartana
641375,Reynald Hoskinson
643266,Ricardo Hausmann
643365,Robert Happel
651058,Richard E. Huffman
653962,Rebecca A. Hill
658894,Richard C. Holt
659358,R. D. Hollstein
659902,R. Harold
660155,Rudi Hoekema
664546,Robert B. Haber
667004,Raghu V. Hudli
668037,R. Hundhausen
669404,Roger K. W. Hui
671733,R. J. Hsu
673003,Request prediction Hav
678434,ROSALIE J. HAU
678558,R. Hastings
679200,Ray J. Hickey
679899,R. L. HOFFMANN
687464,Roger Evans Werner Horn
692536,Richard Honhart
692741,Rupert A. Housley
694065,Roxanne Hiitz
694448,Ryan B. Hayward
699796,Ronald Holzwarth
704450,R. Hubbard
705878,Richard Y. Hertzberg
707359,R. H. Humphrey
713356,Richard P. Hopkins
713557,Robert M. Hierons
714457,Richard S. Hall
717829,Reza Habib
718911,Ra Harrington
720379,Robert J. Hodrick
726100,R. A. Heelis
729904,R. d. Halvorson
730664,R. B. Hallgren
731822,R. A. Hulays
732405,Ron Hoory
737147,Ralf Herbrich
739370,Randy S. HALUCK
740202,Robert E. Hanson
740242,Richard T. Hart
741738,REBECCA J. HOWARD
741995,Reinhold Huber
742035,Remco van der Hofstad
744626,Ray Hoare
745602,Randall T. Hanson
746338,Robert R. Hoffman
747155,Robert W. G. Hunt
750729,Rich Hirsh
761020,Ronald Harrop
765726,Robert F. Hicks
767089,Raghavendra Hebbalalu
767213,R. Higashi
770736,R. H. Hill
774339,Ronda Hauben
782034,R. Helper
790587,Rguibi Idrissi Hamid
793168,R. m. Hassan
794192,Rachid Haidar
798339,R. Haynes
798550,R. H?aggkvist
799635,Reshad Hosseini
803771,Richard F. Hurrell
804133,R. B. Harty
805529,Richard G. Hennig
808698,R. Hurwitz
809021,R. M. Hoare
811297,Rachel Heery
812760,Roman Holenstein
813961,Robert W. Hendricks
816523,Randy Howard
817257,Rob Henderson
817436,R. Honigbaum
826052,Robert M. Howe
826894,RHIANNON HALL
827277,R. W. Horst
828901,Robin Hemphill
829160,Ryan Huebsch
831841,R. Hao
834451,Robert Hariman
834906,Reiko Heckel
837744,R. Hutchinson
838132,ROBERT J. HUNTER
838173,R. Van Hoogstraten
839992,Robert Hockauf
841773,Rumi Hasegawa
843166,Rebecca Hwa
843954,Ralf Heese
845873,R. Hudon
853198,Robert P. Huefner
854312,R. Hoult
855189,R. Eliot Hazeltine
862384,R. g Ho
863336,Robert Haschke
864995,Reid Harmon
865312,R. Hebert
865601,Richard H. Hulett
874917,Rony Holter
875488,R. W. Hammon
877629,Rui Huang
887781,Ron Hofmann
888308,R. Glenn Hubbard
889661,Roger W. S. Hale
892482,Rodrigo Hidalgo
895862,Ronald J. Murphy E. o. Hulburt
897873,Rolf Hünlich
900000,R. T. Haftlea
909825,R. Hahnloser
911633,Ralf Huelsermann
913592,Ryu Hasegawa
914670,Remy Haemmerle
915727,Richard Hyman
917982,Ronald L. Holtz
919589,R. M. Hirsch
919990,R. N. A. Henson
927165,R. O. Hart
927298,Robert B. Heckendorn
929888,Roelof Helmers
934960,Robert Heinzelmann
935400,Roy C. Herndon
936542,R. P. Huebener
938158,RONALD R. HOY
942070,Richard W. Hamming
942592,Richard J. Hathaway
945420,R. C Harriss
946276,Roberto Henry Herrera
947381,Reductions Susanne Hambrusch
953723,Robert T. Hughes
956547,R. J. Hemley
959632,Ralf Heddergott
963661,R. T. H?egh
967030,Richard Hamming
968115,Richard G. Hoft
969777,Richard Hesketh
970553,Ralph Hunermann
972429,Ronald W. Holz
972620,Reshad Hosseini
973124,R. Glenn Hubbard
974207,Ronald S. Hawke
974873,Roald Hoffmann
975300,Ranko Hatsuta
978666,R. K. W. Hui
985192,Rex Harton
985227,R. G. Houlgate
989261,R. h. Hadfield
992340,Ron J. J. van Hoof
996617,Rafael Honysz
1003913,R. Heth
1005459,R. Haagens
1008626,Ra Hayward
1008768,R. r. He
1010664,Ramesh Hariharan
1012682,R. W. Hooft
1013993,Rafi Heiman
1017197,R. Howbrig
1017786,Richard Harvey
1020175,Robin Hns
1020844,Rupert Howes
1021291,Ronnie B. Harmon
1025249,Raimo P. Hamalainen
1025252,Roger Hult
1025806,Ralph Huenermann
1028065,Robert G. Holloway
1031586,Robert Ernest Hall
1031610,R. Reed Hunt
1032307,Richard T. Hart
1033400,R. Homma
1036633,Rainer Heintzmann
1040194,Rudolf Hanka
1043316,R. F. Hoeberling
1045730,Richard Herrell
1047075,Roy Carr Hill
1048261,Rickye S. Heffner
1049167,R. Hegselmann
1050363,Rob J. Hamer
1053218,Rajesh Hingorani
1054064,R. J. Hicks
1056003,Roald Hoffmann
1061572,Ronnie Harmon
1062901,R. j. Hillenbrand
1063867,R. Theodore Hofmeister
1064935,Roger T. Howe
1069019,Ravi Mohan Hosabettu
1072205,Richard I. Hornsey
1073085,R. Han
1074484,R. Hatert
1079321,Ralf Hempfling
1079408,R. Hamberg
1079631,R. Hammer
1081761,R. L. Halfman
1083149,R. D. Hays
1084607,Roland Hohne
1084673,R. Horita
1085109,Robert W. Harriman
1085490,R. L. Hann
1086831,Rebecca Hwa
1087844,R. W. Harrigan
1090772,Rinke J. Hoekstra
1097882,Robert J. Howlett
1098437,Rebecca Harding
1100134,R. k. Hoffmann
1105765,R. C. Hansen
1105896,Robert J. Hoard
1106421,Robert F. Hatch
1106552,R. Haydock
1107826,R. Honegger
1109301,R. J. Hardiman
1112706,Ryoji Hiroyama
1116382,Ronald H. Hardin
1120489,Robert Herzog
1120587,Robert W. Heath
1121138,Robert P. Hausinger
1121399,Richard Harshman
1125275,R. Horan
1127230,Robert W. Hagood
1129955,Robin Hunicke
1134833,Richard N. Henriksen
1134873,Robert H. Heidt
1135099,Ronald Helms
1137120,Radu Handorean
1138750,R. Hough
1140179,Ray Hill
1142497,Reiko Hamada
1143624,Robert Holibaugh
1143686,R. F. Hespos
1144086,Rob M. Hierons
1145889,Richard Hollenhorst
1150541,R. E. Hayes
1150721,R. A. Hein
1155301,Richard Hoffman
1157068,R. Horton
1159209,Robin B. Hunter
1160098,Robinson Hollister
1161666,Rudolf Holze
1163902,Rita Hadden
1164760,Rafael Honysz
1166356,R. Wayne Higgins
1166762,R. Hashido
1167358,R. c. j. Hsu
1171064,Ron M. A. Heerena
1175889,R O Hryniv
1178038,Robert W. Helsley
1179575,Richard Highton
1180005,Richard M. Hain
1183760,R. W. Hess
1187188,Ralf M. Hafner
1187914,R. J. Hogan
1188808,R. S. Hixson
