4203,Alan D. Irvine
10681,A. Isaacs
31829,Appeared Ieee Intl
63158,Angela Iurlaro
77200,Agis A. Iliadis
93241,Antony W. Iorio
95320,Ahmed E. Ismail
108535,Acoustics With Impedance
114079,Akira Ishiguro
116104,A. Ito
123198,Analysis Using Information
126947,Akio Iwabuchi
128153,Ales Iglic
129915,Antal Ivanyi
133156,A. Paraschiv ionescu
136187,Akihiro Inokuchi
146177,A. K. Iltaif
169169,A. Ishmaku
172828,Anand Padmanabha Iyer
175263,Ajay Ingle
178623,Adding One Power Integrator
196380,Ambient Devices Inc
212624,Akira Iwatsuka
214991,A Mycroft. Uniform Ideals
225689,A. Ishigame
238302,A. Ibaraki
239754,Akira Ishimaru
259274,Arti Cial Intelligence
264425,Alexander A. Ivaniuk
268626,Achievement Tests Ivon
276271,Av Blasco Ibaæez
279168,Alfred O. Hero III
280286,A. Illaramendi
294447,Alexander Iliev Iliev
300314,Aytac Ilhan
307147,Ana Lucia Iacono
310916,Agis A. Iliadis
311732,Abdelaziz Ikhlef
318142,Alan M. M Ivor
335353,Alexandru Iosup
336380,A. K. M. Najmul Islam
352540,A. Ivanov
354153,Ayhan Istanbullu
360296,Ana Iglesias
366979,Alan M. M Ivor Imaging
368192,Application To Interacting
388483,A Summer study Intensive
391607,A. Muneer Ishaque
401346,Angel Perles Ivars
416429,Atsufumi Ichihashi
425819,Akira Ichikawa
430217,Acta Informatlca
439492,Adriana Alexandra Ibarra
453512,Ali Ipakchi
456724,Atanas Iliev
464316,Amplitude Estimation Israel
475476,Atsuro Ichigaya
477175,A. Ishizu
477283,Alex Iliasov
486844,Atsushi Igarashi
487390,An Informal
497115,Alice M. Isen
502692,A. Aviz Ienis
504655,Automated Tolerance Inspection
509472,A. Ivan
531616,Azimuthal Asymmetries In
534808,A. Iorgulescu
542746,Akihiro Inokuchi
564512,Akihito Ishizaki
565558,Anton Ertl Institut
571980,Akihiko Iketani
572968,Akio Iida
573764,All Available Information
575026,Antonio Iodice
595746,Anucleus For Integrated
605415,Arvindand R. A. Innucci
611799,ANTHONY C. DA V ISON
615061,Andrew V. Ilin
617554,A Case Study For India
626038,A. a. Ibrahim
629025,Adam Coman Indiana
629663,A. Iosupovicz
631353,Amiel Ishaya
646799,Andrew J. Martignoni III
648095,Antti Iivonen
649976,Anca andreea Ivan
658464,Ali Ibrahim
660914,Arvidas Irzikevicius
664976,Anastasios M. Ioannides
686033,A. Iwasa
686727,Andrei Ipatov
699679,Antonio F. C. Infantosi
704735,Anthony R. Ingraffea
719362,Alan M. M c Ivor
724325,ANDRE J. S IMPSON
726000,A. Iouditsky
733700,Annapolis Micro Systems Inc
739871,A. Iannib
745610,Additional Information
757301,A. Ingraham
763237,An Interactive
766167,Alexander T. Ishii
783305,A. Ihaya
793594,A. Irzhikevichius
794802,A. Daz De Ilarraza
800020,Available From Iso
804185,Ahmed E. Ismail
824287,Alexandros Iosifidis
827102,Alan S. Inouye
827372,Alexander T Ihler
834791,A. Igarashi
854061,Alberto Isidori
855514,An Introduction
856581,Ahmed E. Ismail
860574,A. K. M. Najmul Islam
865308,Atsushi Imiya
870772,Ananth Rao Ion
872736,Ahmed E. Ismail
876641,Asad A. Ismaeel
876903,Albert L. Papp III
880719,Anthony M. DiGioia III
883873,Application In Image
884519,A. Ikeda
887064,And Its
895036,Alicia Villanueva Garc   ia
900153,Alexander Ilin
918642,Agis A. Iliadis
919303,A. Ishihama
926515,A. Iggidr
932360,Akinori Ihara
939642,A. Ido
953636,Agis A. Iliadis
959545,A. Iqbal
964899,Ashwin K. Iyer
974748,Automata By Interconnection
985316,A. M. Iskol'dsky
994974,Aa Ioannides
998933,A. Iwata
1000209,Aviad A. Israeli
1010269,Amr Ibrahim
1011956,Azzam Ibrahim
1016445,A Iteuter
1034314,Alejandro J. Garc   ia
1041261,Avaya Inc
1054760,Akamai Technologies Inc
1058665,Acta Inform
1076515,Aristidis Ilias
1079562,A. Irie
1081812,Alisa Irvine
1090881,Additivity Independence
1092320,Anand Padmanabha Iyer
1101900,Andrea Ichino
1107229,Atsumu Iseno
1116766,A. A. Ilyukhin
1125204,A. Ing?olfsd?ottir
1128083,A. Irb?ck
1128811,ANATOLI IVANOV
1129943,A. Iborra
1133088,Adam Kilgarri Itri
