18354,D. Chafa I
28968,Discourse Resource Initiative
73681,D. Ingalls
97105,D. Ince
107853,David J. Israel
111326,D. B. Isabelle
122454,D. Irwin
125713,D. s. l. Ing
127164,Despina G. Contopoulos Ioannidis
140975,Dubrovnik May Introducing
144266,D. Ingwerson
155249,D. Ito
163659,Danylo Zabolotny Institute
231329,Dimitrios Iliopoulos
236246,Darin Ingirnarson
241753,David J. Riese II
278520,David Iron
281283,Douglas D. Dankel II
301182,Daisuke Imaizumi
310720,D. H. IRVINE
328788,D. Ivic
351893,D. Brown III
361751,Dpartement Informatique
372294,D Ioana
382797,Database By Image
418972,D. Imai
429030,D. Ingzlls
449002,Darrel C. Ince
451781,Deliyannis , Ioannis
457548,De Araujo Iet
488241,Daniel Irimia
489630,Dan P. Ismailescu
491225,Diego Issicaba
512126,D. Iierman
515661,Dmitry I. Ignatov
515910,D. Ingman
529863,Douglas D. Dankel II
553057,Djamil A Issani
582757,Doug Isenberg
583419,Diana Szentivnyi Isabelle
610330,Daniil V. Iourtchenko
614327,Douglas A. Irwin
616757,Dolby Laboratories Inc
619228,Dipartimento Di Informatica
677845,Daisuke Ishiko
688425,Daniil V. Iourtchenko
693407,Detection Journal Iee
699044,David W. Inouye
711281,Donald Ipperciel
715028,Dmitry Ioffe
730663,Debraj Ray I
740949,De Informac
741392,D. Isla
784370,David L. Barton Intermetrics
786151,Division Of Informatics
809337,D. Ma. Ier
845053,Dario Izzo
876519,Donald E. Eastlake III
885425,Darrel Ince
895154,Draft Ieee
916321,Donald K. Wedding II
922771,Daisuke D. Ikeda
949974,Departament De Matematica II
973791,Daisuke Ida
987734,DAVID J. IDEN
1003601,D. Ince
1026243,D. Ingber
1081417,David J. Riese II
1094664,Den Iseger
1100035,David W. Inouye
1122375,D. Richard Brown III
1125696,Distributions In Integrated
1145491,Djaffer Ibaroudene
1152068,Dave Inman
1181649,Dpt Of Informatic
1194152,David J. Erickson III
1220737,D. R. F. Irvine
1247008,Douglas Irwin
1265698,Douglas A. Irwin
1310158,Dario Izzo
1317712,David Rios Insua
1320978,Dongkyun K. Im
1346743,D. Infante
1351605,Dipankar Banerjee Indian
1366947,Donald IPPERCIEL
1370121,Duangrat Inthorn
1411479,D. G. Ittner
1470219,Dean Partners Inc
1508779,Darrel Ince
1537070,Development Subject Ilona
1575038,Dragan Ivanovic
1625032,Dimacs Workshop: Fifth Inte
1658857,Dave Gower Since World War II
1663776,Deduced From Image
1711667,D. Ishiguro
1735872,David Isacoff
1738616,Daniel Gatica perez Iain
1775235,December Advanced Interface
1800068,Department Of Industrial
1812260,Daniel R. Ilgen
1821714,Daniel H. H. Ingaus
1844737,D. Isaacs
1853239,David Isaacson
1870077,David R. Irvin
1936497,Denis Echet Irisa
1951593,Deliyannis Ioannis
1966440,David G. Camp II
1986853,Douglas Irwin
2001086,D. L. Harrar II
2006113,Damijan Miklavc Ic
2029423,Dewitt Latimer Iv
2038020,Dean P. Inman
2041227,Doug Ierardi
2048906,Douglas Adolf I
2068618,Dariusz Idczak
2069237,D. C. Ince
2092582,D. l. Illman
2100290,Dimitrios K. Iakovidis
2111146,D. Ilias
2136827,Daniele Iencinella
2140003,David L. Ikenberry
2140476,Donald Ipperciel
2141748,Dror Irony
2144900,Daniel Ioan
2154633,D. Ingram
2193352,Domenica Fioredistella Iezzi
2203364,Dan Ingels
2217484,David W. Inglis
2230234,Deepa Iyer
2240056,Dimitrios Iliopoulos
2264941,DOUGLAS A. IRWIN
2277252,Douglas Irwin
