9764,O. Isvan
13543,Obsoletes Government Internet
110952,Oleg Yu. Imanuvilov
195734,O. Ishiguro
250528,O. Inganas
320435,Orhan Cagri Imer
361117,Ovidiu Ivanciuc
375484,Office Of The Information
428309,O. Issanchou
472584,Oleg P. Iliev
503324,Oleg Ivlev
555572,O. Ishikawa
593393,OME IDIER
660223,Object Management Group Inc
689875,Olga Igonkina
705305,Osman Ibrahim
845793,Objectivity Inc
849706,Of Management Information
876636,Oguz Icoglu
890280,O. Ieyasu
932602,Only Existing Infrastructure
1092766,O. Ichikawa
1158074,Osamu Imaichi
1199468,Osamu Ishizaki
1363001,On Large Interactive
1391749,Out_of_range Ieee_overflow
1517130,Oliver C. Ibe
1523063,O. O. Ige
1663594,Open Knowledge Initiative
1687495,Otis C. Wright III
1828489,Oreas Island
2018731,Oscar H. Ibarra
2087863,O. Ito
2133572,Open Systems Interconnection
2142282,Olli Ikkala
2163190,Of Tightly Integrating
2204474,O. Isnard
2218722,Of Third Intl
