27068,Gerry Johnson
29128,Gil Jin Jang
35033,Gary Johnson
38197,G. M. Jolly
51088,Gary Jensen
55472,Giulio Jacucci
63426,Gri Ar J
64086,Guofan Jin
83198,G. Jarosz
104156,G. Donald Jud
115640,Gary Jarkewicz
169045,Gary Jacob
178569,Gilberto De Martino Jannuzzi
194731,Glenn M. Judd
197154,G. Jiracek
206346,Gary Jackson
214200,Guofan Jin
215729,Gary L. Johnson
224718,Gene Eu Jan
226037,Garth Goodson Jay
231085,Gray John
237680,Gerald E Jellison Jr
237852,Guofan Jin
242190,G. Allan Johnson
247629,G Jones
257420,Gabriel Parmegiani Jahn
275733,Gerhard Jakse
277875,Geert Jonker
283462,Gerald Quentin Maguire Jr.
293752,G. H. Jacobs
297880,G. J. M. Janssen
312072,Genevieve Marie Johnson
318490,Gareth J. F. Jones
324755,Gary Scavone Julius
332852,Glenn Jennings
336638,Gordan Jelenic
348782,Georgi Jikia
353051,Gregg Huascar Jessen
362793,Gunnar Johansson
364471,Gerdien de Jong
368232,G. Janssen
370304,Graham B. Jones
419271,G. Junkin
433223,Glen R. Jarboe
440150,G. Allan Johnson
445828,Guo ping Jiang
468503,Gary L. Johnson
473458,G. H. M. Joordens
503198,Generalized Mean James
509150,Gilbert W. Bassett Jr.
511339,G. T. Jarvis
516660,Gearold P. Johnson
517834,Goo Jun
520677,Giuseppe Jacopini
531807,Geraint Johnes
543750,Gray Jim
552148,G. Jordan
582907,Graham Jones
583270,Gerald Jaynes
588439,Gerhard Jank
604302,Guofan Jin
629392,Glenn G. Jernigan
630396,Gerald J. Johnson
637863,G. Jacumeit
652089,G. J¨ager
657317,Glenn P. Jenkins
666376,G. J?ager
667374,Gentian Jakllari
671198,GERARD T. JANKAUSKAS
686984,Guðbjörn F. Jónsson
696127,Gerald J. Jogerst
702965,Glen A. Jaquette
717075,GyanendraPrasad Joshi
721422,G. Jamelot
767007,Gregory E. Jordan
773550,Gareth L. Jones
783383,Grant Wardell Johnson
789559,G. B. Joung
792375,Gregory S. Jackson
799614,Gearold Johnson
811043,Georgios Yannakakis John
811243,G Jancso
811614,G. Jaffray
837016,Gail M. Skofronick Jackson
837649,Gi jeong Jang
861324,Gudbjorn F. Jonsson
861402,G. Jenhwa
862905,G. Jacobs
866543,Gareth J. Janacek
866770,Genetic Algorithms Richard J
872175,Gr'egoire Jacob
872462,Gerald J. Jogerst
877355,Graham Jenkins
897379,Gerard Jacob
902098,Gary Smith Jonforsen
917454,Grant Wardell Johnson
920535,Geraint Johnes
941159,Gwang S. Jung
1002550,Ganesh Janakriraman
1002631,Gyu In Jee
1008120,Gerald Quentin Maguire Jr.
1021185,G. r. Janik
