43819,Ieee Computer Jan
54795,I. P. Jalowiecki
63766,Ian S. F. Jones
70251,In Ho Jung
90623,Ivan Janciak
118603,Ivan Jeliazkov
167344,I. M. Jacobs
200538,Ismail I. Jouny
222221,Ingrid Johnsrude
258932,Ilan Juran
282508,Igor Jovanovic
284481,IAN T. JOLLIFFE
298662,I. P. J??skel?inen
334354,I. K. Jordan
381750,Ibrahim M. Jaluta
391957,Irwin M. Jarett
455491,Ito Junko
459663,Ibrahim Jantan
476094,Igor Jovanovic
493827,I. Edward Jernigan
527359,I A. Jajszczyk
562554,In Ho Jung
600310,Igor Juricevic
615886,Ivan O. Juranic
621174,Ingrid S. Johnsrude
680071,Ivor Tsang James
682881,Isabel John
720190,Ivan Z. Jutrisa
727233,In M. I. Jordan
728413,It Joliffe
729556,Ibrahim bin Jantan
848235,I. S. Jacobs
892576,Iain M. Johnstone
901343,I Made Joni
975975,Ira M. Longini Jr.
995734,I chang Jou
1090755,Iryna Y. Johnson
1103104,Ivan N. Jordanov
1114845,Iwan Jensen
1138133,In Japanese
1140938,Inseon Jang
1192578,Iain M. Johnstone
1250545,Ingo Janas
1252858,Ira Jacobs
1324706,In Talplanner Jonas
1330394,Ilija Jolevski
1337798,It. Jochum
1366440,I. Jex
1414884,I. Jankowiak
1424503,Ivan R. Judson
1473355,I Made Joni
1506309,Ing Fa Jang
1528258,Ivan Jeliazkov
1552034,IAN J. JACKSON
1597427,I. A. Jen
1601423,II jaatun
1612988,Ilija Jolevski
1644826,I. g. c. Jonckheere
1650291,Ian S. F. Jones
1660588,I. S. Jacobs
1661343,Iain M. Johnstone
1682293,Isabelle Jeanclaude
1687731,Imad M. Jaimoukha
1699357,Im Eun jin
1713628,Ilse D. Jacobsen
1717881,Israel E. Chen jimenez
1722245,I. m. Jonsson
1729401,Iain M. Johnstone
1769302,Ingrid. S. Johnsrude
1778828,Isaacrudom Jose
1782691,In Ho Jeong
1798765,Istvan Jonyer
1862840,Ioannidis JPA
1879616,Ingrid Johnsrude
1893041,I. S. Jacobs
1913665,I. L. Janis
1925379,I. R. H. Jackson
1947434,Isabella Jung
1959973,I. S. Jacobs
2001618,Inke Jones
2103790,Isaac T. Jackson
2109315,I. S. Jeong
2113879,Ian W. Jones
2125731,Ingrid Johnsrude
2136956,Ian Joyner
2140138,Ignacio Juvells
2179067,I. P. Jones
2193021,I. Johnson
2198144,Ilan Juran
2238501,Ick Hoon Jang
2247959,Ibm Corp. Jikes
2248768,I. b. Jang
