579,Jared A. Jeffries
950,Jee Hyang Jeong
3283,Jurij Jaklic
6733,Jawahar Jain
14568,Jiemin Jiang
14692,J. C. Wells Jr.
14852,J. J. Joshi
21623,Jacob Grydholt Jensen
23300,John Grundy Jun
23312,Joseph E. Harrington Jr.
23462,Julyan Cartwright Juan
25114,J. Jamrozik
26789,James S. Jephson
31211,Joanna Jedrzejowicz
36243,John F. Nash Jr.
36603,Jin Cong Jiaxiong
36878,Jeremy L. Jacob
37798,Jiri Jan
38300,J. J. Jiang
43416,J. J¨urjens
45585,Jet Min Jou
63756,Juan Jos Jimnez
65850,Jyh Ming Jong
67528,Janja Jerebic
67558,Jeffry Jones
72526,Jenifer Juranek
73938,Jian Min Jin
79139,Jerome J. Jahnke
80264,James O. Jensen
80498,James A. Hatch Jr.
81114,J. L. Fernandez Jambrina
84953,Jonna Jarvelainen
88900,James Odell James
90720,Jong Wan Jung
103730,J. Y. Josefowicz
105698,J. Howard Johnson
106338,John E. Jackson
106715,JOHN R. JORDAN
107547,J Judice
109371,Ji eun Roh Sin jae
114021,James C. Boerkoel Jr.
116065,Jean Luc Joly
126659,Jinhun Joung
131004,James W. O'Toole Jr.
138255,John S. Jeavons
139711,J. Bradford Jensen
141500,Jeffrey G. Jasko
146226,Jeff Dayton Johnson
148342,Jean baptiste Joinet
155228,Jesse A. Johnston
155444,Jim Jansen
155566,J. De Jong
157705,Jacquie Jarvis
161607,Jiann Wen Woody Ju
161838,Jack Jachner
173400,Joseph J. LaViola Jr.
174213,Jorgen Arendt Jensen
180775,J. E. Jasper
185403,Jack Carson Jr
191507,Johannes Jagers
196105,John R. Jones
196115,J. P. Johnson
200939,John A. Kershaw Jr.
205455,Juan diego Zapata rivera Jim
211447,Jorge Rady de Almeida Jr.
216216,Jingfeng Jiang
216409,John D. Joannopoulos
220421,J. A. Jacquez
221467,James M. Johnson
224079,Jinn ke Jan
231808,J. F. Jala
231922,Jacob Johnsen
237867,Jose J. Segura Juarez
240014,Jyh Horng Jeng
245537,J. p. Jue
248871,Joseph M. Jez
250204,Jari Jokiniemi
255998,John D. Joannopoulos
258600,Jae Pil Jung
268989,Jone Hann Jean
276823,Johan Jeuring
277229,Jihong Jin
287378,J. H. Jeans
288255,Jinghuan Chen Jaekyun
289190,Joost Jonker
300405,Jiaya Ji
301263,J. J. Jewell
305968,Joshua Isaac James
310300,Jong Ryul Jeong
319302,Jose Rocha Faria Neto Junior
326279,Jin Ho Jo
328842,J. Jobin
333475,J. Jesuino
334277,Jayaprashanth Jayachandran
337799,Jeff A. Jones
340525,Jun H. Jo
344271,Joaquim A. Jorge
346030,Jerzy W. Jaromczyk
351209,Jos Celso Freire Junior
354005,Jay M. Jacobsmeyer
354263,James R. Jones
366865,J. JANTA
367098,Joan Ferrer i Jane
369371,Jichai Jeong
371902,Jair Jehuda
373175,J. Zinn Justin
375556,Joseph M. Jez
376659,Juhani Jaakola
377353,J. P. Jones
380422,Jin Ok Jeon
383810,J Workman Jr
384455,Jogikal M. Jagadeesh
397340,J. R. Jungck
410097,Jianping Jiang
412180,Jean Philippe Jacquet
