14258,Richard A. Jorgensen
17406,Reginald B. Adams Jr.
17661,Richard O. Bierregaard Jr
19085,RICHARD J. BOLAND JR
20398,Rachel Jones
24893,Rik D. T. Janssen
26417,Richard M. Jiang
28832,R. Johnson
30805,R. Jane
32837,Robert M. de Jong
37682,Richard Jacques
50197,Radhakrishnan Jagadeesan
57336,Robert L. Tureman Jr.
63414,R. J. Jagacinski
64000,Richard M. Jiang
65996,Rod T Jackson
75075,Rufus A. Johnstone
77058,Rick L. Jenison
84271,Roland Jeurissen
85686,Robert E. Jamison
95574,R H Jackson
111282,Roy D. Joseph
112395,Ralph D. Jeffords
113312,R. e. e. Jongschaap
120493,Robert C. James
133818,Robert Jeansoulin
136093,Rajaa Abu Jabr
137124,Ravi Jagannathan
146989,Raymond Jongschaap
148711,R. H. Jones
164520,R. Jos
166515,Roy M. Jenevein
166702,R. k. Jullig
167064,R. Jenne
169832,Randy L. Jirtle
174754,Robert A. Taggart Jr.
200491,Robert H. Bell Jr.
201967,Rotemberg J. Julio
210805,Rainer Jordana
214354,Ray Jones
222058,R. M. Johnson
225413,R. Jyotsna
225603,R. V. Jean
230104,R. C. Battalio J
232145,Raymond G. Jacquot
248214,Richard L. Jones
250373,R. E. Jeroslow
259382,R. h. Jackson
265154,R. Jaenicke
279617,R. J. Jayakumar
280492,Robert Claris'o Jordi
280510,R. A. Jorgensen
286548,Riko Jacob
308131,Rajagopalan Jayakumar
314093,Ray Simar Jr.
315088,Robert A. Jarrow
319446,Rubin Rubin Long Running Job
321743,Robert I. Jennrich
325413,Ricardo Arencibia Jorge
330527,Robert A. Jarrow
331919,Richard M. Jennings
332619,Robert Lingle Jr.
350093,Reconstruction Using Joint
356772,Robert L. Morrison Jr.
358861,Robert L. Van Uitert Jr.
368121,Rainer Jordan
374602,Richard Joseph
375101,R. j. Jorna
380507,Ronald Benton Byrnes Jr.
385278,R. T. Johns
396322,Richard Jonker
403079,Robert L. Bulfin Jr.
420895,R. Jenkins
422097,Reese E. Jones
424222,R. Jordan
427451,R. H. Jeppesen
433946,R. Jayakumar
437682,Roberto Hirata Jr
438961,R. J. Jannarone
442039,Ross J. W. James
456127,Romanas Janushkevichius
457228,Roberto Marcondes Cesar Jr
460530,Roger G. Johnson
460810,Richard L. Jenson
479649,R. Patrick Jacob
481280,Ravindra Jejurikar
499767,Ren Jonker
501266,Ravi Janardan
503558,Rob Johnson
505693,Richard M. Jiang
512110,R. Jagannathan
515593,Roland G. Fryer Jr.
525871,Renuka P. Jindal
530782,Rajiv Jauhari
535288,R. Jenkins
539483,R. Jameson
542487,R. Juskiewicz
550212,R. M. Cameron jones
580196,Rene Jensen
587722,R. Jambunathan
591685,Robert J. K. Jacob
592398,Rao Jianqiang
594414,Roby Joehanes
610589,Relinde P. M. J. Jurrius
622338,Richard C. Johnson
624688,Rodney J. Johnson
624908,Russell T. Johns
625335,Ritesh Jain
629268,Roy Joshua
634278,Rasmus Kragh Jakobsen
639429,Rudolph Potenzone Jr.
640058,Russell L. Jones
646898,Ramesh Jain
647732,Robert M. Jackson
669974,Robert J. A. Jones
674174,Ravi Jagannathan
698686,Robert Johansen
704238,Ralf Peter Jaime
706610,Raj Jain Raj Jain Raj Jain
709185,Regina Jucks
715118,Robert P. Chase Jr.
728091,R. Le Bouquin Jeannes
738862,R. Johnson
739067,R. Jutras
744511,Ralph J. Jaccodine
745147,Ryan C. Jones
746309,Richard A. Jorgensen
763244,Rui Joaquim
766801,R. D. Johnston
766938,R. Jagannathan
769159,Raimundo Jos
770890,R. J. Johnston
778824,Richard A. Jorgensen
780229,Ronald C Jantz
799250,R. Janssen
803366,R. Y. Al jarr
803507,Raymond Pavlak Jr.
808747,R. i. Johnson
811189,R. Jorgensen
823163,Roger Jones
834821,Robert E. Johanson
859558,R. J. J. Jongschaap
859810,R. Dan Jacobson
861738,Rajani R. Joshi
867646,R. M. Axline Jr.
877115,R. B. Jotania
879294,Roberto Marcondes Cesar Jr
897620,R Knill jones
901943,R. Joseph
909846,Robert Platt Jr.
912380,Raj Jain
912404,R. T. Compton Jr.
915392,Robert C. Johansson
917089,R. Kipp Jones
920110,Ron Johnstone
920528,Robert Kremens Jason
923633,Ray Jackendoff
927224,R. Y. Al jaar
928965,Rhys Jenkins
929818,R. D. Jeries
940380,Robert Jarrow
940597,R. P. Jones
952103,Richardson Jurbsek
953574,R. Jimeno
970547,R. H. Johnson
983541,Russell T. Johns
985467,Robert E. Jenkins
987703,Richard Hughes Jones
988790,Roberk J. K. Jacob
992372,R. h. St. John
997763,Robert L. Jacob
1002011,R. Joostema
1003624,R. W. L. Jones
1011685,R. J. J. Jongschaap
1017596,R Jayakrishnan
1020062,Rob Jarvis
1023551,Robert B. Johnston
1024313,R. Jansen
1028699,Raymond Jones
1031339,Richard W. Joiner
1032060,Robert A. Jarrow
1037003,Randall W. Hill Jr.
1051722,R. Thomas Jagoe
1061922,R. Jensen
1062584,Radu S. Jasinschi
1069790,Richard Jones
1078171,Richard J. Linn Jr.
1079223,Robert S. Jampel
1080854,R. Jayakrishnan
1083614,Rogelio Jiménez Jiménez
1091620,Rasmus Nyholm Jrgensen
1113204,Ronald N. Jones
1125044,R. w. Jansen
1142071,Roger James
1143575,ROB JONGMAN
1144772,Renaud Jardri
1149149,Roger N. Johnson
1154823,Rong qing Jia
1155474,Razali Bin Jidin
1157536,Ronald Jansen
1164514,Robert Jarrow
1165755,Rebecka Jornsten
1168942,Rt Johnson
1173568,R. W. Jurchuk
1176730,Relinde P. M. J. Jurrius
1177108,Robert M. Joseph
1189663,Robert K. Jansen
1194556,Robert C. Jachens
1198132,Robert Jernigan
1199945,Range Queries Joseph
1203468,Robert A. Rasch Jr.
1208513,Rong Jin
1209808,Ricardo Arencibia Jorge
1210650,R. Acimovic janezic
1227082,R. r. Jones
1234096,Ronald Jones
1237844,R Jauhart
1241917,Robert Jajcay
1250671,Robert E. Jenkins
1252809,R. Jackendov
1268291,Russell Johnson
1268665,Randolph L. Jackson
1269841,Raymond E. E. Jongschaap
1295021,Romanas Janushkevichius
1296633,RPMJ Jurrius
1300237,Richard James
1319287,Ralph D. James
1330787,Richard J. Jacobs
1356951,Romuald Jagielski
1361595,Robert J. Dunki jacobs
1363862,Rasool Jalili
1365841,Robert Jacobs
1365922,Roger Paul Johnson
1370471,Rene Jativa
1384646,R. Brooke Jeffrey
1389836,Ruben Van Wendel De Joode
1394103,Ravindra P. Joshi
1400486,Richard Jacobs
1405162,Rebecca Jonson
1407473,R. J?hnk
1410199,Robert W. Jackson Jr.
1418117,Ron J. Johnston
1423354,Reinhart Job
1425614,Robert H. Dodds Jr.
1427294,Robert Jervis
1442095,Robert D. Johnson
1442410,Roberto Marcondes Cesar Jr.
1442499,Rafael T. de Sousa Jr.
1461148,Rostam Joobbani
1462176,Robert Leon Jerrard
1469653,Richard Jaffe
1469813,Ramesh Jain
1473959,Robbie P. Joosten
1475640,R. Jellison
1496226,Robert S. Olyha Jr.
1496466,R. R. Joshi
1501960,R. J. W. Jonker
1502528,Rui Gao Jia
1504306,Ron Kwok Jian
1505360,Randall S. Janka
1518814,Roy L. Johnston
1523800,Rajiv Jain
1524261,R. A. Johnston
1528761,Robert A. Joyce
1532215,Raquel Fernndez Jonathan
1535131,R. Janardhan
1551482,Robert H. Dodds Jr
1556804,Restorative Justice
1563820,Ruth Jäger
1569329,Robert L. Jackson
1580606,Roman Jakobson
1583256,Ren Jtiva Josep
1585773,Raquel Macias Jareno
1587318,R. B. James
1600293,Robert W. Jernigan
1610589,R. de Jong
1618319,R. Patrick Jacob
1622467,R. b. Jackman
1625837,Rachel Jones
1628765,Robert D. Van Valin Jr
1629442,R. S. Jasinchi
1638718,Richard J. Boland Jr.
1642157,Rasmus Jakobsen
1645968,Renaud Jardri
1648582,Richard Jensen
1649599,Report Atip Japan's
1659394,R. J. J. Jongschaap
1661892,Robert P. Bosch Jr.
1668967,Richard C. Jefirey
1672590,Roberto Ruiz Jose
1674049,Ryan Jones
1716738,Rainer Jordan
1720139,ROBERT G. JAHN
1726575,Robert L. Stephens Jr.
1728778,Rakesh Singh Jadon
1735575,R. Jain
1738210,R. K. Jarwal
1746913,Robert R. Jueneman
1757372,Ronald N. Jones
1757754,Ronald D. Joslin
1776701,Robert de Jong
1779497,Ricardo Arencibia Jorge
1780002,Ray Jackendo
1788181,Richard Jerome
1792134,Roberto Marcondes Cesar Junior
1801970,Rainer Jordan
1809157,Rolf A. Jansen
1813369,Rune Moeller Jensen
1835203,R. Jenkins
1846568,Robert H. High Jr.
1849666,Regulation Compliance Jie
1866916,Raymond B. Johnson
1870425,Robert Jagnow
1874758,Robert J. J. Jongschaap
1884240,Rob Jerdonek
1896641,Robert H. Dodds Jr
1899272,Roozbeh Jafari
1903674,Rick C. Joyce
1909190,Robert Jackson
1917126,R. Jacobs
1924108,Rahul Kumar Jha
1924899,R. H. Johnston
1925622,Radha Jagadeesan
1932319,Richard J. Malak Jr.
1937416,R. Des Jardins
1937428,Ricardo S Jimenez
1942377,R. H. F. Jackson
1947428,Ryszard Jakubowski
1947809,Richard Jozsa
1950697,Richard Hastings James
1954024,R. K. Janval
1958562,Richard E. Jones
1966000,R' Emi Jullien
1970257,Rainer Jordan
1973642,Richard Johansson
1976536,Roberto Hirata Jr.
1980432,Richard W. Jones
1985139,R. S. Johannes
1985579,Rabih A. Jabr
1988220,Rittwik Jana
1989867,Richard Karp Jeremy
1996111,Rocha Jr
1998007,Renaud Jardri
1999317,R. Jacobsen
2008285,R. t. Johnk
2013006,R. Johari
2019467,Ryan Jesser
2028704,R Jeansoulin
2037994,R. H. Jebsen
2038168,Russell L. Finley Jr.
2038534,Renling Jin
2039207,R. V. F. Janssens
2049071,R. LeBouquin Jeannes
2054474,Randolph M. Jones
2056604,Ray A. Jarvis
2062566,R. T. Jones
2067142,Reinhilde Jacobs
2069349,Robin L. Jarrett
2070551,Ruoming Jin
2086401,Robert B. Jerard
2091839,Roger Abou Jaoude
2099884,Ron W. Johnstone
2114467,R. F. Jocteur
2125199,Roberto Marcondes Cesar Jr
2128757,Robert A. Jenders
2144496,Roberto Marcondes Cesar Jr
2149304,Revision March June
2166555,R. Jamison
2179657,Rodney Wayne Johnson
2186749,Ranjeet John
2186821,Rebecka Jrnsten
2191994,Renville H. McMann Jr.
2195418,RAGOT Jose
2205163,R. E. Johnston
2209849,Rowland R. Johnson
2213497,Ruth Jones
2218947,R. Jerisian
2228680,Robert J. J. Jongschaap
2231480,Robert Jr
2233366,Ralph Jordan
2237116,Roberto Marcondes Cesar Junior
2251312,Rajit Johri
2254604,Roger N. Jones
2272320,Ron Joseph
2277846,R. d. Jackson
