44,A. Kuroiwa
1300,A. W. Kushnniruk
2682,A. Kuchar
3105,Andrzej Komosa
3700,Andreas Krebs
5607,Askold G. Khovanski
7076,Akio Kawana
7226,A. Koerner
8427,Aapo Koski
9852,Alexander Kipp
10513,Anton E. Kunst
13124,A. Kluger
13954,Ahmed A. Kishk
14249,Amir Zabet Khosousi
14780,Anna Kupsc
15238,Andreas Kussmal
20943,Alan Kamas
23692,Andrew D. Ker
25830,Arkadii V. Kryazhimskii
26531,Alexander Konyukhov
27781,Arjohn Kampman
31905,A. Al kabbani
34369,Ambalika D. Kutty
35564,Ashok Kumar
36509,Alexander B. Kyatkin
38788,Arthur Kantrowitz
40507,Andre Klindworth
43174,A. K?uchler
44715,A. Klausner
46831,Angie C. Kennedy
49277,A. Kankainen
52078,Andreas Krug
53688,Ahmet H. Kayran
54581,A. S. Kozlov
56003,Andrea Krings
57746,Angela Kempe
58741,A. Kimura
58895,Andreas Kind
60086,Anna B. Khmelnitskaya
62536,A. W. Koers
68023,A. K¨uchler
71340,Andrew J. Kornecki
71406,Antonius A. C. M. Kalker
73594,Arne Koopman
73831,A. Kraus
74081,Ayako Komatsu
75541,Alexander Koller
76119,Ali Karaali
80366,Arzad Alam Kherani
83448,Ada Kritikos
85163,Allan Kuchinsky
85741,Andrew A. Ketterson
89043,A. Kalyanaraman
89212,Andrée Klein
94640,ARATA KANEKO
95013,A. Katebian
95073,Alexander Kocian
96782,Anders Krogh
96860,Aardra Kachroo
98662,Alexei D. Kachkovski
101611,A. A. Kontogeorgos
103430,André Kushniruk
106351,Anas Kabbaj
107032,Arnold D. M. Kester
107443,Aleksandra Kostic
108149,Alexander M. Krot
110187,Armin Kurtz
111261,A. s. Kim
113802,Amir Zabet Khosousi
113833,A. Kennedy
115533,Ali Karimian
118904,A. Knoesen
120890,Anton Kruger
121480,Asim J. Al khalili
124320,Annette Keller
124535,A. Kokkos
125997,A. Khider
126269,A. Kercek
128063,Alan Krueger
130277,Arthur R. Kantrowitz
131537,Andy J. Keane
134213,Andreas Kuehlmann
134607,Ahmed Khalil
140888,Andreas Kraus
141140,A. Kanudia
141461,Ariel Kahan
142034,Andy Krause
148748,Alistair Knott
149895,A. Kappas
150518,Alexander Karainov
150520,Alexander V. Khaetskii
153099,A. d. Kim
156758,Alvin K. Klevorick
158057,A. I. Kalinichenko
158709,A. Kidera
161154,A. Kazi
162958,A. h. Khalid
163144,A. j. Krijgsman
166510,Atanas K. Kiryakov
168218,Andrew Kurzon
168292,Armin Kuhnemann
170127,A. Kindurys
172335,A. Kruse
172659,Alexander Kreinin
174177,A. Kementsietsidis
174228,Arvind S. Krishna
175254,Alexander A. Klyachko
176672,Arthur B. Kennickell
177626,Ahsan Nabi Khan
182411,Ashay Kadam
183891,Annette J. E. Koning
184509,Alireza Kazemi
188096,Asako Komori
188646,A KROT
193453,A. Kinabar
193592,Andrew Kerr
196982,Andrew M. Kernytsky
198628,A Knowledge
205128,Anne B. Koehler
205338,Ashley Krupski
206784,Alexey Kupriyanov
208345,A. I. Kobzev
208959,A Keys
210465,Alexander A. Kitaitsev
210612,Ashraf Khalil
212293,A. V. Krukov
215621,Arthur Kleinman
216937,A. Kamerman
217260,Alan F. Karr
217807,Ahmed Jamil Kattan
219888,Aaron H. Konstam
222288,Ayman Abouraddy Kimani
231502,Alex Kosoruko
231526,A. Kumaraswamy
233317,Ali Khatibzadeh
235124,Antje Krause
237094,Arthur M. Keller
238233,A. Kari
238770,Arthur I. Karshmer
239207,A. Kratzer
246998,Atsushi Kuranouchi
249517,Anand S. Kunnathur
251989,Akisato Kimura
253152,A. Kawahara
257283,Akihiro Kajiwara
262318,A. K¨¹hnemann
265950,A. Kedzior
266235,Alfred Kersch
266306,Allan Knight
266732,A. Kroll
266749,ARNOLD KRANSDORFF
269240,Anna Korula
270364,A. Koster
275562,Arpad G. Kelemen
277686,A. C. Konig
278268,Andrew V. Kubarenko
278650,Ali A. Kanso
278683,Abdul Rahim Khan
279837,Ahmed A. Kishk
282829,A. J. Kachler
283695,Alexander A. Kolesnikov
284924,Alexander R. Kemer
295569,A. m. Kulkarni
296982,Axel W. Krings
300505,A. Kassem
300534,A. D. Koutsospyros
301022,A. Klein
301166,ALEXANDER M. KASPRZYK
303114,Abel Klein
304941,Aleksandr Aleksandrovich Kurayev
305281,Andras Kornai
305593,A. El kholy
308721,Alexei G. Kritsuk
310434,Antonios G. Kladas
311811,Alessandro L. Koerich
317051,Ashutosh S. Kothari
317152,Asif Saleem Marko Krznari
317608,Aard Jan van Kesteren
318042,A. A. Kaminskii
318526,Andrei L. Kholkin
318779,Ajay Kulkarni
318806,A. Kugel
319398,Antonis C. Kakas
321151,A. S. Kolobanov
321544,Amir Zabet Khosousi
322866,A. Kassoff
326784,Andreas Kipp
327224,A. Kemeny
327460,Alan M. Kelly
328415,Alexander Kloes
329508,A. Kobsa
330330,Andrzej Karwowski
334132,Alice E. Koniges
337210,A. Kojima
337430,Achim Kempf
340040,Andrew Kolcz
341176,Ann S. K. Kwan
341838,Andrew Kirby
343319,Aaron D. Kahn
344164,Apostolos A. Kountouris
344602,A. Kodama
344693,Andreas Kolb
347407,A. Khastan
350636,A. J. Koshar
354007,Asif Khalak
354512,Avto Kharchilava
355628,A. Khastan
358214,Anne Kallioniemi
359247,Abdul Samad Kazi
359717,Annamaria R. Varkonyi Koczy
361553,Ahmed Kada
363160,Architectures Arvind Krishna
363511,A. Kovner
365083,A. A. Kronik
365477,Ayhan Kose
366560,A. J. KENYON
367712,A. Kamoi
369268,Andrzej S. Kozek
369615,Asheesh Khare
370891,Athanasios Kottas
371231,A. Kasardova
378619,Alexandros G. Kaloxylos
381548,Alan M. Kadin
382446,Andrey I. Khalaim
384128,Albena Dinkova Kostova
386663,Alec Knox
386827,Adalbert Kerber
389294,Axel Kahn
392032,Atsuo Kuniba
393134,A. K. Khalifa
393673,A. Kia
402948,Aldebaro Klautau
407580,Alexander A. Kuraev
408428,Alexander B. Kostinski
408473,Aart W. Kleyn
408823,Armin Krauß
409550,A. Kalinov
410825,Antonio Kruger
410878,A. Kashihara
411153,Andre Knoesen
413550,Alejandro A. Kapauan
414196,Aisling Kelliher
415163,Alexander Veniaminovich Kononov
416185,Andruid Kerne
417749,Alfons Kemper
419707,Alfred Kobsa
419730,Aart W. Kleyn
421128,Arthur E. Kirkpatrick
421902,Alar Kuusik
423115,Adam T. Kruger
426048,Anil K. Kashyap
426682,Aladin Kamel
430498,Abida Khattak
430823,Andi Kivinukk
431839,Aggelos K. Katsaggelos
436331,Anurag Kumar
436458,Avner Kalay
439152,Alma KHARRAT
439704,Alexander Kleppe
442596,A. Kjoelen
442754,Atsushi Koike
443905,Ayumu Kubota
444040,Abraham Kaplan
444567,Alexander Kroeller
445147,Anthony Kalcina
446181,Ayman Kassem
446599,Ali El Kahki
451139,Alan Karthikesalingam
451165,A. Knorr
452533,April Kontostathis
452707,Alissa M. Kendall
453530,Anil Kottantharayil
454274,A. K. Kaltabani
455387,Atsunori Kanemura
456945,Armin Kanitsar
458717,A. K. Kerimov
458883,Atsushi Kamitani
460189,A. Kundu
461395,Avinash C. Kak
462270,Azer Kh. Khanmamedov
462919,A. Kraus
463621,Alan Karthikesalingam
466647,Ateet Kapur
466871,Avi Kavas
468296,Alan W. Katz
470718,A. Kamar
471516,Antoine E. Karnoub
472801,Alexander Kossatchev
473452,Adeeba Kamarulzaman
478905,Alireza R. Khotanzad
484686,Axel Kwiatkowski
484815,Anup Kumar
484935,A. Khorlin
485300,Alexander E. Kobryn
490935,Andrey I. Khalaim
492688,Attila Kondacs
496258,Alexey Kuznetsov
496357,Arlin J. Krueger
497570,Arto Kettula
498576,Andreas Karwath
499852,Andrey R. Kolovsky
499876,Alexander M. Klushin
500480,Andrew J. Kompanek
500853,Andreas J. Konig
502952,A. Kv\aeligrn\o
503379,Akira Kato
504221,A. Kataoka
505523,Andrey V. Krylov
507430,A. Kagan
511786,Anne Kaldewaij
512081,Andrew L. Kun
518038,A. I. Kulyavtsev
520090,Arie Kapteyn
520446,Arne L. Kalleberg
521264,A. R. Data Systems Kindred
521630,Ayman Kaheel
528358,Amit Konar
530037,Agnes A. Kaposi
533056,Armand M. Kuris
533365,Andreas Klotz
533815,Ai Chiao Ku
533911,Alan R. Kay
534440,Angelos D. Keromytis
534604,Atsushi Kara
535531,Alptekin Küpçü
537108,A. S. Kamrukov
537677,AHAD KAZEMI
539745,Arvind Krishnamurthy
544203,Amoz Kats
544326,Axel Kleindienst
545013,A. Koczy
545095,Anjan Kundu
551205,Alexander Krupp
551765,A. Kalra
551801,Arnd Kohrs
552626,A. Koratkar
555371,ARNO B. J. KUIJLAARS
558015,Anush Kumar
558651,Albert S. "Pete" Kyle
558951,Alan J. Kirby
561320,A. S. Klovdahl
562913,Akihisa Kameari
563636,Asha S. Kapadia
563932,A. Kreuzer
564172,Alptekin Küpçü
565460,A. Karar
567042,Anatol W. Kark
569733,Anos Koll
570492,Armand M. Kuris
570619,Alexander S. Kechris
570742,Alan M. Kelly
575579,Ansgar Kaupp
577558,A. Kuketayev
579613,Alexei Korolev
581258,Aneesh Khetarpal
582083,Alexandra Kirsch
582415,Andrei V. Klimov
584989,Anna Kozak
585078,Ahmad Khoshnevis
585964,A. J. Kleinosowski
587315,Alexander Kruskal
590276,A. Taeke Kooiker
594604,Andrey B. Kucherov
596948,Andrew Kun
597770,Atsushi Kitai
598147,A. Kwan
598970,Along Chromosmes Karine
603195,Allison Kempe
605269,A. a. Konyukhov
606830,Aart de Kruif
607201,Adem Kalinli
608901,Aleo Krenek
611232,A. Kusko
612192,Andrew Kahng
613046,A. Khastan
615404,A. Koldobskyy
616034,A Kamarck
618013,A. Kurosu
620017,Adam Kilgariff
620963,A. I. Karakash
623614,A. J. Kurtzig
623677,Alexanr A. Kurayev
626919,Adam G. Kirk
627201,Arno J. Knobbe
627252,Andrzej F. Kozdon
627803,Alexandra A. Korneva
628964,A. Kaffashan
629800,Ashvin Kannan
635846,Abhay Kejriwal
636760,A. Krogh
641029,Akihiro Kawaguchi
641150,Abdelwahab Kharab
641161,Anna Karlin
642680,Anuja Krishnan
644445,A. Kishimoto
646170,A. Kamal
648601,Abram Kagan
649701,Alexander A Kanapin
650023,A. N. Kolmogorov
650732,Asawaree Kalavade
650933,A G Kofman
653157,Alexander Kick
653676,Alfredo Alexander Katz
653773,Alexander S. Kott
661745,A. S. Kalabukhov
663910,Andrew L. King
665479,A. Karyukhin
665743,Amir Khajepour
668483,Angela Krstic
668498,A. Katbab
669107,A. Kumagae
669448,Alexander H. G. Rinnooy Kan
671627,Andrei A. Kirilenko
677840,A. K. Patra D. W. Kim
678877,Alexander V. Konstantinou
682931,Andrey S. Krasilnikov
683928,Amit A. Kalele
687205,Alain Kerbrat
688380,Anantha R. Kancherla
690342,A. K. Manoj Kumar
691037,Abraham Kandel
694473,A. e. Korolev
695406,Andreas Knauf
696561,Awais M. Kamboh
697411,Alan E. Klietz
698431,Ari Kahn
698432,Alexandre Krupa
700658,Anne Kool
703171,A KLOPPER
703928,Aparna Basu Kumar
706363,A. A. Kovalevskiy
706602,A. W. Kuhfeld
706822,A. Kopsel
710288,Astrid M. L. Kappers
714054,Alex Karagrigoriou
716496,Alexander Kister
717310,Atsushi Katayama
720233,Anne Maree Kelly
722674,Alexey E. Kondratiev
723736,Antonin Komenda
725249,Atsushi Kuroda
728977,Amichai Kronfeld
729630,Andrew Q. Klapper
733254,A. Kunimatsu
734873,Antonis Katartzis
735495,Andrew D. Koffman
736063,A. Kurokawa
736741,Anja Kleber
737188,Anshul Kumar
738264,Adar Kalir
738357,Arne Kovac
739068,Amit Kale
741129,Adrian Kobler
741415,Amy Ksir
745476,Alexander N. Korotkov
747216,Ahmed Abul Kassem
752047,A. Webb Kennett
754756,A. S. Kamrukov
759041,Alexander Kolliopoulos
760241,Abhishek Kumar
761327,A. Kunzmann
763726,Agnes Kurucz
763857,Anna Lila Kaushik
765586,A. Kamb
766170,Amara G. Kolda
767186,Alexey Kalinin
768804,A. Kawabata
