5387,B. J. Kang
5887,Brendan G. Kenny
6111,Bart P. Knijnenburg
6514,Bernd Kortmann
7853,Bradley E. Kratochvil
8780,Behrokh Khoshnevis
12610,B. Kantrowitz
14727,B. De Ketelaere
19821,Bijoy K. Khandheria
25232,Bernd Krauskopf
30707,B. Kordi
32401,Bassem Kamar
37454,Bernhard Kaiser
39191,Bohumil Kasal
45287,B. Krishnamoorthi
54704,Brendan Kitts
64053,Bo Woo Kim
63257,Beth M. King
66606,Buntha Ea Kim
67034,Beverly K. Kahn
72790,Bo Kagstrom
72887,BYUNG WOO KIM
75273,Bryan Matthew Klingner
77686,Barbara J. Knowlton
77693,B. B. Kowalski Kowalski
77974,B. Michael Kelm
85240,BERND KRAEMER
88999,B. a. Kiselman
89307,Behrokh Khoshnevis
89557,Burhanettin Koc
93719,Barbara K. Kaye
95462,Bases In Public key
98624,BUNJI KONDO
100890,Burhanettin Kuruscu
107537,B. Kumar
108620,Byung Guk Kim
114460,B. Kieslinger
124349,B. Kisielewski
125730,Bogusław Kluge
136617,Byoung Hoon Kim
139741,Bernd Klasen
149229,Brian Kantor
149906,Badara Ali Kaba
164769,Boris A. Khesin
174589,B. Kortteinen
175739,Boseob Kwon
179169,B. Kleemann
179292,Bassam Z. Kahhaleh
180136,Brent Keltner
181937,Bernd Andreas Kniehl
185143,Brigitte Krenn
187076,Benita S. Katzenellenbogen
188382,B. Krusche
194746,B. Kalteyer
195984,Berndt Kuhlow
218724,B. French Keogh
220210,B. Kinnersley
227448,Byung Joon Kim
229070,Barun K. Kar
238588,B. Ksir
240892,B. Kaufmann
242702,Brian Kirkegaard
247340,Balveen Kaur
252696,B. Koenig
254314,Barbara Lee Keytz
263807,Byung H. Kim
268121,B. Kamousi
271277,Benjamin Kleber
277245,Balazs Kegl
278067,Bo Kasal
282714,Beena Kamath
287588,Beth R. Krauss
295120,B. A. Karr
302036,Boriana Koleva
304996,B. Kalitine
305043,BOGUSLAW KUSZTA
306280,Boris M. Kuzhevskij
310179,Byung ki Kim
317328,Bert Jan Kooij
318772,B. Ksskn
319599,B. Kritiansson
322566,B. Koster
323195,Ben Kovitz
331247,Bodo Kraft
332643,Bruce Robert Kingma
333938,Bong Jun Ko
337639,Balazs Kegl
339496,Byung Jae Kwak
339829,Bruce E. Kimmel
346485,Bastian Knerr
347475,Bostjan Kobe
348394,B. Kauffman
351283,Byunghoon Kang
375692,Ben Kröse
377601,B. W. Kernigan
379931,B. l. Kaspar
380140,Barbara Lee Keyfitz
380550,Body Of Knowledge
383124,Bernd Michael Kelm
392738,Birgit Kraus
395678,Barbara Dunin Keplicz
399940,Brewster Kah|e
402434,Bernd J. Kramer
402740,Bob Kanefsky
409117,Boris Klots
411751,Brian A. Korgel
412932,B. Khomenko
435380,Bruce Knobe
437874,Benjamin BloomAlan Kaminsky
443502,Borje Felipe Karlsson
446757,Bahattin Koc
450268,B. J. Kroger
452520,Barbara Dunin kȩplicz
