2342,C. b. Kim
3685,Cornelius G. de Kruif
4089,C J KOTRE
4646,C. E. LAN KFORD
8317,Celso Setsuo Kurashima
12119,Christopher G. St. C. Kendall
12316,Constantin Kappas
16826,Christian Kissling
32110,Can Keskin
34396,Camilla M. Kao
39484,Chee Keong Kwoh
50967,Chonggun Kim
57995,C. s. Kiminami
64636,C. Kedowide
74078,C. C. Jay Kuo
78146,Clemens Kerer
81060,Chae kyu Kim
93145,Chunghee Kim
98496,Clerc Dervieux Keriven
103781,Chris Kyriakakis
104142,Cameron Katrai
114842,Chih ming Kuo
119359,Chan Hyun Kim
121416,Christian Kray
123236,Chris F. Kemerer
128039,Catherine Sauls Key
135530,C. K?rner
148574,Carl F. Kaestle
152517,Carolyn M. KurleElizabeth
153273,CHARLES T. KUFS
155013,Cheng Kok Koh
155210,Charles S. Kline
169403,Charles M. Kahn
170391,Claudia A. M. Wheeler Kingshott
181126,C. W. Kapral
182077,Curtis P. Kolovson
184489,C. Kaler
184973,Christian Kleiber
188475,C. Kane
192456,Christopher M. Johns Krull
193519,C. Delgado Kloos
193816,C. David Kibler
195253,Christian Kanzow
197830,Cesar Kunz
198083,Chen chi Kuo
199400,Charles N. Kurucz
200291,Cornelus G. de Kruif
200296,Christopher J. Kocmoud
200371,Chee Keong Kwoh
209909,Claudia Kammann
210206,Cs Kashuk
211145,Christopher N. King
211386,Chong Hee Kim
212244,Cecilia Kremer
215910,Carl Kyono
216890,Cornelis G. de Kruif
220975,Carlos E. Kenig
221254,C. Kaouri
221400,Charles B. Keating
222721,Cheol soon Kim
223208,Chong Hoon Kwak
224221,C. L. Keast
224791,Christopher Kommareddy
229774,Canasai Kruengkrai
230510,Cesar Kunz
235200,Christopher Kruegel
235458,Chris Kimble
236414,C. Disselhorst klug
238312,Christian L. Keppenne
241038,C. Kozhuharov
249492,Christos Kozyrakis
268695,Chungwoo Kim
276135,Claus Kiefer
288403,Charles Kellog
301746,Chris Kemerer
302931,Chinmaya Kar
309117,Christian Kreuzer
309314,C. Knudson
316119,Cynthia J. Kenyon
320390,Chang wan Kim
331510,C. j. Knorr
334745,Cornel Klein
336490,Charles L. Karr
337089,Ch. J. Kim
338904,C. D. Keeling
341357,Christoforos D. Kavadias
341458,Cheul U Kim
342057,C. C. J. Kuo
342075,Carl arndt Krapp
352793,Christopher Kermorvant
355782,Constance Charlier Keating
356483,Cornelia Kneser
362723,Chih yang Kao
363193,Charles C. Kemp
367999,C Kotropoulos
371881,Craig Knight
372062,C. Khanal
375168,Cory J. Kapser
377709,Chang Eob Kim
378655,C. Kindel
380093,C. W. Keayler
382260,Chee Kin
385849,C. Klamut
394580,C. C. J. Kuo
400911,Christian Kopf
404325,Csaba Kiss Kallo
406602,Chul Min Kim
409560,C. m. Kurt
412882,Corey Kosak
413211,Chris Keen
414301,Charu Kakkar
416580,Carole Kerdelhue
421387,Christian Keber
424446,C. Kepler
425607,Christopher A. Kennedy
432432,Chuan Koon Koh
443064,Chinmaya Kar
445080,Chandan Kumar
445144,Chester Kos
445432,Chanwoo Kim
450397,Christoph Kuhn
455249,C. G. M. Kassels
459074,Claus Köster
467439,C. K. Kwong
472410,Clifton L. Kussmaul
478747,C. Klein
480959,Cornelis Koorn
483082,Csaba Koncz
503365,C. Kessler
505861,Chang Jin Kim
509767,Carlos N. Kozameh
510067,C. M. Johns Krull
510999,Control Xenofon Koutsoukos
513198,C. l. De Korte
515975,Christopher Roger King
537548,Chi Wah Kok
544619,Claudia Kaye
550405,C. A. Kelly
553683,Charles B. Kuznia
555530,Chuan Liang Kao
556495,Chandra M. R. Kintala
559035,Chris Kirmse
562295,Christopher Kiekintveld
570481,Cezary Kaczmarek
579638,C. D. Kilts
579759,C. Kozlik
582060,Cornelis G. de Kruif
586739,C. W. Kennedy
587233,Christian Kohler
587728,C. Kl
591470,C. Maria Keet
592932,Claire J. Kramsch
597203,C. Kit
599022,Carl Kingsford
601762,Chikashi Kondoh
604852,C. Seiti Kuroda
607797,Chan Kim
620350,C. C. Jay Kuo
624682,C. Kraus
626191,Charles R. Keese
629655,C. P. Ravi Kumar
632426,Chris Keylock
632555,C. Kawakita
633507,Chee Keong Kwoh
634867,Chandra Kintala
639732,C. Kohchi
653622,C. KARYSTIANOS
657562,Charles F. Kutscher
663966,C. M. K. Kaunzinger
664346,Ceyhun Karpuz
669958,Clarence D. Kreiter
675291,C. T. Kiranoudis
690435,Christian Kaehler
697598,Chris Bailey Kellogg
707419,Christine S. Koberg
713048,Chee ha Kim
717658,Chung J. Kuo
717966,Charles C. Kemp
728342,Charles Koehler
739271,C. C. Jay Kuo
742899,C. Kink
746068,Chyuan haur Kao
751471,Christian Kreibich
754313,Cs. Kuti
756546,Chulyun Kim
760465,C Klein
769940,C. N. Krishnan
785192,Constantinos Kotsokalis
788837,Charles M. Kahn
790472,Claudia Kunze
795934,Claire Knight
799602,Chong oh Kim
799683,Claire J. Kramsch
807287,Chien Min Kao
810337,C. Kwan
811188,Carole Kerdelhue
811462,Carlos Delgado Kloos
814017,Chien hung Kuo
816234,C. L. Kleinke
821239,Curtis D. Klaassen
828546,Conventional Feedback Keepers
830154,Carsten Grosse knetter
830993,CAU Kiel
837665,Cees J. Koomen
846373,Clifton L. Kussmaul
846391,Chin Su Ko
847439,C. Kalbfleisch
851866,Carol Krumhansl
858254,Chi wen Kuo
861263,Caitlin L. Kelleher
867456,Constantine Kotropoulos
870657,Cheol Min Kim
871767,C. cj. Kuo
876288,Chang Seok Kang
887912,Christian Kaestner
888487,Csaba Keszei
888556,Carlos E. Kenig
891134,Christoph Kern
893465,Christos Komninakisk
895418,Ch. Bernier kazantsev
902539,Chul soo Kim
906393,C. Y. J. Kao
907303,Chia Hung Kao
909691,CHRISTINE M. KALINA
917669,Chia nan Kao
918663,Caroline Kulcs'ar
920906,Chris E. Kuyatt
921975,Chan Kyung Kim
929320,C. Ko
930746,Claudia Irene Kammann
937314,C. G. Khatri
943649,C. k. Kwoh
944864,Charles R. Kurkjian
948520,Carron Kirkwood
951137,Chee Keong Kwoh
953999,Clare Marie Karat
956895,Chandra Kintala
957026,C. Krieg
960307,Cenk Kaynak
964751,Chandrasekhar Krishnamurti
965247,C. Kurth
966401,C. G. De Koster
967368,Christian Krämer
969953,Candace E. Kalish
972784,Cees G. de Kruif
972912,Christiane Kloditz
978422,C. Kilgus
981018,Christian Kaestner
982782,C. R. King
984622,Christopher Bailey kellogg
985580,C. J. Kee
992067,CHRISTIAN KREPS
995031,C. Keilhack
996939,Ciphertext Secure Public key
1001089,Carla Koike
1003785,C. Kolleck
1017751,Christopher Kruegel
1018277,Christoph M. Kirsch
1030505,C. A. King
1031797,Chee Keong Kwoh
1032976,Chichung Kot
1035725,Chanwoo Kim
1045337,Chul U. Kim
1045367,Changes In Glial K
1046963,Claudia Kretzschmar
1056205,C. H. Kung
1062178,Carpraux Godunov Kuznetzov
1062401,Clarence D. Kreiter
1062473,Changkyun Kim
1066273,C. F. Kinney
1069327,C. S. Kee
1073372,C. Radha Krishna
1077643,Charles Klein
1080422,Christian Krempaszky
1080508,C. de Kruif
1087790,Caroline King
1088754,C. J. Kerr
1089389,C. R. TIMMEL U. TILL B. BROCKLEHURST K
1095363,Charles Krasic
1095621,Christian Kurmann
1111162,Clyde Kendall
1117486,Chulhyun Kim
1118803,Casey A. Klofstad
1121980,Clementine Klein
1121998,Christopher Kolda
1131706,Christos Koukouvinos
1132051,Clemens F. Kaminski
1132727,Chris Kimble
1134509,Chang Dong Kim
1140551,Cornelus G. de Kruif
1146029,Chong Min Kyung
1160831,Cenk Kose
1172733,Charles D. Knutson
1187157,C. P. Kocot
1187921,Chris Kimble
1199521,C. h. Kuan
1202931,Clemens Kadow
1207814,C. Klingshirn
1217295,C. Kussbach
1217408,CORRY H. DE KONING
1218361,Chang Ik Kang
1222366,Changbum Kim
1222469,Charles D. Kolstad
1228557,Cherif Keramane
1229247,Charles Kahn
1235081,Csaba Kiss Kall\'o
1240710,Claudia Bertram kretzberg
1243813,Chuan Koon Koh
1244915,Craig E. Kolb
1245785,Cees H. M. Van Kemenade
1247042,Celal Korasli
1248229,Claudia Kammann
1253482,Carolyn M. Kurle
1257143,Christine A. Klemens
1267375,Christoforos E. Kozyrakis
1271804,Christopher M. Koval
1278657,Chia Lin Koh
1281851,C. Kupferschmidt
1282337,Christian H. Kuhn
1283325,Calvin Yiu Kit
1288591,C. Koeppel
1295807,C. e. Kampf
1298766,Chun chih Kuo
1300552,Chris Bailey Kellogg
1305030,Christian Haag Kristensen
1311651,Carolyn Keeler
1316320,Clint Kelly
1318076,Christopher J. Kaalund
1319751,Chris Kingsley
1320728,Christoph Kuhmunch
1333849,Chris F. Kemerer
1338509,C. Y. Ku
1350031,Christopher A. Kennedy
1357803,Chang Suk Kim
1357894,Charlotte Kristensen
1360626,Ch. Kuhrt
1366133,Catriona M. Kennedy
1366406,Chamroeun Kchao
1370230,Cemal Kose
1374087,C. Kester
1376723,C. Koc
1379799,Claus J. Knudsen
1382863,Carolyn M. Kurle
1384728,C. Bouras S. Kastaniotis
1386150,Christiane Kuhrts
1387845,Contact Information Kaner
1394233,Chaim Kaufmann
1398304,Christian Kray
1402050,Cornelis Klomp
1402231,Csaba Kelemen
1402612,Chris Knight
1407865,Carrie N. Klabunde
1415231,Carlos Delgado Kloos
1415443,Carlos E. Kenig
1417605,Cynthia Kuo
1422011,Clayton Kunz
1422925,Cathy Kessinger
1427953,C. e. Kessel
1428810,Chong kwon Kim
1445252,Colin Krawchuk
1449777,C. C. Jay Kuo
1454104,C. Y. Kwan
1454422,C. M. Knop
1454469,Claudia H. Kawas
1459855,C. J. Kircher
1464247,Chang eon Kang
1464426,Candace Kam
1469469,Clif L. Kussmaul
1471096,C. Keefe
1477338,Christoph K�hn
1485801,Carsten Kowalczyk
1487888,C. C. J. Kuo
1489094,C. H. Kuo
1492341,C. D. Keener
1492706,Christof Kulske
1498794,C. Klimasauskas
1501338,C. A. C. Kuip
1505053,Christine L. King
1519986,Carl Korobkin
1521693,Chi Man Kwan
1528493,Chul E. Kim
1532482,Chiharu Kusakabe
1533178,Christopher Kennedy
1534881,C. Kallmayer
1542475,Christel Kemke
1546268,C. H. Knight
1546558,Chaim D. Kaufmann
1569645,C. KLINGSHIRN
1571531,Christian Kiss
1573907,Celine Kuttler
1580332,C. G. Karagiannopoulos
1593920,Cornelis G. de Kruif
1594081,Cheng Hia Kang
1594237,Christopher Kurtz
1597457,Cees G. de Kruif
1599773,Cheryl D. Kelly
1617780,Christopher Knapper
1621041,Chan M. Kim
1630205,Christopher S. Koper
1630527,Christopher V. Kimball
1633955,C. A. Kosmatopoulos
1636789,Cemal Ozgur Kivilcim
1640118,Chryssa Kouveliotou
1643964,Claudia H. Kawas
1645712,C. Kailasanathan
1645948,Charles S. Kenney
1647587,Christos Komninakis
1666599,Clifton L Kussmaul
1668110,C. Kose
1670889,Christian Krauss
1677679,C. Kipnis
1678501,C KOTROPOULOS
1679463,Constantine Kotropoulos
1682508,C. P. Kwong
1683111,Chao Kan
1694851,Charlotte F. Kristjansen
1695902,Chun Ho Kang
1698691,Charoenchai Khompatraporn
1699526,Charles F. F. Karney
1702737,Cherie Keen
1704243,Charles R. Kohut
1704716,Cheng Hia Kang
1715551,Carolyn B. Knobler
1717075,C. C. Jay Kuo
1717828,C. G. de Kruif
1719322,Chinmaya Kar
1719710,Carina Kabajunga
1722649,C. Kisielowski
1723926,Christian Korthals
1725102,Collimators Srijit K
1732813,Christian Koennecke
1734439,Christopher Kruegel
1740962,Cris Kobryn
1741598,C. Kiparissides
1743361,C. Koester
1746356,Chad Kidder
1747781,Chang Ying Kwun
1749224,Christopher J. Keylock
1750065,C. Kato
1754137,Ch. Kiesling
1754582,Chiu yen Kao
1755167,Christian Komusiewicz
1757089,Constantine Kotropoulos
1764218,Claus F. Klingshirn
1773302,Cornelis G. de Kruif
1777073,Cheol Sung Kim
1777925,C. Kelly
1780119,Carolyn M. Kurle
1781385,Chih Hsin Ko
1782097,Cornelis G. de Kruif
1783735,Chng Kim
1792420,Christopher Kadlec
1793257,C. Kittridge
1800172,C. The Character Kamm
1805569,C. f. Kao
1807556,Color Constancy Kobus
1812842,C. Kalyushnaya
1814548,Chang wook Kim
1817097,Christine A. Kozak
1817814,C. Kumar
1821586,CRAIG A. KOVERA
1824579,C. P. Koshland
1824980,Chia fu Kuo
1825579,C. Karnabatidis
1825935,C. Delgado kloos
1829651,Constantine A. Kagarakis
1829809,C. Tissa Kappagoda
1831444,C. S. Krishnamoorthy
1832229,Candace A. Kamm
1848374,Cindy M. H. Kuijpers
1849165,C. Krupczak
1850277,C. S. Chidan Kumar
1850720,Celine Kuttler
1851972,C. Kraft
1852455,Caroline Kudla
1858135,Charles P. Kollar
1858752,C. C. Jay Kuo
1863779,Christiaan Peter Jozef Koymans
1864855,Carolyn B. Knobler
1866788,Christian Komusiewicz
1869293,C. Cheng Kao
1871203,Chang sup Keum
1878076,C. c. Ko
1880836,Christopher Kohler
1881728,Chcoljung Kwcon
1882000,Che Yeon koo
1882181,Charalampos Karagiannidis
1885231,Caroline King
1889889,Chang Kim
1894374,Charles Knouse
1896898,C. Kirby
1897208,Chunyu Kit
1899205,C. V. Krishna
1902982,Christopher S. Kochanek
1904740,Con Keating
1907582,Cody Kwok
1916439,C. C. Jay Kuo
1917812,CHIHIRO KASAI
1919287,Carlos Alberto Kamienski
1929342,C. L. Kim
1929812,Chung Kuang Ko
1930637,C. A. Katz
1931603,Christian Krempaszky
1935936,Charles H. Koelbel
1936028,Costas I. Karageorghis
1942917,Chung Soon Kuan
1942973,C. S. Kwok
1945219,Chan Young Kim
1949302,Chul Sung Kim
1960157,Chronis Kynigos
1962801,Charles Kellogg
1963475,Chuen Jyi Ko
1965826,Corrado Kropp
1966963,Catherine Vaucelle Katherine
1968449,C. C. Jay Kuo
1968742,C. Maria Keet
1972770,C. N. Konstantinopoulou
1977252,C. Koen
1979853,Chwung Shan Kou
1981534,Carlos Delgado Kloos
1983837,Constantinos N. Kassianides
1992194,Charlotte Koster
1992475,Carl M Kadie
1993416,Catherine M. Klapperich
2005337,C. H. Knap
2007705,Cholseong Kim
2008184,C. E. Kees
2009310,Christopher Kruegel
2017088,Catherine M. Klapperich
2017537,Christof T. Klein
2019044,Charles F. Kelemen
2019588,C. Kanellopoulos
2029671,Curtis D. Klaassen
2029932,Charles W. Kisseberth
2037919,C. Khelil
2039291,Carsten H. Kristensen
2040864,Chang Jung Kao
2041544,Chi Chou Kao
2045007,C. Kurupakorn
2051048,Christof Krick
2053312,C. P. Kumar
2055493,C. Kumaravadivelu
2057176,C. Kurt
2060152,Constantine Konstans
2062184,Chris Korycinski
2064970,C. Kent Kwoh
2065444,Charles R. Kime
2066015,Chongqing Kang
2076202,C. Koulamas
2077369,Carol R. Karp
2080975,Charles M. Kahn
2087084,Cody C. T. Kwok
2090598,Can Kesmir
2093944,Christoforos E. Kozyrakis
2094910,Cornelia Kober
2095850,Carl Kesselman
2097285,C. Kaya Koc
2103945,C. Kirkegaard
2110664,Cat Kutay
2110886,Carmen M. Muller Karger
2118193,C. c. Kuo
2118485,Cornelia Kawann
2148434,Cations Artemov Kazakov
2148980,Chisa Komatsu
2152828,Cagri Seda Kumru
2154848,Claire Kenyon
2157497,C. Kargel
2172462,Cheng Shu kang
2176762,Claude W. Keefer
2179149,Chee kian Koh
2179688,Chinuk Kim
2184669,Christian Kreft
2187515,C. F. Kwiatkowski
2188690,Caroline Kulcsar
2190682,Christine Kamprath
2192893,Charles R. Kalmanek
2193156,Craig Knight
2194574,C. R. Kagan
2197141,Chandra Krintz
2207248,Curtis T Keith
2211194,Claire Keane
2215543,Charbel El Khawand
2226867,Charles F. F. Karney
2229294,Characterization Of Knowledge
2237018,Charles E. Keegan
2239301,C. Krasnor
2241723,C. Kastenholz
2246485,C'esar Kunz
2247736,Chanwoo Kim
2248691,Christoph Koch
2254302,Cornelis H. A. Koster
2254943,C. y. Kwok
2256598,Charles Krafthofer
2258786,Christian Krempaszky
2259508,Christoph W. Kessler
2265497,C. Klimowicz
2267631,Christian Knauer
2273002,Christian Kromer
2277557,C. Kaiser
2277757,Chad Lane Kurt
2281028,Christian Kaestner
2284722,Czeslaw K. Kazimierczak
2287535,Charles D. Kukla
2289401,Christian Korunka
