2369,G. Kafer
12054,G. Kolchak
17486,G. v. Kapoustin
17696,Gregory Kimberly
28286,G. Kruseman
30606,Gregory A. Kemp
34055,G. J. Kroes
38993,Gary Koop
41839,Gad Koren
51608,Gadi Karmi
52431,G. Kaminsky
54120,Gordon L. Kindlmann
54372,G. k. m. Khan
57451,George Kollias
58393,Guenther Knoer
59974,Gunnel Kallgren
71212,Gregor Knorr
71217,Graham Kimberley
80900,Gregory A. Keoleian
83224,G. Kemkes
88670,G. Kindermann
106668,Graeme Kelly
110382,Geoffrey C. Kiel
114278,Graeme Kirkpatrick
130162,G. Ki
137183,G. T. Kneebone
140757,Gabor Keitner
140992,Gottfried K?ohler
142157,Gerzson Keri
144036,Gregory Koutmos
151654,G. Kreider
159558,G. Kuriger
174910,G. M. Kolachev
175251,Grzegorz Krupa
180138,Gabor I. Keitner
182488,George Kollias
187948,Gary W. King
189554,Glenn E. Krasner
194153,Gota Kawai
203027,Gerd Kortuem
206565,Gunter Kniesel
211691,Girish Kumar
212589,Gaurav Kataria
213052,G. Krijtenburg
216474,Gunther Kalff
220310,Guido Kings
224202,Gautam Kumar
231398,George A Koussidis
232488,Gunnar W. Klau
234266,Gerald C. Kane
237810,Geerd Kakes
238128,G. L. Kharatishvili
244680,G. Kozlowski
244730,Guy armand Kamendje
261222,G. Muraleedhara Kurup
265014,G. Kunda
267787,Goro Kitsukawa
267974,Gary A. Kildall
276596,Gyula Karolyi
282503,Gerhard Knoblinger
287852,Gunes Karabulut
287890,G. Krupke
290667,Gerhard Van Kaick
302786,Gunther Kundt
307179,Gregory B. Kaplan
312113,G. Kyriakou
317130,George Kollias
318673,Guillaume Urvoy keller
319558,Gohar M. M. Kyureghyan
339167,G. E. Kalmus
348131,Gregor A. Kiddie
350758,Guus de Krom
353796,G. Katragadda
361224,G. S. Kazacha
361363,G. Yu. Kulikovand
367504,Gunhee Kim
372296,G. Drew Kessler
379776,G. Koteles
384264,Gifford Keen
385663,Ger Koole
386931,G. P. Kurpis
388659,Gordon Kurtenbach
397106,Gabriel M. Kuper
398244,Ger Koole
399720,G. H. Katevenis
402285,Guido M. van Koningsbruggen
406236,G. W. Krutz
406288,Gerhard Klimeck
407225,GENADIJUS KULVIETIS
426236,Germain Kreweras
429110,Giorgia Kyriakaki
435905,George P. Kouretzis
437178,Graciela Kaminsky
441319,Gerald Krell
442791,Gunther Komp
443410,George A. Katopis
449760,George Kollias
456538,Gerolf Kotte
460072,G. Koning
461581,G. Vijaya Kumari
463348,Gregory T. Klus
465162,Garth M. Kraus
466843,G. Kirchhoff
467390,Gokalp Kahraman
468024,G. P. Kouretzis
476105,Gerald P. Keith
477452,Gary Knight
482790,Gary E. Kopec
488168,Georgios D. Kalokiris
489830,Georgios Konstadinidis
491567,Gerda L. Kamberova
493479,Gerard J. Kluitenberg
494711,Grigoris Kaltsas
496461,G. Kiyota
499579,Ger Koole
500608,Gyudong Kim
506201,G. M. Kepler
508060,G. Murali Krishna
517039,Georg Kirchsteiger
520473,GEORGI KHIMSHIASHVILI
526590,Gerard T. Kyle
532171,G. Kulon
538881,G. van Keuk
540610,Gertjan Kamsteeg
542153,Graciela Laura Kaminsky
543322,Gary Koop
549019,Graciela Kaminsky
550524,G. p. Kennedy
551609,Gunter Kniesel
553447,G. Klosch
554282,G. Kotsis
556311,Gloria Kissin
566883,G. A. Kotyujanski
580333,Grover S. Kearns
581882,G. Kiss
583880,Georg Kosters
591828,G. Kraut
593541,G. S. Kuo
593588,G. k. Kornfeld
599519,G. Klein
601377,George J. Klir
603714,Gabriel Kotliar
620921,Georg Kreisel
627612,Gabor Kecskemeti
628734,Gopal K. Kapur
632758,George V. Kondraske
643242,Georgios Kambourakis
644508,G. J. Koel
645036,Gilbert R. Kinsey
645196,G. Kosakowski
647415,G. Kalmus
648311,Gabor Karsai
649727,Gord Kurtenbach
653242,Gwang Hui Kim
655151,G. Ku
659607,G. Kostaras
669738,G. Krahmann
673131,G. Keefe
679332,Gu in Kwon
680932,Gordon Kurpanek
683039,Geert Jan Kroes
686598,G. Kido
687413,George Kollias
689542,G. Kriss
693773,Ger M Koole
