591,Harald Kirchner
3864,H. Keim
5735,Hee Sun Kim
13678,Hao Song Kong
14429,Hideki Koike
15691,Hyun Tak Kim
20637,Hiromichi Kojima
24456,Harald Kirsch
25399,Helmut Kuchenhoff
29902,Hyeong Seok Kim
30440,H. Kurosawa
31072,Han Jong Kim
32089,Hiroshi Kawase
39276,Hwan Joon Kim
40391,Hidetoshi Kido
43467,Haralambos N. Kritikos
46169,H. W. Kendall
46670,H. C. Kanithi
48973,Hee chul Kim
61239,Hans Ulrich Krieger
61287,H. c. Koo
61514,Hirohisa Kiguchi
61517,H. Kucera
69577,Hideo Koguchi
69627,H. Kalmus
73037,Hillel Kolodner
73218,H. Kashiwagi
74378,Holly Kelleher
75340,Hisayasu Kuroda
76250,Horton KM
79248,Hyoung rae Kim
83672,H. Kawano
84717,Hans joachim Klein
85351,Howard Kaushansky
88503,Hyungtak Kim
88918,H. Kurnakura
90831,H. Kuwano
92002,Hye Sun Kim
92171,H Kung
95746,H. Kirchner
101147,Howard Kleiman
105341,H. Kober
114333,Henry Kautz
117901,H. A. Kramers
117920,H. Kind
118097,Hong Rok Kim
120934,H. Kiesel
130472,Herbert Kliem
135219,H. Pirouz Kavehpour
138214,Hyoung sub Kim
140274,H. B. Kekre
141996,Hartmut Kapp
143614,Hai Young Kim
145507,Hoang Kiem
150374,Hilmar Koerner
150930,Heikki Klviinen
155047,Herbert Karner
156142,H. G. Kahrimanian
159496,Hideko Koshima
160466,Herbert E. Kreyszig
160916,H. Kurlansik
162665,H. Kunov
164060,Helge Kahler
164104,Hisashi Kashima
164478,Hiroki Kamijo
164492,Heiko K?rner
164824,Helmut Krueger
165613,H. Koeth
167049,Hamid Reza Karshenas
167446,Hyunchul Ku
169017,Harwood G. Kolsky
173893,Hitoshi Kitazawa
176496,Hiroshi Kobayashi
179757,H. Kurino
180187,H. Kubozono
193225,H. Koshiba
207037,Hironori Kamada
210379,Hironobu Kitabatake
212877,Henry Kleine
216334,Haran Karmaker
223981,Hiraki Kei
227822,Helen Kitrinou
232944,Hyung Ki Kim
240077,Harold K. Knudsen
241055,H. A. Kramers
244224,Hermann Karcher
244274,Helmut Krawinkler
247593,Huoy Min Khoo
248022,Hubert Kalf
250355,H. Kathol
250436,H. d. Kochs
254889,Hidenori Kawamura
258602,Hing Kiu Kan
259546,H. Kawai
270096,Hiroshi Kojima
274263,Hagop M. Kantarjian
277056,Hyuk Chan Kwon
277928,H. Kurz
280025,Hyun jeong Kim
281197,H. Ko
281411,Hirotaka Kikyo
281756,Hartje Kriete
286578,Herbert Kuss
298337,Hendrik Kueck
310055,Hannu Kauppinen
310412,Hyun Suk Kim
311902,Hantak Kwak
313212,H Schmidt kloiber
317964,Harry J. Kip
324410,Hemant S. Kudrimoti
325332,H. Phillip Koeffler
333138,Henry Kautz
334185,Hidenori Kakehashi
336796,Harm Knot
343100,Hamidreza Rashidy Kanan
343564,Hao Chung Kuo
347006,H. Korn
349176,Hyesoon Kim
349894,H. Kotera
350262,Hiroyuki Kurata
350265,Hans Ulrich Krebs
351385,Hans Peter Kohler
352882,Horacio C. Kaufmann
353236,H. Phillip Koeffler
355955,H. Kopp
356940,Hidenori 小林秀典 Kobayashi
358346,H. Kanai
360279,Helmut Krcmar
360388,Harriet H. Kagiwada
360944,Hojeong Kang
364839,Harold William Kuhn
366308,H. Kitano
367155,Hemal N. Kothari
368039,Henry Kim
373166,H. W. van Kesteren
377179,H. Kaakani
386998,Hyungshin Kim
395097,Hennie M. Kelder
398543,Hyong Gook Kim
399577,Hauke Kindler
410570,H. W. Krautter
412085,Herbert P. Killackey
415054,H Kubicek
419632,Henrique Kallas
426056,Hasan Komurcugil
426581,Hyo Chang Kim
430539,H. Kushibe
432787,Hiroaki Kobayashi
436157,Hiroyuki Kajimoto
437386,H. Krall
437869,Hirohito Kikukawa
438711,H Song Kyunghwan
443892,Hoang Van Kiem
452013,Hiroshi Kawakami
455973,H. Krupnova
458403,Ho Joon Kim
459802,Hans W. Klein
460510,Ho Seong Kim
460785,H. Kambara
463413,Heiner Koppermann
465359,H. Klaiman
466646,Heidi G. Kuehn
467097,Henry A. Kautz
473077,H. P. B. Kurtz
474676,H. Kanj
479517,Herve Kunz
481190,Haruo Kimoto
481793,Hans Klompen
485892,H. Georg Kuhn
492234,H. Kamimura
492264,H. B. Kon
493936,H J Klm
494023,Hans Ulrich Krebs
495833,Heiko Kirschke
496120,Helge Kruger
498653,H. Klotz
501013,HAIG KALFAIAN
502779,Harold J. Kushner
505971,H. L. Kaplan
511406,Ho Fai Ko
512883,Hwisam Kang
516160,Hiroyuki Kogaki
519961,Handelshjskolen I Kbenhavn
524684,Hongbing Kou
531163,Henry D. Knowles
535690,Hyuk Jae Kwon
537292,Harald Kube
538030,Hannu Konttinen
538251,H. Kohler
538631,Hyo Sung Kim
540721,HENRY M. KRISCH
541557,H. Kramer
548146,Hi Jung Kim
548817,Hubert Konik
549186,Hayato Kaetsu
550092,Hong Se Kyoung
556352,Hendrik Kabrede
564173,H. Kruse
564468,Hedia Kochkar
565458,Hiroaki Kusada
573064,Heath A Kelly
577224,Hans Ulrich Klein
578397,Hyun Soo Kim
578929,Hans G. Kellerer
579598,H. Krsger
581464,H. C. van Kuijk
585640,H. Sadi Kuleli
588241,Hillel Kugler
589787,Howard Kidorf
590503,Hiroko Kato
592755,Hyo Ju Kim
592988,H. Kubota
593601,Hans Karlgren
598830,H. Markus Knoflacher
602708,H. Kabata
603079,Helmut Kornmann
606838,H. w. Ko
609660,Hideo Kudo
611347,Hans Peter De Koning
618654,HITOSHI KONNO
618668,Hong jin Kim
619271,Hiroki Kamiyama
619727,Hans Martin Krolzig
620106,H. Kawaehima
620325,Heikki Keskustalo
624845,Hans Keiding
626811,H. U Krebs
627885,Hyeong Il Kim
629040,Herbert M. Kaufman
632698,Henry Konig
637441,Hakaru Kyuragi
641679,H. Kabashima
643444,H. Kumazawa
644369,Honggyu Kim
646583,Henry Kautz
646766,Hajime Karatsu
