8441,I. Kawano
33426,Ivan Kassammacov
37391,Iwan de Kok
38331,I. R. Karetnikova
43617,Inc Kinemetrics
51622,I. Kameny
60312,I. Koike
65146,Ioannis Karafyllidis
68767,IKEUCHI Katsushi
76075,I. Konenkamp
79750,I. Kani
81314,Ioannis Z. Koukoutsidis
86576,I. Kitayama
98448,I. Kurita
103772,I. Kravchenko
105278,Ibrahim Kuscu
122828,I. Kawabata
123998,I. Koffman
133300,Il Jung Kim
147296,Ian C. Kegel
147543,I. Kodama
154644,I. Khan
164847,In Soo Ko
166871,In seen Kim
180850,Interpretation Gudrun Klinker
189262,Ivan Kol
197512,Inger Karlsson
202589,Ii. T. Kung
208392,Itaru Kurosawa
218512,Ismo Kauppinen
221506,I. Korhonen
225567,Ichiro Kitano
238523,In Hyung Kim
238990,I. Kowase
240926,Igor E. Kaporin
252111,Ivan K. Kostov
257266,I. King
267357,Iwao Kunishima
270086,In pyo Kyung
274932,I. A. Krinberg
277587,I. Kerr
286489,Isambo Karali
291936,Igor R. Klebanov
293264,I. Kishizima
293375,Ioannis D. Kountouris
296812,Ioanna Katsiadaki
297466,I. Kotsis
302904,Ioannis Kontoyiannis
348128,I. Kokkinos
350471,Ilan Kremer
367282,Iliya V. Karlin
367773,Iffat H. Kazi
381774,Ido Kanter
391099,I. Komatsu
405306,Ivo W. Kwee
412415,Ignacy Kaliszewski
417918,Ian Knowles
426356,I. N. Kassabalidis
451131,Ina Kraan
461884,Ilya V. Klotchkov
463296,Idit Keidar
464373,I. J. Kim
474471,Ivan Kalas
477604,I. A. K. Khel
480345,In The Korean
482343,Ivan Kopecek
492120,Iosif M. Kotelyanskii
493296,Ilona Kifer
498783,Isaac R. Kaplan
513182,Iam Choon Khoo
526689,Ian D. Kitching
538568,Ioannis Kompatsiaris
544260,Ivan Kruzela
553293,I. Kobayashi
560282,I. Kancleris
563869,Isao Kozakai
564994,I. Kruij korbayova
569353,Ian W. Kirkman
571888,ISAAC R. KAPLANS
574324,I. D. Karpushov
578545,I. Kitazawa
603570,I. Kadar
612303,Immanuel Kant
621275,I. Y. Kim
635694,Ivana Kruijff korbayova
648013,I. Kakeya
658391,I. Kuptsov
660516,Il Kraut
668072,I. Kiguradze
668383,Irving Kaufman
682810,Ian R. Kerr
684273,Ikuyo Masuda katsuse
688375,I. Saira Mian Kimmen
689760,Insook Kim
710411,I. Kamwa
717419,I. Khassanov
728516,Irvin Katz
747257,Istvn Kotormn
754666,In young Kim
758627,Ioannis Koutroulis
769729,Ivana Kruijff korbayova
778439,It Is Well Known
783259,I. Kostopoulos
789569,Ian O Keeffe
794191,I. Komazaki
802372,Igor V. Kozintsev
806124,I. Kiss
806215,Ioannis Kakoudakis
839118,Isaac R. Kaplan
839163,I. Kreuzer
848351,Ilkd Universitat Karlsruhe
851452,Ivan Kopeek
852220,Iyad A. Kanj
863141,Isaac R. Kaplan
872108,Igor Kolmakov
879037,Igor Kostarnov
884060,Irene Kowarski
906773,In soo Kang
913628,I. Krynetskaja
923751,I. Kockar
925703,I. T. Kim
927445,I. g. Kazantsev
930392,Isaac R. Kaplan
938504,Induprakas Kodukula
968890,I. V. Khaldeeva
969398,IGOR KLEBANOV
991543,Irving Kaplansky
1004116,Ihtisham Kabir
1006497,I. Karube
1012366,I. Kurland
1014337,Ivan Kolar
1022431,I. Kirschner
1022947,Igor Kleyner
1035198,Irmantas Kasalynas
1039050,In dong Kim
1039652,In so Kweon
1047243,I. Schiopu kratina
1047776,I. KERNER
1063547,Israel Koltracht
1069978,Inga Kanosina
1071244,Ian FosterCarl Kesselman
1084069,Irwin D. Kuntz
1090704,Il Min Kim
1107291,In gyu Koh
1119268,Izumi Kohno
1142252,Isaac R. Kaplan
1142871,I. M. Korostishevskaya
1144430,Information Systems Karl
1144492,Ina Koch
1145659,I. Kheirallah
1147195,I. Kannellakopoulos
1150611,I. Kressel
1151931,Isaac R. Kaplan
1157030,Iko Keesmaat
1157285,Ingo Kreuz
1160159,I. Krasjuk
1160920,Iliana V. Kohler
1163820,I. Kamwa
1169383,Ichiro Kawazome
1184848,Ishay Kamon
1186382,Igor Kurochkin
1186885,Ibrahim Kamel
1203116,I. Korolkov
1204504,Ismail Kaya
1205952,Ilona Koronczi
1208930,Imad H. Khamis
1212641,Ines Kath
1221170,Ilya V. Kolmanovsky
1235304,Isaac R. Kaplan
1238481,Integral Equations Kendall
1238583,Ingolf Kruger
1246316,Ioannis S. Kandarakis
1246519,I. Krasnov
1250792,Itay Kaplan
1256655,Isaac R. Kaplan
1270778,Ian I. Kogan
1271538,IK Kagan
1285353,ITA G. G. KREFT
1303927,Ida Kubiszewski
1307737,Irit Katriel
1316612,I. Kirat
1317333,Ibrahim A. Al Kadi
1318698,Ioanna Katsiadaki
1330563,Irene Katzela
1348280,I. Kovtunova
1375204,Isaac S. Kohane
1384601,Inger Klein
1405845,Irwin D. Kuntz
1412747,Ingrid M. Keseler
1422492,I. A. Khan
1458733,Im Kyungsoo
1462255,Iveta Kremenova
1463182,Israel M. Kirzner
1468941,In Soo Koo
1471156,Ivan P. Kaminow
1472590,Ingo Kollar
1476986,In Kin
1487753,Ismail Kadayif
1495412,Irina Karpunina
1500097,I. Kassamakov
1500657,Irmantas Kasalynas
1516350,Ilknur Durgar El Kahlout
1523330,Ioannis G. Kevrekidis
1526652,I. y. Kuo
1546049,Irene Kostin
1550103,I. G. Kotov
1573855,I. Katheder
1587939,Immanuel Kant
1588409,I. C. Kim
1588703,Il Kwon Kim
1592012,I. Kanellopoulos
1598248,Iraklis A. Klampanos
1608561,Ioannis Kouletsis
1610111,I. S. KARANASIOU
1614895,Isaac S. Kohane
1624788,Ivana Komunjer
1641344,I Kuzu
1642459,Ismo T. Koponen
1652345,I. Kispal
1658073,Istvan Z. Kovacs
1661629,Ilias S. Kotsireas
1664166,Ichiro Kobayashi
1667475,I. Kimel
1678194,Isaac R. Kaplan
1679077,I. Kruger
1679514,I. V. Kopina
1690818,Ismail Kucuk
1698847,Ilia Krasikov
1705448,IGOR KLEBANOV
1706995,Isamu Kajitani
1712535,I. Kinoshita
1729455,In Brian Kahin
1743601,Ic Kansy
1750416,Ivan Kolár
1754840,Ihor Kuz
1769018,Iam Choon Khoo
1776227,Ioannis Kapouleas
1804020,Ingrid Kirschning
1809605,Igor Koziak
1818571,Ilker Kuruoz
1830443,Ioannis Kopanakis
1830753,I. Kra
1843911,Irmantas Kasalynas
1848044,Ioannis Karydis
1855718,Images Arjan Kuijper
1863141,ILKKA KAAKKOLAMMI
1866393,Immanuel Kant
1882270,Ilias Kolonias
1884324,Izumi KAMIYA
1903136,I. Kaneko
1915896,I. K'atai
1916146,I. Koltchanov
1916506,Iam Choon Khoo
1924395,Istvan Z. Kovacs
1929478,Irena Knezevic
1934705,I. Kay
1945904,I. Kovacs
1949928,Irwin S. Kirsch
1951612,I. Kiricsi
1955779,Isaac R. Kaplan
1991597,Ian G. Kennedy
1993282,Ichiro Kobayashi
2003457,Ivan Krsul
2011671,Ingolf H. Kruger
2023105,I. M. Kutsyk
2026684,Istv\'an Kats\'anyi
2030100,I. Karatsuba
2047207,Ida Kubiszewski
2053399,I. Kimura
2056042,Ira Konvalinka
2088434,Ian Foster Carl Kesselmany
2112925,Ioannis Kourakis
2113484,Ibrahim Korpeoglu
2119650,I. Kato
2131207,Ingolf H. Krueger
2133489,Isaac Keslassy
2134431,Isao Kondo
2143541,I. Y. Khrushchev
2144743,Ikuo Kudo
2151363,Inga Kamp
2153470,Irwin W. Kabak
2181765,I. Kolodny
2184496,Igor O. Kozine
2191406,I. M. Kapchinskij
2197706,Ilgweon KIM
2201780,In Man Kang
2221143,I. G. Kwak
2234283,I. l. Kucheryavenkova
2234564,Izumi Kubo
2240250,In koo Kim
2249116,Ing Petr Kropk
2260493,Igor R. Klebanov
2279926,Ioannis G. Karafyllidis
