4492,Leonidas C. Koutsougeras
6407,L. Jay Katz
28701,L. Kehias
30576,Laszlo A. Koczy
32010,Laetitia Kernaleguen
35120,Leonid Kontorovich
45508,L. Kovacs
55843,Leos Kafka
65964,L. P. Kamburov
75543,Ll Kupper
77734,L. Keyu
87842,L. V. Kantorovich
105170,Lutz Klinghammer
110992,Laura Klem
115406,Loren M. Krueger
124934,Liang Chen Kuo
127600,Leila Kloul
128905,L. Kuras
154230,Laszlo Szirmay kalos
155937,Laszlo A. Koczy
158365,Lars Vestergaard Kragelund
159177,Linda P. B. Katehi
179685,L. Kues
180536,Liviu Kreindler
186044,Lars Jorgen Kristoffersen
197082,Lanning B. Kline
199963,Lawrence F. Katz
205321,L. V. Kiew
209572,L. Kleinroch
213462,L. B. Kreuzer
216390,Louise H. Kidder
216648,L. Kappenberger
227886,Ladislav J. Kohout
244056,L. Klein
258086,Lukasz Kotula
260862,Lea Kissner
262332,Lars Kroll Kristensen
265285,Ling Yang Kung
271279,Leo C. Kempel
272123,Laurent Keller
272844,Linda M. Keszenheimer
283762,Leon Knopoff
291338,Laszlo Kesmarki
300942,Larry S. Karp
311108,Louise Kulzer
323474,L. Kaabi
328971,Lars Konieczny
335841,Linda P. B. Katehi
346690,Laurren Kanner
363357,L. Kleinrock
373260,Lawrence A. Kolasa
375487,Leslie E. Kuchinski
384276,L. Kucan
390463,Laura Dillon Kurt
392604,Latiana Kalganova
402396,L. A. Koshcheev
414648,Lukasz Kruk
416483,Lars Kruse
417278,L. J. Kuhlman
444252,L. Klebanov
453368,Liang ping Ku
455997,L Kiorpes
457767,L. Kudling
467272,Leslie John Kitchen
477990,Lynn T. Kozlowski
500988,Lawrence F. Katz
505151,L. r. Kinder
505711,L. E. Keiner
507460,Leroy J. Krajewski
515704,L. K. Kovalev
524813,LAWRENCE J. KISZKA
531399,L. Kurtz
544337,L. M. Katz
549789,Lae Hoon Kim
559258,Lefteris M. Kirousis
562878,Ladislav Kavan
565642,Lj Kleinsmith
571057,Linn M. A. Kennedy
583039,Leah Edelstein Keshet
598741,L. Kulevskii
598815,Lev L. Kisselev
605210,Lm Kerr
614128,Lina Kanchawa
615097,Lars Kopp
623028,Laura E. Kodres
628483,L. Karjalainen
630964,Leslie A. Kuhn
634225,Lynn K. Kurihara
637790,L. Kabanza
647044,LUA KimTeng
659352,Lanning B. Kline
662685,L. C. Kwek
663926,Lora Kassab
668397,L. D. Kieft
677747,L. Kimball
681951,L. Kaufmann
691518,L. F. Knappe
706158,Lina J. Karam
709149,L. Kogut
724364,L. Kuspa
737603,L. S. Koo
752558,L. Klotz
758270,L. Kravtzov
758412,Larry Kerschberg
768329,Lawrence F. Katz
770073,Laurence J. Kotlikoff
771453,L. Komatsu
783463,Laura C. Klatt
804412,Leon Kaufman
812806,Luboš Komárek
