536,Planning Subbarao Kambhampati
11102,P. P. Khvostenko
15651,P. Michael Kemp
16135,P. Knoppers
18389,P. L. Krapivskyz
18424,Prashant B. Kokitkar
19146,P. Kabamba
21252,Peter Kupferschmied
22550,Philip N. KleinU
23651,Piroska B. Kis
30305,Peng Yong Kongt
32355,Paul Kai Yiu Ko
35204,Przemyslaw Kiciak
35271,Philippe R. Koninckx
41105,P. R. Kintzinger
57281,P. P. Khera
61028,Peter Kravanja
62303,P Kazienko
64436,PAUL J. KELLOGG
74871,Philip T. Krein
85138,P. D. Keefe
87578,Peter Knabner
88506,Pourya Khosropanah
88683,Paul Kirby
95129,Petter Knagenhjelm
95635,Philip T. Keenan
97533,Pantelis G. Kalaitzidakis
97633,P. Katenkamp
115109,Petteri Kuosmanen
117815,Peter Klenow
120294,Paul Knox
121839,Paris C. Kanellakis
131242,Peter Kneisel
131841,P. Kapustka
134244,Puneet Kapur
134470,P. Robert Kotiuga
136136,P. Khuntia
137561,Peter T. Katsumata
139208,Peter Kursawe
141889,PAUL J. KUSHNER
144074,P. k. Kiyohara
146951,Paul G. Kry
147257,P. Kaushik
148963,P. Krogsta
153131,Programming Language Kevin
153669,Pontus Klein
160320,P. Kelliher
164727,P. Kovacs
165709,Placement F. Kuijlman
180663,Patrick Gavin Kehoe
184882,Pradip K. Kar
185381,P. Kristiansen
190618,Prashanth Konkimalla
191765,Patries Kordelaar
196612,Pallika H. Kanani
197233,Pavel Kabos
198339,Panagiotis L. Kastritis
203231,Ph. Kupecek
205388,Poul Henning KIRKEGAARD
206599,Philippe Kloos
222090,Philip Kegelmeyer
224927,Pradeep Kumar Kondamuri
227997,Peter Klingebiel
228279,Paul L. Knox
229547,Poolsak Koseeyaporn
230150,Peter C. Keng
230449,Pierre Kaufmann
231834,Pierre Kaufmann
239510,Philip Keefer
244416,Pizzanu Kanongchaiyos
247948,Pentti KALLIOMAKI
249012,P. G. Kornreich
251967,Parag G. Kulkarni
257319,Pasi Kuvaja
258372,Paula Kauppi
259486,P. k. Kalra
260098,Pei Xian Kou
270502,P. Kondamuri
274513,P. l. Kerr
276422,Phokion G. Kolaitis
279603,Pascale Kuntz
280411,Patricia W. Kirk
281281,Philip Korman
285146,P. Koert
289482,P. L. Kannappan
289837,Peter Kostiuk
290733,Peter G. Kropf
294106,Peter G. Kaup
294853,Peter Kubik
295944,P. w. Kinman
298137,P. S. Krishnaprasad
302543,Piotr Kaminski
309962,Paul Kinnucan
311036,Praveen Kumar
311229,Paul E. Koch
318579,Pankaj Kakkar
323384,Paul C. Krause
323952,Pieter Klaassen
327034,Philip Koltun
333438,Pamela T. Korda
336319,P. Kruizinga
350431,Petter Kolm
353148,P. L. Karlton
353693,Peter Kugel
353918,Peter Key
360979,Peter David Knight
366980,P. A. Krutar
372321,Peter Keevash
375991,Peter Knees
381169,Patrick Kriengsiri
382231,P. t. f. Kwok
383788,Piotr S. Kokoszka
384694,Parameshwaran Kandasamy
387042,Peter W. Kopke
397506,Pasi Kolinummi
400167,P. Kuehn
406098,Pradeep K. Kedia
409797,Paul Kingsbury
413926,Pavel A. Krutitskii
414627,P. Karnam
415207,Paul E. Kendra
418792,Paul Kersey
420263,Peter Kasson
425031,P. Krishnan
434332,Philip Kotler
435877,Patrick Kline
439889,Peter Kentish
441786,Peng cheng Koo
441979,Peter Kruck
443932,Paul D. Klemperer
450613,P. J. Kyba
457799,P. S. Krishnaprasad
464268,Pravin T. P. Kaumaya
466952,Peter C. Krupp
467083,Piotr Kuzora
467721,Piotr Kulinich
471437,P. S. Kim
471940,Peter Voigt Knudsen
479593,Po Yi Kuo
482886,Patricia Kruchten
484416,P. Komarek
486126,Peter K¨¹mmel
497533,Peter J. Koomen
499284,Paul A. Kolers
507213,Per Kraus
508350,P. aivikki Kauraniemi
509649,P. K?hkipuro
509888,Paul Krzyzanowsk
512807,P. K. Kuhl
520449,Plaban Kr
520729,Panos Kourouthanasis
524249,Pieter W. M. Koopman
525632,Peter M. Kasson
526931,P. Kner
529326,P. Krischer
531058,Przemyslaw Kobylanski
537993,Pieter S. Kritzinger
538359,Philip A. Knight
539396,Paula Kim
545097,Peter A. M. Kalt
547393,Petr Kloucek
547781,Programming Oleg Kiselyov
560153,Peter Karp
561795,P. Kontogiannis
563845,Peter G. Kimmel
564297,Peter Kooreman
566165,Patrick C. Kearney
566490,Pierre Francois Koehl
579315,Prashant B. Kokitkar
585663,P C Kanellakas
586382,P. Kovintavewat
592059,Phongphun Kijsanayothin
593543,Panagiotis Kardasis
594640,Paul A. Kogut
595816,Petros Koumoutsakosyz
602395,Pravin T. P. Kaumaya
605656,Peter Kreuzer
606329,Paul Kabbash
613405,Pierre T. Kabamba
617639,P. Krois
620732,Paul T. Kotnik
624013,P. D. Kalb
626236,P. Kambale
626420,Petr Kielar
628880,Petia D. Koprinkova
633046,P. Kalutkiewicz
645289,Pierre Kaufmann
645757,P. Kornetzky
651384,P. Murali Krishna
663018,Paul L. Knox
664391,P. Koren
673073,P. Vijay Kumar
684386,P. Kay
686259,Pontus Klein
698979,P. Kee
701576,Peter Kochevar
702216,Pierre Kaufmann
704970,Patrick J. Kehoe
705967,P. Kester
707433,Praveen Kumar
710405,Panayiotis A. Kyriacou
711559,Prasad B. S. Kodali
713818,Peter C. Kind
719629,Paul Kaufmann
719829,Pandurang Kamat
725224,P. Kuzan
726802,Peter Knoll
727561,Peter D. Kovesi
730468,Peter Kuchment
742819,Paris Christos Kanellakis
746503,Panos Kudumakis
748151,Paul Kenyon
762200,Paper Id Keywords
766973,Petr Kubon
779232,P. B. Kenington
779698,Per Knudsen
783030,P. M. Kintner
783406,Per Gunnar Kjeldsberg
792893,Peter W. Michor A. Kriegl
796978,Pl Halvorsen Ketil
802159,Peter Korosec
802795,Peter L. M. Kerkhof
804646,Paul J. Kostek
806543,Prasada Rao S. Kodavanti
810541,Panagiotis Kanellis
815197,Peter M. w. Knijnenburgz
822206,P. A. Kirkby
822982,Peter H. Kutt
824980,P. Kotiveeriah
833098,P. Kravchenko
842361,P. Kofinas
844656,P. Kourilsky
846431,P. Kratzer
849137,Pradeep Katikaneni
849310,Paul R. Krugman
852486,P. I. Kuindersma
855775,P. V. Kalashnikov
856207,Praful Kaul
861133,P. Kielczynski
861365,Patrick A. Kelly
862232,Piyush Kumar
863087,Patrick N. Koch
866468,P. Kronfeld
868254,Pei jeng Kuo
869644,Pavel Krbec
874929,P. Radha Krishna
875877,Pavlos S. Kanaroglou
884938,Per simon Kildal
885633,Paul Kostecki
886840,P. Krinkov
896722,Pertti Kellomaki
898437,Peter E. Kloeden
899843,P. K. Kythe
900634,Pon Sung Ku
904154,Peter Kubat
908860,Paul J. A. Kenis
911211,Prakash Kolan
913953,Per Kraus
937189,P. K. Kumar
940122,Pui Yan Kwok
943638,Pushkin Kachroo
954582,Pierre Kelsen
960746,Progress Report Kenneth
964272,Panos Karaivazoglou
967763,P. Kumar
971796,P. Kovac
996859,Paul R. Kristoff
998841,Peter K Kimuyu
999308,P. F. Klon
999568,P. Kotteeswaran
1003878,P. Kamnitzer
1005519,Pascal Kleijer
1006438,Pilhan Kim
1012882,Patrick Keane
1013325,Philip Kremer
1013680,Peter G. Klein
1015932,Przemyslaw Kobylanski
1016676,Peter G. Kluit
1017277,Pentti Kanerva
1025151,Paul Knochel
1025886,P. J. Kajenski
1026735,Petya D. Koprinkova
1027442,P. Kolodner
1036901,Peter R. Kramer
1037233,P. Kroon
1041890,Petter Krus
1042530,P. Kwiek
1043291,Paul Klemperer
1050179,Petros D. Koumoutsakos
1052364,Praveen Kumar
1053222,Paul J. Kuzdrall
1060370,P. B. Kleidman
1064603,Paul J. Keller
1067635,Peter Kugler
1078169,P. Kamat
1081025,Peter Kille
1082687,Pei Cheng Ku
1085021,P. W. Kuchel
1092303,P. King
1092685,Paul H. Kirshen
1094504,Peter S. Kealy
1099398,Peter Kuhlmann
1103206,Paul Knox
1104220,Paul H. King
1113329,P. Keremans
1114874,Paul Klose
1115457,Panagiotis Kourtesis
1116151,Paul J. A. Kenis
1122350,Peter J. Katzin
1128475,P. J. KNOWLES
1132109,Patrick Kemmeren
1135073,Paul L. Krapivsky
1140860,Pannirselvam Kanagaratnam
1146731,Pivikki Kauraniemi
1146973,P. Kobryn
1148669,Petar V. Kokotovic
1150860,Paul Kubes
1153414,Peter M. Ketcham
1157593,Paul Kotas
1158716,Paul A. Kohl
1158962,P. R. Klarer
1169681,Pavel Kulchenko
1173336,Peter K. Kilpatrick
1175223,P. A. Koparkar
1176805,Peter Kawalek
1180754,Paul Kay
1182361,P. Kapanen
1184478,Paul Robin Krugman
1186564,Petros Kourouniotis
1187066,Paulo Kofuji
1187299,Peter R. Killeen
1190121,Patrice Klein
1192175,P. R. Kotiuga
1193070,Peter B. Key
1193553,Pallika H. Kanani
1193809,Paul B. Koeneman
1202758,Pavel Kroupa
1204000,PETER L. KNIGHT
1216910,Pratyush Kumar
1225886,Pia Knoeferle
1229394,Paul Kelley
1231771,P Kr?ger
1233429,Philipp Kapranov
1234410,Philip S. Kearns
1237480,P. Kaste
1245716,Patrick Kabore
1246650,Pierre Kornprobst
1253194,P KRAUZ
1255444,Paul A. T. Kelly
1255628,Paul J. Kearney
1274048,P. Kokic
1277238,Piotr Kobak
1277390,Panos Kalnis
1277411,Philip E. Karmel
1280895,Perri Klass
1297150,Patrick J. Klippel
1304382,Panos Kougiouris
1318135,Prasada Rao S. Kodavanti
1326544,P. Kiesel
1328334,Paul C. K. Kwok
1331556,Priyank Kalla
1333796,Pradeep Kyasanur
1337703,P. Kozodoy
1341759,Pe Knapp
1343694,P. T. Kelly
1348330,Patchwork Thiemo Krink
1351606,Pizzanu Kanongchaiyos
1353010,Pavel Kopylov
1357777,Puneet Kumar
1365296,P. Kok
1366369,Philip T. Krein
1368767,P. E. Kladitis
1382532,Pradeep Y. Kokate
1389129,Pk Kuhl
1390460,Paul Koosis
1396754,PARAG KELKAR
1398857,P. Karr
1404521,Paul A. Karger
1412440,Peter Kaufmann
1413341,Prashant Koulgi
1413774,Paul Kiparsky
1417803,Ping Keung Ko
1418898,Patrice Koehl
1422279,Peter T. Kazlas
1434900,Peter Kandlbinder
1435365,Petra C. Koopmans
1436059,P. Kast
1440979,Pung Hung Keng
1451027,Piotr Krychniak
1452649,P. Krishna
1457260,Przemysław Kobylanski
1458629,Peter M. Kasson
1462541,P. W. Kastelyn
1470515,P. V. Kalinin
1471708,Petri Komulainen
1474063,Peter W. Kalivas
1483818,Peter Woo Tae Kim
1488721,Polina Khan
1491716,P. Karri
1497285,P. Kerly
1497470,Pinar Keskinocak
1497543,Peter Kristöfel
1498732,Paul D. Kingsley
1503783,Prem Kumar
1507602,Peng Yong Kongy
1514877,P. Kylemark
1517930,P. V. Kholod
1521460,P. Keating
1524388,P. Robert Kotiuga
1527484,P. C. Karulkar
1527820,P. Kerlirzin
1530904,Paul E. Koch
1531845,Paul J. Krause
1537320,Paul H. Kvam
1540921,P. S. Kosarev
1543363,P. Pradeep Kumar
1543971,Peter Kullmann
1546051,P. N. A. Kumar
1549535,P. A Kenny
1559582,P. v. Kolev
1560473,Piotr Krzyzanowski
1569444,Petar V. Kokotovic
1574396,Pulak K. Kundu
1574842,P. Kalinger
1586686,P. W. Kasteleyn
1587691,P. Douglas Kiester
1591105,P. Sreenivasa Kumar
1591781,Peng Yong Kongh
1604458,P. N. Kizakevich
1604831,Paul R. C. Kent
1613033,Pontus Klein
1614670,Peter Koppstein
1615674,P. M. Kuiper
1626918,P. Kwan
1630104,Petros Kofakis
1638730,Pradeep Kancharla
1638919,P. Kovesi
1639282,P. Koikkalainen
1642894,Philip Kilby
1643599,Peter Kreps
1643688,P. B. Kemshell
1647020,Philip Kaaret
1647522,Patrice Koehl
1650977,Peter Knig
1651372,Paivi Kallio
1653667,P. Kollig
1654054,Petar V. Kokotovic
1654071,Paul F. M. Krabbe
1655471,Pekka Kahkipuro
1657905,P. A. Kattuman
1658466,P. Kopardekar
1658515,Petri Kontkanen
1666293,P. S. Krishnaprasad
1669895,Patrick J. Kehoe
1676385,Prasad S. Kasibhatla
1678889,Philip R. Kennicott
1681877,P. Krueger
1686546,Paul R. Kosinski
1692014,Peter C. Keng
1692914,P. S. Krishnaprasad
1700810,Peter M. Kasson
1701594,Perttu Kivimaki
1711542,Piet A. J. de Korte
1714906,P. Douglas Kiester
1715061,Petr Kolman
1715348,Panagiotis L. Kastritis
1724731,Philip N. Klein
1724943,Pizzanu Kanongchaiyos
1731804,Paul Kruger
1733085,P. Krstajic
1734996,Pete Klenow
1741936,P. Keshtbod
1742518,P. J. Klatt
1744663,Peter R. Kraus
1745214,Pavlos S. Kanaroglou
1749590,P. P. Kircheva
1752573,P. Kengkan
1760914,Paul Knochel
1760994,Peter Kritzer
1765855,P. Koppenburg
1767032,Piotr S. Kokoszka
1769755,P. Kielb
1769760,Petr Kren
1771111,Peter Kovaric
1794559,P. v. Kelly
1799692,Photorefractive Keratectomy
1799840,Paul Klemperer
1803338,P. Koprinkova
1803369,P. N. Kalu
1810090,Panagis Karazeris
1810334,P. d. Kaklis
1811957,Piotr S. Kokoszka
1812269,Paul Kinney
1815126,Peter K. M. Kim
1815439,Paula Krauter
1828067,Paul M. Kozlowski
1828600,Piet Kommers
1833658,P. Kuivalainen
1836708,Peter Kapetanic
1841235,Paraskevas Kalivas
1841383,Paul D. Kingsley
1843435,Prince Kohli
1849303,Platforms Chen Kandemir
1851193,Peter Kruus
1861980,P. Keisey
1868696,Ps Khalsa
1876722,Peter J. Knez
1877153,P. K. Kadaba
1878204,Peter Kelehan
1883888,Paris Kitsos
1885925,Petteri Kaski
1893437,Paul F. M. Krabbe
1895190,Prasad Kakulavarapu
1896808,Peter J. Kyberd
1899336,Peter Kac
1903783,Petros Koumoutsakos
1916320,Prof Kimberly
1917150,Pauliina Korhonen
1918611,Pirouz Kavehpour
1920007,Per Kraus
1922886,Po hsuen Kuo
1926429,Philip R. Karn
1928255,Paul Kos
1930820,P. s. Kothnur
1941799,P. Khastgir
1945817,Pirkko Kuusela
1954974,Peter Kazanzides
1956069,Philipp Kersting
1960007,P. Dwight Kuo
1960751,Patricia P. Katz
1960794,Peter Keller
1961433,Panayiotis Koutsabasis
1963595,Praveen Kujal
1964262,Pavlos S. Kanaroglou
1968334,P. V. Krishnamraju
1970586,Peng Hong Koh
1973195,Peter Klimke
1975287,P. Kurczynski
1979392,P. Korpipaa
1986054,Pavlos Konas
1991109,PAUL F. KRUSE
1995610,Phillip Kent
1996005,P. Koidl
1997944,Pollefeys Proesmans Koch
1999505,P. d. Kim
1999795,Pratap Kotala
2000632,P. Kaczmarek
2001396,Praveen K. Kakumanu
2004245,Pascal Koira
2004760,Panu Korpip??
2008581,P. O. Kreidl
2013950,Peter M. Kasson
2015030,Pradipkumar H. Keskar
2015596,Peter G. W. Keen
2018586,Per Eric Koch
2020315,P. Kranjec
2032416,Peter G. Kovalchik
2032432,P. Karlsson
2038624,P C Kanellakls
2039285,Philip Klahr
2040189,Peng Yong Kong
2044595,Paul E. Kinahan
2046031,P. Korgaonkar
2047392,Pekka Kilpelainen
2050265,P. G. W. Keen
2056594,P. Kozak
2058465,Pasi A. Karjalainen
2059436,P Karaiskos
2060887,Peter Kanellakis
2061505,P. Kerola
2061542,P. Kappos
2061601,P. Kristensen
2062738,P. R. S. Kuruganty
2066360,Paul G. Knight
2075699,P. Koenig
2078526,Peter Kortmann
2084702,P. Kobrin
2088112,Paul Edwin Keller
2095096,Ping keung Ko
2095112,Patrick O. Kanold
2100331,Parag M. Kanade
2101277,P. A. Knell
2104489,P. Kudva
2105405,Per Krusell
2112780,Po Ching Kau
2115136,Petr Krist
2115617,Paul F. M. Krabbe
2119549,Petri T. Korpisaari
2127173,Paul A. Klenk
2134711,Paul J. A. Kenis
2143508,Pascal Kelm
2144744,Paul R. Kalata
2154538,P. V. Kokotovi'c
2157684,Pierre Kuonen
2163279,Paul L. Knox
2163979,P. E. Kenne
2170192,P. J. Kucks
2172164,P. King
2175969,Peter G. Klein
2180556,P. Khandelwal
2182125,P A Ktrshs
2187459,Padma Kadiyala
2187578,Par Klingstam
2189232,P. S. Katsuba
2194130,Pradeep Kumar
2204801,P. Kidd
2204803,P. U. Kenkare
2206757,Pia Kempker
2209918,Passant V. Karunaratne
2209960,Philip N. Kleint
2211555,P. I. Kitsul
2213647,Patricia L. Kozuch
2216281,P. j. c. Kuiper
2217892,Ping Kong
2226175,Piotr Komorowski
2235084,Peter Kohler
2237070,Predrag Knezevic
2241645,Panganamala Kumar
2250925,P. Kovak
2251300,Prabhu Krishnamoorthy
2256941,P. M. Kirkham
2257992,Philippe Krutchen
2260076,P. Kondu
2264456,Patrick Knab
2264594,P. Kalra
2267767,Priyadarshan Kolte
2269576,P. S. Katsuba
2270632,P. Khatri
2279307,P. Kaufman
2282243,Paul Klemperer
