365,Victor M. Kureichick
3310,Vishwakumara Kayargadde
13960,V. Karas
18156,Vimal Kapadia
21544,Vered Rom kedar
24461,Vytis Kopustinskas
30856,Vineet Kahlon
42678,Vitaly Kober
48462,Vladimir Kasyanov
48465,V Kannisto
56519,Vassilis Kostakos
58426,V. Kresen
59220,Vadikolias Konstantinos
60834,Volker Kessler
69173,V. S. Kruglov
79127,Vijay K. Krishna
79361,Veerapuneneni Satish Kumar
82063,V. Valli Kumari
82629,V. P. Kiryanov
83266,V. N. Khorev
84832,Verena Kahmann
86640,Vassilis Koulovassilopoulos
92399,V. Krip?sundar
97382,V. ya. kreinovich
105025,Vin Kim
111605,V. V. Kutuzov
116372,VASSILIKI J. KOLLIAS
121184,Vinay Kalro
125983,Victor T. Kim
127552,Vassilios N. Koukoulidis
156116,Vishal Kesari
170012,V. B. Khalfin
171637,Vikram Kapila
172755,Vladimir Kljajic
172796,Vassilios C. Kelessidis
194340,Vaggelis Kapoulas
198099,Vipin Kumar
205434,Virginia A. Kilborn
205703,V. V. Kobychev
206071,Viktor KAUFMANN
206128,Vladimir A. Kolchuzhin
209557,Veiko Karu
228965,V. N. Korchuganov
231686,Venkat N. Krovi
232579,V. G. Kurbatov
275277,Venkata Giri Kolli
275623,Victor G. Kac
284406,V. Katedziski
289666,Vladimir L. Kharitonov
291893,Virginia Franke Kleist
293296,Victor V. Kuliamin
312022,V. S. Anil Kumar
313706,V. V. Kalinin
317971,Vladislav Kuboli
330456,V. Vinoth Kumar
337443,V. Kokkinos
339457,V. N. Kostyukov
346624,Virtual Documents: Knowledge
354058,Venkataramana Kommu
363112,V. S. Kodogiannis
365448,V. J. Krajina
366194,Vladislav V. Kurin
376117,Volker Knoop
383413,Vasilis Karaiskos
383418,Vinay Kolar
385049,V. A. Koval’
386054,Vasiliki Kantere
396854,Victor G. Kac
398795,Vera Pompe Kirn
404648,Vitaly Kober
406075,Vinay Kulkarni
414004,Vladimir N. Khmelev
424417,Valery M. Kotov
425144,VLADIMIR N. KAPUSTIN
436078,V. r. Kanchumarthy
436813,V. V. Kirichenko
445360,Vassilis Komis
448764,Vathanan Kumar
450731,V. R. Karasik
453264,V. Krishnan
456488,Vive S. Kumar
465967,V. A. Karnaukh
472099,V. V. Kuryatkov
491619,Vlad Korolev
492321,Victor Kaal
507919,V. V. Kholoptsev
529457,Vijay Kodagali
535535,Virendra Kumar
549461,Veikko Kujala
554782,V. Kublin
580957,V. Kristiansen
581549,Vera Kamp
582213,V. S. Anil Kumary
583537,Victor Kureichik
596679,V. Kapoor
597918,V. Kaibyshev
603210,Victor N. Kononov
604638,V. I. Karnychev
616539,Vladimir N. Kleshchenko
633486,Vittal Kini
634395,Victor Krasheninnikov
634859,Vadim Kostrykin
638141,Vikas Kumar
650769,V. V. Kulikov
692450,Vipul Kashyap
696674,V. Kolmanovskii
710191,Veiko Karu
715134,Vladimir Kolchuzhin
723560,Vincent J. Korkowski
728652,V. I. Kotov
729159,Vassilis Komis
736059,V. Kruke
750022,Vibhu Kalyan
751900,Vladimir Komarek
762216,V. i. Klimov
762260,V. Krishnamurthy
773244,V. A. Klenchin
778572,V. Karapazuk
780329,Vaishnavi Krishnamurthy
781235,Vinod Kumar
789429,Virginia C. Klema
795962,V S Kraposhin
797746,Vikas Kawadia
802318,V. K. Kajcovski
809265,Vinay P. Kumar
814239,V. e. Keil
820747,V V Krasnosel'skikh
826970,Viktor G. Kurotschka
832920,Via Ontologies Kaoru
852379,Vladimir Kozlov
853059,Victor Kardashov
877420,Varun Khurana
878549,Valery F. Kalinin
885845,Vishnu Kotrajaras
893613,Vibhore Kumar
896458,Vipin Kumar
907066,Vassiliki Kokkinaki
916438,Victor Y. H. Kueh
917824,Vadim A. Kaimanovich
917825,V. B. Kuznetsov
926239,V. T. Kairamkonda
929323,Vitali Kapovitch
930217,Vinayak Kapatral
934471,V. Karapazyuk
934633,Vitaly A. Klyachko
940196,Vakhtang Kokilashvili
944680,Vikas S. Kedia
950837,V. I. Komarov
951699,V. M. Khatsymovsky
968763,V. B. Kazantsev
972577,Vladimir M. Krasnopolsky
972756,V. S. Anil Kumar
972905,Volker Kaibel
978552,V. N. Kolobanov
980457,Valia Kordoni
982813,Victor G. Kac
983161,V. D. Kurguzov
992812,Vladimir Kolmogorov
994224,Van E. Kelly
1003185,V. Kucera
1004465,V. Kopchenov
1007827,Volodymyr V. Kindratenko
1009659,V. Kashikhin
1015503,Vassilios Karakoidas
1019324,Valery A. Khoze
1023791,V. M. Kerminen
1035102,Vytis Kopustinskas
1040027,V. J. Rejish Kumar
1052600,V. b. kopeliovich
1055558,Volker Kepplin
1057346,Valerie A. Kelly
1065029,Vivek Kapur
1068815,Vadim Kuznetsov
1078101,Vladimir V. Krylov
1082018,Vivian Kraines
1102553,Vijesh V. Krishna
1104845,Vishal Kachroo
1107686,VLADIMIR KAZAKOV
1108431,V. K. Kapur
1121273,V. Von Kaenel
1138791,V. A. Kakichev
1146035,V. Y. Kalinin
1147075,V. Klebanoff
1154648,V. V. Kobychev
1160619,Vijay B. Krishna
1181679,V. S. Koroljuk
1187787,Valeri Kaliaguine
1189189,V. G. Kurt
1201335,Valentine Kabanets
1212521,V. Kudielka
1245340,Vladimir A. Kuznetsov
1266301,Victor A. Kenyon
1273805,V. v. khegai
1278516,Viktor Kuncak
1282022,V. Klepko
1295694,Victor G. Kac
1296327,V. M. Krapchenko
1302972,Vasilijs Kravcevs
1305629,Vram Kouramajian
1308301,V. v. Kabachenko
1320487,Volkhard Klinger
1321758,V. I. Kashikhin
1335394,Vijay Kumar
1335802,V. O. K
1343467,Vlad Krotov
1346314,Vladimir Kovalevsky
1350451,Vinay Kanitkar
1352246,V. Kratky
1360997,Vitaly I. Khalturin
1363280,Vineet Kumar
1369891,V. A. Kudryashov
1371217,Vadim Kavalerov
1376293,Vlaho Kostov
1383704,Victor Kac
1397858,Volodymyr Kindratenko
1400136,V. V. Kasinsky
1402777,Verena Kaynig
1416676,V. Kottler
1420170,Ville Kyrki
1428236,Vladlen Koltun
1439026,Vito Komac
1455428,Vladimir N. Krupski
1459316,V. Komar
1463309,Vijay Khatri
1475928,Victor S. Kozyakin
1481580,Vyacheslav S. Kharchenko
1489877,Vytis Kopustinskas
1509929,V. P. Klin
1511033,V. KRYLOV
1515834,Vladimir Karas
1520686,V. krendelev
1521035,Vassilios D. Kapsalis
1530386,Vyacheslav N. Kroutko
1533867,Vivien Kirk
1534042,V. Kovacik
1545203,Victor G. Kac
1556300,Victor Khomenko
1559009,V. N. Kornoukhov
1560431,Victor Y. Krachkovsky
1563768,Veiko Karu
1574338,Vinu Vijay Kumar
1577676,Vadim Yu. Kaloshin
1579918,Valeria Kilchytska
1583074,V. Kursun
1584014,V. l. korotkih
1587577,Victor G. Krymsky
1594250,Vikram N. Ketkar
1613824,V. F. Kramar
1619108,Volker Klingspor
1644936,Vikram Krishnamurthy
1651232,Vivek Khera
1652251,V. Koltchinksii
1656847,V. I. Klyukhin
1660189,V. S. Kovner
1661959,Vladislav Klein
1663329,V. V. Kobychev
1671301,V. F. Kuprishov
1673063,V. L. Kalmykov
1674836,Variance Eun Bae Kong
1683714,Volker Krueger
1691195,Vivek Komaragiri
1692455,V. I. Kuvshinov
1695536,Victor Korotkikh
1703009,V. I. Korogodin
1703335,Viktor Krasevec
1726999,Vladimir V. Khanin
1737940,Volker Kuttruff
1740079,V. Kucera
1751323,V. v. Kas
1753211,Vladimir V. Kovalenko
1755267,Verena Kaynig
1757159,V. P. KUMAREV
1765950,V. V. Komarov
1765995,Victor N. Kaliakin
1770935,Vladimir N. Khmelev
1773510,V. Kudravcev
1775268,Vachaspathi P. Kompella
1778397,Vadim V. Kashikhin
1786132,V. Kohlemainen
1791373,V. A. Kozhevnikov
1796432,V. I. Krinsky
1810087,V. d. Kalanovic
1810319,V. H. KOLLMAN
1811777,V. P. Kukhtin
1815650,Veli Pekka Kaasila
1825473,Vytis Kopustinskas
1825666,V. A. Kolyvagin
1825823,Virginia King
1827382,V. Kler
1828475,Victor Andreevich Kolikov
1836017,V. Klotz
1842021,Victor N. Kravets
1842595,V. Koivune
1845099,V. Kresin
1845668,Vladimir Kotlyar
1851886,Vladimir N. Ksenzenko
1852241,V. O. Key
1856333,Victor Kornilov
1864293,V. G. Karkare
1868663,V. I. Kryukov
1875849,Ville Koskinen
1882848,Vlastimil Krivan
1884540,V. S. Khrestolyubov
1886004,Vassiliki Koufopanou
1889146,V. Kuchenhoff
1893509,Valentin Keyantuo
1901422,V. Kneisel
1911186,Valli Kumari
1917910,Vladimir V. Kalashnikov
1927548,V. Krishnan
1939925,V. A. Koptsik
1953998,Vladimir Kebo
1956979,V. N. Komarova
1962354,V. Kamenev
1965843,Vasileios Koutavas
1968111,Vijay R. Konda
1969620,Volkan Koc
1976759,V. I. Kokoulin
1987245,Vladislav Kuboiq
1991781,Vera Kurkov¨?
1994960,Victoria Kravchenko
1996931,Vu Minh Khuong
2002012,Vladimir M. Krasnov
2005562,Viljem Krizman
2013512,V. p. Kodali
2018546,V. v. Kashikh
2031889,V. V. Kokorin
2056965,Vladimir G. Kossobokov
2057190,Vladimir Klebanov
2067718,Value Of Knowledge
2073010,V. Kasibhotla
2080137,Vera Kartseva
2091890,Virtanen Klapuri
2095753,V. Kalashnikov
2112301,Veronique DE KEYSER
2124196,V. Kfichenhoff
2126720,Vincent F. Koosh
2129015,Vishal Khandelwal
2133505,Vadim Khramov
2136773,V. P. KAUSHIK
2149658,V. i. Kupnyi
2151166,V. Kuzminov
2175196,Viatcheslav Kharlamov
2190738,V. V. Kulyamin
2195395,V Korinkova
2199246,Vikrant Khanna
2204571,V. I. Khivrich
2211033,Venkateswarlu Kolluri
2211392,Vahid Karimipour
2213025,V. A. Kochelap
2218667,Vana Kalogeraki
2219886,Valentin F. Kolchin
2222564,Volker Koch
2227301,Vikram Kapila
2238331,Vincent Knopik
2260406,Vitaly A. Klyachko
2262087,Valerie Kaftandjian
2272032,Vijesh Krishna
2277564,Vladimir A. Kulyukin
2280657,Vasilij N. Kushnir
