9321,W. Korfage
15324,Won Ki Kim
18186,W. Korfhage
29554,Wolfgang Kastner
35768,W. Kessel
46705,Wolfgang Knorr
52569,Wojciech J. Kolodziej
53610,Wesley B. Kasen
59274,W. Karapetian
59471,Willi Kloesgen
61106,W. L. Kwok
81175,Won Mok Kim
83718,Wai Keong Kok
87386,Wilson C. Kwan
98708,Wendy A. Kellogg
104951,W. Kalkner
112563,Wi Saeng Kim
115255,Walter Kintsch
118448,Won Ha Kim
123178,W. w Kao
138514,W. A. Kwinn
141941,With Javaview Konrad
144263,W. Kreutel
145112,Werner Krauth
146681,Wayne A. Kleinman
152921,William G. Kennedy
159352,William J. Kostis
160666,William M. Kier
167495,Werner Klaus
177266,Waikit Koh
185088,Wolfgang Kummer
188248,William Morton Kahan
197876,W. Kohler
202710,William C. Keene
205167,William B. Knowlton
205179,W. Kowald
208346,William E. Kastenberg
218141,Wolfram Krech
219550,Warren Karle
246475,William J. Kozlovsky
262762,W. R. Koppers
263607,W. M. M. Kessels
267540,William L. Klein
271179,Walter H. Ku
274147,Will Kymlicka
280135,W. Ku
286588,Wolfgang W. Keller
291493,Walter Kellermann
293554,Wieslaw T. Kwasnicki
300076,Woo Tae Kim
301502,Walter Kob
307112,W. Kalkofen
308880,Wolfgang Manfred Klinger
318912,WINFRIED KOCKELMANN
319219,Wolfgang Keydel
336774,Wing Suen Kwan
343201,Werner Krandick
343890,Wido Kruijtzer
344558,William B. Kristan
346025,Werner G. Krebs
346894,Wee Kuan Kek
349688,W. Karas
349786,W. Kong
349800,Warren L. G. Koontz
350782,William Kocay
366846,William B. Knowlton
372692,Wolfgang Kimmerle
378199,William F. Kraus
384855,W. Kou
386966,Walter I. Kaechele
396944,William R. Kem
416046,Winfried Kless
419315,W. Knop
419716,W. Charles Kerfoot
421900,Wolfgang Kautek
422031,W. Kündig
425009,Woochan Kim
436574,Won ik Kim
444745,Wilfried Kausel
445304,Wieland Keilholz
447059,W. Kjellman
450968,William Keating
457952,William L. Kilmer
458819,Winfried E. Kuhnhauser
459854,WATARU KASE
463725,Winston Ko
466519,Wing Hung Ki
467469,Warren Katz
468574,W. Page Keeton
468980,Witold A. Krzymien
479674,W. Kleinoder
481908,Wiebke Kuklys
488719,W. Khan
490689,Werner Kobitzsch
494460,W. D. Kehr
497282,Waltraud Kahle
509517,Wolfgang Klein?der
518012,W. H. Kraan
525645,Walter Cardinal Kasper
535462,W. Kinner
538247,Waiming Kong
538350,W. Kunz
556779,Wai Ko
568460,Weimao Ke
572462,Werner Guthy Annette Kirsteinz
580199,Wolfgang Kollmann
586120,Wenjun Kang
587698,William D. Kalsbeek
602343,William J. Kaiser
621979,William B. Klein
629234,Wolfgang Kinzelbach
632257,W. Kornfeld
633258,Weimao Ke
633415,William M. Kahan
636715,Wolfgang K
636892,Wai Mun Koo
638047,Won tae Kim
648907,Wolfgang Kreutzer
652848,W. R. Kropp
653299,W. H. Kraan
654460,W. Kala
664677,W. Kasparek
669271,Woo cheol Kim
675347,William Kaminsky
687401,Woo Jae Kim
693683,W. Kurniawan
703579,W. J. Keery
707277,Wang Keguang
716280,W. J. Kleinfelder
716807,W. D. Komhyr
718543,W. Kreiner
719286,Waclaw Kus
721621,W. Kipiniak
740943,Wojciech Klimala
747114,W. A. Kitchens
760264,W. Kosnik
762897,Wang Ke
781716,William B. Knowlton
781923,Wolfgang Kober
783426,Werner Kirsch
785797,William M. Kier
788970,W. J. Karnavas
796617,Wolfram Kahl
799989,W. Kauzmann
802668,W. P. Krol
813532,Willi Klosgen
814792,Whee Kuk Kim
817586,Wafa Khorshid
824270,Walter E. Kaufmann
835544,Wan ju Lei Knowledge
850589,Whoi yul Kim
852380,Wilfried Konrad
860763,Wojtek Kowalczyk
860996,Wolfgang Ketterle
866535,W. W. L. Keerthipala
872080,W. Krischer
872281,William Barthelemy Knowlton
873711,Wolfgang Knig
878498,Wolfgang Krueger
883429,Warren Keuffel
895368,Won Seok Kang
897534,W. Ko
914797,William R. Kem
922237,W. n. Kim
924359,William J. Kaiser
929675,W. R. Kropp
946622,W. B. Vasantha Kandasamy
947219,W. J. Kenney
951320,Wolfgang Kafer
972286,William D. Kalsbeek
975843,Wolfgang Kistler
976230,W. Konhfiuser
984870,W. Randall Koons
998355,William J. Kubitz
1001884,W. E. King
1013380,With Time out Khonsari
1017071,Wieslaw Krolikowski
1025768,W. Kuebler
1030177,Werner Kerler
1045270,W. Keune
1045394,Wu Hong Kwong
1054402,Wai Kit
1055364,W. J. Kleuters
1056662,William Clem Karl
1058513,William W. Kolb
1063931,Wolfram Kresse
1069999,Wolfgang Kowalsky
1071887,William E. Kunin
1086730,Wook Koh
1090280,W. Kundert
1091487,William B. Krabill
1092134,Wolfgang Kastner
1093013,W. R. Knolle
1100613,Wilfried Klauser
1111806,Wolfgang Kuhnel
1115953,W. H. Kasner
1116060,Won Chan Kim
1129566,Wan Joo Kim
1135387,William Kloek
1148157,Wook Kim
1154205,Walt Kohler
1173401,WERNER KRAUS
1175903,William Kelly
1178750,W. k. Kahn
1179923,William H. Kautz
1180422,Wilfried Klix
1180915,Wataru Kawakami
1190840,W. P. Kirk
1193415,William Klippgen
1194778,W. Kook
1196511,Wei jiu Liu Miroslav Krsti'c
1202054,Walter J. Karplus
1203364,William Krivan
1205010,Warping Ahmet Kemal
1207127,William H. Kinney
1207163,William J. Kerwin
1210459,William R. King
1211568,William J. Kaiser
1219662,W. K. Krebs
1224090,W. t. Kaune
1229307,W. Kaefer
1232493,W. Kraaij
1234381,William Karush
1237838,W. k. Kahl
1243055,William Kimber
1244276,W. d. Keith
1247031,Waldemar Karwowski
1247741,W. i. Kwak
1250538,W. Kluge
1263499,W. h. Kwon
1270116,W. R. Koppers
1290532,Wim Koppers
1290902,William H. Kastern
1294768,Werner Kneist
1295413,Werner Krattenthaler
1298159,W. D. Kelton
1301423,W. K. Kwok
1322822,Walter H. Kohler
1324074,Woon Seong Kwon
1330513,Wolfgang P. Kowalk
1331587,With Sublinear Kurt
1385486,W. Carl Kester
1390992,Wing kay Kan
1393290,W. Kung
1397884,Won Young Kim
1403960,Wen jia Kuo
1409231,W. Kolb
1422408,Won Chul Kim
1425587,W. T Koiter
1436998,Wen H. Ko
1439676,William P. Keirstead
1460802,Wolfgang Keller
1464558,Willi Klosgen
1464821,Wally J. Kleinfelder
1475049,W. Koerber
1480785,W. R. Kropp
1491635,W. Keulen
1492598,Won Kim
1493723,Wolfgang Kantschik
1499931,William N. Klarquist
1504939,Wesley B. Kasen
1511240,Wakichi Kondo
1536543,W. Kessler
1539159,William L. Klein
1545606,Walter A. Kosters
1548703,Wayne D. Kimura
1557534,Wieslaw Krolikowskit
1561495,W. B. Kude
1561992,W. G. Knisel
1563276,William Aaron Kuperman
1580248,William J. Kaiser
1582353,W. Kruger
1588921,W. E. Kuhnhauser
1604640,Wolfgang Konig
1606291,Wlodek Kulesza
1619241,Walaa E. I. KHOGALI
1629986,W. Kobayashi
1632404,Wilberd van der Kallen
1637073,William E. Kunin
1639018,W Kam
