7749,Y. Kudo
16372,Yongdae Kim
18574,Ye. I. KOVALENKO
25873,Y. Kuwano
32760,Yu. A. Kuznetsov
55366,Yuri S. Kivshar
57205,YASUSHI KOMORI
58541,Yasunori Koda
61336,Y. Kunieda
62192,Yutta Krieger
62878,Yu. g. Kondratiev
64083,Yu. V. Kozachenko
66939,Yasusi Kanada
80008,Y. Kenmoku
81065,Yong Cheol Kim
90346,Y. P. Kuang
109817,Yoshiaki Kinemuchi
110736,Yifat Ben David Kolikant
112516,Y. M. Kim
117049,Y. hj. Ku
121390,Yong Shik Kim
126036,Y. Kajiyama
132477,Y. Karafyllidis
133143,Yusuke Kobayashi
134659,Y. j. Kwon
136249,Yoo Yin Kim
149985,Y. Kurokawa
157278,Y. Kondo
174088,Yoshihito Kobayashi
184547,Young Kil Kwon
193229,Y. M. M Knops
206431,Y. Kaneda
207015,Y. O. Kim
209887,Y. Kaneko
211874,Yunjin Kim
224784,Yu hwan Kim
235331,Young Pil Kim
240700,Yoshio Kawate
251108,Yolanda Kennedy
252633,Young Hoon Kim
253414,Y. Koyanagi
267784,Yoshihiro Kuroda
273467,Y. h. Kang
281573,Y. Kandatsu
293594,Yong Chun Kim
294937,Yoji Kajitani
297732,Yoshiki Kawajiri
302307,Y. Kurata
317377,Yehoshua Kalisky
329514,Y. Kagami
329710,Yoshimitsu Kudoh
333292,Yongkyu Kim
354377,Yukiko Kawaguchi
356397,Y. Kathuria
358357,Yoshiki Kinoshita
363667,Yoshikatsu Kuroda
363905,Young soo Kim
372090,Young Sang Koh
376582,Y. Kiang
377954,Yoshio Kakizaki
379402,Y. Kobori
387419,Yasuteru KondoYoshiyuki
388026,Yu. Kamyshkov
392165,Yukikazu Kabuyama
394749,Y. Kimura
400698,Yuichi Kado
404046,Young  Soel Kim
404509,Yuichi Kawamura
406695,Yukiyasu Kamitani
407830,Yong Sub Kim
409118,Y. R. Kwong
409569,Young Chai Ko
411715,Yu. Kubyshin
415365,Yasumasa Kajinaga
419749,Y. Kohayakawa
421180,Y. Kubo
426625,Yevgeniy P. Kuzmin
437376,Yevgeny Kryuchkov
440671,Yoshinari Kamakura
444760,Yoon Soo Kim
446259,Y. Kosaki
461058,Yury S. Kultiasov
464745,Yuri Knyazikhin
467327,Yueh Cheng Kuo
471832,Young Joon KIM
472983,Yarden Katz
480839,Yu. A. Kareev
484488,Yun Kang
484504,Yaw Wen Kuo
492024,Y. Kalma
494938,Yangseok Kim
495517,Yuqun Chen Kivancmihcak
512063,Young min Kang
513221,Y Komiya
515127,Y. Kawazoe
516171,Yoshiaki Kamigaki
516776,Yoann Kubera
517305,Youngsang Kim
519420,Yoshiyuki Kawakami
524319,Yeondae KWON
527415,Yu. G. Kolomensky
534359,Yonggil Kim
556108,Yong min Kim
562667,Young Hoon Kwark
567682,Yu. V. Krylov
578485,Yasuteru Kondo
585749,Yonathan Kozlovsky
586287,Yoshinari Koyama
592235,Yuki Kamide
618685,Yutaka Kakuishi
619507,Yao huang Kao
626950,Yong ho Kim
628673,Yu. A. Kresnin
632873,Y. Bhavani Kumar
634840,Yasuo Kuga
637588,Y. Karelic
641478,Yuko Kobune
647449,Young Se Kwon
654788,Yoshiaki Katayama
659228,Yeon Ho Kim
659332,Y. Kamisuwa
662345,Y. Kawama
663987,Young In J. Kim
675140,Yoann Kubera
676511,Yean Woei Kiang
680486,Yibin Kang
696249,Y. Komazawa
697009,Y. Karube
