2511,Bing Jing Li
5441,Bbn Laboratories
5920,Bruce R. Land
9584,Bernt Lindstr?m
10161,B. R. Harris Land
14762,Beng Hai Lee
17567,B. Lundgaard
21226,Bo Liu
23159,Barton L. Lipman
30983,Bruce W. Leverett
45540,Bruno Latour
47328,B. Lund
51478,B. M. Landsberg
51616,Brian G. Lees
55812,Bernhard Lampe
61197,Byoung Gook Loh
66944,Beth Levin
69409,B. Lerner
80334,Beam Taek Lee
82078,Brian Leslie
83823,Brad Lisien
85919,Bartolo Luque
86266,Benny Lo
93326,B. M. Loscher
99711,Bill LaPlant
100070,Bruce W. Liby
101400,Bjorn Lindblom
102319,B. S. Lin
108508,B. LINET
108843,B. Ladd
115740,By Jane I. Lataille
125032,B. Laubscher
131616,B. Lerebourg
133488,Brian Lau
133616,Baikun Li
135651,Brian K. Livezey
136588,B. w. Loo
141383,Beum seuk Lee
156680,Beizhi Li
166750,Bengt Lennartsson
167151,Binneg Y. Lao
174029,Bede Liu
175436,Byoung Sun Lee
185431,Brian Levy
185497,Ben Luey
190281,Brian Lockyear
205609,Bundit Limmechokchai
208431,Bom Son Lee
219950,B. Lake
222240,Bruce P. Lowerre
222345,Boleslaw LACH
228872,B. Lisowski
234143,B. Lause
240130,B. T. Lee
241907,B. Laplante
242022,B. Lim
250324,B. Kozitsa. Y. Lichtenstein
253156,B. Van Leer
254409,Bastian Leibe
254844,B Lowerrc
259832,Bradford Loucas
260855,B. Lorstad
262806,B. Lobanov
264737,Bing Nan Li
267329,Brian Logan
273911,Baolong L
274435,Brigitta Lange
274925,Benkt Linnander
286579,B. J. Lazan
290339,Beate List
296949,Byongho Lee
299825,B.b. Lerman
306667,Breiman Leo
310426,Building Systems Laboratory
312710,B. L. Lesch
325222,Brad Leonhardt
327207,B. Ll L?nnerdal
328347,B. M. Lange
335951,Boon Thau Loo
346320,Bob Lyke
347016,B. Letelliier
350245,B. B. Laios
351701,Boris Lubachevsky
364455,Bin da Liu
375941,Binbin Lin
376273,Barbara Levergood
385837,Brett Laursen
396812,Brian Lithgow
423960,B. g. Lamme
427927,Brunero Liseo
430027,Boyang Li
442345,B. Lange
448017,B. v. Lewenstein
452749,Bill Leonard
453624,Buyun Liu
494282,Brad E. Lian
494673,B. Lientz
497433,Bong ju Lee
516851,Bo Lincoln
517975,Brian Neil Levine
518449,Barbara H. Liskov
538499,Brent K. Langley
540489,Bertrand Laforge
545899,Bonggeun Lee
548453,B. Loechel
555586,Barbara H. Lippe
570308,Burkhard Littwin
575343,Beyond Programming Languages
575947,Brian R. Lawn
576607,Bang W. Lee
578944,Bin Liu
587431,B. Lisek
589803,Benjamin H. Landing
604368,Benyong Liu
604485,B. H. Lambrigsten
611071,Bruce B. Lerman
612107,B. D. Lott
612564,Ben Leong
637346,Bruce E. Litow
653081,Baohua Li
654178,B. Lutkenhoner
655057,B Lmdsay
667659,Burkhard Lenze
692386,Benjamin Y. S. Lynn
695529,B. Lavene
698174,Begins Special Lectures
701217,Bernd Leibold
702515,B. W. Lampson
706629,B. M. Lenhardt
707360,Bernard Legras
708054,Brian Lohiser
708056,Byung Suk Lee
709961,Byung sun Lee
710966,Bernard Lesigne
712970,Byung Joo Lee
717011,Brian D. Lynch
724729,Barbara J. Luka
728391,Byong Lee
738002,B. Lu
741200,Bore Kuen Lee
745709,Bernd Lochner
745813,Beatrice Lazzerini
750637,Bjorn Levidow
755634,Bharat Lakhanpal
762922,Bingshan Li
770877,Braj Bhushan Lohray
776199,Bangchang Liu
778650,Brian Lent
782012,Brian LaMacchia
790873,Benjamin L'Huillier
795283,Barbara Luke
799826,B. Leufkens
801177,Bruce R. Land
802329,Beth S. Lee
802749,Brenda Laurel
811197,Bruce Lubotsky Levin
811759,Bisharah Libbus
816641,Becky Lopez
817763,B. M. Luther
822764,B. Ya Levit
823113,Barbara Staudt Lerner
826215,Bruce L. Lambert
831220,B. l. Lennartsson
832141,Bruce Lindsay
832562,Bobbi S. Low
836077,Ben Hui Liu
840806,Baikun Li
844685,Boaz Leslau
856193,Bemhard Liesenfeld
858057,By Xiaolong Luo
869321,Bruce Lamattina
869537,Bernd Lintermann
874859,Brain A. Lail
878138,Ben Lynn
879265,Bjorn Lyxell
884874,B. Ligneris
888075,Barbara A. Latenser
889712,Bryant Lee
896825,B. G. Lay
897585,Benjamin A. Lieberman
898441,Billy R. Livesay
900140,Boris Lenhard
907297,Bruno L¨|vy
912618,Bryan Lyles
913882,B. C. Love
915360,Bg Livett
920208,Baobin Li
921124,Benjamin Livshits
923653,B. Lorensen
923873,Bernd Helge Leroch
924675,Brian Leung
929524,BiJun Li
949743,Brent W. Lindquist
953850,Bundit Limmeechokchaia
954069,Blanc Trassoudaine Le
956294,Bernard Lescure
961984,Bryan Lawson
963113,B. M. Ladanyi
963320,Bj?orn Lisper
965658,Bo kyung Lee
971307,Beno ˆ õt Libert
972901,B. K. Lavine
974235,Bjornar Langli
974956,Bo Kuai Lai
978618,Bertram Ludaescher
992763,Ben Lukoschus
994017,Bertram Leesti
994270,Barry G. T. Lowden
1004725,Bing cheng Li
1012130,Bambina Larato
1023383,Basel N. P. Lang
1025872,Bert Lagaisse
1026740,Beni Lauterbach
1027301,Benedict J. Leimkuhler
1031665,B. L. Livshitz
1043016,BERNARD LORANG
1047525,B. m. Liang
1050508,B. J. Lipa
1056593,Brendan Luyt
1057673,Birger Landwehr
1062357,B. Leitheiser
1064150,Bing xin Li
1069128,B. Levus
1069335,B. Lent
1069518,Brian Litt
1071803,Bor Sung Liang
1074333,Bernd Laquai
1076199,Bo Ljung
1076269,Brett Tjaden Lonnie
1079039,Bing Li
1088410,Bernard Labedan
1088849,Berit Lken
1092576,Brian Leung
1104849,B. Levash
1106890,B. D. Lawson
1107672,Benedetta Leuner
1107845,Barry Leiba
1113180,B. Lacaze
1114543,Byron Long
1117165,Boyang Li
1123333,Byung ii Lee
1126393,B. W. Leverett
1129817,B. h. Larsen
1135604,Beat Liver
1145859,Bratisl Lek Listy
1166090,B. W. Lampson
1169803,Bob Lucas
1172297,Barry Litofsky
1175704,B. H. K. Lee
1183885,B. Liberman
1187691,Brent R. Logan
1190227,Bernard Lapeyre
1192991,B. s. k. Lo
1206802,B. Ledoux
1213068,B. F. LaPage
1214661,B Laum
1215833,B. LAMB
1224755,Bu sung Lee
1227535,Butler Lampson
1230598,B. Latinovi?
1237184,Bruno Lequesne
1242761,Bongshin Lee
1274197,B. Lopez
1275184,Bacharova L
1275645,Brian LaMacchia
1276960,Birgitta Lastow
1279223,B. Labulle
1281923,Biquan Lin
1283075,B Ltskov
1288063,Bart M. N. Lambrecht
1309054,B. L. Lewis
1312042,Bao liang Lu
1312249,Ben Livshits
1318105,B. Longo
1321561,Baisub Lee
1329864,Benoit Lafleur
1337986,Brian Lau
1341582,By David J. Laws
1342746,B Longueville
1349514,Bruno Latour
1350044,Bruce P. Lester
1352103,By Hannes Leeb
1353558,B. l. Lesch
1355372,B Lai
1359191,Bertrand I peng Lin
1359937,B. Lafrance
1361795,Benny P. L. Lo
1378855,Britta Liedtke
1403741,B. y. Lee
1410048,Bernard Legrand
1421383,Ben Liblit
1423215,B. Lindberg
1427389,B. P. Lathi
1433411,Bastian Leibe
1440098,Brian K. Law
1442367,Byung Lee
1453992,Bertrand Loisel
1458261,Bai Cheng Liu
1460272,B. Larzelere
1468212,Bat M Lifl
1478052,Benedetta Leuner
1479335,Bela G. Lakatos
1479647,Bernd Lutz
1487911,Bengt Lennartson
1493968,BRUNO LOUIS
1495928,B. Lublinsky
1503032,B. Lauser
1509114,Bin Li
1511921,Beth S. Lee
1513402,B. Lax
1516414,Butler W. Lampson
1520376,B. J. Luff
1524460,Barry M. Landson
1524674,Bing Lam Luk
1537484,Baoliang Liu
1538230,B. Lyle
1543764,Brian Leung
1546085,Braj Bhushan Lohray
1549115,Barbara Lazarus
1553802,B. Lissak
1555969,Based On Linear
1560530,Brian Lings
1564924,Beate Lehndorff
1572149,Bincheng Li
1574648,Bruce Lercher
1575232,Byung Gook Lee
1575788,Bonaventure Loo
1578718,Bo Kuai Lai
1601023,Bernd Linowski
1601031,B. R. Lindsey
1604002,B. Lesa¨ec
1604772,Bryan Lawrence
1605648,Barbara A. Lewis
1606206,Byoungjoo Lee
