2607,F. Lefevre
7016,Frederic P. Lemaigre
14205,F. Javier Lopez
24816,F. Laclare
26166,F. Leitner
26661,Fotis Liarokapis
28147,Francois Ladouceur
35151,Francesco Paolo Lovergine
37850,F. Pe Tre Lis
39812,Francisco de Leon
41303,F. W. Lancaster
51147,Fleur W. Op't Landt
67897,Francis Longstaff
70792,Fotis Liarokapis
81177,Fuling Li
90580,Franz W. Leberl
90923,F. Lamarquem
91454,Fletcher Lu
98297,For Crystallography Laboratory
104501,Filip Lievens
109800,F. Leuenberger
115328,F. Levine
116501,Fran Lewitter
131443,F. Lecouturier
138758,F. H. H. Linn
139083,Felix Lazebnik
144195,F. Lufrano
167673,Fengqiu Liu
168409,Frederic Lang
186298,Fang Hua Lin
189318,F. Lucas
194326,Fred Lerdahl
195617,Frederik Labaar
199358,Frank L. Lewis
202999,F. m. Leung
203935,Fenglien Lee
204000,FRANCO LEMOS
208162,F. Leveraro
214915,Fuchun J. Lin
219898,Fleming Lecture
223219,Fangxin Chen Luke
227902,Fangyan Lu
229788,Frederic F. Little
232465,Functional Language
235228,Francois Legras
256527,For Compressed Light
260365,Fred Lerdahl
265355,FREDERICK MARK LEHR
280505,F. Lakin
284985,Francesco L. Lama
287526,Fawang Liu
298108,FERNANDO MERINO DE LUCAS
334719,Fabien Laniel
336399,F. h. Leung
339302,Fangzhen Lin
339775,Frederick H. Lochovsky
357622,Francesco Lufrano
372575,F. Lynch
373168,F. A. Lindholm
373763,Frank Lenzen
376592,Faa Jeng Lint
378489,François Laplanche
387571,Fabrice Edouard Lehoucq
404131,Francois Lagarde
405401,F. Lv
412770,Fumin Li
418004,Ferrucci Watson Logic
418905,Fredrik Lindqvist
447043,F. Lorrain
453688,F. Lavaste
460195,Ferreira LEAL
462174,Fabrice Lavier
470768,For The 2 D Linearized
475640,Francis A. Longsta
494632,Furong Li
506972,Frederic Lardeux
506992,Fabiana Leoni
516457,Fran?ois Laroussinie
518191,F. N. Loreti
520134,Foundation Stage Learning
520163,Fernando Cordeiro Lemos
523325,Frank Lerch
549225,F. Lampariello
552075,Franz L. Lanzl
556395,Frank Leong
560182,F. Lecouat
561691,Francis A. Longstaff
568455,F. Laughter
584882,For Constraint Logic
590834,F. H. Lochovksy
604517,F. M. Lassandro
610513,F. Lucari
623443,F. Leonberger
624580,Franco Laeri
633133,F. K. Levy
641852,Falk Lempelius
657472,F. Lera
658906,F. Lamnabhi lagarrigue
659698,Frank Haizhon Li
663100,F. Lodge
673396,F. Lantz
681454,F. Lahulla
692014,F. Javier Lerch
694007,F. Lestienne
700728,Fernando Llopis
706968,FRANCIS LILLEY
709202,Fan Yi Lin
714544,F. Luchko
718037,Frederic S. Lee
722734,Fabricio Martins Lopes
724005,F. Tin Loi
727864,Frank R. Lichtenberg
736976,F. Lhermitte
739327,Fred L. Luconi
755919,Fabrice Lehoucq
775321,F. Leyn
778842,F. Lima
791989,F. Lebourgeois
793293,Fu An Li
798490,Frederick Lanni
799856,Forum Letter
802807,F. Lloyd
806015,Feng hsi Liu
820185,Fabiola Lucio
829104,Frank Lemire
830928,Fuji Lai
831174,Frank Dignum Bernd Van Linder
842448,Frode Lbersli
854769,F. Luna
854772,F. Lamarche
857608,Frames S. Liapis
862051,Fengyi Li
862252,F. J. Leven
873172,Fernando Jiménez Latorre
881224,Fuchun Joseph Lin
893813,F. Elbaz luwisch
901178,F. Lalande
914993,Fredrik Liljeros
929138,Fei Fei Li
933322,F. Leccabue
933428,F. e. Loffler
934923,Fong Hao Liu
948493,Franck Legendre
957982,Fernando Daniel Lyardet
962689,Francois Lemaire
975775,Frederic L. Lizzi
976406,Francesco Laviano
982046,Floyd LeCureux
991769,Frances S. Ligler
993472,For 2 Sufficiently Large
1009058,Francois Lucas
1017511,Fernando Jose Gomes Landgraf
1021106,F. Lucidi
1022334,Frederic A. Lyman
1025746,Felipe Lumbreras
1029532,F RANCESCO LUDOVICO
1032788,F. Lin
1044043,F. Levstein
1044267,Frank Lerch
1047751,F. Rocha Legoretta
1060131,F. Leorat
1063212,Francois Lemaire
1064467,F. Leonard
1064564,F. Lonetti
1070642,Frans A. Lategan
1080011,F. AGULLO LOPEZ
1080315,F. L. Litvin
1081950,F. J. Lu
1093396,F. Luise
1096396,F. Lertora
1102417,Francisco de León
1103346,F. C. Liu
1117819,Felicia Lee
1123359,Fred M. Longstaff
1128959,F. Laichi
1131476,Friedrich Mayer Lindenberg
1140268,FRANCIS LOUIS
1144349,F. Landis
1151767,Felipe Larrain
1161426,F. Lesage
1163609,Flip Flop Lut
1166859,Frances Lincoln
1183431,F. Lenz
1191040,F. Mu Ller
1194381,F. h. f. Leung
1198979,Francois Labourdette
1201251,Fernando Cordeiro Lemos
1206385,Frank Leidermann
1206902,Fiorella Guadagni Lingna Li
1212696,F. Lafranca
1220787,Frank Leader
1232710,Fred S. Lee
1233423,Fabien Launay
1236323,Francis Longstaff
1239141,Francois Lacombe
1246186,F. GONZALEZ LIMA
1251850,Francois Labonte
1259774,Francis Liu
1260056,Francisco Rocha Legorreta
1262793,Franz Lehner
1266578,For Arrenurus Larvae
1270996,F. Lamarche
1280247,Frank Lange
1280385,Federico Albano Leoni
1287085,Francoise Lepage
1307602,Faraon Llorens
1313920,Frederic Leroy
1323905,Frank Lad
1324732,Fabien Lahoche
1325555,F. j. Leonbercer
1331696,Foreign Language
1335648,F. Lustman
1338128,Frederic Lecuyer
1339572,F. Ching Liaw
1340181,F. Lustman
1342588,Feng li Lian
1356754,Frank Lichtenberg
1359718,Frank Van Lingen
1364500,Francis Le
1372269,Fang Liang Lim
1386577,Fan Lin
1386814,For Structured Languages
1390626,Franck Lebastard
1393169,Francis Lepage
1396985,Frank A. M. van de Laar
1397685,Fan M. Lok
1411924,F. Lippens
1421402,Flexible Formal Language
1422841,Fernanda De Lima
1432184,Francis Loth
1436632,Francis C. Laabs
1438565,F. Libermann
1441157,Faa jeng Lin
1442578,F. Laburthe
1444919,Frank Van Der Linden
1457256,Fabien Langlet
1464921,Faa Jeng Lin
1468935,Fotis Liarokapis
1472145,Franklin Lowenthal
1484287,Fr'ed'eric Leleu
1489023,Fredrik Lundevall
1493473,F. W. Lawvere
1493956,F. Lavernhe
1500779,F. M. Librecht
1502876,Faa Jeng Lin
1506515,Fransisco Lacerda
1514035,Francis A. Longstaff
1522091,From Automatically Learned
1528064,F. Langouche
1529701,For Low latency
1537055,FERNANDO MERINO DE LUCAS
1541105,F. j. Lombardo
1546255,F. J. List
1553833,Francois Loeser
1554869,Fernando Antonio Lozano
1557319,F. Lam
1562241,Fritz Lehmann
1572273,F. Ludwig
1581372,F. A. Logan
1587415,Frederick J. Lisy
1598190,Fernando Cordova Lepe
1598233,Fu Tai Liou
1606391,Fábio. Nogueira De Lucena
1616464,Fu ren Lin
1617129,Francesco Lissoni
1621039,Functions From Bit level
1626141,F. Louage
1646262,Fusion In Landmine
1646773,Fascicle Vi. Ll
1649857,F. C. H. Lin
1653799,Francesca Licci
1657092,Francoise LAVILLE
1657965,F. Liang
1663947,Frances Lynch
1664118,For Small bdp Lossy
1665640,Frank Yeong sung Lin
1679642,Franz Lackinger
1684040,Francesco Pio Lucente
1694977,F. S. Lai
1704896,Fernando J. Velez La
1707512,F. E. Luborsky
1719263,Fabienne Loisy
1720246,Fabrice Lefevre
1721901,Feng Long
1723646,Fidelity Jill Lesser
1738549,Frederic Loulergue
1751006,Frederic Labrosse
1756433,Fabio de Lima Leite
1757411,Fengjun Lv
1761302,Fernando Javier Lage
1763091,Florent Lafarge
1763394,Freddy Lecue
1766858,Fabien Laguillaumie
1777287,F. Larsen
1785693,F. E. Leader
1786795,F. Li
1790265,Frederic Lubrano
1790873,F. Langlotz
1792193,F. De Lucia
1804081,Feipei Lai
1807933,F. Levron
1814174,Fang Jou Liu
1814227,F. Libsch
1833298,Felicia Lincoln
1840958,F. Lafrance
1849428,Florian Losch
1859785,Frank Leke
1863449,Feng Li Lin
1877170,Frank Lichtenberg
1877671,F. A. Lehrer
1883045,Filtered u Recursive Lms
1884027,Frecon Louis
1884929,F. K. Lehman
1885684,Fransisco G. Pena Lecona
1906507,Fu Shung Lin
1906728,Fredrik Lagergren
1917689,François Xavier Ledimet
1921512,F. B. Lopes
1923187,Friedrich M. Landstorfer
1924574,F. Lindgren
1930101,Fernando Cordova Lepe
1937192,F. f. Luo
1951682,Frances Lawrenz
1955013,Florian Ledermann
1964784,Francisco Lacerda
1965448,Felix Lor
1976140,Frank Lehner
1976465,Fedele Lizzi
1978975,F. Lewis
1981311,Francisco Javier Lobillo
1994049,Frederique Battin Leclerc
1996766,Frank J. LoSacco
1997630,Fangzhen Lin
2003026,Frederic Loulergue
2011674,Françoise Simonot lion
2022003,Francis Levernhe
2034055,Frieder R. Lang
2038181,Fei Fei Li
2041358,Frank Lewen
2041509,Fabrice Lopez
2047859,Fang Liu
2056360,Francis Longsta
2062583,Feng Li
2072336,F. Laliberte
2073591,Frank Lattemann
2074025,Fabio Lazzaroni
2087890,F. J. Leahy
2095438,Francisco J. Rocha Legorreta
2114866,Fabrice Lehoucq
2131318,Friedrich Lucking
2134257,F. Briquet Laugier
2148873,Frank Lenzen
2150193,Frank Lomker
2161327,Fa Long Luo
2172977,Fabio de Lima Leite
2182949,Florent Lafarge
2183531,Feng Liu
2189274,Francois Laburthe
2221357,Fan Li
2227543,Frank Laczko
2239256,Feng Luo
2242804,F. J. Lazano
2244026,Francesca Lascialfari
2248256,Fang Zhao Sushil J. Louis
2249636,Francisco J. Perales Lopez
2256387,F. K. LAM
2256815,Fu Hua Liu
2257738,Francis Longstaff
2258822,Fuzzy Logic
2261222,Francois M. Lalonde
2263408,Fredrik Ljungberg
2275253,Frank C. Langbein
2282832,Francis Lucazeau
2291528,F. Laviolette
