18489,Inmos Ltd
51405,Inald Lagendijk
64690,I. LANDGEV
68393,In Kyu Lee
91657,Ian Lynagh
107641,Ian D. Longstaff
113123,Induction Of Linear
116146,I. Lambermount
134532,IanHenry Lambert
143395,Intel Isv Performance Labs
155206,I. Lengyel
157129,In R. D. Levine
175051,Il lo Lee
211470,I. g. Lassous
213342,I. Liebich
215077,Introducció De Ron Livné
226028,Itziar Laka
233800,Ivan Lanese
272974,I. E. Losch
276245,In A Larger
280939,Imaging Systems Laboratory
284198,I. Lumb
288646,I. V. Lushchytskaya
296329,I. M. Lutzenko
297310,I. Langendijk
303319,Ivan Franko Lviv
313686,I. Lopez
333414,Isabel K. Lloyd
336575,I. Dennis Longstaff
389048,Ingu Lee
407211,Imre Leader
439928,Idit Lev
462492,Inc. Logitech
466708,Ivo A. Leiss
467943,Isaac T. S. Li
488805,Ivan Laptev
494166,In sung Lee
522312,Ik Hwan Lee
523337,Ioan Lazar
525286,In Jan Van Leeuwen
528967,Ivan Lukovsky
541181,I. L. Lamont
551763,Ivan Lizarazo
562105,Igor B. Lyubashevskiy
566728,I. Lasters
568049,In Operations Research Letters
568781,I jong Lin
601403,Itziar Laka
602847,Ivan Lanese
618353,I. Lu
637243,Injae Lee
649449,Irwin B. Levinstein
655339,Isabel K. Lloyd
670477,Irina Vladimirovna Lushchytskaya
672990,Ian R. Lane
673132,Inna N. Louneva
674776,Ignacio Laplagne
725802,I. Livingstone
759255,Integration Systems Leopoldo
768377,I. s. Lin
780109,I. Larish
780149,Isaac Lopez
794970,Ilaria Lombardi
815877,In Dysplastic Lesions
848648,I Tai Lu
886243,I. Longo
886787,ILYA LAVRIK
890942,I. Landjev
891626,Intro To L
899160,I Pyen Lyaw
902397,I. c. Lane
911579,I. J. Legrice
915382,Ioannis Leftheriotis
919463,In Kyoon Lyoo
919795,Isaac T. S. Li
954810,I. S. Lehrman
962031,Igor M. Loutsenko
968400,I. Lewis
969806,I. i. Leonov
995251,I. J. Lan
1012560,Ivan Lamouret
1018820,Ivan N. Landgev
1019861,Ibm Haifa Research Laboratory
1023913,I. Wuled Lenggoro
1037453,I Tai Lu
1048161,In Yeol Lee
1050846,I Tai Lu
1059174,Inseong Lee
1061380,Ines Lindner
1139512,Isabelle Leconte
1140414,Ian M. Leslie
1142232,I. Wuled Lenggoro
1157358,Irini Lekka
1163441,Isabel K. Lloyd
1178431,I. Tai Lu
1198986,In Seop Lee
1199426,Ian G. Lisle
1204076,I. L. Lebow
1219174,I. V. Lushchytskaya
1237281,I. F. Lealman
1270868,ISABELLE LECURU
1313435,Itay Levin
1346091,Interaction On Large
1369629,Isabelle Guerin Lassous
1372099,Ignacio N. Lobato
1382432,Ilan Lampl
1399001,I. Lenhardt
1436243,Irwin B. Levinstein
1441117,I. B. Logashenko
1449312,Ivor A. s. Lewis
1482813,Image Evaluation Lutz
1506475,I. Leftheriotis
1528528,Inga Lips
1542967,In Ho Lee
1543794,Ibm Load Leveler
1558481,I. Wuled Lenggoro
1564708,Ian Henry Lambert
1591381,Isaac Levi
1598414,In hee Lee
1615146,Ivan Lehraus
1619703,I. Lampe
1638044,Ignac Lovrek
1656308,Italy Flaminia Luccio
1672541,Integration With Logistics
1674590,Isabelle Linden
1733967,Ian H. Law
1735763,Ivica Letunic
1745555,Improving Htrp Latency
1752501,Irakli Loladze
1757898,I. Lifchus
1773010,Ian J. Leary
1789564,Ideas From Linguistics
1801326,I. Lacadena
1814386,Ilda Ladeira
1818017,In kwon Lee
1829001,Irvin J. Lustig
1847458,Isabelle Guerin Lassous
1851204,Ioan Dore Landau
1851549,Ivan B. Liss
1867413,I. Lundstr?m
1871392,Isra¨el c'esar Lerman
1881187,In Computational Logic
1904682,Ilan Lampl
1923962,I. Wuled Lenggoro
1948124,Ivy Lui
1977846,I. Wuled Lenggoro
1991414,I. Levi
2034360,I. Lozano
2044130,Iberdrolu Inaki Luresgoiti
2073331,I. Lagnado
2080808,Identification Of Landslides
2083481,Isabelle LEDOUX
2085416,Ian S. Lustick
2097628,Irena Lasiecka
2108416,Ignacio Martin Llorente
2134742,I. Lapkin
2149863,I. Lloyd
2163639,I hsien Lee
2169233,Izchak Lewkowicz
2187829,Igor Innokentevich Linge
2194217,I. Lynce
2199584,International Computers Ltd
2234641,Ivan Lanese
2265213,Irakli Loladze
2285309,Igor Lyuboshenko
2289061,Internetwork Routing Lee
