3855,Stéphane Louboutin
5077,Sang Mook Lee
6575,Soo hyung Lee
9529,Sylvain Lippi
9676,Sophie Lambert Lacroix
11659,S. K. Lyubutin
13845,Sheng Shian Li
14078,Steffon Jon Luoma
14632,Sung Lim
15332,S. Lelandais
24253,Suzie Lavoie
25316,Sang hun Lee
25557,Stephen D. Lee
29303,S. Longo
34245,Stephen Little
35736,Seungjin Choi Ruey wen Liu
37398,Shi jei Liao
40047,Stephan Lorenzen
41346,S. L. Levy
42192,S Lateral
44263,Sally P. Leys
45575,Salvatore Livatino
51074,Susan E. Logue
51858,Simon Leung
53207,Szabolcs Lorincz
53479,Shaofeng Lu
61350,S. LePage
62187,Serge Lacourte
62219,Seok Hyun Lee
64576,Stephen S. Lavenberg
64869,Sheldon Logan
68270,Simon P. Liversedge
68670,S. Longhi
71233,Sheila Alcantara Llaguno
73240,Sergey Loktev
73559,S. Cruz llanas
73889,Seong ro Lee
74051,Svante Linusson
74999,S. E. Lowther
78658,S. Lilleyman
79319,Systems Supporting Large
79370,Sanggeon Lee
81488,Steffen Lange
82167,Stephen M. Lichten
82849,Saturnino Luz
84390,Seng Yong Lau
88631,Shane Legg
90650,Sheng fu Liang
93035,Sw Lewis
94880,Sheng Chiang Lee
95261,Sang Boem Lim
96116,Shiyong Lu
96266,Stephan Lukosch
96617,Semi denite Lyapunov
96740,Simon W. de Leeuw
100480,Stefan Lang
100590,Sebastien Leclaire
102692,Stefan Lanser
104289,Simon W. de Leeuw
109575,Shih hao Li
115805,Samuel J. Leven
116174,Shuit Tong Lee
117665,Susan L. Lightman
124454,Steven Daniel Lovell
132434,Sung oh Lee
135320,Sydney Ludvigson
139856,Shuenn yuh Lee
143902,Sonia Lippe
145900,Stefan Lundgren
146726,Stan J. Liebowitz
150373,S. A. Lynch
151149,Steven M. Lavalle
151929,Shing Hong Liu
156460,Sydney C. Ludvigson
161973,S. h. Lee
167299,S. Lozano
171896,Siak Piang Lim
179847,Stig Larsen
185393,Seth LaForge
