3144,Thomas H. Lenhard
8064,Tamas Linder
11067,Torbjörn Larsson
13535,Tsang Hsiung Lee
15386,T. W. Langston
27747,Tsung ying Lee
28630,Thorsten Lauer
28778,T. Leininger
30341,Theoretical Framework Lim
32641,Tangqiu Li
39055,T. Ledgeway
40609,Tsu Jae King Liu
44477,Tingzhang Lui
44865,Timothy Kuan ta Lu
46407,Thu Ji Lin
61196,Tzuu hseng S. Li
63866,Tod A. Laursen
63948,Teodora Guenkova luy
84757,Thed N. van Leeuwen
88553,Tom Sang yong Lee
91026,Tsu Jae King Liu
92534,T. K. Lee
93787,Tu Van Le
100871,Tim Berners lee
101818,Todd Lupton
102093,Taesup Lim
102854,Thierry Lefevre
103544,Tv Lakshman
112763,Tae Young Lee
112889,The Icon Programming Language
114669,Tim A. Lloyd
120296,T. Lloyd
120473,Tommy Lundgren
121502,Tien Yu Torn Lee
134786,T. Y. Luo
135910,Trent W. Lewis
138838,Thomas LoFaro
140450,T. Liebig
147785,T. P. Levada
151372,Tsong Shin Lim
165591,Theodore P. Labuza
169189,T. F. Lin
169871,T. Lofqvist
170396,The Disco Language
170479,T. Joseph W. Lazio
173505,T. Jove lagunas
179721,Thomas Lee
184383,Thomas K. Lewellen
190521,T. Y. Cliff Leung
190862,Trent E. Lange
193674,T. C. Lam
199967,Tobias Luksch
201699,T. Lizzi
206226,T. G. Van Leeuwen
208082,T. Levlne
208343,Teck Kiong Lee
211462,Tom Lasinski
221288,Therese Libourel
225271,Thomas Loveard
247493,Thiam Beng Lim
248629,Tsu Jae King Liu
252022,T. h. Le
252998,Tung T. Lam
254467,Th. Lippert
264701,T. J. Liu
269075,T. F. Laporta
274870,Tsair Ming Lin
274974,Thomas Lucking
277472,T. D. Lee
278009,Tomas Lang
284202,Tayuan Huang Chao rong Liu
285687,Tom Lovett
293987,Terje Lein
302940,Tobias C Larsson
303108,T. Ljungberg
305055,T. Linderberg
309719,T. Lejtner
310440,Thed van Leeuwen
320625,Tailoi Chan Ling
322686,Tom Lawrence
326538,Tom Lindstrom
327280,Thu Hua Liu
329883,Theo W. De Loos
331202,Tai chi Lee
331867,Tracy L. Lewis
335448,Ted Lewis
343925,Ting Lee
347799,Tian Lan
350117,Two dimensional Modal Logics
353545,T. A. Lemak
360950,Tanya Lippincott
363526,Tracy R. Lewis
364704,TAILOI LING
367775,T. Lintunen
368403,Tsanchi Li
371662,Thomas Lindner
375433,Tao Ming Lim
380423,Tarek Lahdhiri
383023,Thomas Leckner
386408,T. Lister
392510,Tse min Lin
400124,Ted G. Lewis
400485,Trong yen Lee
404135,Techniques For Lightweight
407127,Todd A. Letsche
407632,Tie jun Li
407964,T. L. Liu
410665,T. Law
419564,Tsung Fu Lin
421176,Thomas Linner
425247,Tracey Burgess limerick
426180,Trinh Le
430133,Taha Landolsi
433897,T. De Lyon
443040,Tom Lawand
443825,T. Licht
450274,Tod A. Laursen
450952,Thierry Levasseur
455012,Timo I. Laakso
