4239,Yunlin Liu
7919,Yueh Lin Loo
9233,Yi Wen Liu
18497,Yu. I. Lyubich
23508,Yan Li
24204,Yuan Shin Lee
24591,Yadong Lu
37259,Youmin Liu
45594,Yuan Tseh Lee
46806,Y. Levy
46879,Yona Levites
48517,Youngkon Lee
50329,Yongli Li
50455,Yi Li
51481,Yew huey Liu
76591,Yu De Lin
77711,Ying Hsang Liu
77850,Yanlin Li
78804,Y. w. Lai
79568,Yanqing Liu
82729,Yoseph Linde
92342,Y. Liao
94830,Yangmin Li
99495,Young Lee
102445,Yan qing Lu
103908,Youn Long Steve Lin
110781,Y. Lechevallier
114275,Yuanhua Lv
118613,Yu. S. Ledyaev
118616,Ye Liu
118721,Ying ping Lu
119785,Yaohang Li
120168,Yuehu Liu
130392,Yuan Qing Li
133288,You ming Li
134276,Yin Lee
142229,Y. C. Lim
144967,Y. LEROY
145454,Yi Li
149955,Yuan Kang Lee
157700,Yung Y. Liu
163711,Yagati N. Lakshman
167263,Yi Li
175198,Y. c. Lo
175912,Y. W. Lu
177110,Yeon Gwan Lee
182081,YING RU J. LO
184505,Yun Chia Liang
188104,Young Choon Lee
192524,Yoong Keok Lee
192721,YING TA LAI
200386,Yves Leroy
209788,Y. Z. Liu
214210,Y. Y Lu
214337,Yan Lin Li
218756,Yunjiang Lou
224971,Y. Lian
226155,Ying Shan Li
226946,Yung cheng Liu
230564,Yee Ling Lau
236210,Yaw ling Lin
243192,Y. s. Lee
246894,Yuefeng Liao
247611,Yanda Li
271516,Ying dar Jason Lin
284002,Yong Qing Liu
285187,Yang Li
289447,Yan Mei Li
294005,Yen Cheng Lai
314203,Yan Liu
317204,Ying Li
323975,Yan Liu
325176,Youn long Steve Lin
330916,Yuan Chyuan Lo
333455,Yun hui Liu
338003,Yi Chung Lo
338283,Yinong Liu
361037,Yin Fang Liao
370159,Yoosook Lee
388415,Yingjian Liang
394469,Y. P. L
395582,Yang Chang Lee
400993,Yu cheng Liu
417397,Yi cheng Lin
418949,Y. Lesp¨¦rance
427887,Yuan Xing Li
428698,Ying Cheng Lai
429343,Yu Shyan Lin
429960,Yagang Li
452772,Y. b. Lin
455631,Ya ching Lu
457020,Yrjo Louhisalmi
461642,Yi Hsin Liu
464236,Yang Liu
467182,Yu Wei Lin
472076,Yuqiu Long
476998,Yunguang Lu
478098,Ying Lin
480003,Youhong Lu
482746,Yu Hong Lin
484628,Yvonna Lincoln
488259,Yiannis Laouris
489491,Yuan Xiong Li
490640,Yi W. Li
490769,Y. K. Lin
507020,Yan ming Liu
520399,Yui Man Lui
523574,Yanqing Li
524391,Yu Quan Li
524488,Youfu Li
525712,Yanhong Liu
532890,Yanzhi Li
544189,Yiqing Lin
546602,Young Hae Lee
549184,Yvan Lefevre
549263,Yufeng Liu
551063,Yuan Chyuan Lo
565230,Yonghuai Liu
565750,Yin Kwang Lin
566571,Y. M. Lipkin
572861,Yee Loy Lam
585325,Ying Hao Li
586259,Yung Tien Liu
587775,Yong Gu Lee
591894,Y. T. S. Li
594732,Yu Lam
595083,Y. Lv
609186,Yi Hua Liao
621633,Yan Liu
654462,Ya Ju Lin
654853,Ying Liu
659022,Yonghua Liu
662676,Yu Li
662901,Yuan Yao Lin
663939,Y Grace Li
668162,Yi Lin
671843,Yong Li
672662,Yuang Lou
676880,Y. L. Luke
680575,Yan Liu
681256,Yu Tien Lin
682215,Yat Hei Lam
685837,Yu Lung Lo
690418,Y. Lu
695466,Ye Li
697813,Yih Juan Li
705179,Young Chul Lee
704223,Y. c. Lee
715005,Yu Xiao Li
716509,Yung Feng Lu
727849,Yanhe Li
734850,Yao Liu
744267,Yu Chen Lin
744750,Yoram Louzoun
748150,Yona Levites
762980,Y. Lauze
764459,Yan Lo
774811,Yossi Lev
777088,Younghee Lee
779335,Yanfeng Luo
780422,Yaogang Liu
785217,Yipeng Li
792891,Yueh Lin Loo
795117,Yosef M. Landobasa
796470,Yong Qing Li
799041,Y. Tzvi Langermann
800692,Y. Liu
802767,Yong Hoon Lee
809818,Yang Liu
813316,Youquan Liu
820377,Yi bing Lin
845414,Yi Jun Li
848817,Yuan Qun Liu
