228,Hafez Hadinejad mahram
928,H. C. Minnett
1582,H. W. Mikulecky
6704,H. Minami
18188,Hirotsugu Matsuda
21211,Hector Garcia Molina
24817,Hideaki Matsumoto
27351,Hw. Mewes
32311,Hermano P. Moura
33208,H. R. Mueller
39777,Helio S. Migon
40473,Harold Magistrale
42621,Hafedh Mili
42891,Hector Garcia Molinat
49308,Hu Man
50648,Herve  Minoux
51636,Helen McCaffery
61915,Haynes R. Miller
66611,H. Miyao
78325,H Moessenboeck
78784,Harold M. Manasevit
80821,H. Mahoney
80830,Hilderick A. Van Der Meiden
83689,Hong Shock Min
84538,H. E. Melbye
91572,Hiroya Mira
93487,Hamed Hamid Muhammed
99284,H. Miyazaki
101684,Herbert W. Marsh
103066,Hyung Tae Moon
104507,H. Miyashita
105261,Humberto R. Maturana
109793,Hooman Mohseni
113240,Hicham M. Menkara
119239,Harald Martens
122924,Hideyuki Mizuta
126290,Hugo Vctor Masa
126954,H. Mauude
127584,H. Marcuse
141574,Hiroshi Motoda
144717,H. Momiyama
146769,Hong Ju Moon
147621,Hans b Mühlhaus
150100,H. Mizutani
154291,H. Mulder
168991,Heather Martin
172718,H. MacMullen
177965,H. Mizuseki
180333,Hamid Montazeri
181501,Henk L. Muller
187137,H. Marti
202125,Hideaki Mizuno
207705,Heiko Mantel
210984,Hoang Ngoc Minh
211158,Hideki Mori
213277,H. Meidia
217875,H. M¨uller
220364,H. J. Muller
222269,Hugh J. McDermott
225539,Hossein Moayedi
227300,Hiroshi Murata
228371,Hanspeter Mossenbock
228744,H Y Ma
230881,Hirokazu Murao
233648,Hlaing Minn
244553,H. Mancini
247435,H. M?ller
260752,Hasselmo Me
260798,Hitoshi Morikawa
261823,Hiroyuki Meguro
263774,Hi Gh Myopia Josb L. Menezo
266438,HARVEY C. MANSFIELD
269560,H. Moriomoto
272782,Howard H. Ma
281686,Heidi M. Mansour
282192,Hooman Mohseni
282763,Highly Nonnormal Matrice
286666,Harsha V. Madhyastha
291733,Hiroshi Matsumoto
309078,H. Morimitsu
312025,H. Medwin
312292,Hairibi Asaklil Mazroui
315271,Hugh B. Morgenbesser
315855,H. Mongelli
320765,Hanneke E. Moolenaar
321033,Hoppe H Progressive Meshes
325787,H. Mikko
330337,Hermann Moisl
330939,Hiroaki MOHRI
332062,Hisar Maruli Manurung
335393,H. L. Mason
335485,H Meidia
345377,Haruchika Masuda
346702,Harry K. Moffat
353100,H. Mosebach
354439,Herman Mcdaniel
357609,H. MOTOMURA
360197,H. Montes
368165,H. Mori
377712,H. A. Macleod
378114,Helen Meyer
379513,H. r Luscher L. Muller
384652,Horace Mitchell
386816,H. K. Moffatt
389088,H. Mahr
393362,Hassina MEZIANE
395782,Hyacinth S. Mwana
398031,H. Mohellebi
400868,Honore Mazarguil
404984,H. p. Me
409859,Hans van der Marel
412191,H. F. Moed
412595,Heng Ye Man
413135,Haik Mardoyan
425738,Hanns Schulz mirbach
426834,Hideo Matsuka
429465,H. J. Marcum
430320,Hiroki MUROHKA
430583,Hugh R. Morton
430606,Hkan Melin
433335,Haider Mohammed
434912,H. Mizutani
438844,Hamid Ben Malek
440315,H. Mori
442564,H. H. Martin
442611,Hiroomi Miyagawa
445128,Heather E. Mahaney
449487,H Mashima
456399,H. Garcla mollna
461847,Harit Modi
465441,Harold A. Mooney
465449,Hiroyuki Masukawa
483281,Hyung Soo Mok
485665,H. Moriyama
489324,Holger R. Maier
492868,H. El Mamouni
492929,Herbert W. Marsh
494804,Hiroshi Matsuda
494986,H. Mavro
495326,H. Mayanaga
496377,Henri D. Grissino Mayer
499008,Hani S. Mahmassani
507950,Henning Maass
508400,Hirotada Mori
514597,H. Mori
514873,Helene Paugam moisy
516241,Hyman P. Minsky
518291,H. Mehlin
519889,H. Mani
523120,Hugh G. Mackenzie
523329,Hiroki Minagawa
523762,H L Manocha
527493,Holger MEINHARDT
527768,Hideo Miyoshi
531082,Hidehiro Mizusawa
539963,Heidi McClure
545849,H Monson
550642,Hamdi Mounir
550882,Harvey Mansfield
551302,H. Minoda
558380,Hisashi Morichi
559455,H. Meidia
559477,H. Gregor Molter
559486,Herve Moulin
559623,H. Mashita
559972,H. Munteanu
564508,Hamid Abrishami Moghaddam
566340,Holly Patterson mcneill
566674,Hugh P. McKenna
574926,H. Mark
584746,H. Jaap Van Den Herik Matriks
585912,H. S. Matis
590901,H. MAKARUK
594428,Hillel Miller
598233,Hyman P. Minsky
603883,Heinz Muehlenbein
604195,Hagop S. Mekhjian
622437,Hardware Michael Meiner
624690,Hardo Muller
625231,Hiroshi Mikami
630225,Heinz Miihlenbein
631212,Hail Mallouche
631496,Harvey C. Mansfield
632843,Hiroaki Matsuo
634716,H. B. Morganbesser
636215,Henny Mehner
636979,Hemant Misra
639934,Hao Meia
640803,H. C. Meal
643586,Hadrons Updated March
645058,Heimo Mller
650151,Harald Mueller
654693,Horacio Martinez
660019,H. Masters
665712,HARRY MCGURK
669797,H. T. M
670097,Hongki Min
673015,H. O. Meyer
