2258,Irene E. Mcdermott
4178,Irina Munteanu
16445,Igor S. Molchan
21311,Irene Mavrommati
42214,Iara De Almeida M'ora
43302,I. Mugaragu
49956,In A Reflective Object Model
53260,Isabel Marquez
77562,Ingenue World Model
83211,Isabel Dotti de Miatello
89554,I. Mustapic
95024,Incorporated Morrisville
97878,Ioanna Malagardi
106105,I. Monga
116352,Iain Merrick
125269,I Misztal
133815,Ian C. MacMillan
144632,I. Medved
149851,Igor A. Mel'čuk
158495,Iara De Almeida Mora
171226,Ilya Muchnik
182834,I. Montvay
189600,Isabel Millan
189752,Itu t Recommendations M
190872,I. Mareels
211840,Inc. Mathworks
214616,Ignacio de Miguel
223940,Imran R. Mansuri
237043,Institution. Mcpherson
249409,I. G. Macdonald
253842,In The Go mhs
265342,Interactive Dynamic Modeling
266604,I. Manna
276163,I. Karsch mizrachi
283925,Inmaculada Rodr¨aguez Mart¨an
291825,Instant Messaging
297108,Ivailo M. Mladenov
311734,I. Ross McDougall
325604,Ir Mcwhinney
354372,I. R. McFadyen
354433,Inma Mora
354535,Irene Mavrommatti
354921,I. Middleton
355134,Ichinoshin Maki
358457,In Distributed Shared Memory
361458,Ian Maddieson
362034,Ishizuka Mitsuru
375640,Ion I. M\uandoiu
377605,Ichiro Morihara
381698,Iakovos Mavroidis
385545,Inmaculada Rodriguez Martin
391548,I. Mandoin
398772,In sik Myung
402631,In A Markov Chain Mode
404045,Irene Mozjerin
410639,I. z. Mitrovic
414242,I. Felix Mirabel
415696,I. Moore
427516,Ian R. McNab
428786,Ian T. McFadyen
447876,I. A. Macleod
448227,Il Milner
457979,Iwona Miliszewska
475884,Ibrahim Halil Mutlu
479295,I. D. Mccleary
480106,Ivana Mihalek
483148,Iwao Matori
483410,I Macphee
494529,Ioana Moise
507644,I. Garcia moral
511316,Iain Murray
513866,Irene Mavromati
514836,In Uml Models
524237,Igal Milchtaich
524266,Izaidin Abdul Majid
527674,Ivailo M. Mladenov
528926,Itay Mayrose
536489,Ilian Mihov
539901,Ira Monarch
545892,Isabelle M. Mansuy
550377,Ibraheem Umaru mohammed
567967,Ian G. Macdonald
568453,Isabelle Mougenot
570599,I. Molon
573912,Ib Madsen
574579,Imbaby I. Mahmoud
579871,Igor Metz
580517,Ivan V. Meza
584414,Inmaculada Rodr'igues Mart'in
597311,I. Mennen
606846,Integration Christopher Menzel
611747,I. Mcarthur
625974,Iti Saha Misra
626910,I. Mori
631865,ITESM Campus Monterrey
637018,Iain I Macdonald
651441,Is Aperiodic Manuel
658368,Ian McCann
660668,Ivailo M. Mladenov
664887,I. A. Maeleod
667794,Isabel Moreno Martinez
680723,I. Murakami
685611,Ismail Musirin
689898,In The Modern
690608,Irina Matthaei
690764,Institute Of Medicine
700475,Ibrahim Moukarzel
700539,I. Massarek
707294,Isabelle Mejean
718012,International Mathematical
719202,Ian G. Macdonald
727809,I. Dotti Miatello
737592,Ivo Marek
743333,I. Mulaziani
744795,I. Melngailis
745927,Ian S. McLean
750890,Ioan Lucian Muntean
759096,Ian McConnell
770151,Ian McAllister
782469,Iris Chaffin Msw
783003,Ibm Tivoli Privacy Manager
784618,Ingrid Renner Muller
785985,Isabelle Mejean
796438,Internationl Business Machines
807293,In Soviet Math
817668,Inderjeet MANI
828979,Instructor Nayaran M
834901,I. Morgernstern
850380,Irene Mavrommati
859823,I. Mozaleva
864412,I. M. Macleod
871556,Iain McLaren
883534,Ingham A. G. Mack
903110,Ioana M. Boier Martin
904965,Iml cnrs Marseille
912383,I. A. Mandour
915792,Ignacio Mart'in
918836,I. J. D. McGregor
920537,Israel Cidon Sun Micr
932579,Ilja Martisovits
936507,In Real Mobile
954510,Ian Miguel
959244,In Peer to peer Multicast
962331,Istvan Maros
965928,Ian A. McKay
968156,Izhar Matzkevich
970680,I. Maron
972368,I. Miller
979942,Itsik Mantin
981070,I. Moody
984211,Ian C. Magill
985813,I. S. Moghrom
999201,I. G. Macdonald
1005224,Ilya Muchnik
1008772,I. f. Morrison
1012974,I. MA
1013517,Instructor Dimitrios Makrakis
1014036,Inhibitory Interneurons Misha
1026707,Intel Micr
1028892,I. Morrison
1039039,Igor V. Moskalenko
1039658,INMACULADA ORTIZ MARQUEZ
1042687,Iven Michiel Yvonne Mareels
1046000,Integrating Statistical Method
1047425,Institut Gaspard Monge
1060492,Inge Mayeres
1061801,Inc. Monroeville
1067469,Ian B. Mccririck
1073560,I. G. Macdonald
1073899,Ion I. Mandoiu
1093911,Imran Mehdi
1099613,I. S. Molchan
1100288,Iain McDonald
1100580,Ian Vince McLoughlin
1107162,I. Meiri
1137969,I. Josa Mutuberra
1145017,Igor Morozov
1147759,Imbaby I. Mahmoud
1157288,I. Macfarlane
1168313,Ieee Transac tion On Mtt
1182537,Ic Mckusick
1191410,Ian D. Macintyre
1192462,I. McNulty
1204244,Ivan V. Meza
1207791,Ivan Maza
1228042,IAN MOCKETT
1230814,Immersion Music
1235318,Irina Manolescu
1243019,I Mizushima
1247708,Ian W. Marshall
1251496,Ichizou Mikami
1262047,I. Merola
1263785,Igor L. Markov
1263803,Igor Mel'cuk
1269686,In Simultaneous Multithreaded
1271385,Ilza Maria B. Mendes
1275133,Ina Muller
1281637,I. Miyamoto
1285505,I. Melatti
1292673,I. P. Mariño
1297068,Inspected By Mobile
1298126,I. V. Mikhnyuk
1302753,Impact Evaluation Manager
1308674,I. A. Mohammed
1312554,I. Mazilu
1316630,I W Mackintosh
1336495,Istva N Miklos
1342655,Ingrid Mengersen
1342937,Isabelle M. Mansuy
1347133,I. i. Maletic
1353806,Imed Moussa
1355279,Iain B. Collings John B. Moore
1356657,Integrated Modelling
1358493,I. Motte
1372352,IAIN MACLACHLAN
1372803,I. h. Mufti
1374485,Inge Marcus
1376683,I. Matityahu
