2840,Azadeh Ghari Neiat
5752,Ambra Neri
6036,April Volume Number
13925,Alessandro Nordio
18992,Atsushi Nakamura
24717,Ana Isabel P   erez Neira
28096,Akinori Nagano
30010,Angela Nebot
33134,Anil K. Nori
38510,Akinori Nokami
41518,A. Nilsson
50191,Anca Gutu Nelle
52675,Andrew A. Neath
54040,Andy Naranjo
56265,Arvind Nayak
58944,Alon Nilli
64532,A. J. Nijdam
68024,Akiko Nakashima
82072,Axel Nimmerjahn
84559,Albert Noll
86325,Ana I. Perez neira
93627,Apostol Natsev
95026,Anthony Ng
96095,Andre Neubauer
96167,A. Ng
98400,Animesh Nandi
99385,Andre J. Noest
106117,Amy Needham
110512,Andreas Nuechter
113741,Andrew YC Nee
118734,A. D. Nikulin
120913,A. A. Novikov
121486,Asko Nykanen
121541,Alex Niemegeers
129042,Ali M. Niknejad
152294,A. N. Nenakhov
155812,A. G Omez Nicola
160817,Artem S. Novozhilov
164532,A. R. Nyaiesh
167539,A. Naumann
172068,Anton Naumenko
173873,Alessandro Nuvolari
176422,A. Nahara
176980,Andreas Nonnengart
181553,A. K. Nigam
184931,Alvaro Garcia Neto
185708,Akihiro Nomura
189721,A. Namajunas
193919,Alex Nicolau
196835,Anne Sophie Nyssen
197513,Ana Nicolau
203150,Akira Nishimatsu
203899,A. Neuber
207622,A. p. Navarro
210895,Arman Nyilas
213010,Andrew Ne
214034,Acm Computer Architecture News
216290,Anne Ngu
216353,A. R. Navato
216446,A. Nussbaum
217668,Aleksey Nogin
218656,Anis Njeh
240147,Ali Noutash
242098,Acm Software Engineering Notes
246162,Amin Nobakhti
252557,Arfst Nickelsen
254542,A. d. Norte
257604,A. F. Newman
259272,A. K. Nandakumaran
263167,Arvind Nayak
265356,Alan F. Newell
267645,A. L Neidhardt
267838,A. Negri
270006,Antonio Naali
273280,Alan Nayfonov
273845,A. Noore
281604,A. J. Neale
282770,A. T. Nordsieck
285946,Asynchronous Learning Networks
296223,Atair Rios Neto
303340,Asfaw Negassa
305868,Arvid Naess
307413,Arjan Narbad
308188,ALEXANDER NEAMAN
310290,Appears As Sigplan Notices
312680,Anand Vishwanath Nene
312916,Adithya Nagarajan
315324,Alessandra Novello
316181,Akira Nagoya
323049,Andre Nies
327129,Akira Nagao
329758,Assigned Numbers
330925,A. V. Nifanova
335385,Any NAAT
338634,Austin Lee Nichols
339716,A. Naeve
340373,A. Nagai
343675,Alexei V. Nikitin
345495,Alvaro A. Novo
352271,Andy Nguyen
360243,Alan Natapoff
360751,Annette M. Neary
369021,Audrey J. Noble
376092,Arnab Nandi
376869,Antonio J. R. Neves
377737,Andrew A. Nyblade
379421,A. Nespola
379588,Andrew R. Nix
379756,Alberto Mestas Nunez
380217,Al Globus Nasa
380256,Andreas Nurnberger
382708,Alex J. Narvett
388732,Andrew Newell
387899,Alan D. Niemi
390751,A. m. Nicolson
402933,Ahmad Abu naser
407794,Anatoly P. Napartovich
