28698,Isabel Lopes Nunes
99653,I. H. Nevmyanov
120850,Ioannis E. Nikolaou
124534,Ioan Nafornita
137725,Issa A. D. Nesnas
146805,I. Nourbakshk
166196,Isabel Navazo
170351,I. Nagano
225128,I. Navarrete
226603,Isaku Nagai
237533,Irizo Naniwa
244168,IOSIF NAGY
266846,ISAAC NEWTON
273303,Ichiro Nishizaki
279071,Inderpal Narang
287858,I. Naritake
329938,I. Noszticzius
357957,I. Niculescu
378256,Isaac Newton
379291,Ikuko Nishikawa
386547,Ivailo Nedelchev
397651,Itay Neeman
408352,I. Nishioka
410781,I. Navot
417458,Ivan Niven
429286,I. M. Nabiev
434125,Ian Soboroff. Charles Nicholas
467066,I. Nakagawa
497838,Ick Hyun Nam
505026,Isaac Newton
526149,Internetwork Naming
605875,I. J. Nagrath
636691,Isaac Namioka
656395,Isaac Newton
670912,Iris Network
683497,Ichiro Nochide
712094,Instructions Lars Nyland
728932,I. Nikolakakos
731142,Izzie Jacques Namer
754462,Information Systems Ngel
762315,Ingrid Neumann
797024,In Applied Numerical
808572,I. Nagao
850876,Ilya Nemenman
857062,I. m. Na
870992,Ikuo Nakata
882551,I. Nikiforakis
887578,I. N'emeti
921074,Igor A. Nesterov
948286,Ionel Michael Navon
970590,Israel Nelken
993600,Ida M. B. Nielsen
999099,Isaac Newton
1005483,Ian T. Nabney
1013320,Ivor Nissen
1019484,Ingmar Nopens
1032650,I. Nakajima
1115144,I. Nikolaev
1129515,Ilkka Niemel
1130576,Isao Nunokawa
1132334,Ingrid Nielsen
1136873,Israel Nelken
1137919,Introduction To I Ngi~es
1143323,In The Nm
1159951,In Connectionist Networks
1178992,Inke S. Nathke
1211119,I. k. nwagwe
1213051,Irini Nicolaou
1245896,Issam El Naqa
1267554,I. Newton
1282680,Igor D. Novikov
1315351,Ieee Catalog No
1325089,Is Required. There Is No
1356251,In Wdm Optical Networks
1358441,Ick Hyun Nam
1375954,Ivo P. Nenov
1383332,Induced From Neuromuscular
1390114,I. Nakamura
1415901,Ignas G. M. M. Niemegeers
1425698,I. Nutt
1456305,In Neurosurgery
1462755,IVO NEZBEDA
1468450,Inke Nathke
1479416,Irwin L. Newberg
1484792,Ioannis Ntzoufras
1497476,Ivan Nemec
1524039,I. Service Overlay Networks
1527833,I. Nunez
1551319,I. Nakatani
1552350,Isaac Newton
1553117,I. Noto
1576719,I. Niini
1576881,Integrated Broadband Networks
1581589,In Wireless Sensor Networks
1596241,I. D. Norgard
1646154,Irina Nesterenko
1680160,Iwao NAGASHIRO
1682550,I. Nashiyama
1685765,Interconnection Networks
1720307,I. Nirenburg
1726377,Iris H. Y. Ng
1729155,I. Nakanishi
1743572,I. S. Nesbit
1761365,I. Prefatory Notes
1766681,Ichiro Nakashima
1824089,Ira A. Noveck
1852439,Ilya Nemenman
1939144,Ivan Nagy
1943444,In Ip Networks
1992011,Ilkka Niiniluoto
1995679,Ick Hyun Nam
2026399,I. M. Nejdawi
2069384,Ioan Nicolaescu
2072372,Ibrahim M. Nabiev
2085935,Isabel Nepomuceno
2088064,In Bayesian Networks
2127976,Innocenti Digest No
2133321,In Charles N
2157014,Ibm Form No
2189268,Ignas G. M. M. Niemegeers
2222595,Iay F. Nunamaker
2283190,I Ntell
