2238,Pedro Bernaola galva N
5709,Piero Negrini
12920,Peter Newson
14206,Peter Nederson
24775,P. Nagsue
33490,Petru V. Notingher
40287,Paul Norbury
45214,Palle Nowack
63898,Palmerston North
66852,Peter Nijkamp
77218,Published In Neural
105337,Peter G. Neumann
105520,Peter Nijkamp
107012,P. Nagarkar
122831,Priya Narasimhan
127905,Peter Nunnenkamp
128115,Piers Nash
134163,Perambur S. Neelakanta
136209,P. M. Neergaard
156820,Patrick Neukomm
163134,P. J. Naughton
167794,Process Of Neural
173152,P. P. Nuspl
185903,Pierre Nicodeme
189319,Peter Norvig
190658,Preslav Nakov
215336,Pierre Nicolas
231553,Patrick Ngulube
246969,Paul Nurse
255265,P. Neustroev
268623,P. Nielson
271796,Peter Norvig
277337,Piers D. Nash
282657,Pete Nesbeitt
287304,Preetham Nanda
294667,PACE P. NIELSEN
309338,Peter B. Nagy
311686,Philipp M. Nellen
321897,Pauline C. Ng
329043,P. Nenniger
331997,P. Nazran
332941,Pete Nordquist
343010,Peter Norlin
344094,P. Ng
359527,P. J. Neame
375636,Punpiti Piamsa nga
383602,Paolo Notaro
401190,Paul E. Nielsen
422410,Pavol Nvrat
442130,Pavel Nevski
445812,P. Nash
448259,P. Nicodeme
467236,P. Nimal Nissanke
476419,Peter E. Newburger
492904,Peter Nijkamp
493667,P Neal
502051,Peter Nijkamp
510892,Patrick Njiwoua
531528,P. Niessen
534199,Peter E. Newburger
547878,Peter Nijkamp
548047,Paul Nemirovsky
584681,Peter R. Newsted
585930,P. Narozny
588777,P. Norton
592080,P. Nguyen
592892,Peter Naur
598407,Probabilistic Networks
603209,PIOTR KICI NSKI
610045,P. Novacek
613810,Phillip L. Nico
628383,Peter Johannes Neugebauer
638119,Peter W. Newton
651261,Peter C. Nelson
652395,Phaderm Nangsue
660462,Perumal Nithiarasu
669961,Pradeep Natarajan
680302,Pier Nauta
696903,Peter W. Nightingale
704587,Paresh Kumar Narayan
708108,Patrick Noel
729736,Peter E. Nugent
736803,Peter Shargo Nail
737604,Paul M. Nurse
738140,Peter E. Newburger
738350,Pavan S. Nuggehalli
748316,Published In Naccache
752437,Peter J. Nicholson
753790,Peoy Khee Ng
755343,Pierre Nicodeme
756137,P. Nitschke
761678,P. Nieuwenhuysen
796972,Paulo Nunes
809808,Pedro Neto
855811,Philip Newcomb
872493,Peter Nijkamp
873847,Pierre Abdel Nour
885444,Perumal Nithiarasu
902629,Plamen Nedeltchev
902868,Packet Switched Networks
918783,P. Nielsen
926204,P. J. Narayanan
930504,Part Number
936168,Priyamvada Natarajan
936192,Premkumar S. Natarajan
936983,Pierre Nicod
960246,Petteri Nurmi
962160,Philippe Nain
983378,Peter Nightingale
985994,P. Niemeyer
1001875,Part No
1009419,P. Nicolas
1022860,P. Naud
1027849,Pascal A. Niklaus
1032146,Patrik Nordling
1049980,Peter E. Newburger
1086230,Pavel Naumov
1088494,Peter Turney National
1104168,Paul Noble
1105448,Peter Nijkamp
1116818,P. Nesi
1129833,Petr I. Nikitin
1143850,P. A. Ni
1149848,P. Nachman
1150459,P. Nistri
1155804,P. Nagvajara
1168320,P. Nadkarni
1169573,P. S. Nayer
1184064,Pablo Navarrete
1205831,Philippe Olivier Alexandre Navaux
1207245,Paolo Nepa
1210258,Paulo Oswaldo Boaventura Netto
1211993,Poul Nissen
1225491,Pavol Navrat
1245523,Paul Nurse
1253560,P. Noll
1256593,Pierre Nicod¨¨me
1259378,P. P. S. Narayan
1264053,Panin Zainoulli Ne
1268741,P. Nuijten
1270848,Petri Nokelainen
1280054,P. c. Nystrom
1286293,Peter Nijkamp
1298749,Patricio Nebot
1305416,Paddy Nixon
1306748,Phyllis R. Nelson
1313135,Phonetic Dependencies Noel
1327134,Peter J. Novick
1345238,Philip S. Norman
1366050,Prashant Nagaraddi
1387646,Pavel Nikolaev
1397888,P. Norris
1402467,Preethi Natarajan
1404502,Ph. Nain
1412711,Patricia Neuman
1412808,P. Narasimham
1417759,P. Nicopolitidis
1428030,P. Nisenson
1430455,Peter N. Nikiforuk
1431660,Polygonal Regions Mihail N
1456730,Peter Neumann
1460480,Po Shun Ngan
1464764,Pieter W. Nel
1481995,Paul Neves
1487053,P. S. Nelson
1509838,P. V. Nesterov
1519425,P. Norvig
1520142,Pavel Nejedly
1525270,P. C. Neusy
1542170,P. J. Nyirenda
1577583,Peter D. Noakes
1577829,Peter Nijkamp
1582947,P. Nicolau
1589776,Primary Contact Name
1604068,P. Ninin
1609019,P. Nikiforuk
1613097,Paul H. J. Nederkoorn
1634031,Peter E. Nielsen
1634916,Paul A. Newman
1656899,Paul Nelson
1666647,Pauline Newman
1745674,Paul Nicholson
1782092,P. E. Nilson
1784920,P. Niay
1788445,Progressive Re Nement
1805877,Paolo Notaro
1807524,Pascal Niklaus
1816388,Purusottam Nayak
1819787,P. R. Nuytkens
1826701,P. Nussbaum
1830106,Philip De Neve
1841454,Polygonization Of Noisy
1848590,P. Nora
1849564,Paresh Kumar Narayan
1850741,Program No
1864735,P. J. Narayanan
1870899,Pan Xiao ning
1876028,Peter Cabrera Nguyen
1876065,Paulo Nobre
1903140,Peter Nattermann
1912082,Pj Nijweide
1925966,Philipp Niederau
1937671,P. Neumayer
1940958,Peter Nanawa
1949606,Piotr Nowakowski
1971006,Paul Arthur Navratil
1974981,P. A. Naastepad
1989999,Paul Narum
2001096,P. Van Nieuwenhuizen
2011966,P. Nielaba
2018638,Prasad A. Naik
2022533,Paul K. Newton
2033651,Pedro J. del Nido
2037071,Patrick L. Nolan
2057341,Paul Nesvadba
2076320,PETTERI NIEMINEN
2080730,Peter R. J. North
2097951,Peter Novak
2101480,Paresh Kumar Narayan
2101794,P. Neumaier
2115133,Piotr Nawrocki
2124642,P. Negro
2124791,Publication Interne Irisa N
2142881,Peter Novak
2149287,P. Nair
2152093,Petra Neumann
2155556,Peter Nijkampt
2181772,Peter V. Norden
2205495,Pradeep Nagaraj
2218743,PHILLIP G. NELSON
2228228,Per Johan Nicklasson
2245317,P. Nigh
2256118,Parthasarathy Narasimhan
2259486,Peter Nordin
2266291,Patrick Nickel
2266938,P. Y. Ng
